Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3393.000;135.720;0.038;7.295;-0.269;-0.002;14.164;-0.457;-0.171;26.320;-0.706;-0.485;42.208;-1.257;-0.475;46.422;1.856;0.008;52.816;3.149;-6.816;56.856;4.412;6.926;56.888;3.347;-2.645;58.530;11.672;3.917;58.545;11.163;-1.940;36.996;-2.677;-15.944;35.097;-1.247;-21.217;22.178;-2.537;-27.044;7.900;-3.963;-21.891;6.321;7.828;-16.016;4.455;21.651;-16.424;2.778;22.419;-13.782;0.795;29.140;-12.643;0.904;31.377;-11.476;0.590;33.648;-10.716;0.786;35.125;-16.520;3.613;22.518;-15.094;3.021;29.759;-13.366;3.170;33.516;-11.631;3.487;35.913;-10.350;3.584;37.504;-15.887;4.948;22.122;-15.205;5.558;30.198;-13.840;5.708;34.072;-11.986;5.977;36.855;-10.872;6.079;38.709;-16.171;5.952;21.921;-15.050;7.896;29.609;-13.700;8.441;33.128;-12.352;8.700;35.594;-11.102;8.644;37.236;-14.945;6.651;23.685;-14.593;9.853;25.166;-13.146;10.996;27.121;-12.804;13.429;28.452;1.285;37.064;-2.562;15.428;34.570;-0.503;21.394;21.184;-1.728;27.987;6.388;-3.083;22.304;5.583;8.441;15.704;4.259;22.530;15.075;2.629;23.420;13.498;0.107;29.441;12.845;-1.456;31.840;12.016;-2.564;33.842;11.288;-3.266;35.216;15.444;3.418;23.697;14.953;2.037;30.027;14.136;1.174;34.240;12.948;0.788;37.326;12.195;0.678;39.280;15.222;4.715;23.837;15.841;4.038;30.989;15.661;3.219;35.566;14.634;3.053;38.414;13.768;3.123;40.420;15.554;5.572;23.793;16.274;6.565;31.128;16.131;6.769;34.974;15.305;6.744;37.480;14.452;6.829;39.537;15.343;6.408;24.502;16.470;9.402;26.536;16.346;10.631;29.597;16.688;13.127;30.704;0.000;0.000;0.000;-7.673;-12.218;-0.670;-10.075;-32.862;0.525;-12.895;-57.096;1.927;-12.614;-101.394;-6.356;7.524;-12.414;-1.301;9.564;-33.014;-0.157;11.959;-57.196;1.187;11.664;-101.579;-8.059
3394.000;135.760;0.038;7.296;-0.268;-0.002;14.166;-0.455;-0.170;26.324;-0.701;-0.493;42.211;-1.260;-0.486;46.424;1.849;-0.011;52.815;3.141;-6.835;56.856;4.398;6.906;56.890;3.331;-2.664;58.543;11.655;3.897;58.559;11.145;-1.946;36.998;-2.678;-15.949;35.094;-1.245;-21.222;22.174;-2.531;-27.051;7.895;-3.952;-21.895;6.315;7.836;-16.016;4.456;21.658;-16.419;2.768;22.423;-13.735;0.753;29.137;-12.618;0.902;31.380;-11.478;0.577;33.638;-10.675;0.779;35.091;-16.511;3.604;22.520;-15.081;3.009;29.765;-13.346;3.175;33.519;-11.610;3.497;35.911;-10.325;3.572;37.500;-15.872;4.945;22.134;-15.209;5.561;30.204;-13.823;5.703;34.077;-11.951;5.989;36.856;-10.852;6.089;38.720;-16.159;5.953;21.931;-15.048;7.901;29.614;-13.663;8.432;33.142;-12.314;8.710;35.589;-11.078;8.657;37.242;-14.979;6.635;23.667;-14.599;9.852;25.173;-13.137;10.995;27.126;-12.795;13.434;28.446;1.279;37.068;-2.563;15.423;34.584;-0.509;21.390;21.198;-1.728;27.986;6.402;-3.076;22.306;5.602;8.449;15.709;4.284;22.540;15.059;2.638;23.419;13.484;0.123;29.439;12.835;-1.420;31.856;12.009;-2.533;33.852;11.283;-3.226;35.232;15.418;3.432;23.693;14.931;2.082;30.048;14.133;1.204;34.252;12.930;0.823;37.335;12.187;0.699;39.293;15.228;4.731;23.847;15.844;4.060;30.995;15.657;3.260;35.577;14.624;3.094;38.423;13.761;3.171;40.430;15.556;5.590;23.803;16.279;6.594;31.136;16.132;6.803;34.979;15.290;6.769;37.486;14.450;6.870;39.548;15.352;6.434;24.519;16.479;9.428;26.547;16.348;10.663;29.610;16.685;13.167;30.700;0.000;0.000;0.000;-7.670;-12.220;-0.670;-10.068;-32.860;0.526;-12.882;-57.090;1.929;-12.598;-101.383;-6.347;7.527;-12.412;-1.304;9.570;-33.013;-0.154;11.968;-57.197;1.195;11.675;-101.580;-8.042
3395.000;135.800;0.038;7.298;-0.268;-0.002;14.170;-0.454;-0.170;26.330;-0.699;-0.488;42.218;-1.262;-0.483;46.429;1.852;-0.014;52.813;3.160;-6.841;56.852;4.407;6.901;56.890;3.346;-2.674;58.553;11.663;3.888;58.571;11.156;-1.942;37.005;-2.678;-15.950;35.101;-1.250;-21.230;22.183;-2.533;-27.066;7.905;-3.951;-21.907;6.322;7.837;-16.026;4.458;21.659;-16.437;2.774;22.424;-13.772;0.776;29.142;-12.653;0.913;31.385;-11.473;0.575;33.641;-10.686;0.771;35.103;-16.530;3.609;22.522;-15.104;3.009;29.767;-13.361;3.169;33.522;-11.620;3.498;35.912;-10.338;3.560;37.504;-15.886;4.948;22.139;-15.214;5.564;30.208;-13.819;5.697;34.080;-11.949;5.997;36.858;-10.865;6.090;38.731;-16.177;5.960;21.935;-15.064;7.896;29.620;-13.693;8.427;33.143;-12.312;8.710;35.585;-11.066;8.666;37.231;-14.971;6.636;23.679;-14.615;9.864;25.193;-13.135;11.000;27.127;-12.814;13.433;28.462;1.283;37.074;-2.563;15.425;34.586;-0.502;21.387;21.198;-1.716;27.977;6.401;-3.057;22.291;5.601;8.466;15.688;4.283;22.556;15.055;2.644;23.440;13.451;0.123;29.454;12.792;-1.423;31.863;11.964;-2.536;33.857;11.235;-3.230;35.235;15.421;3.435;23.716;14.912;2.078;30.058;14.083;1.202;34.261;12.880;0.815;37.342;12.127;0.700;39.297;15.204;4.733;23.863;15.811;4.064;31.020;15.610;3.249;35.591;14.566;3.091;38.434;13.692;3.163;40.436;15.532;5.592;23.820;16.252;6.587;31.145;16.092;6.794;34.990;15.246;6.763;37.497;14.388;6.855;39.551;15.332;6.431;24.531;16.445;9.427;26.562;16.333;10.656;29.653;16.660;13.177;30.706;0.000;0.000;0.000;-7.670;-12.220;-0.670;-10.066;-32.862;0.525;-12.878;-57.093;1.928;-12.590;-101.395;-6.350;7.527;-12.412;-1.304;9.575;-33.013;-0.159;11.978;-57.196;1.184;11.698;-101.579;-8.053
3396.000;135.840;0.038;7.299;-0.268;-0.002;14.171;-0.452;-0.170;26.334;-0.693;-0.484;42.221;-1.267;-0.478;46.432;1.855;-0.007;52.808;3.187;-6.836;56.845;4.429;6.904;56.892;3.356;-2.665;58.568;11.676;3.897;58.591;11.164;-1.939;37.008;-2.680;-15.945;35.111;-1.251;-21.233;22.196;-2.525;-27.078;7.923;-3.933;-21.917;6.346;7.854;-16.032;4.489;21.676;-16.436;2.809;22.443;-13.768;0.814;29.167;-12.631;0.944;31.404;-11.481;0.626;33.667;-10.686;0.803;35.128;-16.528;3.644;22.541;-15.103;3.043;29.783;-13.367;3.201;33.537;-11.623;3.546;35.929;-10.337;3.610;37.518;-15.911;4.981;22.148;-15.219;5.604;30.222;-13.833;5.746;34.097;-11.970;6.024;36.873;-10.861;6.123;38.731;-16.206;5.987;21.949;-15.074;7.941;29.626;-13.678;8.465;33.154;-12.320;8.758;35.596;-11.081;8.726;37.247;-14.984;6.659;23.681;-14.611;9.889;25.184;-13.132;11.040;27.142;-12.809;13.482;28.461;1.286;37.075;-2.565;15.431;34.589;-0.504;21.394;21.201;-1.710;27.984;6.403;-3.044;22.302;5.604;8.481;15.705;4.288;22.572;15.071;2.662;23.460;13.466;0.130;29.462;12.786;-1.424;31.868;11.946;-2.530;33.864;11.215;-3.226;35.240;15.441;3.450;23.739;14.913;2.089;30.075;14.070;1.208;34.276;12.846;0.832;37.355;12.090;0.706;39.307;15.212;4.733;23.883;15.798;4.078;31.040;15.553;3.268;35.611;14.502;3.087;38.439;13.612;3.166;40.434;15.538;5.594;23.840;16.247;6.600;31.166;16.074;6.806;35.011;15.214;6.764;37.515;14.361;6.861;39.572;15.341;6.441;24.546;16.446;9.440;26.570;16.319;10.665;29.639;16.681;13.161;30.739;0.000;0.000;0.000;-7.670;-12.220;-0.670;-10.064;-32.864;0.531;-12.874;-57.099;1.942;-12.580;-101.398;-6.335;7.527;-12.412;-1.305;9.575;-33.013;-0.157;11.979;-57.198;1.191;11.698;-101.581;-8.037
3397.000;135.880;0.038;7.301;-0.268;-0.002;14.175;-0.450;-0.169;26.341;-0.683;-0.486;42.228;-1.258;-0.484;46.435;1.870;-0.019;52.799;3.225;-6.853;56.827;4.472;6.887;56.893;3.393;-2.681;58.553;11.718;3.881;58.584;11.203;-1.940;37.014;-2.671;-15.944;35.115;-1.247;-21.229;22.197;-2.518;-27.069;7.918;-3.923;-21.904;6.358;7.865;-16.015;4.514;21.687;-16.421;2.827;22.451;-13.756;0.835;29.172;-12.606;0.965;31.416;-11.464;0.663;33.673;-10.662;0.854;35.128;-16.516;3.662;22.547;-15.074;3.069;29.789;-13.344;3.224;33.543;-11.595;3.553;35.929;-10.305;3.642;37.513;-15.891;4.992;22.162;-15.189;5.639;30.228;-13.801;5.772;34.103;-11.947;6.057;36.872;-10.832;6.160;38.726;-16.179;5.999;21.956;-15.053;7.963;29.632;-13.659;8.496;33.159;-12.299;8.790;35.597;-11.048;8.765;37.239;-14.953;6.704;23.711;-14.587;9.919;25.188;-13.108;11.069;27.122;-12.783;13.499;28.463;1.285;37.082;-2.555;15.430;34.602;-0.489;21.391;21.213;-1.696;27.978;6.414;-3.031;22.297;5.610;8.499;15.702;4.288;22.599;15.058;2.651;23.475;13.423;0.113;29.480;12.773;-1.429;31.878;11.924;-2.535;33.874;11.185;-3.228;35.246;15.423;3.442;23.753;14.894;2.075;30.088;14.057;1.209;34.290;12.811;0.836;37.359;12.022;0.746;39.300;15.211;4.728;23.911;15.778;4.077;31.063;15.468;3.261;35.632;14.361;3.110;38.445;13.433;3.204;40.421;15.537;5.589;23.868;16.223;6.602;31.190;15.983;6.796;35.036;15.105;6.759;37.520;14.221;6.852;39.564;15.340;6.435;24.564;16.436;9.436;26.601;16.292;10.669;29.655;16.661;13.152;30.781;0.000;0.000;0.000;-7.670;-12.220;-0.671;-10.064;-32.863;0.524;-12.873;-57.096;1.927;-12.580;-101.398;-6.367;7.527;-12.412;-1.305;9.573;-33.014;-0.165;11.975;-57.198;1.172;11.692;-101.580;-8.071
3398.000;135.920;0.038;7.303;-0.269;-0.002;14.181;-0.451;-0.169;26.351;-0.686;-0.488;42.238;-1.265;-0.490;46.441;1.861;-0.036;52.798;3.221;-6.871;56.817;4.484;6.868;56.894;3.402;-2.698;58.519;11.736;3.863;58.556;11.219;-1.940;37.023;-2.678;-15.949;35.119;-1.252;-21.236;22.200;-2.519;-27.079;7.920;-3.918;-21.915;6.389;7.873;-16.031;4.582;21.699;-16.432;2.891;22.459;-13.749;0.904;29.179;-12.602;1.042;31.429;-11.465;0.701;33.677;-10.629;0.893;35.113;-16.530;3.726;22.556;-15.078;3.124;29.798;-13.316;3.256;33.541;-11.572;3.621;35.934;-10.271;3.687;37.510;-15.903;5.052;22.183;-15.220;5.708;30.235;-13.816;5.852;34.107;-11.937;6.149;36.883;-10.826;6.271;38.738;-16.199;6.053;21.976;-15.091;8.049;29.637;-13.669;8.607;33.155;-12.300;8.900;35.594;-11.082;8.869;37.261;-14.993;6.769;23.721;-14.534;9.983;25.216;-13.022;11.104;27.147;-12.612;13.555;28.425;1.285;37.092;-2.560;15.435;34.618;-0.470;21.381;21.230;-1.688;27.953;6.433;-3.034;22.300;5.608;8.512;15.740;4.262;22.635;15.087;2.602;23.489;13.434;0.061;29.491;12.742;-1.501;31.861;11.878;-2.590;33.862;11.117;-3.286;35.221;15.446;3.396;23.767;14.890;2.021;30.111;13.978;1.139;34.289;12.642;0.799;37.337;11.812;0.708;39.261;15.228;4.670;23.960;15.759;4.015;31.089;15.281;3.221;35.654;14.004;3.120;38.395;12.955;3.260;40.307;15.545;5.534;23.921;16.194;6.528;31.214;15.796;6.734;35.067;14.821;6.682;37.500;13.834;6.764;39.497;15.352;6.404;24.591;16.425;9.397;26.645;16.263;10.614;29.716;16.589;13.106;30.837;0.000;0.000;0.000;-7.670;-12.220;-0.673;-10.064;-32.861;0.520;-12.874;-57.092;1.921;-12.580;-101.397;-6.370;7.527;-12.412;-1.303;9.573;-33.013;-0.162;11.974;-57.196;1.176;11.694;-101.581;-8.067
3399.000;135.960;0.038;7.306;-0.267;-0.001;14.185;-0.448;-0.165;26.360;-0.676;-0.499;42.246;-1.251;-0.507;46.447;1.881;-0.054;52.797;3.260;-6.887;56.810;4.554;6.848;56.898;3.415;-2.685;58.512;11.789;3.874;58.554;11.245;-1.944;37.031;-2.668;-15.964;35.114;-1.238;-21.232;22.189;-2.503;-27.056;7.904;-3.902;-21.954;6.529;7.918;-16.158;4.917;21.782;-16.407;3.155;22.513;-13.534;1.229;29.177;-12.419;1.397;31.410;-10.798;1.206;33.409;-9.701;1.522;34.631;-16.531;3.985;22.619;-15.004;3.357;29.854;-13.143;3.440;33.531;-10.876;3.952;35.436;-9.112;4.190;36.442;-16.064;5.375;22.272;-15.278;5.920;30.324;-13.861;6.035;34.200;-11.673;6.413;36.714;-10.155;6.610;38.246;-16.425;6.351;22.087;-15.290;8.349;29.731;-13.763;9.158;33.168;-12.311;9.651;35.522;-11.101;9.727;37.193;-15.282;7.117;23.864;-14.325;10.241;25.368;-12.535;11.105;27.260;-11.727;13.459;28.530;1.281;37.103;-2.545;15.443;34.653;-0.420;21.365;21.282;-1.707;27.911;6.503;-3.130;22.355;5.574;8.474;15.907;4.103;22.677;15.249;2.416;23.481;13.505;-0.181;29.407;12.665;-1.727;31.756;11.659;-2.766;33.726;10.835;-3.429;35.065;15.581;3.216;23.770;14.939;1.775;30.094;13.740;0.927;34.211;12.049;0.716;37.081;10.986;0.678;38.889;15.367;4.431;24.021;15.723;3.803;31.129;14.888;3.031;35.629;13.252;3.017;38.175;11.928;3.255;39.897;15.660;5.303;23.992;16.138;6.281;31.271;15.417;6.412;35.064;14.202;6.332;37.400;13.044;6.384;39.303;15.457;6.216;24.601;16.350;9.221;26.793;16.019;10.370;29.881;16.122;12.849;31.070;0.000;0.000;0.000;-7.670;-12.220;-0.673;-10.060;-32.860;0.531;-12.865;-57.089;1.945;-12.565;-101.383;-6.336;7.527;-12.412;-1.299;9.577;-33.013;-0.150;11.982;-57.196;1.199;11.711;-101.582;-8.034
3400.000;136.000;0.038;7.312;-0.267;-0.003;14.197;-0.444;-0.169;26.382;-0.661;-0.547;42.269;-1.204;-0.560;46.463;1.954;-0.077;52.803;3.385;-6.895;56.832;4.708;6.826;56.905;3.415;-2.613;58.617;11.876;3.939;58.652;11.259;-1.973;37.052;-2.635;-15.987;35.117;-1.228;-21.224;22.168;-2.376;-27.012;7.856;-3.646;-22.178;7.052;8.275;-16.749;6.042;22.317;-16.710;4.201;23.028;-12.705;2.596;29.198;-11.196;2.728;31.142;-8.765;3.241;31.864;-7.307;4.057;31.925;-16.850;5.030;23.129;-14.268;4.572;30.199;-11.016;4.729;32.820;-8.182;5.871;32.574;-6.463;6.591;31.731;-16.668;6.606;22.775;-14.714;7.173;30.676;-12.560;7.425;34.228;-9.430;8.082;35.317;-7.320;8.477;35.599;-17.190;7.532;22.688;-15.108;9.716;30.079;-13.296;11.080;33.180;-11.686;11.984;35.332;-10.332;12.375;36.841;-15.833;8.337;24.353;-14.487;11.386;25.759;-12.245;12.001;27.320;-11.004;14.163;28.581;1.251;37.134;-2.503;15.436;34.766;-0.325;21.319;21.435;-1.747;27.821;6.701;-3.319;22.455;5.404;8.376;16.248;3.506;22.708;15.696;1.745;23.427;13.813;-0.973;29.255;12.677;-2.435;31.567;11.405;-3.316;33.428;10.346;-3.856;34.652;15.965;2.563;23.734;15.187;1.013;30.040;13.351;0.253;33.974;11.062;0.213;36.393;9.604;0.253;37.901;15.644;3.750;24.062;15.763;3.039;31.099;14.258;2.299;35.449;12.143;2.321;37.621;10.433;2.594;38.955;15.873;4.642;24.056;15.937;5.517;31.294;14.766;5.511;34.964;13.193;5.316;37.029;11.650;5.289;38.637;15.540;5.514;24.642;15.925;8.460;27.102;15.175;9.393;30.209;14.705;11.696;31.640;0.000;0.000;0.000;-7.668;-12.221;-0.685;-10.052;-32.862;0.531;-12.852;-57.094;1.959;-12.528;-101.400;-6.304;7.531;-12.412;-1.280;9.586;-33.011;-0.118;11.998;-57.192;1.245;11.753;-101.581;-8.000
3401.000;136.040;0.038;7.314;-0.262;-0.002;14.201;-0.423;-0.168;26.390;-0.600;-0.614;42.275;-1.127;-0.648;46.473;2.064;-0.163;52.810;3.565;-6.959;56.881;4.876;6.748;56.897;3.429;-2.593;58.811;11.956;3.952;58.818;11.265;-2.010;37.054;-2.570;-16.029;35.048;-1.253;-21.386;22.064;-1.873;-27.307;7.713;-2.558;-22.606;8.367;9.335;-17.276;8.922;23.377;-17.196;7.215;24.364;-11.971;6.396;29.729;-9.975;6.628;31.165;-7.759;7.605;30.210;-6.903;8.537;29.117;-17.349;8.047;24.393;-13.192;8.415;30.727;-9.063;9.256;30.691;-7.741;10.159;28.068;-7.668;10.545;26.061;-17.138;9.556;23.801;-13.639;11.125;30.853;-9.957;11.839;32.699;-6.880;12.263;31.517;-5.266;12.377;30.077;-17.661;10.471;23.707;-14.206;13.573;30.107;-11.617;15.457;32.296;-9.660;16.796;33.819;-8.101;17.500;34.977;-15.970;11.405;24.921;-14.047;14.328;25.584;-11.372;14.650;26.700;-9.440;16.511;27.483;1.213;37.149;-2.425;15.397;34.898;-0.202;21.229;21.609;-1.761;27.676;6.920;-3.483;22.577;4.820;8.279;16.707;1.954;22.702;16.347;0.038;23.250;14.283;-2.968;28.886;12.956;-4.420;31.111;11.409;-5.270;32.775;10.191;-5.807;33.842;16.461;0.885;23.573;15.347;-0.910;29.855;12.879;-1.724;33.413;10.096;-1.962;35.261;8.332;-1.952;36.396;15.984;2.080;24.053;15.564;1.167;30.998;13.444;0.291;35.042;10.892;0.085;36.711;8.924;0.152;37.660;16.092;2.993;24.091;15.380;3.583;31.263;13.709;3.325;34.690;11.771;2.813;36.388;9.992;2.529;37.699;15.584;3.723;24.652;15.027;6.492;27.338;13.768;7.041;30.374;12.627;9.027;31.899;0.000;0.000;0.000;-7.662;-12.222;-0.724;-10.060;-32.865;0.501;-12.875;-57.099;1.938;-12.535;-101.409;-6.262;7.539;-12.411;-1.245;9.578;-33.019;-0.068;11.971;-57.211;1.315;11.740;-101.599;-7.949
