Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2438.000;97.520;0.044;7.206;-0.182;-0.016;13.991;-0.300;-0.248;25.998;-0.438;-0.701;41.876;-1.146;-0.733;46.167;1.952;-0.338;52.650;3.178;-7.170;56.639;4.553;6.517;56.826;2.944;-2.747;58.655;11.573;3.789;58.744;10.804;-2.114;36.639;-2.511;-16.125;34.661;-1.039;-21.299;21.737;-2.443;-27.018;7.453;-3.995;-22.543;5.639;8.027;-17.459;3.476;22.200;-17.988;1.806;22.717;-15.053;-1.460;28.789;-13.933;-1.944;30.934;-12.716;-2.823;33.034;-11.901;-3.013;34.482;-18.013;2.619;22.950;-15.985;0.675;29.874;-14.098;0.262;33.507;-12.238;0.079;35.837;-10.935;-0.099;37.403;-17.418;3.777;22.808;-15.673;3.099;30.752;-13.916;2.578;34.379;-11.653;2.345;36.920;-10.428;2.071;38.684;-17.529;4.868;22.801;-15.403;5.479;30.601;-13.320;5.161;33.801;-11.372;4.858;35.819;-9.808;4.377;37.078;-16.281;5.369;24.471;-15.519;8.183;26.677;-14.096;9.121;28.755;-14.195;11.592;30.056;1.111;36.735;-2.404;15.287;34.384;-0.435;20.910;20.898;-1.725;27.124;5.993;-3.150;22.332;4.639;8.745;16.839;2.640;23.299;16.551;0.811;24.076;14.441;-1.757;29.978;13.111;-3.115;32.323;11.536;-3.869;33.979;10.281;-4.334;35.038;16.635;1.685;24.329;15.305;0.413;30.743;13.155;-0.570;34.475;10.740;-1.058;36.701;9.131;-1.222;38.037;16.109;2.871;24.565;15.411;2.597;31.728;13.672;1.847;35.966;11.588;1.516;38.148;9.946;1.406;39.586;16.166;3.789;24.515;15.113;5.175;31.751;13.617;5.207;35.291;11.986;4.891;37.286;10.358;4.688;38.796;15.661;4.721;25.091;15.446;7.918;27.152;14.662;9.002;30.180;14.174;11.520;31.176;0.000;0.000;0.000;-7.700;-12.191;-0.826;-10.099;-33.010;0.220;-12.914;-57.449;1.449;-12.412;-101.647;-6.161;7.497;-12.414;-1.449;9.510;-33.195;-0.245;11.874;-57.589;1.167;11.462;-101.927;-7.648
2439.000;97.560;0.044;7.205;-0.185;-0.015;13.989;-0.306;-0.246;25.993;-0.454;-0.697;41.871;-1.169;-0.726;46.167;1.931;-0.324;52.658;3.157;-7.148;56.656;4.539;6.537;56.824;2.911;-2.713;58.670;11.551;3.822;58.750;10.774;-2.112;36.633;-2.531;-16.121;34.657;-1.055;-21.293;21.732;-2.456;-27.010;7.447;-4.004;-22.533;5.651;8.020;-17.442;3.508;22.197;-17.981;1.840;22.721;-15.017;-1.422;28.785;-13.915;-1.900;30.911;-12.651;-2.725;33.039;-11.848;-2.918;34.493;-18.015;2.653;22.955;-15.968;0.720;29.869;-14.077;0.328;33.502;-12.221;0.162;35.843;-10.907;-0.038;37.398;-17.394;3.816;22.809;-15.671;3.144;30.742;-13.885;2.655;34.369;-11.634;2.424;36.913;-10.391;2.172;38.669;-17.510;4.897;22.795;-15.385;5.522;30.591;-13.312;5.217;33.783;-11.326;4.887;35.812;-9.802;4.419;37.123;-16.267;5.398;24.455;-15.492;8.212;26.661;-14.103;9.158;28.726;-14.163;11.624;30.039;1.113;36.730;-2.426;15.292;34.374;-0.459;20.908;20.886;-1.748;27.114;5.979;-3.173;22.322;4.624;8.722;16.827;2.627;23.279;16.555;0.808;24.060;14.403;-1.784;29.942;13.099;-3.124;32.297;11.530;-3.893;33.951;10.277;-4.363;35.009;16.647;1.681;24.316;15.286;0.397;30.716;13.147;-0.591;34.442;10.736;-1.073;36.676;9.121;-1.248;38.003;16.091;2.881;24.542;15.405;2.598;31.703;13.624;1.828;35.932;11.535;1.497;38.099;9.876;1.381;39.518;16.154;3.799;24.496;15.101;5.153;31.725;13.590;5.185;35.260;11.946;4.872;37.258;10.331;4.656;38.779;15.647;4.706;25.082;15.430;7.894;27.148;14.636;8.984;30.144;14.160;11.496;31.163;0.000;0.000;0.000;-7.701;-12.191;-0.819;-10.100;-33.007;0.227;-12.917;-57.442;1.456;-12.420;-101.632;-6.161;7.495;-12.415;-1.447;9.506;-33.195;-0.244;11.866;-57.588;1.167;11.445;-101.925;-7.651
2440.000;97.600;0.044;7.203;-0.186;-0.014;13.985;-0.310;-0.242;25.986;-0.466;-0.692;41.865;-1.181;-0.719;46.162;1.920;-0.316;52.656;3.144;-7.140;56.657;4.524;6.546;56.818;2.904;-2.707;58.666;11.540;3.828;58.743;10.766;-2.108;36.627;-2.542;-16.118;34.651;-1.057;-21.288;21.725;-2.450;-27.002;7.439;-3.988;-22.519;5.657;8.039;-17.426;3.526;22.217;-17.950;1.856;22.739;-14.980;-1.391;28.799;-13.826;-1.835;30.922;-12.574;-2.634;33.048;-11.748;-2.806;34.492;-17.984;2.669;22.970;-15.923;0.750;29.893;-14.010;0.367;33.510;-12.148;0.217;35.845;-10.825;0.027;37.393;-17.380;3.834;22.818;-15.661;3.183;30.756;-13.784;2.725;34.359;-11.540;2.537;36.891;-10.287;2.291;38.640;-17.491;4.929;22.807;-15.367;5.551;30.604;-13.229;5.245;33.788;-11.284;4.929;35.823;-9.776;4.463;37.154;-16.251;5.430;24.477;-15.485;8.244;26.674;-14.087;9.195;28.727;-14.167;11.666;30.030;1.117;36.723;-2.438;15.297;34.367;-0.480;20.915;20.881;-1.776;27.124;5.976;-3.208;22.341;4.615;8.690;16.860;2.611;23.251;16.590;0.810;24.038;14.443;-1.824;29.906;13.160;-3.176;32.262;11.592;-3.945;33.917;10.342;-4.433;34.970;16.681;1.681;24.299;15.323;0.386;30.692;13.193;-0.650;34.411;10.788;-1.150;36.647;9.179;-1.335;37.979;16.133;2.833;24.517;15.412;2.558;31.685;13.630;1.776;35.894;11.522;1.424;38.042;9.851;1.315;39.448;16.186;3.751;24.469;15.114;5.112;31.705;13.589;5.124;35.233;11.957;4.810;37.223;10.320;4.578;38.719;15.675;4.684;25.064;15.431;7.869;27.127;14.656;8.942;30.127;14.137;11.445;31.145;0.000;0.000;0.000;-7.702;-12.191;-0.815;-10.103;-33.007;0.232;-12.921;-57.443;1.462;-12.432;-101.631;-6.160;7.494;-12.416;-1.450;9.503;-33.196;-0.247;11.861;-57.590;1.166;11.430;-101.926;-7.655
2441.000;97.640;0.045;7.202;-0.187;-0.012;13.983;-0.314;-0.236;25.983;-0.475;-0.687;41.861;-1.194;-0.713;46.163;1.909;-0.306;52.661;3.135;-7.129;56.667;4.506;6.558;56.820;2.899;-2.703;58.678;11.524;3.834;58.751;10.757;-2.103;36.622;-2.554;-16.113;34.648;-1.068;-21.284;21.720;-2.443;-27.000;7.430;-3.962;-22.513;5.667;8.063;-17.411;3.560;22.241;-17.932;1.885;22.772;-14.932;-1.335;28.828;-13.747;-1.753;30.937;-12.476;-2.533;33.064;-11.653;-2.664;34.513;-17.959;2.699;23.002;-15.887;0.798;29.922;-13.959;0.440;33.527;-12.092;0.299;35.852;-10.763;0.130;37.397;-17.378;3.862;22.845;-15.605;3.205;30.767;-13.747;2.818;34.373;-11.465;2.653;36.885;-10.196;2.435;38.626;-17.490;4.964;22.833;-15.336;5.607;30.617;-13.231;5.303;33.800;-11.284;5.004;35.830;-9.731;4.526;37.104;-16.228;5.465;24.492;-15.480;8.289;26.690;-14.085;9.239;28.756;-14.146;11.721;30.039;1.122;36.719;-2.451;15.301;34.362;-0.498;20.914;20.874;-1.794;27.119;5.966;-3.226;22.355;4.606;8.680;16.888;2.604;23.253;16.636;0.778;24.019;14.511;-1.850;29.893;13.218;-3.226;32.242;11.653;-4.006;33.897;10.402;-4.497;34.948;16.719;1.651;24.276;15.366;0.367;30.689;13.255;-0.684;34.413;10.840;-1.190;36.642;9.242;-1.433;37.978;16.158;2.841;24.521;15.426;2.556;31.684;13.595;1.707;35.865;11.453;1.365;37.972;9.750;1.243;39.336;16.210;3.760;24.478;15.130;5.070;31.709;13.568;5.092;35.224;11.896;4.729;37.186;10.276;4.483;38.697;15.729;4.653;25.035;15.451;7.851;27.146;14.655;8.916;30.135;14.134;11.419;31.153;0.000;0.000;0.000;-7.703;-12.191;-0.813;-10.105;-33.005;0.234;-12.924;-57.439;1.463;-12.441;-101.641;-6.160;7.493;-12.416;-1.451;9.506;-33.195;-0.247;11.869;-57.587;1.166;11.440;-101.923;-7.657
2442.000;97.680;0.045;7.201;-0.190;-0.011;13.981;-0.320;-0.233;25.978;-0.488;-0.678;41.856;-1.213;-0.703;46.162;1.890;-0.297;52.662;3.118;-7.118;56.673;4.485;6.572;56.816;2.892;-2.696;58.677;11.509;3.841;58.745;10.748;-2.096;36.618;-2.571;-16.105;34.651;-1.079;-21.282;21.718;-2.431;-27.003;7.424;-3.927;-22.502;5.683;8.097;-17.385;3.604;22.276;-17.887;1.939;22.818;-14.858;-1.256;28.864;-13.649;-1.620;30.968;-12.383;-2.347;33.101;-11.508;-2.465;34.521;-17.924;2.752;23.050;-15.851;0.866;29.963;-13.894;0.522;33.553;-12.016;0.408;35.888;-10.700;0.223;37.442;-17.320;3.941;22.875;-15.603;3.270;30.806;-13.710;2.918;34.402;-11.402;2.755;36.898;-10.136;2.530;38.641;-17.446;5.023;22.861;-15.308;5.666;30.644;-13.202;5.360;33.823;-11.238;5.082;35.851;-9.696;4.604;37.138;-16.224;5.514;24.509;-15.452;8.338;26.723;-14.067;9.306;28.768;-14.118;11.783;30.060;1.128;36.713;-2.469;15.306;34.354;-0.518;20.914;20.865;-1.815;27.113;5.956;-3.248;22.376;4.598;8.670;16.946;2.598;23.258;16.699;0.780;24.023;14.577;-1.885;29.876;13.267;-3.278;32.214;11.704;-4.082;33.866;10.469;-4.593;34.926;16.780;1.652;24.287;15.414;0.347;30.689;13.304;-0.753;34.395;10.881;-1.272;36.624;9.285;-1.514;37.962;16.209;2.826;24.530;15.455;2.523;31.686;13.575;1.635;35.841;11.353;1.280;37.871;9.589;1.175;39.158;16.262;3.744;24.487;15.140;5.037;31.717;13.541;5.005;35.213;11.841;4.634;37.144;10.193;4.398;38.626;15.763;4.641;25.048;15.475;7.820;27.177;14.686;8.883;30.177;14.150;11.392;31.172;0.000;0.000;0.000;-7.703;-12.191;-0.808;-10.105;-33.004;0.239;-12.925;-57.437;1.469;-12.442;-101.627;-6.161;7.493;-12.417;-1.446;9.507;-33.194;-0.240;11.871;-57.584;1.175;11.444;-101.921;-7.646
2443.000;97.720;0.046;7.199;-0.193;-0.005;13.978;-0.329;-0.218;25.973;-0.509;-0.661;41.851;-1.238;-0.679;46.159;1.872;-0.256;52.660;3.112;-7.074;56.676;4.480;6.616;56.808;2.892;-2.653;58.669;11.507;3.885;58.732;10.749;-2.080;36.612;-2.594;-16.088;34.654;-1.100;-21.265;21.720;-2.422;-26.987;7.424;-3.882;-22.466;5.722;8.139;-17.324;3.680;22.315;-17.808;2.005;22.858;-14.689;-1.158;28.880;-13.464;-1.443;30.965;-12.131;-2.130;33.084;-11.222;-2.211;34.485;-17.859;2.817;23.093;-15.720;0.950;29.985;-13.730;0.666;33.559;-11.860;0.547;35.890;-10.526;0.397;37.434;-17.254;4.012;22.917;-15.495;3.373;30.831;-13.633;3.051;34.430;-11.268;2.908;36.907;-10.003;2.689;38.651;-17.393;5.084;22.904;-15.273;5.767;30.682;-13.142;5.476;33.865;-11.202;5.211;35.892;-9.650;4.723;37.162;-16.197;5.607;24.545;-15.468;8.435;26.761;-14.042;9.422;28.814;-14.183;11.887;30.124;1.145;36.707;-2.492;15.324;34.347;-0.540;20.930;20.854;-1.826;27.125;5.941;-3.248;22.402;4.575;8.676;16.986;2.562;23.272;16.735;0.731;24.024;14.632;-1.952;29.865;13.324;-3.355;32.200;11.747;-4.164;33.847;10.515;-4.700;34.898;16.806;1.604;24.287;15.449;0.302;30.697;13.330;-0.854;34.384;10.889;-1.393;36.591;9.274;-1.610;37.911;16.252;2.769;24.541;15.480;2.443;31.691;13.485;1.550;35.803;11.183;1.201;37.745;9.375;1.102;38.969;16.294;3.689;24.501;15.155;4.971;31.730;13.500;4.928;35.200;11.763;4.531;37.082;10.064;4.255;38.499;15.782;4.603;25.067;15.489;7.787;27.175;14.677;8.821;30.190;14.115;11.325;31.184;0.000;0.000;0.000;-7.701;-12.192;-0.805;-10.091;-33.006;0.244;-12.896;-57.440;1.475;-12.387;-101.631;-6.160;7.495;-12.416;-1.443;9.520;-33.194;-0.235;11.896;-57.585;1.183;11.483;-101.917;-7.654
2444.000;97.760;0.047;7.197;-0.197;-0.002;13.974;-0.339;-0.205;25.966;-0.533;-0.636;41.844;-1.270;-0.652;46.156;1.845;-0.225;52.658;3.097;-7.037;56.682;4.470;6.654;56.796;2.884;-2.614;58.657;11.501;3.924;58.712;10.744;-2.059;36.606;-2.623;-16.069;34.659;-1.116;-21.238;21.710;-2.376;-26.952;7.398;-3.769;-22.382;5.767;8.241;-17.182;3.808;22.408;-17.642;2.136;22.960;-14.455;-0.972;28.947;-13.146;-1.178;31.038;-11.761;-1.821;33.121;-10.807;-1.863;34.494;-17.706;2.946;23.196;-15.513;1.099;30.072;-13.436;0.869;33.621;-11.570;0.788;35.945;-10.240;0.642;37.492;-17.160;4.142;23.000;-15.289;3.540;30.909;-13.438;3.174;34.504;-11.047;3.101;36.949;-9.733;2.941;38.663;-17.323;5.202;22.994;-15.139;5.934;30.760;-12.978;5.690;33.938;-11.022;5.439;35.981;-9.486;4.988;37.284;-16.094;5.755;24.608;-15.373;8.593;26.846;-13.981;9.593;28.892;-14.096;12.060;30.201;1.166;36.698;-2.522;15.340;34.332;-0.572;20.959;20.843;-1.846;27.171;5.933;-3.253;22.460;4.541;8.676;17.058;2.494;23.283;16.822;0.653;24.018;14.680;-2.057;29.830;13.376;-3.470;32.153;11.794;-4.306;33.776;10.542;-4.828;34.811;16.882;1.525;24.283;15.497;0.198;30.688;13.327;-0.979;34.336;10.840;-1.525;36.495;9.206;-1.742;37.791;16.318;2.699;24.552;15.512;2.322;31.684;13.361;1.425;35.719;10.981;1.055;37.569;9.114;0.959;38.702;16.355;3.619;24.519;15.162;4.862;31.723;13.435;4.790;35.157;11.615;4.338;36.973;9.873;4.079;38.339;15.829;4.528;25.031;15.523;7.682;27.221;14.681;8.716;30.214;14.082;11.218;31.193;0.000;0.000;0.000;-7.702;-12.193;-0.796;-10.086;-33.010;0.257;-12.886;-57.447;1.492;-12.379;-101.632;-6.155;7.494;-12.417;-1.440;9.527;-33.196;-0.229;11.914;-57.588;1.193;11.509;-101.918;-7.650
2445.000;97.800;0.047;7.196;-0.203;0.001;13.972;-0.350;-0.193;25.962;-0.555;-0.615;41.839;-1.302;-0.621;46.155;1.815;-0.177;52.658;3.073;-6.978;56.693;4.464;6.711;56.781;2.861;-2.543;58.642;11.494;3.994;58.684;10.729;-2.043;36.601;-2.650;-16.050;34.664;-1.126;-21.197;21.691;-2.296;-26.885;7.353;-3.590;-22.267;5.820;8.408;-17.009;3.981;22.565;-17.490;2.334;23.155;-14.288;-0.729;29.148;-12.934;-0.916;31.217;-11.514;-1.532;33.271;-10.530;-1.556;34.623;-17.536;3.148;23.380;-15.317;1.355;30.257;-13.243;1.135;33.783;-11.319;1.062;36.102;-9.986;0.916;37.646;-16.974;4.325;23.156;-15.054;3.833;31.058;-13.135;3.469;34.620;-10.780;3.377;37.092;-9.487;3.172;38.817;-17.119;5.391;23.135;-14.823;6.194;30.866;-12.668;5.945;34.032;-10.704;5.686;36.069;-9.186;5.284;37.410;-15.830;5.935;24.711;-15.051;8.797;26.918;-13.601;9.798;28.943;-13.678;12.306;30.173;1.182;36.691;-2.553;15.358;34.316;-0.611;20.996;20.829;-1.876;27.227;5.921;-3.274;22.513;4.486;8.652;17.106;2.389;23.259;16.875;0.556;23.986;14.713;-2.219;29.753;13.400;-3.662;32.049;11.771;-4.513;33.634;10.518;-5.064;34.652;16.928;1.428;24.256;15.506;0.013;30.638;13.268;-1.196;34.229;10.704;-1.756;36.286;9.032;-2.020;37.524;16.358;2.596;24.525;15.462;2.162;31.646;13.221;1.207;35.615;10.747;0.826;37.343;8.829;0.707;38.384;16.391;3.516;24.498;15.081;4.693;31.695;13.232;4.536;35.049;11.328;4.062;36.755;9.516;3.719;38.007;15.852;4.415;25.028;15.461;7.556;27.201;14.574;8.553;30.235;13.961;11.047;31.223;0.000;0.000;0.000;-7.701;-12.194;-0.780;-10.079;-33.008;0.277;-12.870;-57.441;1.517;-12.355;-101.629;-6.148;7.494;-12.417;-1.439;9.534;-33.192;-0.228;11.929;-57.581;1.194;11.528;-101.915;-7.642
2446.000;97.840;0.047;7.195;-0.207;0.006;13.970;-0.361;-0.176;25.958;-0.581;-0.587;41.835;-1.337;-0.580;46.156;1.785;-0.115;52.662;3.051;-6.905;56.710;4.461;6.781;56.769;2.836;-2.453;58.635;11.488;4.083;58.663;10.712;-2.021;36.598;-2.679;-16.024;34.668;-1.131;-21.148;21.670;-2.199;-26.812;7.304;-3.380;-22.161;5.894;8.617;-16.870;4.199;22.772;-17.364;2.564;23.386;-14.152;-0.454;29.407;-12.779;-0.660;31.448;-11.360;-1.264;33.507;-10.346;-1.282;34.838;-17.391;3.383;23.595;-15.102;1.679;30.482;-13.034;1.429;33.998;-11.092;1.373;36.294;-9.754;1.254;37.836;-16.834;4.563;23.357;-14.826;4.164;31.247;-12.849;3.806;34.787;-10.491;3.696;37.252;-9.208;3.508;38.986;-16.943;5.647;23.317;-14.520;6.500;31.006;-12.360;6.278;34.159;-10.387;5.997;36.224;-8.915;5.581;37.611;-15.591;6.151;24.911;-14.759;9.048;27.007;-13.290;10.064;29.016;-13.320;12.599;30.190;1.205;36.686;-2.587;15.376;34.295;-0.659;21.039;20.810;-1.915;27.297;5.907;-3.303;22.557;4.427;8.612;17.115;2.278;23.209;16.914;0.427;23.907;14.707;-2.397;29.649;13.323;-3.909;31.862;11.656;-4.760;33.399;10.373;-5.326;34.370;16.950;1.299;24.180;15.442;-0.175;30.550;13.101;-1.454;34.058;10.465;-2.081;35.987;8.716;-2.328;37.117;16.357;2.442;24.482;15.350;1.966;31.567;12.957;0.960;35.434;10.383;0.554;36.996;8.398;0.401;37.897;16.368;3.363;24.458;14.904;4.487;31.619;12.908;4.285;34.868;10.910;3.739;36.442;9.012;3.385;37.554;15.808;4.281;24.950;15.352;7.402;27.163;14.416;8.368;30.190;13.752;10.849;31.179;0.000;0.000;0.000;-7.700;-12.196;-0.761;-10.070;-33.007;0.298;-12.852;-57.437;1.542;-12.333;-101.633;-6.138;7.495;-12.416;-1.445;9.544;-33.189;-0.231;11.950;-57.575;1.193;11.550;-101.909;-7.631
