Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1641.000;65.640;0.540;135.046;-5.786;-15.268;143.826;-6.715;-25.509;116.640;-10.626;-17.078;110.493;15.427;16.198;143.405;-5.643;26.984;114.981;-9.596;16.409;109.926;16.317;0.678;108.752;-5.483
1642.000;65.680;0.528;135.052;-5.780;-15.282;143.839;-6.679;-25.452;116.623;-10.564;-16.935;110.492;15.469;16.188;143.406;-5.659;27.000;114.986;-9.615;16.418;109.888;16.290;0.664;108.750;-5.489
1643.000;65.720;0.521;135.058;-5.774;-15.288;143.844;-6.642;-25.412;116.605;-10.474;-16.759;110.492;15.523;16.185;143.405;-5.665;26.997;114.985;-9.655;16.432;109.830;16.252;0.655;108.749;-5.492
1644.000;65.760;0.513;135.062;-5.764;-15.292;143.859;-6.613;-25.401;116.604;-10.406;-16.640;110.498;15.551;16.182;143.400;-5.673;26.979;114.985;-9.710;16.500;109.809;16.221;0.650;108.750;-5.484
1645.000;65.800;0.498;135.063;-5.758;-15.307;143.862;-6.593;-25.427;116.614;-10.375;-16.598;110.487;15.566;16.168;143.397;-5.692;26.965;114.981;-9.740;16.548;109.818;16.213;0.646;108.752;-5.467
1646.000;65.840;0.491;135.059;-5.748;-15.313;143.866;-6.573;-25.467;116.628;-10.378;-16.641;110.479;15.563;16.161;143.392;-5.698;26.956;114.971;-9.742;16.568;109.830;16.238;0.647;108.751;-5.452
1647.000;65.880;0.487;135.055;-5.748;-15.317;143.862;-6.569;-25.511;116.642;-10.374;-16.738;110.489;15.588;16.158;143.387;-5.718;26.948;114.961;-9.746;16.612;109.871;16.263;0.649;108.750;-5.438
1648.000;65.920;0.483;135.047;-5.745;-15.329;143.847;-6.567;-25.564;116.645;-10.376;-16.864;110.483;15.606;16.144;143.388;-5.723;26.951;114.968;-9.731;16.619;109.915;16.287;0.645;108.745;-5.420
1649.000;65.960;0.483;135.038;-5.744;-15.326;143.831;-6.566;-25.589;116.640;-10.390;-16.994;110.480;15.634;16.144;143.386;-5.724;26.962;114.970;-9.712;16.636;109.938;16.312;0.647;108.743;-5.403
1650.000;66.000;0.485;135.027;-5.740;-15.324;143.823;-6.576;-25.600;116.641;-10.407;-17.126;110.480;15.656;16.145;143.376;-5.718;26.972;114.958;-9.692;16.624;109.931;16.328;0.650;108.742;-5.385
1651.000;66.040;0.488;135.016;-5.737;-15.323;143.807;-6.578;-25.602;116.628;-10.417;-17.241;110.482;15.678;16.144;143.363;-5.708;26.966;114.940;-9.676;16.613;109.901;16.336;0.654;108.737;-5.369
1652.000;66.080;0.496;135.005;-5.735;-15.310;143.802;-6.596;-25.594;116.625;-10.437;-17.313;110.503;15.689;16.155;143.346;-5.695;26.955;114.918;-9.669;16.598;109.853;16.338;0.662;108.733;-5.352
1653.000;66.120;0.504;134.995;-5.731;-15.302;143.798;-6.613;-25.572;116.613;-10.466;-17.367;110.527;15.692;16.159;143.334;-5.680;26.945;114.903;-9.650;16.569;109.820;16.347;0.669;108.730;-5.335
