Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
162.000;6.480;1.055;134.995;-6.877;-14.758;143.634;-7.635;-26.431;116.622;-10.491;-15.519;115.669;15.025;16.609;143.470;-6.460;29.046;115.309;-8.667;16.415;115.615;16.548;1.343;108.894;-6.327
163.000;6.520;1.052;134.984;-6.946;-14.757;143.622;-7.720;-26.420;116.614;-10.623;-15.519;115.637;14.891;16.608;143.447;-6.531;29.011;115.278;-8.770;16.390;115.591;16.445;1.331;108.892;-6.357
164.000;6.560;1.055;134.972;-7.017;-14.748;143.611;-7.808;-26.394;116.606;-10.765;-15.563;115.663;14.774;16.617;143.423;-6.606;28.952;115.235;-8.877;16.371;115.571;16.359;1.322;108.889;-6.383
165.000;6.600;1.055;134.961;-7.087;-14.750;143.589;-7.894;-26.356;116.576;-10.893;-15.659;115.784;14.688;16.618;143.405;-6.686;28.864;115.192;-8.977;16.387;115.604;16.304;1.316;108.887;-6.414
166.000;6.640;1.053;134.948;-7.159;-14.753;143.567;-7.965;-26.320;116.539;-11.000;-15.837;116.089;14.645;16.621;143.378;-6.750;28.754;115.139;-9.051;16.480;115.775;16.308;1.310;108.883;-6.445
167.000;6.680;1.053;134.943;-7.238;-14.752;143.557;-8.036;-26.373;116.538;-11.009;-16.158;116.753;14.677;16.626;143.341;-6.833;28.677;115.103;-8.987;16.714;116.349;16.437;1.308;108.882;-6.498
168.000;6.720;1.052;134.937;-7.328;-14.739;143.550;-8.092;-26.706;116.612;-10.740;-16.638;117.982;14.863;16.628;143.319;-6.938;28.832;115.147;-8.578;17.207;117.655;16.838;1.306;108.882;-6.579
169.000;6.760;1.055;134.938;-7.439;-14.714;143.560;-8.163;-27.474;116.830;-10.022;-17.320;120.156;15.241;16.622;143.355;-7.087;29.271;115.348;-7.604;18.021;119.770;17.676;1.303;108.885;-6.702
170.000;6.800;1.051;134.945;-7.576;-14.697;143.591;-8.287;-28.670;117.300;-8.783;-18.153;123.235;15.700;16.584;143.460;-7.261;29.910;115.766;-6.064;19.273;122.723;18.828;1.305;108.890;-6.843
171.000;6.840;1.046;134.954;-7.726;-14.684;143.676;-8.468;-30.046;118.062;-7.125;-19.056;126.797;16.117;16.543;143.566;-7.435;30.696;116.408;-4.184;20.832;126.423;19.812;1.325;108.908;-6.985
172.000;6.880;1.023;134.966;-7.867;-14.673;143.806;-8.649;-31.323;119.053;-5.299;-19.892;130.245;16.519;16.491;143.679;-7.608;31.597;117.293;-2.243;22.169;130.046;20.501;1.327;108.928;-7.096
173.000;6.920;0.996;134.980;-7.996;-14.676;143.936;-8.803;-32.308;120.067;-3.532;-20.695;133.265;16.924;16.432;143.751;-7.753;32.440;118.269;-0.565;23.206;133.140;20.877;1.324;108.944;-7.191
174.000;6.960;0.979;134.985;-8.099;-14.694;144.018;-8.864;-32.934;120.933;-2.066;-21.359;135.783;17.140;16.370;143.802;-7.911;33.144;119.221;0.736;23.843;135.533;21.047;1.322;108.952;-7.273
175.000;7.000;0.967;134.979;-8.183;-14.702;144.082;-8.895;-33.273;121.564;-0.950;-21.711;137.576;17.239;16.334;143.823;-8.059;33.740;120.004;1.609;24.189;137.174;21.044;1.312;108.952;-7.323
176.000;7.040;0.943;134.965;-8.244;-14.730;144.081;-8.887;-33.366;121.871;-0.170;-21.860;138.675;17.238;16.288;143.831;-8.176;34.200;120.594;2.096;24.368;138.211;20.944;1.291;108.949;-7.342
177.000;7.080;0.922;134.950;-8.275;-14.760;144.056;-8.857;-33.255;121.909;0.330;-21.792;139.146;17.289;16.257;143.821;-8.286;34.536;120.964;2.266;24.502;138.792;20.807;1.269;108.946;-7.334
178.000;7.120;0.903;134.936;-8.296;-14.790;144.027;-8.814;-32.963;121.735;0.623;-21.622;139.157;17.504;16.233;143.812;-8.366;34.785;121.174;2.237;24.586;139.063;20.612;1.249;108.945;-7.323
179.000;7.160;0.886;134.929;-8.300;-14.821;144.002;-8.752;-32.465;121.350;0.802;-21.429;138.931;17.690;16.214;143.799;-8.439;34.956;121.264;2.096;24.590;139.129;20.373;1.230;108.941;-7.311
180.000;7.200;0.873;134.915;-8.300;-14.851;143.965;-8.694;-31.820;120.765;0.998;-20.846;138.675;17.673;16.202;143.776;-8.494;35.057;121.275;1.930;24.523;139.042;20.220;1.216;108.939;-7.297
181.000;7.240;0.842;134.906;-8.283;-14.911;143.894;-8.590;-31.281;120.192;1.466;-20.162;139.013;17.092;16.159;143.781;-8.500;35.095;121.269;1.794;24.381;138.853;20.146;1.203;108.934;-7.286
182.000;7.280;0.795;134.904;-8.274;-14.933;143.855;-8.528;-30.486;119.706;2.122;-19.985;139.051;17.595;16.106;143.789;-8.498;35.072;121.248;1.718;24.222;138.632;20.171;1.196;108.938;-7.280
