Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
780.000;31.200;1.072;135.248;-5.830;-14.754;143.850;-7.225;-25.447;116.195;-9.349;-18.258;112.552;17.667;16.638;143.517;-5.502;27.779;115.023;-8.088;18.737;112.124;18.726;0.989;109.303;-5.324
781.000;31.240;1.052;135.240;-5.842;-14.778;143.836;-7.229;-25.458;116.175;-9.357;-18.285;112.575;17.666;16.613;143.515;-5.516;27.762;115.023;-8.113;18.741;112.159;18.708;0.978;109.299;-5.328
782.000;31.280;1.032;135.231;-5.854;-14.801;143.821;-7.233;-25.477;116.157;-9.353;-18.339;112.628;17.676;16.590;143.509;-5.529;27.735;115.020;-8.139;18.733;112.202;18.686;0.972;109.297;-5.331
783.000;31.320;1.014;135.221;-5.867;-14.823;143.803;-7.237;-25.504;116.139;-9.340;-18.393;112.700;17.701;16.570;143.501;-5.548;27.704;115.010;-8.176;18.725;112.250;18.657;0.969;109.295;-5.336
784.000;31.360;0.999;135.210;-5.881;-14.839;143.785;-7.237;-25.529;116.117;-9.324;-18.462;112.789;17.736;16.553;143.490;-5.570;27.671;114.991;-8.222;18.738;112.330;18.648;0.968;109.294;-5.342
785.000;31.400;0.988;135.200;-5.896;-14.855;143.762;-7.231;-25.558;116.094;-9.308;-18.528;112.950;17.772;16.542;143.469;-5.593;27.661;114.969;-8.260;18.792;112.490;18.644;0.964;109.293;-5.346
786.000;31.440;0.977;135.190;-5.916;-14.870;143.727;-7.203;-25.739;116.097;-9.233;-18.592;113.361;17.849;16.522;143.426;-5.604;27.850;114.963;-8.164;18.932;112.876;18.766;0.967;109.293;-5.362
787.000;31.480;0.957;135.181;-5.959;-14.874;143.694;-7.164;-26.423;116.243;-8.880;-18.557;114.291;18.048;16.481;143.374;-5.596;28.592;115.114;-7.722;19.170;113.711;19.133;0.966;109.284;-5.411
788.000;31.520;0.938;135.184;-6.043;-14.861;143.685;-7.150;-27.933;116.722;-8.052;-18.467;116.016;18.472;16.417;143.366;-5.603;30.322;115.679;-6.669;19.230;115.161;19.707;0.957;109.283;-5.508
789.000;31.560;0.927;135.209;-6.159;-14.815;143.740;-7.159;-30.172;117.783;-6.720;-18.538;118.422;18.995;16.338;143.421;-5.582;32.786;116.834;-5.109;19.501;117.136;20.427;0.961;109.285;-5.629
790.000;31.600;0.937;135.255;-6.278;-14.728;143.860;-7.200;-32.785;119.549;-5.139;-18.696;121.291;19.208;16.250;143.537;-5.515;35.405;118.632;-3.420;19.967;119.457;20.937;0.966;109.293;-5.754
791.000;31.640;0.966;135.321;-6.359;-14.626;144.020;-7.235;-35.225;121.797;-3.734;-19.277;124.265;19.245;16.176;143.702;-5.433;37.783;120.826;-2.075;20.811;121.847;21.191;0.975;109.298;-5.867
792.000;31.680;0.998;135.400;-6.349;-14.523;144.220;-7.221;-37.260;124.240;-2.966;-20.252;127.272;18.991;16.116;143.919;-5.309;39.812;123.162;-1.325;21.867;124.165;21.111;0.984;109.308;-5.941
793.000;31.720;1.013;135.458;-6.227;-14.452;144.408;-7.150;-38.813;126.459;-2.980;-21.539;130.232;18.468;16.060;144.104;-5.133;41.432;125.310;-1.394;23.204;126.290;20.685;0.996;109.315;-5.942
794.000;31.760;1.031;135.501;-6.011;-14.386;144.565;-7.051;-39.902;128.185;-3.976;-23.395;133.007;17.684;16.031;144.279;-4.932;42.487;126.854;-2.505;24.970;128.234;19.985;1.015;109.324;-5.868
795.000;31.800;1.071;135.532;-5.700;-14.339;144.668;-6.920;-40.293;128.895;-5.814;-25.767;135.471;16.642;16.052;144.411;-4.679;42.835;127.519;-4.546;27.355;130.204;19.125;1.036;109.334;-5.715
