Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1336.000;53.440;2.218;129.490;-22.843;-13.758;137.743;-22.608;-23.856;110.419;-25.959;-13.817;110.121;-0.048;17.675;137.817;-22.627;29.265;109.733;-26.638;18.588;110.483;-0.439;3.160;102.067;-21.754
1337.000;53.480;2.214;129.486;-22.844;-13.763;137.734;-22.605;-23.856;110.407;-25.957;-13.803;110.151;-0.056;17.669;137.819;-22.626;29.299;109.750;-26.638;18.633;110.525;-0.436;3.168;102.065;-21.756
1338.000;53.520;2.218;129.485;-22.853;-13.763;137.719;-22.613;-23.866;110.398;-25.969;-13.810;110.215;-0.077;17.666;137.835;-22.632;29.359;109.788;-26.633;18.694;110.654;-0.432;3.182;102.067;-21.760
1339.000;53.560;2.226;129.478;-22.870;-13.762;137.710;-22.633;-23.910;110.422;-25.960;-13.813;110.313;-0.085;17.662;137.847;-22.646;29.434;109.835;-26.583;18.702;110.853;-0.410;3.198;102.067;-21.769
1340.000;53.600;2.230;129.474;-22.909;-13.755;137.729;-22.670;-24.052;110.512;-25.737;-13.717;110.593;0.015;17.659;137.876;-22.673;29.577;109.904;-26.317;18.538;111.233;-0.264;3.211;102.065;-21.789
1341.000;53.640;2.246;129.470;-22.995;-13.721;137.772;-22.755;-24.408;110.614;-24.835;-13.423;111.714;0.514;17.674;137.941;-22.719;29.826;109.949;-25.527;18.060;111.879;0.183;3.226;102.061;-21.821
1342.000;53.680;2.296;129.458;-23.145;-13.636;137.854;-22.957;-24.986;110.784;-22.843;-12.791;114.336;1.513;17.736;138.037;-22.759;29.964;109.910;-24.027;17.476;112.701;1.235;3.227;102.055;-21.863
1343.000;53.720;2.395;129.440;-23.340;-13.481;138.046;-23.269;-25.623;111.351;-19.623;-11.671;118.466;2.650;17.876;138.120;-22.753;29.767;109.785;-21.833;16.666;113.737;2.924;3.225;102.051;-21.884
1344.000;53.760;2.517;129.437;-23.540;-13.271;138.353;-23.597;-26.015;112.703;-15.562;-10.184;123.353;3.523;18.064;138.171;-22.709;29.195;109.686;-19.157;15.411;115.099;4.947;3.219;102.054;-21.876
1345.000;53.800;2.642;129.456;-23.702;-12.980;138.723;-23.873;-25.999;114.919;-11.404;-8.483;128.150;4.007;18.249;138.181;-22.687;28.272;109.761;-16.282;13.717;116.968;6.919;3.206;102.066;-21.849
1346.000;53.840;2.723;129.480;-23.782;-12.735;139.115;-24.016;-25.563;117.611;-7.737;-6.832;132.446;4.282;18.380;138.150;-22.698;27.119;110.071;-13.556;11.891;118.995;8.658;3.196;102.077;-21.816
1347.000;53.880;2.752;129.505;-23.781;-12.570;139.462;-24.057;-24.884;120.280;-4.836;-5.403;136.093;4.449;18.460;138.126;-22.664;25.923;110.574;-11.328;10.229;120.925;9.982;3.195;102.085;-21.785
1348.000;53.920;2.755;129.548;-23.709;-12.443;139.757;-24.017;-24.123;122.506;-2.797;-4.333;139.011;4.415;18.509;138.134;-22.555;24.883;111.075;-9.734;8.943;122.569;10.861;3.197;102.097;-21.750
1349.000;53.960;2.752;129.598;-23.591;-12.343;140.000;-23.921;-23.422;123.927;-1.582;-3.664;141.006;4.306;18.541;138.138;-22.455;24.193;111.440;-8.763;8.111;123.723;11.315;3.197;102.118;-21.692
1350.000;54.000;2.753;129.645;-23.471;-12.280;140.146;-23.800;-22.975;124.435;-1.101;-3.220;141.723;4.304;18.572;138.132;-22.417;23.883;111.642;-8.321;7.634;124.381;11.369;3.188;102.136;-21.615
1351.000;54.040;2.765;129.675;-23.391;-12.249;140.188;-23.658;-22.800;124.235;-1.107;-2.806;141.217;4.625;18.600;138.118;-22.473;23.842;111.728;-8.262;7.295;124.778;11.021;3.170;102.150;-21.561
