Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
857.000;34.280;3.691;134.919;-7.066;-12.122;143.634;-8.686;-22.460;115.941;-10.868;-14.769;117.640;15.773;19.336;143.258;-6.708;30.238;114.565;-7.960;19.114;117.834;17.802;3.729;109.132;-6.391
858.000;34.320;3.676;134.912;-7.089;-12.139;143.623;-8.698;-22.455;115.920;-10.864;-14.741;117.638;15.768;19.320;143.257;-6.746;30.233;114.569;-8.025;19.157;117.835;17.754;3.716;109.129;-6.397
859.000;34.360;3.652;134.904;-7.126;-12.168;143.609;-8.718;-22.462;115.895;-10.860;-14.706;117.647;15.755;19.292;143.255;-6.804;30.218;114.573;-8.119;19.216;117.844;17.691;3.697;109.128;-6.410
860.000;34.400;3.629;134.898;-7.165;-12.194;143.601;-8.741;-22.480;115.883;-10.862;-14.690;117.662;15.741;19.269;143.250;-6.866;30.208;114.571;-8.192;19.246;117.877;17.629;3.680;109.129;-6.431
861.000;34.440;3.605;134.893;-7.205;-12.220;143.594;-8.767;-22.506;115.872;-10.869;-14.685;117.678;15.724;19.242;143.248;-6.928;30.233;114.580;-8.242;19.268;117.943;17.570;3.660;109.127;-6.456
862.000;34.480;3.576;134.888;-7.248;-12.248;143.586;-8.798;-22.541;115.866;-10.886;-14.688;117.693;15.697;19.209;143.245;-6.993;30.287;114.601;-8.277;19.266;118.028;17.514;3.638;109.124;-6.483
863.000;34.520;3.544;134.878;-7.294;-12.280;143.573;-8.819;-22.622;115.879;-10.862;-14.686;117.701;15.701;19.175;143.238;-7.069;30.449;114.652;-8.218;19.148;118.150;17.529;3.615;109.122;-6.515
864.000;34.560;3.511;134.873;-7.365;-12.312;143.583;-8.823;-22.939;115.982;-10.659;-14.613;117.685;15.813;19.134;143.241;-7.162;30.932;114.794;-7.804;18.667;118.476;17.591;3.591;109.122;-6.565
865.000;34.600;3.490;134.880;-7.483;-12.325;143.620;-8.830;-23.620;116.181;-9.843;-14.304;118.000;16.314;19.086;143.287;-7.282;31.881;115.152;-6.678;17.496;119.260;17.644;3.575;109.121;-6.667
866.000;34.640;3.481;134.897;-7.647;-12.314;143.680;-8.870;-24.621;116.532;-8.249;-13.645;118.832;17.216;19.021;143.381;-7.412;33.140;115.862;-4.494;15.330;120.326;17.548;3.568;109.124;-6.829
