Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
494.000;19.760;-0.564;128.189;-20.705;-16.342;136.829;-20.090;-27.567;109.502;-21.442;-14.740;110.095;3.269;14.966;136.176;-20.731;27.235;107.963;-23.932;16.031;108.720;2.064;-0.205;100.804;-19.442
495.000;19.800;-0.563;128.188;-20.700;-16.339;136.830;-20.084;-27.574;109.505;-21.429;-14.753;110.104;3.284;14.971;136.171;-20.725;27.236;107.959;-23.907;16.038;108.730;2.088;-0.205;100.804;-19.441
496.000;19.840;-0.563;128.186;-20.689;-16.338;136.830;-20.069;-27.582;109.512;-21.421;-14.759;110.098;3.294;14.970;136.169;-20.711;27.226;107.949;-23.884;16.027;108.733;2.112;-0.206;100.802;-19.437
497.000;19.880;-0.564;128.188;-20.678;-16.337;136.834;-20.050;-27.595;109.521;-21.407;-14.776;110.112;3.307;14.971;136.168;-20.701;27.213;107.945;-23.876;16.029;108.743;2.125;-0.208;100.803;-19.433
498.000;19.920;-0.563;128.189;-20.666;-16.333;136.845;-20.034;-27.599;109.532;-21.399;-14.794;110.122;3.320;14.976;136.165;-20.686;27.200;107.932;-23.855;16.019;108.751;2.144;-0.209;100.805;-19.429
499.000;19.960;-0.563;128.189;-20.660;-16.334;136.842;-20.026;-27.606;109.533;-21.389;-14.801;110.144;3.330;14.974;136.164;-20.675;27.184;107.926;-23.852;16.009;108.747;2.146;-0.212;100.805;-19.429
500.000;20.000;-0.561;128.188;-20.655;-16.330;136.843;-20.019;-27.605;109.535;-21.386;-14.811;110.144;3.339;14.978;136.161;-20.663;27.171;107.918;-23.847;15.990;108.741;2.151;-0.213;100.805;-19.428
501.000;20.040;-0.562;128.191;-20.646;-16.330;136.848;-20.009;-27.603;109.541;-21.391;-14.830;110.130;3.345;14.978;136.160;-20.647;27.169;107.917;-23.853;15.987;108.719;2.150;-0.213;100.811;-19.426
502.000;20.080;-0.561;128.191;-20.645;-16.327;136.854;-20.005;-27.612;109.551;-21.396;-14.846;110.130;3.340;14.981;136.156;-20.645;27.181;107.918;-23.854;16.012;108.715;2.151;-0.213;100.811;-19.426
503.000;20.120;-0.561;128.188;-20.643;-16.330;136.850;-20.000;-27.618;109.551;-21.406;-14.849;110.147;3.332;14.980;136.155;-20.639;27.192;107.922;-23.857;16.019;108.716;2.146;-0.217;100.810;-19.425
504.000;20.160;-0.556;128.188;-20.641;-16.320;136.851;-19.994;-27.623;109.555;-21.422;-14.842;110.190;3.299;14.986;136.153;-20.636;27.209;107.924;-23.870;16.048;108.745;2.146;-0.212;100.810;-19.426
505.000;20.200;-0.554;128.185;-20.651;-16.320;136.845;-19.997;-27.658;109.574;-21.427;-14.877;110.338;3.258;14.991;136.142;-20.661;27.256;107.943;-23.837;16.082;108.839;2.180;-0.213;100.807;-19.427
506.000;20.240;-0.567;128.177;-20.670;-16.336;136.824;-19.954;-27.800;109.645;-21.258;-15.181;110.888;3.274;14.970;136.150;-20.744;27.541;108.030;-23.447;15.973;109.124;2.349;-0.213;100.804;-19.443
507.000;20.280;-0.594;128.172;-20.737;-16.343;136.846;-19.939;-28.430;109.872;-20.215;-15.286;113.099;3.526;14.920;136.189;-20.889;28.434;108.280;-22.166;15.394;109.784;2.962;-0.208;100.805;-19.476
508.000;20.320;-0.597;128.169;-20.847;-16.309;136.971;-20.089;-29.421;110.359;-17.695;-14.991;117.394;4.192;14.887;136.234;-20.984;29.816;108.789;-19.827;14.196;110.867;3.945;-0.203;100.802;-19.503
509.000;20.360;-0.556;128.187;-20.979;-16.234;137.208;-20.310;-30.234;111.420;-13.746;-14.517;123.068;4.799;14.876;136.283;-21.002;31.108;109.677;-16.648;12.446;111.957;5.048;-0.203;100.806;-19.508
510.000;20.400;-0.521;128.217;-21.100;-16.132;137.501;-20.499;-30.474;113.338;-9.036;-13.992;129.032;5.320;14.850;136.380;-20.960;31.920;110.909;-13.041;10.267;113.248;5.960;-0.205;100.818;-19.481
511.000;20.440;-0.510;128.252;-21.176;-16.048;137.834;-20.588;-30.053;116.122;-4.384;-13.136;134.503;5.753;14.800;136.516;-20.920;32.011;112.432;-9.408;7.736;114.787;6.397;-0.207;100.827;-19.451
512.000;20.480;-0.533;128.312;-21.155;-15.951;138.231;-20.508;-29.160;119.379;-0.468;-11.660;139.029;6.373;14.734;136.668;-20.857;31.470;114.041;-6.170;5.138;116.296;6.468;-0.224;100.839;-19.413
513.000;20.520;-0.560;128.397;-21.077;-15.806;138.648;-20.345;-27.940;122.415;2.357;-9.867;142.466;7.674;14.685;136.804;-20.798;30.443;115.459;-3.573;2.728;117.842;6.263;-0.251;100.857;-19.356
514.000;20.560;-0.566;128.475;-20.977;-15.611;139.009;-20.213;-26.735;124.647;4.029;-7.854;144.471;9.816;14.689;136.876;-20.734;29.255;116.477;-1.755;0.911;119.770;5.830;-0.277;100.877;-19.292
515.000;20.600;-0.563;128.517;-20.905;-15.452;139.230;-20.116;-25.869;125.789;4.767;-5.874;144.426;12.585;14.757;136.862;-20.717;28.114;117.122;-0.575;-0.337;122.149;5.267;-0.298;100.893;-19.238
516.000;20.640;-0.534;128.530;-20.889;-15.370;139.293;-20.059;-25.412;125.691;4.812;-4.185;141.879;15.689;14.809;136.874;-20.735;27.088;117.492;0.156;-0.927;125.112;4.758;-0.305;100.898;-19.215
517.000;20.680;-0.481;128.524;-20.929;-15.324;139.225;-20.009;-25.368;124.665;4.348;-2.779;136.706;18.414;14.877;136.883;-20.830;26.244;117.807;0.631;-0.783;128.410;4.632;-0.291;100.896;-19.217
518.000;20.720;-0.445;128.520;-20.991;-15.337;139.095;-19.869;-25.734;123.108;3.565;-1.899;129.328;19.820;14.919;136.901;-21.022;25.759;118.247;0.879;0.138;131.657;5.116;-0.263;100.887;-19.227
519.000;20.760;-0.422;128.524;-21.026;-15.355;138.899;-19.634;-26.458;121.486;2.569;-1.748;121.211;19.048;14.926;136.977;-21.264;25.805;118.878;0.932;1.673;134.438;6.350;-0.241;100.882;-19.236
520.000;20.800;-0.428;128.546;-21.028;-15.378;138.704;-19.407;-27.462;120.170;1.516;-2.074;114.480;15.929;14.913;137.107;-21.423;26.412;119.647;0.854;3.572;136.373;8.314;-0.222;100.885;-19.235
521.000;20.840;-0.427;128.549;-21.016;-15.411;138.537;-19.309;-28.601;119.441;0.516;-2.493;110.838;11.489;14.898;137.255;-21.462;27.356;120.365;0.683;5.511;137.140;10.983;-0.200;100.889;-19.235
522.000;20.880;-0.420;128.567;-21.016;-15.447;138.422;-19.347;-29.798;119.272;-0.298;-2.686;111.029;7.212;14.865;137.387;-21.435;28.238;120.870;0.433;7.177;136.606;14.126;-0.162;100.886;-19.249
523.000;20.920;-0.450;128.577;-21.072;-15.528;138.399;-19.608;-30.695;119.568;-0.785;-2.569;114.749;4.341;14.798;137.476;-21.373;28.853;121.112;0.217;8.410;134.780;17.180;-0.140;100.886;-19.263
524.000;20.960;-0.492;128.549;-21.172;-15.606;138.421;-20.047;-30.941;120.195;-0.743;-2.585;120.692;3.216;14.738;137.480;-21.289;29.191;121.031;0.105;9.028;132.132;19.429;-0.140;100.879;-19.270
525.000;21.000;-0.541;128.516;-21.267;-15.673;138.467;-20.487;-30.608;120.959;-0.275;-3.143;127.102;3.370;14.693;137.417;-21.221;29.317;120.602;-0.089;8.881;129.414;20.230;-0.167;100.872;-19.272
526.000;21.040;-0.613;128.490;-21.344;-15.744;138.560;-20.770;-29.883;121.657;0.375;-4.156;132.735;4.308;14.637;137.298;-21.198;29.313;119.788;-0.500;8.147;127.225;19.616;-0.226;100.872;-19.263
527.000;21.080;-0.694;128.470;-21.400;-15.818;138.671;-20.885;-28.997;122.218;1.042;-5.268;136.883;5.730;14.583;137.154;-21.239;29.154;118.699;-1.144;7.212;125.767;18.175;-0.298;100.870;-19.263
528.000;21.120;-0.765;128.449;-21.447;-15.846;138.769;-20.865;-28.290;122.699;1.615;-5.991;139.204;7.420;14.560;136.990;-21.356;28.893;117.609;-1.902;6.296;125.019;16.358;-0.368;100.862;-19.273
529.000;21.160;-0.815;128.418;-21.486;-15.861;138.807;-20.817;-28.018;123.112;1.981;-5.909;139.469;9.251;14.548;136.849;-21.507;28.629;116.721;-2.615;5.577;124.997;14.465;-0.412;100.858;-19.283
530.000;21.200;-0.829;128.396;-21.542;-15.836;138.824;-20.827;-28.162;123.370;2.001;-5.137;137.792;10.989;14.564;136.743;-21.642;28.346;116.020;-3.185;5.260;125.747;12.759;-0.425;100.855;-19.284
531.000;21.240;-0.810;128.376;-21.588;-15.782;138.829;-20.826;-28.478;123.259;1.750;-4.275;134.768;12.296;14.618;136.648;-21.761;28.040;115.542;-3.550;5.359;127.324;11.172;-0.417;100.853;-19.283
532.000;21.280;-0.758;128.365;-21.618;-15.747;138.764;-20.779;-28.533;122.606;1.424;-4.358;133.512;12.482;14.683;136.618;-21.899;28.187;115.445;-3.913;5.460;127.100;10.697;-0.399;100.849;-19.293
533.000;21.320;-0.740;128.351;-21.631;-15.798;138.643;-20.831;-28.600;122.186;1.063;-4.286;132.950;12.002;14.669;136.700;-21.870;28.497;115.470;-4.106;5.453;126.717;10.273;-0.349;100.841;-19.316
534.000;21.360;-0.642;128.342;-21.665;-15.727;138.588;-20.916;-28.621;121.893;0.764;-4.324;132.735;11.505;14.726;136.740;-21.864;28.690;115.573;-4.149;5.281;126.410;9.865;-0.272;100.839;-19.337
535.000;21.400;-0.547;128.334;-21.706;-15.647;138.556;-20.988;-28.708;121.693;0.483;-4.490;132.608;11.253;14.813;136.735;-21.912;28.786;115.622;-4.128;5.138;126.313;9.595;-0.184;100.832;-19.362
536.000;21.440;-0.461;128.324;-21.760;-15.576;138.523;-21.093;-28.779;121.503;0.157;-4.751;132.564;11.124;14.892;136.715;-21.966;28.783;115.615;-4.126;5.013;126.195;9.512;-0.129;100.828;-19.386
537.000;21.480;-0.408;128.304;-21.805;-15.519;138.482;-21.167;-28.813;121.103;-0.258;-5.122;132.514;10.942;14.936;136.689;-22.002;28.733;115.551;-4.145;4.830;126.010;9.422;-0.111;100.826;-19.408
538.000;21.520;-0.380;128.287;-21.822;-15.499;138.418;-21.185;-28.797;120.357;-0.846;-5.742;132.570;10.594;14.941;136.678;-22.038;28.754;115.433;-4.319;4.648;125.583;9.176;-0.126;100.819;-19.416
