Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1984.000;79.360;3.733;134.789;-5.954;-12.026;143.653;-7.280;-22.685;116.392;-10.836;-15.469;111.919;15.834;19.318;142.907;-5.485;30.914;114.379;-7.583;19.679;111.055;18.462;3.639;109.011;-5.109
1985.000;79.400;3.706;134.798;-5.933;-12.057;143.663;-7.239;-22.717;116.405;-10.790;-15.504;111.970;15.877;19.291;142.918;-5.487;30.867;114.387;-7.605;19.658;111.073;18.461;3.614;109.013;-5.114
1986.000;79.440;3.677;134.809;-5.911;-12.083;143.683;-7.196;-22.764;116.428;-10.723;-15.524;112.032;15.941;19.268;142.926;-5.488;30.818;114.384;-7.616;19.632;111.067;18.462;3.586;109.017;-5.112
1987.000;79.480;3.644;134.821;-5.883;-12.119;143.700;-7.152;-22.810;116.444;-10.645;-15.540;112.085;16.012;19.235;142.935;-5.478;30.782;114.391;-7.622;19.615;111.052;18.466;3.556;109.021;-5.109
1988.000;79.520;3.607;134.835;-5.855;-12.152;143.720;-7.103;-22.864;116.462;-10.560;-15.564;112.144;16.091;19.203;142.951;-5.466;30.761;114.409;-7.621;19.615;111.016;18.470;3.523;109.022;-5.111
1989.000;79.560;3.579;134.847;-5.827;-12.180;143.743;-7.063;-22.906;116.485;-10.495;-15.597;112.214;16.157;19.177;142.963;-5.448;30.756;114.428;-7.589;19.609;110.964;18.506;3.496;109.026;-5.106
1990.000;79.600;3.549;134.859;-5.802;-12.210;143.751;-7.029;-22.953;116.501;-10.444;-15.646;112.326;16.217;19.150;142.979;-5.425;30.747;114.446;-7.560;19.634;110.869;18.544;3.460;109.028;-5.102
1991.000;79.640;3.524;134.870;-5.783;-12.234;143.770;-6.997;-23.031;116.540;-10.407;-15.708;112.529;16.256;19.126;142.996;-5.420;30.735;114.461;-7.544;19.691;110.707;18.585;3.435;109.032;-5.094
1992.000;79.680;3.501;134.878;-5.773;-12.257;143.770;-6.978;-23.249;116.624;-10.366;-15.869;112.968;16.289;19.099;143.025;-5.425;30.716;114.486;-7.504;19.787;110.401;18.668;3.407;109.035;-5.092
1993.000;79.720;3.488;134.881;-5.779;-12.266;143.760;-6.973;-23.801;116.794;-10.198;-16.279;113.916;16.439;19.080;143.060;-5.440;30.705;114.519;-7.445;19.926;109.855;18.774;3.400;109.033;-5.094
