Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3842.000;153.680;0.590;134.956;-4.143;-15.303;143.509;-4.723;-26.122;115.883;-6.562;-16.414;112.689;19.495;16.196;143.200;-3.920;27.704;114.666;-6.419;16.895;115.203;19.749;0.630;109.131;-3.555
3843.000;153.720;0.578;134.953;-4.151;-15.313;143.501;-4.739;-26.114;115.869;-6.577;-16.389;112.697;19.474;16.182;143.200;-3.929;27.698;114.667;-6.412;16.893;115.226;19.754;0.618;109.129;-3.553
3844.000;153.760;0.567;134.949;-4.162;-15.326;143.501;-4.745;-26.113;115.865;-6.574;-16.372;112.715;19.470;16.171;143.195;-3.942;27.684;114.660;-6.413;16.894;115.236;19.758;0.606;109.130;-3.554
3845.000;153.800;0.567;134.946;-4.173;-15.321;143.505;-4.759;-26.113;115.867;-6.565;-16.358;112.741;19.479;16.174;143.184;-3.957;27.676;114.642;-6.412;16.890;115.239;19.761;0.596;109.127;-3.556
3846.000;153.840;0.560;134.944;-4.183;-15.325;143.504;-4.768;-26.122;115.864;-6.553;-16.347;112.764;19.482;16.167;143.178;-3.973;27.665;114.629;-6.415;16.887;115.247;19.760;0.589;109.126;-3.559
3847.000;153.880;0.558;134.942;-4.191;-15.328;143.502;-4.774;-26.132;115.866;-6.556;-16.343;112.781;19.478;16.166;143.179;-3.979;27.657;114.630;-6.426;16.882;115.252;19.749;0.586;109.126;-3.562
3848.000;153.920;0.554;134.941;-4.196;-15.331;143.499;-4.778;-26.147;115.866;-6.548;-16.347;112.801;19.480;16.163;143.176;-3.994;27.641;114.626;-6.446;16.886;115.257;19.738;0.581;109.125;-3.559
3849.000;153.960;0.553;134.938;-4.207;-15.333;143.501;-4.789;-26.167;115.872;-6.542;-16.359;112.820;19.487;16.160;143.172;-4.013;27.637;114.621;-6.466;16.899;115.241;19.729;0.580;109.123;-3.556
3850.000;154.000;0.555;134.936;-4.222;-15.331;143.493;-4.800;-26.171;115.866;-6.537;-16.365;112.846;19.500;16.167;143.165;-4.034;27.627;114.617;-6.482;16.969;115.238;19.758;0.582;109.125;-3.554
3851.000;154.040;0.554;134.942;-4.249;-15.340;143.509;-4.806;-26.152;115.896;-6.493;-16.457;113.121;19.564;16.165;143.159;-4.076;27.621;114.625;-6.337;17.196;115.486;19.979;0.590;109.126;-3.552
3852.000;154.080;0.534;135.000;-4.301;-15.346;143.620;-4.791;-26.336;116.089;-6.172;-16.544;114.275;19.854;16.140;143.237;-4.101;27.802;114.725;-5.740;17.679;116.679;20.611;0.596;109.124;-3.601
