Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2118.000;84.720;3.282;135.123;-7.045;-12.551;143.841;-8.052;-23.058;116.241;-9.800;-16.952;116.807;17.298;18.944;143.199;-7.317;29.720;114.520;-9.723;23.690;115.585;17.695;3.290;109.232;-5.792
2119.000;84.760;3.288;135.126;-7.034;-12.543;143.848;-8.036;-23.078;116.250;-9.751;-16.992;116.889;17.351;18.950;143.199;-7.315;29.751;114.527;-9.700;23.692;115.741;17.684;3.298;109.232;-5.791
2120.000;84.800;3.292;135.127;-7.027;-12.538;143.849;-8.025;-23.097;116.255;-9.707;-17.047;116.967;17.394;18.953;143.196;-7.311;29.802;114.540;-9.651;23.700;115.966;17.704;3.303;109.232;-5.791
2121.000;84.840;3.294;135.128;-7.024;-12.534;143.853;-8.018;-23.129;116.264;-9.670;-17.116;117.059;17.432;18.955;143.195;-7.309;29.884;114.559;-9.573;23.707;116.238;17.744;3.307;109.233;-5.798
2122.000;84.880;3.295;135.126;-7.024;-12.532;143.855;-8.016;-23.171;116.283;-9.652;-17.186;117.171;17.452;18.955;143.194;-7.303;30.021;114.592;-9.452;23.749;116.590;17.814;3.314;109.233;-5.805
2123.000;84.920;3.289;135.123;-7.031;-12.536;143.849;-8.023;-23.217;116.286;-9.631;-17.237;117.272;17.467;18.945;143.197;-7.306;30.184;114.634;-9.285;23.792;116.978;17.906;3.311;109.230;-5.813
2124.000;84.960;3.292;135.116;-7.044;-12.532;143.841;-8.042;-23.248;116.288;-9.630;-17.304;117.372;17.464;18.943;143.188;-7.305;30.367;114.674;-9.088;23.817;117.370;18.022;3.308;109.228;-5.819
2125.000;85.000;3.295;135.108;-7.059;-12.526;143.831;-8.060;-23.284;116.297;-9.634;-17.372;117.512;17.445;18.943;143.174;-7.309;30.556;114.716;-8.866;23.868;117.832;18.142;3.305;109.227;-5.826
2126.000;85.040;3.298;135.105;-7.081;-12.516;143.835;-8.075;-23.464;116.380;-9.516;-17.538;117.853;17.515;18.940;143.161;-7.327;30.883;114.823;-8.476;23.974;118.604;18.354;3.301;109.226;-5.846
2127.000;85.080;3.295;135.098;-7.140;-12.496;143.870;-8.081;-24.027;116.627;-8.970;-18.046;118.766;17.915;18.921;143.150;-7.405;31.613;115.065;-7.549;24.336;120.026;18.943;3.297;109.230;-5.906
2128.000;85.120;3.291;135.082;-7.267;-12.460;143.954;-8.125;-25.209;117.187;-7.780;-19.030;120.601;18.791;18.901;143.154;-7.577;32.881;115.586;-5.828;25.129;122.364;20.064;3.289;109.233;-6.019
2129.000;85.160;3.300;135.071;-7.448;-12.392;144.097;-8.245;-26.949;118.194;-5.902;-20.221;123.512;20.085;18.895;143.202;-7.768;34.561;116.666;-3.395;25.988;125.559;21.530;3.277;109.242;-6.169
2130.000;85.200;3.333;135.070;-7.660;-12.286;144.308;-8.438;-28.863;119.775;-3.451;-21.046;127.319;21.514;18.889;143.298;-7.929;36.367;118.423;-0.618;26.378;129.310;22.923;3.260;109.255;-6.331
2131.000;85.240;3.376;135.079;-7.880;-12.158;144.571;-8.694;-30.520;121.902;-0.649;-20.963;131.584;22.773;18.870;143.460;-8.091;37.963;120.759;2.172;25.942;133.200;23.898;3.241;109.271;-6.483
2132.000;85.280;3.410;135.091;-8.082;-12.022;144.827;-8.979;-31.623;124.343;2.201;-19.764;135.539;23.730;18.831;143.640;-8.238;39.091;123.386;4.782;24.683;136.617;24.419;3.221;109.288;-6.608
2133.000;85.320;3.418;135.092;-8.264;-11.899;145.022;-9.261;-32.033;126.749;4.836;-17.823;138.786;24.366;18.768;143.776;-8.355;39.624;125.889;7.021;22.943;139.128;24.676;3.196;109.298;-6.705
2134.000;85.360;3.402;135.070;-8.444;-11.826;145.119;-9.535;-31.770;128.776;7.054;-15.489;141.195;24.629;18.683;143.863;-8.453;39.612;127.856;8.769;21.089;140.678;24.815;3.163;109.298;-6.778
2135.000;85.400;3.379;135.031;-8.629;-11.796;145.131;-9.785;-31.070;130.242;8.824;-13.075;142.837;24.544;18.611;143.887;-8.559;39.169;129.037;10.035;19.369;141.503;24.804;3.122;109.291;-6.832
2136.000;85.440;3.347;134.985;-8.810;-11.813;145.066;-9.974;-30.125;131.048;10.143;-10.839;143.801;24.163;18.556;143.855;-8.677;38.457;129.388;10.862;17.909;141.796;24.628;3.079;109.280;-6.881
2137.000;85.480;3.303;134.941;-8.970;-11.852;144.986;-10.096;-29.138;131.302;11.046;-8.944;144.238;23.570;18.518;143.788;-8.796;37.713;129.237;11.334;16.794;141.834;24.349;3.036;109.268;-6.929
2138.000;85.520;3.259;134.906;-9.106;-11.913;144.900;-10.163;-28.267;131.192;11.632;-7.544;144.495;22.882;18.493;143.716;-8.909;36.994;128.645;11.464;16.032;141.668;24.004;2.993;109.257;-6.976
2139.000;85.560;3.214;134.876;-9.218;-11.989;144.797;-10.194;-27.677;130.745;11.844;-6.853;144.614;22.225;18.476;143.650;-9.018;36.410;127.741;11.228;15.815;141.467;23.665;2.958;109.245;-7.025
2140.000;85.600;3.170;134.852;-9.292;-12.076;144.705;-10.189;-27.303;129.971;11.712;-6.980;144.839;21.665;18.469;143.599;-9.136;35.853;126.555;10.629;16.248;141.333;23.573;2.934;109.232;-7.073
2141.000;85.640;3.133;134.848;-9.303;-12.179;144.625;-10.142;-27.118;128.702;11.087;-8.029;145.076;21.201;18.473;143.572;-9.261;35.186;125.154;9.703;17.123;141.181;23.574;2.918;109.228;-7.090
2142.000;85.680;3.092;134.835;-9.262;-12.311;144.516;-10.077;-26.798;127.003;10.136;-9.669;145.186;20.806;18.493;143.499;-9.357;34.316;123.633;8.706;18.307;141.189;23.232;2.911;109.224;-7.069
2143.000;85.720;3.068;134.800;-9.205;-12.429;144.393;-10.036;-26.063;125.036;8.948;-11.718;144.900;20.707;18.526;143.435;-9.442;33.150;122.077;7.680;19.582;141.167;22.506;2.909;109.215;-7.022
2144.000;85.760;3.047;134.792;-9.170;-12.545;144.257;-9.988;-24.914;123.111;7.759;-13.874;144.063;20.727;18.551;143.408;-9.533;31.760;120.681;6.656;20.547;140.774;21.894;2.908;109.212;-6.966
2145.000;85.800;3.021;134.781;-9.168;-12.677;144.129;-9.948;-23.481;121.416;6.686;-15.675;142.821;20.980;18.558;143.401;-9.621;30.350;119.562;5.810;20.891;139.939;21.808;2.918;109.200;-6.947
2146.000;85.840;2.979;134.788;-9.184;-12.790;144.057;-9.911;-21.997;120.113;5.800;-16.725;141.170;21.673;18.547;143.415;-9.696;28.899;118.671;5.156;20.704;138.656;22.315;2.922;109.192;-6.964
2147.000;85.880;2.938;134.814;-9.214;-12.893;144.018;-9.863;-20.737;119.147;5.159;-16.867;139.248;22.736;18.543;143.435;-9.719;27.607;117.994;4.786;19.943;137.063;23.289;2.930;109.192;-7.014
2148.000;85.920;2.896;134.840;-9.244;-12.977;144.002;-9.829;-19.584;118.487;4.682;-16.168;137.162;24.036;18.523;143.496;-9.682;26.488;117.569;4.638;18.608;135.321;24.500;2.931;109.188;-7.091
