Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2542.000;101.680;0.745;134.917;-6.812;-14.972;143.894;-7.525;-25.753;116.746;-10.380;-17.532;110.555;15.969;16.299;143.199;-7.199;27.647;114.673;-10.179;18.731;110.796;16.684;1.011;108.811;-5.750
2543.000;101.720;0.756;134.896;-6.749;-14.962;143.870;-7.479;-25.744;116.722;-10.331;-17.539;110.521;16.022;16.308;143.179;-7.134;27.667;114.657;-10.108;18.741;110.765;16.754;1.030;108.799;-5.647
2544.000;101.760;0.772;134.881;-6.661;-14.947;143.853;-7.403;-25.730;116.701;-10.220;-17.536;110.500;16.140;16.324;143.162;-7.058;27.697;114.644;-10.006;18.780;110.757;16.864;1.050;108.786;-5.529
2545.000;101.800;0.794;134.869;-6.555;-14.925;143.842;-7.302;-25.715;116.690;-10.077;-17.516;110.489;16.290;16.343;143.151;-6.973;27.725;114.629;-9.866;18.805;110.784;17.004;1.069;108.788;-5.408
2546.000;101.840;0.820;134.861;-6.428;-14.898;143.839;-7.160;-25.717;116.693;-9.890;-17.480;110.515;16.473;16.370;143.146;-6.880;27.753;114.614;-9.725;18.846;110.824;17.169;1.084;108.794;-5.293
2547.000;101.880;0.845;134.865;-6.304;-14.873;143.867;-6.990;-25.819;116.765;-9.474;-17.357;110.590;16.805;16.398;143.159;-6.778;27.783;114.621;-9.584;18.893;110.842;17.337;1.098;108.802;-5.205
2548.000;101.920;0.902;134.878;-6.213;-14.799;143.861;-6.790;-26.298;116.861;-8.325;-17.239;111.331;17.833;16.453;143.225;-6.691;27.846;114.685;-9.472;18.966;110.859;17.490;1.122;108.824;-5.160
2549.000;101.960;1.022;134.877;-6.156;-14.641;143.837;-6.663;-27.126;117.066;-6.174;-17.646;113.788;20.025;16.558;143.298;-6.618;27.994;114.799;-9.406;18.982;110.837;17.614;1.179;108.839;-5.177
2550.000;102.000;1.163;134.895;-6.126;-14.451;143.973;-6.589;-28.185;117.816;-3.137;-18.441;118.479;23.027;16.696;143.322;-6.565;28.275;114.888;-9.383;18.885;110.608;17.588;1.268;108.862;-5.232
