Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3272.000;130.880;0.279;134.817;-3.268;-15.427;143.818;-4.231;-27.066;116.831;-6.805;-16.483;109.298;18.382;15.897;143.229;-3.433;28.210;115.052;-5.533;16.061;109.568;20.006;0.458;108.801;-3.000
3273.000;130.920;0.296;134.817;-3.235;-15.405;143.820;-4.196;-26.990;116.821;-6.811;-16.350;109.234;18.339;15.918;143.225;-3.399;28.232;115.047;-5.512;16.055;109.540;20.000;0.468;108.802;-2.975
3274.000;130.960;0.317;134.821;-3.214;-15.384;143.828;-4.173;-26.933;116.819;-6.814;-16.234;109.187;18.299;15.941;143.222;-3.379;28.250;115.042;-5.506;16.068;109.515;20.005;0.481;108.801;-2.962
3275.000;131.000;0.341;134.823;-3.192;-15.356;143.835;-4.145;-26.899;116.824;-6.796;-16.134;109.155;18.281;15.970;143.219;-3.360;28.263;115.032;-5.511;16.103;109.512;20.014;0.498;108.794;-2.952
3276.000;131.040;0.372;134.820;-3.186;-15.320;143.839;-4.133;-26.876;116.832;-6.787;-16.074;109.142;18.273;16.004;143.208;-3.348;28.264;115.013;-5.514;16.133;109.507;20.025;0.519;108.797;-2.946
3277.000;131.080;0.400;134.815;-3.179;-15.286;143.844;-4.115;-26.868;116.847;-6.756;-16.055;109.136;18.292;16.039;143.193;-3.355;28.285;114.994;-5.527;16.188;109.518;20.036;0.539;108.792;-2.938
3278.000;131.120;0.438;134.811;-3.177;-15.242;143.849;-4.096;-26.875;116.871;-6.731;-16.053;109.143;18.317;16.080;143.178;-3.358;28.307;114.969;-5.541;16.234;109.499;20.035;0.565;108.789;-2.934
3279.000;131.160;0.472;134.803;-3.186;-15.205;143.847;-4.088;-26.874;116.881;-6.704;-16.053;109.147;18.342;16.116;143.163;-3.382;28.320;114.950;-5.553;16.302;109.443;20.044;0.584;108.786;-2.926
3280.000;131.200;0.501;134.788;-3.194;-15.168;143.842;-4.080;-26.870;116.888;-6.681;-16.079;109.146;18.391;16.150;143.143;-3.410;28.337;114.912;-5.571;16.381;109.279;20.045;0.599;108.783;-2.917
3281.000;131.240;0.514;134.773;-3.204;-15.164;143.829;-4.054;-26.849;116.877;-6.621;-16.065;109.183;18.504;16.155;143.134;-3.444;28.336;114.905;-5.604;16.475;108.999;20.037;0.613;108.776;-2.912
3282.000;131.280;0.519;134.779;-3.222;-15.166;143.849;-4.004;-26.810;116.876;-6.363;-15.956;109.369;18.817;16.156;143.161;-3.467;28.306;114.920;-5.613;16.551;108.431;20.034;0.617;108.773;-2.922
3283.000;131.320;0.508;134.807;-3.243;-15.195;143.866;-3.916;-26.765;116.790;-5.688;-15.773;109.907;19.619;16.135;143.244;-3.495;28.236;114.991;-5.557;16.699;107.342;19.981;0.624;108.781;-2.958
3284.000;131.360;0.495;134.830;-3.292;-15.224;143.888;-3.880;-26.697;116.642;-4.416;-15.479;111.128;21.135;16.098;143.338;-3.534;28.145;115.057;-5.359;16.893;105.586;19.854;0.643;108.772;-3.029
3285.000;131.400;0.474;134.838;-3.375;-15.252;143.913;-3.906;-26.554;116.484;-2.541;-15.043;113.383;23.256;16.057;143.382;-3.587;28.056;115.048;-5.016;17.145;103.236;19.502;0.658;108.780;-3.119
3286.000;131.440;0.449;134.828;-3.487;-15.279;143.966;-3.976;-26.292;116.488;-0.154;-14.444;116.731;25.625;16.022;143.375;-3.684;27.962;114.966;-4.555;17.477;100.415;18.809;0.673;108.792;-3.220
3287.000;131.480;0.416;134.819;-3.615;-15.301;144.070;-4.045;-25.990;116.836;2.591;-13.641;120.999;27.716;15.990;143.352;-3.840;27.838;114.848;-4.044;17.942;97.421;17.641;0.676;108.797;-3.322
3288.000;131.520;0.386;134.818;-3.752;-15.275;144.212;-4.090;-25.632;117.617;5.496;-12.653;125.842;29.177;15.969;143.314;-4.048;27.713;114.719;-3.608;18.550;94.529;16.008;0.673;108.801;-3.410
3289.000;131.560;0.350;134.814;-3.876;-15.238;144.387;-4.100;-25.219;118.798;8.355;-11.594;130.782;29.872;15.960;143.254;-4.256;27.485;114.527;-3.367;19.342;91.994;14.004;0.654;108.798;-3.476
3290.000;131.600;0.327;134.813;-3.954;-15.171;144.578;-4.083;-24.685;120.266;11.003;-10.442;135.366;29.774;15.980;143.156;-4.439;27.160;114.279;-3.436;20.230;89.943;11.812;0.624;108.798;-3.524
3291.000;131.640;0.316;134.817;-3.982;-15.082;144.785;-4.010;-24.120;121.831;13.237;-9.319;139.366;28.980;16.020;143.040;-4.622;26.788;114.010;-3.890;21.191;88.419;9.601;0.592;108.801;-3.543
3292.000;131.680;0.298;134.833;-3.984;-15.001;144.975;-3.877;-23.560;123.292;15.065;-8.218;142.662;27.588;16.038;142.950;-4.829;26.512;113.856;-4.639;22.278;87.461;7.603;0.556;108.807;-3.532
3293.000;131.720;0.268;134.850;-3.964;-14.945;145.118;-3.694;-22.957;124.494;16.482;-7.253;145.123;25.819;16.025;142.897;-5.044;26.452;113.844;-5.450;23.418;86.944;5.955;0.521;108.815;-3.496
3294.000;131.760;0.236;134.875;-3.925;-14.910;145.215;-3.488;-22.339;125.337;17.509;-6.448;146.761;23.891;16.001;142.868;-5.218;26.556;113.895;-6.240;24.359;86.686;4.608;0.493;108.815;-3.449
3295.000;131.800;0.212;134.898;-3.887;-14.893;145.273;-3.291;-21.711;125.806;18.173;-5.819;147.676;22.078;15.968;142.852;-5.365;26.720;113.981;-6.977;25.116;86.611;3.615;0.486;108.815;-3.406
3296.000;131.840;0.202;134.912;-3.846;-14.887;145.278;-3.124;-21.110;125.957;18.567;-5.377;148.079;20.462;15.937;142.856;-5.496;26.873;114.091;-7.567;25.717;86.653;2.973;0.486;108.812;-3.362
3297.000;131.880;0.194;134.915;-3.834;-14.896;145.248;-2.989;-20.552;125.904;18.753;-5.059;148.167;19.173;15.914;142.875;-5.600;26.980;114.191;-7.962;26.208;86.752;2.663;0.502;108.807;-3.323
3298.000;131.920;0.206;134.915;-3.820;-14.898;145.197;-2.908;-20.106;125.729;18.797;-4.784;148.063;18.277;15.908;142.903;-5.656;27.051;114.277;-8.161;26.572;86.892;2.610;0.536;108.803;-3.294
3299.000;131.960;0.224;134.915;-3.816;-14.887;145.153;-2.858;-19.803;125.532;18.763;-4.556;147.858;17.650;15.913;142.938;-5.682;27.105;114.338;-8.203;26.793;87.045;2.814;0.582;108.800;-3.271
3300.000;132.000;0.252;134.914;-3.810;-14.866;145.120;-2.829;-19.649;125.321;18.680;-4.373;147.601;17.190;15.936;142.958;-5.673;27.140;114.361;-8.142;26.861;87.195;3.212;0.640;108.799;-3.261
3301.000;132.040;0.296;134.916;-3.810;-14.838;145.094;-2.850;-19.589;125.088;18.490;-4.283;147.351;16.936;15.980;142.968;-5.635;27.167;114.357;-8.018;26.805;87.357;3.763;0.698;108.798;-3.259
3302.000;132.080;0.351;134.917;-3.815;-14.796;145.065;-2.895;-19.605;124.764;18.167;-4.291;147.080;17.082;16.035;142.982;-5.580;27.185;114.346;-7.841;26.635;87.527;4.381;0.757;108.797;-3.263
3303.000;132.120;0.406;134.912;-3.839;-14.763;145.025;-2.967;-19.712;124.246;17.610;-4.417;146.671;17.890;16.093;142.997;-5.533;27.201;114.331;-7.637;26.409;87.699;5.028;0.810;108.796;-3.280
3304.000;132.160;0.475;134.904;-3.876;-14.718;145.000;-3.084;-19.871;123.445;16.689;-4.637;145.820;19.876;16.173;142.978;-5.490;27.214;114.267;-7.415;26.102;87.831;5.669;0.860;108.796;-3.299
3305.000;132.200;0.543;134.882;-3.949;-14.688;144.957;-3.245;-20.039;122.490;15.489;-4.863;144.011;22.719;16.253;142.940;-5.462;27.215;114.169;-7.178;25.761;87.905;6.240;0.902;108.795;-3.323
3306.000;132.240;0.607;134.864;-3.994;-14.670;144.916;-3.375;-20.177;121.576;14.277;-4.989;141.352;25.729;16.336;142.902;-5.377;27.209;114.067;-6.943;25.405;87.934;6.701;0.929;108.790;-3.360
3307.000;132.280;0.683;134.854;-3.971;-14.622;144.876;-3.370;-20.321;120.724;13.136;-5.169;138.077;28.410;16.427;142.894;-5.239;27.187;113.995;-6.688;25.055;87.916;7.027;0.954;108.788;-3.390
3308.000;132.320;0.755;134.852;-3.888;-14.580;144.803;-3.267;-20.480;119.969;12.184;-5.573;134.735;30.484;16.511;142.902;-5.052;27.160;113.951;-6.415;24.747;87.868;7.232;0.973;108.792;-3.395
3309.000;132.360;0.823;134.836;-3.763;-14.556;144.710;-3.116;-20.692;119.356;11.486;-6.050;131.930;31.776;16.580;142.936;-4.807;27.145;113.951;-6.146;24.467;87.792;7.320;0.988;108.796;-3.378
3310.000;132.400;0.867;134.831;-3.600;-14.541;144.648;-2.944;-20.918;118.912;10.945;-6.537;129.985;32.373;16.620;142.971;-4.547;27.162;113.976;-5.874;24.291;87.714;7.328;1.009;108.803;-3.339
3311.000;132.440;0.877;134.835;-3.440;-14.545;144.627;-2.808;-21.147;118.612;10.510;-7.019;128.814;32.584;16.631;142.985;-4.295;27.206;113.992;-5.614;24.198;87.619;7.322;1.031;108.806;-3.286
3312.000;132.480;0.877;134.833;-3.317;-14.556;144.618;-2.732;-21.328;118.423;10.177;-7.458;128.202;32.628;16.632;142.980;-4.088;27.243;113.983;-5.393;24.193;87.516;7.302;1.047;108.801;-3.228
3313.000;132.520;0.877;134.816;-3.236;-14.571;144.592;-2.712;-21.478;118.307;9.955;-7.832;127.951;32.612;16.626;142.968;-3.946;27.271;113.985;-5.236;24.254;87.441;7.309;1.055;108.792;-3.163
3314.000;132.560;0.878;134.801;-3.173;-14.584;144.562;-2.708;-21.621;118.249;9.850;-8.123;127.857;32.612;16.621;142.966;-3.846;27.314;114.006;-5.152;24.375;87.438;7.357;1.060;108.785;-3.097
3315.000;132.600;0.868;134.784;-3.141;-14.605;144.530;-2.714;-21.773;118.229;9.813;-8.334;127.849;32.602;16.598;142.965;-3.812;27.389;114.044;-5.135;24.484;87.523;7.499;1.052;108.781;-3.032
3316.000;132.640;0.853;134.763;-3.123;-14.622;144.500;-2.713;-21.920;118.212;9.785;-8.468;127.886;32.537;16.575;142.954;-3.812;27.512;114.089;-5.195;24.575;87.706;7.779;1.039;108.775;-2.980
3317.000;132.680;0.827;134.746;-3.110;-14.647;144.470;-2.703;-22.073;118.175;9.734;-8.594;127.908;32.447;16.538;142.943;-3.830;27.668;114.147;-5.337;24.576;88.034;8.242;1.019;108.768;-2.937
3318.000;132.720;0.803;134.735;-3.104;-14.668;144.438;-2.674;-22.292;118.114;9.608;-8.736;127.864;32.258;16.505;142.937;-3.870;27.836;114.232;-5.598;24.481;88.607;8.925;0.996;108.768;-2.907
3319.000;132.760;0.788;134.724;-3.100;-14.685;144.382;-2.633;-22.658;118.009;9.373;-8.950;127.728;31.940;16.469;142.948;-3.934;27.994;114.351;-5.947;24.223;89.477;9.841;0.972;108.768;-2.879
3320.000;132.800;0.768;134.716;-3.095;-14.706;144.327;-2.575;-23.172;117.868;8.991;-9.321;127.498;31.516;16.432;142.960;-4.008;28.143;114.487;-6.354;23.760;90.669;10.928;0.956;108.767;-2.856
3321.000;132.840;0.750;134.703;-3.094;-14.718;144.265;-2.499;-23.851;117.694;8.396;-9.813;127.192;30.847;16.402;142.946;-4.091;28.326;114.591;-6.805;23.076;92.300;12.196;0.939;108.768;-2.833
3322.000;132.880;0.734;134.684;-3.090;-14.724;144.191;-2.437;-24.654;117.485;7.526;-10.457;126.693;29.915;16.375;142.909;-4.169;28.569;114.696;-7.314;22.160;94.522;13.538;0.923;108.768;-2.808
3323.000;132.920;0.725;134.672;-3.075;-14.725;144.115;-2.373;-25.535;117.301;6.370;-11.199;125.872;28.847;16.357;142.894;-4.233;28.781;114.844;-7.835;21.099;97.325;14.801;0.910;108.770;-2.770
3324.000;132.960;0.724;134.673;-3.056;-14.742;144.033;-2.350;-26.472;117.184;4.939;-12.022;124.720;27.656;16.338;142.924;-4.287;28.931;115.034;-8.234;20.060;100.561;15.898;0.889;108.773;-2.727
3325.000;133.000;0.726;134.682;-3.025;-14.773;143.940;-2.368;-27.373;117.153;3.299;-12.924;123.295;26.379;16.324;142.975;-4.285;29.015;115.196;-8.432;19.059;103.922;16.759;0.869;108.773;-2.688
3326.000;133.040;0.713;134.687;-2.996;-14.809;143.857;-2.436;-28.124;117.199;1.565;-13.866;121.635;25.090;16.300;143.014;-4.214;29.044;115.301;-8.419;18.145;107.164;17.375;0.851;108.776;-2.662
3327.000;133.080;0.690;134.684;-2.971;-14.868;143.793;-2.527;-28.714;117.327;-0.169;-14.775;119.836;23.794;16.274;143.039;-4.094;29.049;115.349;-8.195;17.324;110.064;17.742;0.853;108.766;-2.636
3328.000;133.120;0.647;134.687;-2.943;-14.950;143.739;-2.631;-29.115;117.466;-1.797;-15.611;118.176;22.513;16.229;143.090;-3.940;28.959;115.379;-7.883;16.557;112.488;17.927;0.861;108.762;-2.625
3329.000;133.160;0.593;134.701;-2.922;-15.055;143.705;-2.766;-29.239;117.540;-3.346;-16.329;116.780;21.278;16.161;143.153;-3.786;28.745;115.374;-7.557;15.908;114.378;18.035;0.868;108.761;-2.624
3330.000;133.200;0.520;134.709;-2.912;-15.172;143.667;-2.944;-29.052;117.513;-4.802;-16.784;115.656;20.107;16.085;143.191;-3.626;28.425;115.312;-7.254;15.364;115.720;18.109;0.863;108.761;-2.628
3331.000;133.240;0.447;134.708;-2.936;-15.278;143.616;-3.175;-28.584;117.367;-6.074;-16.921;114.771;19.073;16.017;143.200;-3.468;28.065;115.193;-6.989;14.932;116.624;18.188;0.840;108.758;-2.648
3332.000;133.280;0.383;134.707;-2.986;-15.378;143.563;-3.410;-27.850;117.116;-7.133;-16.837;114.088;18.296;15.955;143.200;-3.323;27.761;115.088;-6.736;14.587;117.189;18.296;0.794;108.749;-2.682
3333.000;133.320;0.335;134.713;-3.056;-15.470;143.495;-3.652;-27.004;116.767;-7.893;-16.636;113.686;17.814;15.896;143.230;-3.223;27.583;115.042;-6.442;14.348;117.454;18.503;0.734;108.745;-2.742
3334.000;133.360;0.296;134.719;-3.162;-15.548;143.415;-3.912;-26.241;116.393;-8.314;-16.344;113.489;17.626;15.842;143.273;-3.166;27.587;115.050;-6.070;14.245;117.425;18.826;0.671;108.746;-2.816
3335.000;133.400;0.272;134.711;-3.290;-15.598;143.335;-4.172;-25.697;116.045;-8.419;-16.043;113.484;17.676;15.802;143.289;-3.105;27.771;115.091;-5.654;14.280;117.269;19.185;0.613;108.742;-2.911
3336.000;133.440;0.262;134.704;-3.415;-15.625;143.281;-4.397;-25.441;115.799;-8.304;-15.827;113.645;17.839;15.784;143.288;-3.033;28.109;115.162;-5.256;14.423;117.188;19.481;0.552;108.736;-3.017
3337.000;133.480;0.266;134.710;-3.515;-15.614;143.279;-4.568;-25.484;115.722;-8.088;-15.744;113.907;18.025;15.779;143.305;-2.996;28.515;115.291;-4.909;14.623;117.243;19.714;0.517;108.741;-3.125
3338.000;133.520;0.280;134.731;-3.589;-15.588;143.321;-4.663;-25.721;115.786;-7.895;-15.844;114.153;18.173;15.791;143.340;-3.005;28.884;115.434;-4.632;14.839;117.400;19.897;0.499;108.754;-3.231
3339.000;133.560;0.296;134.752;-3.640;-15.556;143.371;-4.703;-25.984;115.900;-7.758;-16.060;114.330;18.290;15.816;143.359;-3.039;29.162;115.529;-4.457;15.065;117.594;20.030;0.488;108.766;-3.318
3340.000;133.600;0.313;134.768;-3.683;-15.528;143.416;-4.719;-26.183;116.003;-7.709;-16.339;114.442;18.365;15.844;143.363;-3.084;29.311;115.564;-4.378;15.253;117.752;20.115;0.484;108.775;-3.394
