Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
383.000;15.320;2.169;135.031;-3.268;-13.680;143.752;-4.318;-24.177;116.026;-6.203;-16.821;111.539;20.628;17.836;143.090;-3.142;29.275;114.510;-5.179;17.937;112.811;20.901;2.031;109.252;-2.423
384.000;15.360;2.174;135.024;-3.293;-13.674;143.751;-4.318;-24.168;116.019;-6.176;-16.736;111.533;20.638;17.843;143.079;-3.180;29.273;114.494;-5.224;17.954;112.826;20.864;2.031;109.251;-2.436
385.000;15.400;2.173;135.018;-3.313;-13.672;143.748;-4.318;-24.167;116.017;-6.156;-16.684;111.539;20.643;17.843;143.070;-3.221;29.274;114.483;-5.258;17.968;112.875;20.840;2.032;109.250;-2.443
386.000;15.440;2.169;135.012;-3.336;-13.678;143.741;-4.324;-24.170;116.006;-6.142;-16.651;111.549;20.649;17.839;143.062;-3.261;29.275;114.474;-5.282;17.998;112.935;20.829;2.039;109.249;-2.451
387.000;15.480;2.163;135.004;-3.361;-13.684;143.729;-4.337;-24.178;115.993;-6.130;-16.655;111.551;20.660;17.830;143.055;-3.297;29.263;114.466;-5.304;18.042;112.986;20.828;2.043;109.246;-2.456
388.000;15.520;2.158;134.996;-3.384;-13.692;143.717;-4.352;-24.190;115.980;-6.125;-16.669;111.548;20.669;17.824;143.052;-3.330;29.253;114.464;-5.331;18.075;113.017;20.822;2.044;109.244;-2.458
389.000;15.560;2.154;134.991;-3.405;-13.700;143.703;-4.372;-24.199;115.967;-6.134;-16.694;111.558;20.670;17.815;143.054;-3.358;29.247;114.466;-5.359;18.112;113.052;20.814;2.047;109.242;-2.457
390.000;15.600;2.149;134.985;-3.422;-13.709;143.692;-4.390;-24.202;115.956;-6.155;-16.720;111.566;20.661;17.804;143.057;-3.384;29.254;114.478;-5.377;18.147;113.061;20.807;2.048;109.240;-2.460
391.000;15.640;2.145;134.981;-3.443;-13.714;143.681;-4.409;-24.198;115.940;-6.175;-16.767;111.567;20.664;17.797;143.062;-3.411;29.251;114.481;-5.385;18.178;113.008;20.821;2.047;109.241;-2.464
392.000;15.680;2.142;134.978;-3.469;-13.723;143.665;-4.423;-24.137;115.903;-6.196;-16.916;111.570;20.719;17.795;143.060;-3.446;29.243;114.468;-5.375;18.232;112.866;20.884;2.037;109.242;-2.472
393.000;15.720;2.144;134.965;-3.496;-13.728;143.628;-4.456;-24.026;115.831;-6.156;-17.225;111.701;20.903;17.796;143.072;-3.484;29.224;114.467;-5.379;18.328;112.587;21.025;2.034;109.245;-2.493
394.000;15.760;2.163;134.955;-3.552;-13.718;143.575;-4.537;-23.996;115.730;-5.867;-17.734;112.202;21.426;17.802;143.124;-3.529;29.193;114.517;-5.368;18.534;111.881;21.223;2.029;109.245;-2.538
395.000;15.800;2.202;134.954;-3.633;-13.696;143.509;-4.695;-24.088;115.590;-5.180;-18.458;113.459;22.415;17.812;143.207;-3.533;29.186;114.600;-5.247;18.809;110.321;21.390;2.039;109.247;-2.614
396.000;15.840;2.221;134.953;-3.720;-13.697;143.454;-4.903;-24.169;115.449;-4.060;-19.192;115.942;23.695;17.787;143.294;-3.454;29.213;114.700;-4.928;19.095;107.738;21.394;2.067;109.249;-2.726
397.000;15.880;2.208;134.966;-3.783;-13.730;143.438;-5.131;-24.182;115.416;-2.564;-19.674;119.813;24.780;17.720;143.381;-3.259;29.226;114.779;-4.366;19.488;104.285;21.087;2.108;109.256;-2.864
398.000;15.920;2.176;134.992;-3.804;-13.785;143.454;-5.353;-24.251;115.608;-0.669;-19.526;124.820;25.237;17.623;143.485;-2.946;29.156;114.834;-3.543;20.107;100.261;20.270;2.153;109.275;-3.003
