Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1420.000;56.800;1.541;134.956;-7.722;-14.063;144.037;-8.635;-25.738;116.982;-10.470;-14.423;115.774;15.037;17.228;143.096;-7.656;28.884;114.683;-10.183;18.225;115.526;15.935;1.666;108.905;-6.757
1421.000;56.840;1.536;134.955;-7.729;-14.066;144.038;-8.637;-25.740;116.981;-10.469;-14.418;115.779;15.035;17.222;143.091;-7.665;28.875;114.681;-10.209;18.228;115.512;15.914;1.661;108.902;-6.763
1422.000;56.880;1.531;134.953;-7.736;-14.073;144.036;-8.642;-25.741;116.980;-10.479;-14.426;115.768;15.022;17.220;143.089;-7.672;28.870;114.676;-10.225;18.234;115.494;15.904;1.654;108.901;-6.763
1423.000;56.920;1.526;134.951;-7.744;-14.075;144.037;-8.647;-25.744;116.982;-10.493;-14.426;115.759;15.012;17.213;143.079;-7.686;28.854;114.669;-10.247;18.223;115.489;15.882;1.648;108.899;-6.763
1424.000;56.960;1.519;134.948;-7.746;-14.086;144.030;-8.646;-25.746;116.972;-10.496;-14.426;115.746;15.005;17.207;143.086;-7.691;28.861;114.677;-10.250;18.236;115.500;15.883;1.639;108.899;-6.762
1425.000;57.000;1.518;134.944;-7.748;-14.080;144.032;-8.638;-25.748;116.979;-10.503;-14.417;115.744;14.994;17.208;143.073;-7.705;28.845;114.656;-10.263;18.246;115.474;15.889;1.637;108.897;-6.759
1426.000;57.040;1.510;134.942;-7.752;-14.087;144.030;-8.619;-25.757;116.980;-10.476;-14.404;115.724;15.011;17.204;143.070;-7.728;28.833;114.648;-10.276;18.279;115.426;15.902;1.627;108.895;-6.761
1427.000;57.080;1.504;134.936;-7.763;-14.101;144.049;-8.593;-25.743;117.005;-10.366;-14.328;115.728;15.117;17.196;143.067;-7.762;28.813;114.638;-10.296;18.325;115.320;15.929;1.617;108.894;-6.763
1428.000;57.120;1.498;134.947;-7.791;-14.111;144.126;-8.569;-25.704;117.047;-9.933;-14.040;116.000;15.495;17.196;143.085;-7.784;28.794;114.657;-10.355;18.383;115.084;15.962;1.604;108.892;-6.785
1429.000;57.160;1.499;134.983;-7.849;-14.090;144.225;-8.542;-25.662;117.031;-8.817;-13.308;117.000;16.394;17.222;143.121;-7.792;28.741;114.679;-10.489;18.532;114.498;16.030;1.588;108.896;-6.847
1430.000;57.200;1.528;134.996;-7.906;-14.033;144.298;-8.508;-25.560;116.966;-6.952;-12.261;118.776;17.769;17.264;143.126;-7.814;28.623;114.654;-10.685;18.689;113.083;16.072;1.579;108.898;-6.940
1431.000;57.240;1.549;134.994;-7.955;-13.988;144.361;-8.461;-25.251;116.985;-4.562;-10.993;121.462;19.305;17.297;143.099;-7.875;28.452;114.581;-10.895;18.820;110.510;15.958;1.572;108.904;-7.045
1432.000;57.280;1.530;134.991;-8.006;-14.003;144.444;-8.417;-24.761;117.230;-1.859;-9.565;124.889;20.606;17.280;143.084;-7.960;28.245;114.508;-10.951;18.977;106.769;15.495;1.573;108.931;-7.118
1433.000;57.320;1.475;134.983;-8.034;-14.018;144.525;-8.377;-24.169;117.778;0.897;-8.149;128.654;21.299;17.229;143.019;-8.000;28.101;114.370;-10.837;19.107;102.792;14.522;1.567;108.945;-7.176
1434.000;57.360;1.403;134.972;-8.035;-14.035;144.621;-8.255;-23.521;118.581;3.457;-6.952;132.441;21.265;17.169;142.976;-8.020;28.052;114.249;-10.557;19.373;98.906;12.968;1.543;108.942;-7.219
1435.000;57.400;1.330;134.991;-7.997;-14.071;144.727;-8.079;-22.853;119.550;5.777;-5.893;136.029;20.520;17.099;142.973;-8.044;27.974;114.162;-10.152;19.875;95.224;10.891;1.531;108.957;-7.225
1436.000;57.440;1.282;135.007;-7.929;-14.095;144.820;-7.885;-22.215;120.582;7.808;-5.057;139.134;19.267;17.053;142.945;-8.039;27.924;114.045;-9.859;20.459;92.285;8.575;1.498;108.954;-7.218
1437.000;57.480;1.251;135.021;-7.849;-14.085;144.924;-7.681;-21.596;121.619;9.519;-4.423;141.638;17.702;17.026;142.939;-8.066;27.849;113.974;-9.864;21.200;90.305;6.405;1.467;108.952;-7.188
1438.000;57.520;1.213;135.061;-7.756;-14.079;145.041;-7.453;-21.017;122.580;10.929;-3.923;143.501;16.074;16.995;142.985;-8.131;27.790;114.021;-10.007;22.203;89.232;4.900;1.435;108.959;-7.141
1439.000;57.560;1.170;135.100;-7.659;-14.087;145.133;-7.226;-20.506;123.407;12.088;-3.513;144.782;14.503;16.942;143.027;-8.201;27.774;114.117;-10.288;23.264;88.710;4.033;1.415;108.972;-7.092
1440.000;57.600;1.110;135.129;-7.570;-14.112;145.198;-7.005;-20.036;124.004;12.965;-3.228;145.580;13.145;16.877;143.054;-8.290;27.798;114.199;-10.492;24.122;88.475;3.574;1.405;108.975;-7.039
