Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1288.000;51.520;1.634;131.160;-21.639;-14.060;140.120;-20.828;-24.180;112.959;-25.027;-14.108;111.850;0.916;17.307;139.124;-21.585;27.624;110.627;-25.999;18.381;113.809;0.571;1.659;102.938;-25.250
1289.000;51.560;1.625;131.156;-21.692;-14.073;140.112;-20.891;-24.194;112.944;-25.053;-14.151;111.922;0.905;17.295;139.131;-21.645;27.643;110.631;-25.991;18.339;113.805;0.576;1.663;102.932;-25.270
1290.000;51.600;1.608;131.147;-21.762;-14.099;140.101;-20.941;-24.193;112.951;-25.021;-14.076;112.130;0.918;17.269;139.145;-21.722;27.699;110.659;-25.982;18.244;113.665;0.578;1.660;102.923;-25.288
1291.000;51.640;1.580;131.162;-21.872;-14.150;140.154;-20.977;-24.096;112.969;-24.722;-13.762;113.089;1.061;17.225;139.219;-21.806;27.850;110.772;-25.895;17.892;113.364;0.598;1.661;102.912;-25.317
1292.000;51.680;1.538;131.229;-22.040;-14.209;140.259;-20.951;-23.958;112.888;-23.754;-13.005;115.493;1.472;17.161;139.383;-21.920;28.141;110.996;-25.572;17.018;112.654;0.699;1.669;102.897;-25.384
1293.000;51.720;1.502;131.293;-22.298;-14.263;140.309;-20.961;-23.695;112.598;-21.757;-12.082;119.442;2.157;17.078;139.592;-22.118;28.466;111.243;-24.894;15.637;111.315;0.860;1.688;102.874;-25.481
1294.000;51.760;1.479;131.298;-22.626;-14.315;140.312;-21.050;-23.125;112.344;-18.641;-11.233;124.385;2.701;17.007;139.724;-22.366;28.803;111.393;-23.759;13.610;109.943;0.854;1.696;102.830;-25.584
1295.000;51.800;1.470;131.275;-22.974;-14.342;140.281;-21.211;-22.246;112.527;-14.737;-10.467;129.338;2.921;16.945;139.792;-22.683;29.098;111.469;-22.123;11.016;108.817;0.575;1.694;102.789;-25.687
1296.000;51.840;1.444;131.246;-23.295;-14.357;140.208;-21.333;-21.081;113.385;-10.638;-9.732;133.686;2.974;16.857;139.824;-23.039;29.251;111.619;-20.020;8.141;108.091;-0.052;1.677;102.764;-25.776
