Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
315.000;12.600;1.807;135.136;-2.664;-14.174;143.558;-3.703;-25.105;116.012;-6.097;-16.610;112.995;20.445;17.353;143.531;-2.149;28.519;114.936;-3.877;19.130;113.722;22.881;1.938;109.254;-2.096
316.000;12.640;1.821;135.143;-2.681;-14.158;143.565;-3.750;-25.094;116.022;-6.144;-16.648;113.016;20.417;17.366;143.540;-2.154;28.554;114.955;-3.886;19.121;113.732;22.857;1.942;109.257;-2.112
317.000;12.680;1.834;135.148;-2.695;-14.146;143.571;-3.783;-25.070;116.022;-6.170;-16.659;113.036;20.403;17.380;143.543;-2.162;28.572;114.962;-3.891;19.118;113.734;22.842;1.943;109.259;-2.125
318.000;12.720;1.843;135.149;-2.715;-14.136;143.572;-3.817;-25.036;116.015;-6.196;-16.645;113.051;20.385;17.389;143.542;-2.179;28.581;114.958;-3.885;19.108;113.719;22.844;1.951;109.259;-2.142
319.000;12.760;1.848;135.152;-2.725;-14.129;143.576;-3.829;-24.993;116.011;-6.210;-16.627;113.058;20.375;17.395;143.542;-2.194;28.588;114.952;-3.876;19.122;113.658;22.857;1.953;109.264;-2.154
320.000;12.800;1.853;135.149;-2.743;-14.124;143.571;-3.845;-24.952;115.995;-6.233;-16.624;113.093;20.359;17.399;143.537;-2.218;28.581;114.931;-3.859;19.183;113.528;22.895;1.954;109.263;-2.168
321.000;12.840;1.858;135.144;-2.763;-14.125;143.561;-3.846;-24.864;115.952;-6.276;-16.764;113.170;20.393;17.403;143.530;-2.252;28.571;114.902;-3.861;19.336;113.266;22.949;1.950;109.266;-2.177
322.000;12.880;1.858;135.137;-2.788;-14.134;143.538;-3.829;-24.645;115.849;-6.321;-17.262;113.306;20.625;17.403;143.536;-2.317;28.557;114.878;-3.872;19.612;112.710;23.068;1.949;109.268;-2.189
323.000;12.920;1.865;135.130;-2.825;-14.143;143.497;-3.825;-24.399;115.699;-6.195;-18.236;113.374;21.207;17.400;143.572;-2.414;28.515;114.874;-3.893;19.994;111.594;23.218;1.953;109.268;-2.218
324.000;12.960;1.887;135.117;-2.883;-14.141;143.429;-3.893;-24.242;115.463;-5.624;-19.261;113.687;22.138;17.396;143.627;-2.496;28.451;114.899;-3.894;20.435;109.635;23.257;1.973;109.269;-2.270
325.000;13.000;1.910;135.102;-2.953;-14.139;143.351;-4.049;-24.228;115.210;-4.666;-20.162;114.730;23.261;17.380;143.690;-2.501;28.383;114.935;-3.747;20.890;106.542;22.989;2.009;109.271;-2.345
326.000;13.040;1.920;135.088;-3.022;-14.153;143.277;-4.254;-24.293;115.018;-3.317;-20.825;116.576;24.551;17.344;143.746;-2.414;28.378;114.984;-3.288;21.390;102.428;22.163;2.053;109.273;-2.436
327.000;13.080;1.918;135.076;-3.073;-14.174;143.237;-4.466;-24.428;114.976;-1.664;-20.960;119.666;25.713;17.294;143.775;-2.192;28.365;114.976;-2.470;21.820;97.881;20.574;2.102;109.275;-2.537
328.000;13.120;1.920;135.074;-3.100;-14.173;143.266;-4.639;-24.585;115.192;0.247;-20.611;123.612;26.471;17.258;143.773;-1.905;28.360;114.919;-1.411;22.399;93.663;18.148;2.149;109.282;-2.627
329.000;13.160;1.942;135.084;-3.108;-14.116;143.368;-4.797;-24.706;115.749;2.291;-19.865;128.011;26.608;17.255;143.749;-1.626;28.158;114.778;-0.401;23.020;90.314;15.177;2.184;109.293;-2.690
