Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2595.000;103.800;2.509;135.025;-7.991;-13.218;143.981;-8.742;-23.907;116.406;-10.482;-15.897;115.907;16.224;18.220;143.184;-7.945;29.559;114.545;-9.778;19.534;115.535;16.798;2.273;109.090;-7.518
2596.000;103.840;2.509;135.022;-7.973;-13.216;143.977;-8.703;-23.900;116.401;-10.440;-15.869;115.900;16.260;18.219;143.180;-7.938;29.569;114.546;-9.795;19.561;115.515;16.793;2.277;109.089;-7.503
2597.000;103.880;2.506;135.018;-7.957;-13.220;143.970;-8.674;-23.894;116.391;-10.403;-15.857;115.900;16.295;18.217;143.174;-7.922;29.585;114.546;-9.798;19.581;115.492;16.789;2.281;109.090;-7.490
2598.000;103.920;2.507;135.012;-7.942;-13.216;143.970;-8.655;-23.901;116.388;-10.365;-15.860;115.925;16.327;18.219;143.167;-7.911;29.577;114.535;-9.809;19.598;115.485;16.787;2.283;109.087;-7.475
2599.000;103.960;2.506;135.009;-7.928;-13.218;143.967;-8.625;-23.907;116.383;-10.324;-15.845;115.950;16.363;18.216;143.163;-7.903;29.549;114.525;-9.835;19.635;115.486;16.784;2.283;109.085;-7.460
2600.000;104.000;2.505;135.005;-7.910;-13.216;143.967;-8.601;-23.910;116.388;-10.296;-15.834;115.967;16.384;18.217;143.150;-7.889;29.539;114.508;-9.848;19.651;115.496;16.785;2.283;109.088;-7.444
2601.000;104.040;2.501;135.002;-7.898;-13.223;143.964;-8.585;-23.919;116.384;-10.281;-15.831;115.974;16.400;18.213;143.147;-7.882;29.545;114.513;-9.841;19.678;115.514;16.794;2.280;109.085;-7.428
2602.000;104.080;2.495;134.998;-7.886;-13.233;143.951;-8.561;-23.932;116.375;-10.268;-15.858;116.008;16.407;18.204;143.138;-7.869;29.569;114.510;-9.807;19.723;115.563;16.818;2.276;109.085;-7.413
2603.000;104.120;2.483;134.985;-7.884;-13.248;143.940;-8.547;-24.013;116.416;-10.161;-15.939;116.325;16.502;18.185;143.107;-7.862;29.711;114.536;-9.581;19.836;115.894;16.989;2.265;109.086;-7.409
2604.000;104.160;2.472;134.966;-7.909;-13.234;143.967;-8.536;-24.385;116.570;-9.516;-16.115;117.673;17.042;18.178;143.071;-7.855;30.201;114.634;-8.784;20.048;117.138;17.600;2.248;109.093;-7.448
2605.000;104.200;2.458;134.948;-7.993;-13.223;144.016;-8.584;-25.204;116.826;-7.954;-16.224;120.895;18.069;18.151;143.104;-7.927;31.045;114.943;-7.065;20.426;120.041;18.766;2.233;109.097;-7.554
2606.000;104.240;2.447;134.947;-8.152;-13.209;144.160;-8.758;-26.143;117.427;-5.250;-15.939;125.566;19.151;18.119;143.186;-8.037;32.116;115.634;-4.301;20.529;124.402;20.080;2.214;109.112;-7.703
2607.000;104.280;2.433;134.949;-8.360;-13.193;144.333;-8.982;-26.877;118.498;-1.553;-15.391;130.875;20.244;18.087;143.280;-8.104;33.050;116.789;-0.815;20.311;129.499;21.048;2.180;109.137;-7.875
2608.000;104.320;2.401;134.926;-8.595;-13.164;144.474;-9.182;-27.120;120.196;2.566;-14.358;136.108;21.072;18.025;143.404;-8.213;33.528;118.458;3.001;19.723;134.669;21.625;2.150;109.143;-8.052
2609.000;104.360;2.365;134.931;-8.796;-13.151;144.651;-9.321;-26.723;122.444;6.503;-12.947;140.841;21.706;17.950;143.553;-8.326;33.435;120.589;6.606;18.728;139.379;21.831;2.115;109.152;-8.209
2610.000;104.400;2.321;134.956;-8.942;-13.128;144.869;-9.400;-25.880;124.924;9.776;-11.181;144.691;22.273;17.862;143.725;-8.380;32.879;122.836;9.681;17.524;143.253;21.916;2.079;109.168;-8.323
2611.000;104.440;2.265;134.972;-9.040;-13.129;145.048;-9.409;-24.871;127.152;12.191;-9.371;147.599;22.604;17.747;143.863;-8.420;32.072;124.911;12.034;16.306;146.231;22.092;2.042;109.168;-8.396
2612.000;104.480;2.218;134.994;-9.102;-13.090;145.211;-9.371;-23.977;128.893;13.759;-7.724;149.583;22.565;17.655;143.974;-8.452;31.289;126.516;13.590;15.279;148.328;22.190;2.008;109.171;-8.433
2613.000;104.520;2.165;135.014;-9.110;-13.084;145.308;-9.323;-23.342;130.017;14.645;-6.470;150.716;22.324;17.566;144.060;-8.438;30.707;127.557;14.493;14.534;149.609;22.146;1.976;109.170;-8.430
2614.000;104.560;2.120;135.024;-9.106;-13.112;145.351;-9.310;-23.019;130.575;15.037;-5.773;151.193;22.115;17.507;144.106;-8.405;30.439;128.040;14.896;14.167;150.209;21.995;1.948;109.168;-8.413
2615.000;104.600;2.080;135.033;-9.091;-13.159;145.337;-9.307;-22.970;130.726;15.109;-5.611;151.348;21.926;17.466;144.123;-8.398;30.415;128.177;14.938;14.162;150.429;21.782;1.931;109.164;-8.385
2616.000;104.640;2.044;135.023;-9.091;-13.211;145.299;-9.333;-23.174;130.734;15.022;-5.682;151.263;21.806;17.421;144.124;-8.410;30.634;128.190;14.786;14.250;150.335;21.632;1.922;109.161;-8.355
2617.000;104.680;2.009;135.008;-9.101;-13.259;145.242;-9.369;-23.540;130.684;14.869;-5.848;150.999;21.765;17.373;144.125;-8.421;30.989;128.132;14.553;14.342;150.021;21.573;1.919;109.157;-8.334
2618.000;104.720;1.992;134.999;-9.101;-13.310;145.181;-9.401;-23.952;130.528;14.629;-6.250;150.726;21.791;17.338;144.127;-8.415;31.334;127.970;14.244;14.563;149.662;21.535;1.917;109.156;-8.323
2619.000;104.760;1.963;134.985;-9.091;-13.357;145.122;-9.420;-24.490;130.242;14.232;-6.974;150.442;21.756;17.298;144.110;-8.403;31.756;127.666;13.813;15.078;149.273;21.424;1.917;109.152;-8.318
2620.000;104.800;1.939;134.967;-9.044;-13.366;145.098;-9.445;-25.516;129.750;13.446;-8.267;149.892;21.450;17.245;144.087;-8.340;32.443;127.052;13.044;16.152;148.688;21.127;1.923;109.155;-8.277
2621.000;104.840;1.941;134.934;-8.949;-13.354;145.000;-9.499;-27.117;128.730;12.012;-10.231;148.668;20.936;17.234;144.015;-8.262;33.443;125.877;11.626;17.879;147.550;20.645;1.928;109.165;-8.174
2622.000;104.880;1.960;134.883;-8.805;-13.390;144.797;-9.507;-28.982;127.004;9.675;-12.774;146.545;20.277;17.319;143.843;-8.234;34.429;124.079;9.359;20.071;145.717;20.050;1.938;109.161;-8.014
2623.000;104.920;1.971;134.839;-8.596;-13.495;144.527;-9.418;-30.606;124.722;6.332;-15.688;143.625;19.488;17.412;143.627;-8.249;35.151;121.895;6.182;22.535;143.250;19.200;1.961;109.148;-7.809
2624.000;104.960;1.956;134.797;-8.329;-13.656;144.189;-9.280;-31.537;122.264;2.149;-18.761;140.134;18.484;17.448;143.401;-8.235;35.362;119.698;2.295;24.992;140.334;17.969;1.984;109.134;-7.550
2625.000;105.000;1.933;134.735;-8.032;-13.771;143.785;-9.154;-31.695;120.297;-2.247;-21.561;136.504;17.280;17.468;143.191;-8.145;34.970;117.925;-1.826;27.164;137.319;16.541;1.994;109.113;-7.268
2626.000;105.040;1.923;134.691;-7.815;-13.839;143.518;-9.065;-31.359;119.257;-5.890;-23.600;133.487;16.088;17.480;143.164;-8.050;34.140;116.942;-5.307;28.828;134.782;15.309;2.016;109.089;-7.034
2627.000;105.080;1.929;134.704;-7.714;-13.862;143.449;-9.081;-31.005;118.952;-8.149;-24.690;131.638;15.186;17.465;143.204;-7.985;33.378;116.573;-7.497;29.820;133.107;14.525;2.047;109.076;-6.905
2628.000;105.120;1.924;134.727;-7.704;-13.861;143.451;-9.148;-30.913;118.952;-9.056;-25.003;130.990;14.724;17.460;143.203;-7.955;33.006;116.443;-8.409;30.181;132.311;14.197;2.067;109.072;-6.865
2629.000;105.160;1.925;134.734;-7.757;-13.839;143.488;-9.235;-31.021;119.070;-9.019;-24.754;131.133;14.652;17.460;143.190;-7.950;32.968;116.431;-8.412;30.057;132.197;14.249;2.085;109.068;-6.882
2630.000;105.200;1.931;134.758;-7.832;-13.804;143.563;-9.307;-31.137;119.242;-8.508;-24.270;131.569;14.853;17.468;143.211;-7.961;33.091;116.485;-7.915;29.681;132.436;14.549;2.096;109.077;-6.950
2631.000;105.240;1.940;134.790;-7.893;-13.773;143.627;-9.324;-31.214;119.380;-7.909;-23.800;131.936;15.161;17.479;143.247;-7.971;33.234;116.572;-7.288;29.210;132.770;14.894;2.093;109.082;-7.042
2632.000;105.280;1.964;134.804;-7.944;-13.737;143.657;-9.322;-31.219;119.424;-7.457;-23.441;132.102;15.415;17.504;143.270;-7.971;33.350;116.618;-6.748;28.785;133.027;15.177;2.081;109.089;-7.138
2633.000;105.320;1.984;134.812;-7.978;-13.714;143.670;-9.306;-31.176;119.402;-7.195;-23.144;132.091;15.586;17.527;143.271;-7.980;33.437;116.632;-6.401;28.438;133.120;15.395;2.068;109.094;-7.218
