Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2237.000;89.480;1.832;135.095;-9.031;-14.137;143.658;-9.617;-24.592;116.059;-11.503;-16.721;113.420;15.129;17.310;143.482;-8.990;29.329;115.057;-10.935;18.495;113.235;15.237;2.137;109.191;-8.495
2238.000;89.520;1.794;135.086;-9.105;-14.176;143.645;-9.667;-24.621;116.042;-11.487;-16.721;113.465;15.140;17.270;143.479;-9.102;29.314;115.063;-11.027;18.593;113.288;15.186;2.111;109.188;-8.534
2239.000;89.560;1.765;135.079;-9.173;-14.209;143.640;-9.718;-24.656;116.034;-11.479;-16.729;113.489;15.142;17.239;143.475;-9.212;29.308;115.062;-11.120;18.707;113.335;15.145;2.089;109.186;-8.568
2240.000;89.600;1.743;135.070;-9.234;-14.231;143.633;-9.767;-24.691;116.027;-11.495;-16.749;113.514;15.129;17.218;143.466;-9.309;29.313;115.062;-11.215;18.808;113.373;15.094;2.075;109.185;-8.595
2241.000;89.640;1.729;135.063;-9.291;-14.241;143.627;-9.817;-24.720;116.032;-11.511;-16.753;113.534;15.111;17.202;143.457;-9.404;29.318;115.061;-11.306;18.892;113.388;15.036;2.060;109.183;-8.619
2242.000;89.680;1.722;135.057;-9.341;-14.244;143.630;-9.860;-24.748;116.045;-11.539;-16.757;113.526;15.089;17.197;143.442;-9.481;29.338;115.054;-11.378;18.950;113.367;14.981;2.047;109.183;-8.634
2243.000;89.720;1.723;135.050;-9.380;-14.240;143.633;-9.887;-24.764;116.060;-11.561;-16.742;113.485;15.089;17.201;143.426;-9.546;29.373;115.039;-11.435;18.950;113.324;14.920;2.041;109.186;-8.647
2244.000;89.760;1.727;135.048;-9.408;-14.228;143.632;-9.886;-24.746;116.069;-11.584;-16.742;113.422;15.108;17.211;143.412;-9.612;29.408;115.025;-11.483;18.931;113.238;14.875;2.034;109.188;-8.656
2245.000;89.800;1.736;135.049;-9.431;-14.218;143.632;-9.853;-24.685;116.067;-11.590;-16.753;113.465;15.152;17.227;143.408;-9.682;29.457;115.017;-11.539;18.883;113.091;14.856;2.025;109.190;-8.657
2246.000;89.840;1.750;135.050;-9.449;-14.212;143.639;-9.818;-24.580;116.080;-11.479;-16.962;113.877;15.353;17.242;143.430;-9.738;29.577;115.065;-11.600;18.712;112.843;14.819;2.014;109.193;-8.654
2247.000;89.880;1.783;135.052;-9.484;-14.185;143.631;-9.828;-24.472;116.055;-10.891;-17.247;115.270;15.966;17.262;143.480;-9.772;29.780;115.185;-11.666;18.389;112.321;14.644;2.012;109.197;-8.675
2248.000;89.920;1.836;135.053;-9.517;-14.154;143.634;-9.910;-24.525;116.029;-9.494;-17.415;118.635;17.069;17.286;143.538;-9.713;30.146;115.391;-11.707;17.815;111.451;14.150;2.030;109.196;-8.733
2249.000;89.960;1.883;135.088;-9.556;-14.116;143.760;-10.064;-24.582;116.250;-6.833;-16.947;124.073;18.331;17.309;143.597;-9.551;30.675;115.667;-11.638;16.875;110.326;13.278;2.081;109.197;-8.827
2250.000;90.000;1.917;135.140;-9.570;-14.057;143.972;-10.196;-24.508;117.030;-2.855;-15.889;130.662;19.114;17.337;143.645;-9.377;31.174;115.922;-11.434;15.816;109.154;12.208;2.136;109.218;-8.912
2251.000;90.040;1.949;135.177;-9.547;-13.953;144.179;-10.211;-24.213;118.721;1.860;-13.970;137.025;19.101;17.375;143.680;-9.252;31.407;116.041;-11.201;14.846;108.262;11.257;2.184;109.243;-8.985
2252.000;90.080;1.943;135.218;-9.486;-13.869;144.399;-10.092;-23.503;121.283;6.412;-11.500;142.318;18.545;17.386;143.730;-9.206;31.450;116.096;-10.923;13.960;107.779;10.602;2.232;109.265;-9.045
2253.000;90.120;1.890;135.276;-9.375;-13.796;144.683;-9.901;-22.645;124.219;9.982;-8.238;145.883;17.490;17.369;143.815;-9.223;31.342;116.129;-10.599;13.101;107.639;10.238;2.273;109.298;-9.056
2254.000;90.160;1.776;135.362;-9.272;-13.738;145.006;-9.733;-21.776;126.818;12.359;-4.780;147.587;15.939;17.276;143.941;-9.271;31.213;116.255;-10.265;12.552;107.781;10.209;2.281;109.332;-8.995
2255.000;90.200;1.648;135.412;-9.203;-13.718;145.217;-9.655;-21.077;128.466;13.584;-1.591;147.333;14.244;17.146;144.025;-9.309;31.223;116.412;-9.977;12.425;107.983;10.384;2.263;109.349;-8.870
2256.000;90.240;1.560;135.399;-9.203;-13.710;145.225;-9.627;-20.728;128.801;13.887;0.739;145.469;12.928;17.060;144.022;-9.380;31.317;116.472;-9.798;12.541;108.085;10.609;2.250;109.321;-8.722
2257.000;90.280;1.557;135.330;-9.257;-13.696;145.018;-9.610;-21.149;127.723;13.203;1.592;142.744;12.716;17.043;143.990;-9.533;31.386;116.463;-9.782;12.790;108.065;10.796;2.250;109.276;-8.555
2258.000;90.320;1.692;135.209;-9.355;-13.632;144.685;-9.648;-22.567;125.893;11.579;0.786;139.677;14.907;17.171;143.884;-9.809;31.390;116.294;-10.011;13.069;108.092;10.908;2.268;109.232;-8.374
2259.000;90.360;1.908;135.065;-9.507;-13.575;144.432;-9.864;-24.414;124.416;9.376;-2.578;137.289;20.126;17.356;143.725;-10.185;31.349;116.049;-10.413;13.382;108.200;10.944;2.296;109.181;-8.217
2260.000;90.400;2.096;134.995;-9.675;-13.467;144.468;-10.284;-25.172;124.264;8.162;-8.199;137.051;26.192;17.523;143.605;-10.472;31.332;115.911;-10.935;13.729;108.283;10.809;2.343;109.134;-8.131
2261.000;90.440;2.224;135.054;-9.695;-13.323;144.664;-10.433;-25.461;125.221;8.570;-13.118;140.257;28.595;17.647;143.647;-10.489;31.450;116.018;-11.307;14.033;108.283;10.536;2.423;109.131;-8.104
2262.000;90.480;2.223;135.132;-9.489;-13.280;144.847;-10.331;-25.611;127.032;10.024;-14.798;145.642;27.630;17.649;143.721;-10.251;31.687;116.215;-11.309;14.167;108.225;10.328;2.517;109.158;-8.058
2263.000;90.520;2.204;135.174;-9.283;-13.230;144.982;-10.245;-25.370;129.428;11.868;-13.509;150.575;25.120;17.625;143.807;-9.912;31.951;116.451;-10.946;14.087;108.076;10.251;2.590;109.207;-7.991
2264.000;90.560;2.202;135.196;-9.126;-13.159;145.117;-10.065;-24.691;131.612;13.596;-10.866;153.611;22.589;17.631;143.838;-9.632;32.185;116.558;-10.415;13.849;107.899;10.263;2.646;109.231;-7.968
2265.000;90.600;2.188;135.220;-9.030;-13.061;145.300;-9.839;-23.522;132.889;14.813;-7.515;154.370;20.695;17.667;143.806;-9.455;32.309;116.514;-9.809;13.507;107.852;10.446;2.665;109.238;-7.999
2266.000;90.640;2.211;135.238;-8.987;-12.951;145.390;-9.590;-22.302;133.151;15.550;-4.040;153.204;19.579;17.733;143.771;-9.385;32.294;116.402;-9.450;13.241;107.926;10.666;2.663;109.245;-8.036
2267.000;90.680;2.283;135.200;-9.010;-12.804;145.353;-9.379;-21.145;132.098;15.651;-0.986;150.401;19.171;17.851;143.680;-9.453;32.178;116.181;-9.377;13.055;108.027;10.818;2.637;109.236;-8.035
