Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1694.000;67.760;1.499;135.045;-6.538;-14.271;143.788;-7.777;-25.339;116.490;-9.665;-16.490;120.309;16.365;17.044;143.617;-6.306;29.338;115.457;-8.031;16.875;121.775;16.318;1.751;108.966;-5.861
1695.000;67.800;1.529;135.045;-6.585;-14.222;143.816;-7.836;-25.595;116.618;-9.514;-16.569;120.594;16.420;17.080;143.620;-6.344;29.405;115.456;-7.837;16.595;121.859;16.337;1.750;108.971;-5.906
1696.000;67.840;1.619;135.043;-6.705;-14.072;143.902;-8.007;-26.540;117.077;-8.825;-16.945;121.663;16.824;17.191;143.633;-6.386;29.573;115.452;-7.176;15.822;122.114;16.446;1.771;108.978;-6.011
1697.000;67.880;1.761;135.043;-6.867;-13.831;144.062;-8.266;-28.177;118.063;-7.448;-17.496;123.590;17.627;17.364;143.627;-6.403;29.676;115.381;-6.167;14.937;122.536;16.725;1.805;108.985;-6.123
1698.000;67.920;1.945;135.046;-7.059;-13.511;144.340;-8.563;-30.286;119.788;-5.480;-18.289;126.633;18.693;17.591;143.593;-6.458;29.574;115.236;-4.915;14.167;123.077;17.312;1.857;108.992;-6.258
1699.000;67.960;2.142;135.064;-7.269;-13.157;144.718;-8.872;-32.474;122.367;-3.157;-19.099;130.617;19.846;17.856;143.522;-6.555;29.209;115.013;-3.590;13.569;123.630;18.225;1.923;109.000;-6.404
1700.000;68.000;2.329;135.085;-7.481;-12.792;145.155;-9.155;-34.474;125.822;-0.699;-19.514;135.224;20.889;18.119;143.427;-6.657;28.701;114.773;-2.226;12.901;124.138;19.259;1.985;109.006;-6.567
1701.000;68.040;2.499;135.104;-7.667;-12.390;145.607;-9.400;-36.025;130.006;1.646;-19.487;140.183;21.741;18.357;143.342;-6.719;28.174;114.657;-0.829;11.969;124.705;20.128;2.013;109.014;-6.714
1702.000;68.080;2.624;135.150;-7.788;-12.012;146.055;-9.576;-36.914;134.548;3.656;-18.955;145.164;22.289;18.556;143.274;-6.755;27.639;114.663;0.561;10.866;125.387;20.761;2.016;109.026;-6.841
