Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
614.000;24.560;2.579;135.071;-4.226;-13.279;143.706;-5.415;-24.183;116.090;-7.363;-14.841;113.845;18.862;18.188;143.199;-3.814;29.949;114.734;-5.731;17.800;113.321;19.845;2.405;109.245;-3.376
615.000;24.600;2.612;135.067;-4.195;-13.244;143.702;-5.397;-24.148;116.087;-7.376;-14.846;113.830;18.865;18.220;143.193;-3.759;29.973;114.724;-5.672;17.797;113.300;19.890;2.428;109.242;-3.348
616.000;24.640;2.640;135.064;-4.164;-13.217;143.697;-5.369;-24.114;116.080;-7.381;-14.838;113.806;18.868;18.246;143.191;-3.707;29.999;114.722;-5.629;17.801;113.284;19.924;2.451;109.239;-3.320
617.000;24.680;2.664;135.061;-4.134;-13.192;143.695;-5.342;-24.083;116.078;-7.382;-14.828;113.788;18.873;18.269;143.188;-3.663;30.030;114.721;-5.594;17.812;113.274;19.952;2.472;109.239;-3.289
618.000;24.720;2.685;135.057;-4.107;-13.169;143.693;-5.315;-24.059;116.077;-7.371;-14.813;113.779;18.886;18.293;143.180;-3.630;30.058;114.715;-5.570;17.838;113.260;19.974;2.493;109.238;-3.260
619.000;24.760;2.705;135.053;-4.082;-13.148;143.688;-5.285;-24.037;116.076;-7.347;-14.787;113.775;18.907;18.314;143.173;-3.604;30.076;114.707;-5.559;17.880;113.245;19.994;2.512;109.235;-3.235
620.000;24.800;2.724;135.048;-4.059;-13.127;143.688;-5.253;-24.024;116.079;-7.308;-14.752;113.773;18.940;18.334;143.166;-3.583;30.092;114.699;-5.553;17.921;113.232;20.010;2.531;109.235;-3.210
621.000;24.840;2.741;135.045;-4.038;-13.109;143.688;-5.216;-24.013;116.082;-7.251;-14.714;113.760;18.989;18.353;143.162;-3.578;30.109;114.693;-5.552;17.963;113.221;20.028;2.548;109.235;-3.184
622.000;24.880;2.761;135.043;-4.020;-13.092;143.677;-5.167;-24.012;116.094;-7.162;-14.765;113.718;19.064;18.372;143.168;-3.589;30.159;114.705;-5.545;17.995;113.195;20.066;2.564;109.233;-3.162
623.000;24.920;2.801;135.038;-4.026;-13.047;143.641;-5.165;-24.156;116.127;-6.745;-15.353;113.840;19.583;18.400;143.206;-3.603;30.298;114.784;-5.541;17.957;113.114;20.072;2.585;109.233;-3.160
624.000;24.960;2.921;135.038;-4.072;-12.906;143.627;-5.269;-24.558;116.277;-5.703;-16.785;114.503;20.958;18.495;143.270;-3.588;30.572;114.934;-5.511;17.847;112.807;20.029;2.622;109.235;-3.203
625.000;25.000;3.099;135.051;-4.134;-12.702;143.644;-5.415;-25.205;116.592;-4.182;-18.964;116.482;22.896;18.641;143.356;-3.542;30.950;115.119;-5.383;17.694;111.934;19.930;2.706;109.240;-3.287
626.000;25.040;3.260;135.077;-4.166;-12.521;143.736;-5.566;-26.018;117.246;-2.396;-21.423;120.283;24.754;18.759;143.460;-3.465;31.268;115.301;-5.115;17.627;110.185;19.774;2.825;109.257;-3.370
