Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1287.000;51.480;0.830;134.760;-4.203;-14.811;143.848;-5.146;-26.021;116.866;-8.509;-20.487;105.374;17.133;16.538;143.062;-4.403;27.318;115.201;-9.687;22.391;104.904;16.722;0.902;108.765;-3.475
1288.000;51.520;0.858;134.764;-4.196;-14.781;143.857;-5.187;-25.962;116.875;-8.592;-20.462;105.400;17.061;16.571;143.060;-4.359;27.365;115.179;-9.534;22.236;105.004;16.887;0.918;108.764;-3.469
1289.000;51.560;0.881;134.770;-4.187;-14.755;143.858;-5.218;-25.935;116.888;-8.700;-20.490;105.392;16.955;16.595;143.069;-4.310;27.444;115.189;-9.410;22.143;105.098;17.010;0.931;108.766;-3.464
1290.000;51.600;0.906;134.776;-4.182;-14.722;143.872;-5.246;-25.939;116.929;-8.805;-20.592;105.368;16.838;16.625;143.070;-4.278;27.516;115.190;-9.325;22.080;105.155;17.086;0.954;108.771;-3.457
1291.000;51.640;0.926;134.782;-4.182;-14.700;143.872;-5.277;-25.951;116.959;-8.910;-20.717;105.328;16.727;16.644;143.079;-4.250;27.594;115.211;-9.260;22.073;105.212;17.142;0.964;108.774;-3.457
1292.000;51.680;0.951;134.787;-4.173;-14.675;143.878;-5.284;-25.981;117.005;-8.981;-20.853;105.313;16.645;16.671;143.083;-4.219;27.654;115.227;-9.226;22.123;105.232;17.176;0.980;108.771;-3.461
1293.000;51.720;0.974;134.796;-4.166;-14.649;143.888;-5.295;-25.994;117.037;-9.044;-20.981;105.332;16.596;16.693;143.093;-4.197;27.718;115.249;-9.206;22.199;105.268;17.201;0.997;108.772;-3.471
1294.000;51.760;0.984;134.808;-4.160;-14.640;143.895;-5.300;-26.000;117.064;-9.080;-21.092;105.369;16.585;16.703;143.106;-4.183;27.782;115.281;-9.181;22.279;105.324;17.242;1.009;108.772;-3.483
1295.000;51.800;0.997;134.813;-4.155;-14.632;143.900;-5.297;-26.000;117.074;-9.097;-21.179;105.416;16.602;16.711;143.115;-4.174;27.843;115.300;-9.176;22.409;105.415;17.302;1.021;108.770;-3.488
