Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2753.000;110.120;0.543;134.895;-5.319;-15.249;143.719;-6.228;-26.279;116.628;-9.390;-16.497;112.591;16.753;16.147;143.264;-5.253;28.550;115.192;-8.729;17.175;111.931;17.300;0.674;108.695;-4.747
2754.000;110.160;0.534;134.885;-5.324;-15.264;143.701;-6.227;-26.280;116.606;-9.408;-16.534;112.578;16.743;16.132;143.260;-5.266;28.539;115.192;-8.756;17.192;111.923;17.285;0.668;108.692;-4.741
2755.000;110.200;0.525;134.875;-5.329;-15.273;143.684;-6.228;-26.278;116.585;-9.423;-16.552;112.572;16.743;16.120;143.251;-5.272;28.523;115.183;-8.776;17.198;111.913;17.275;0.662;108.691;-4.733
2756.000;110.240;0.513;134.867;-5.334;-15.285;143.669;-6.225;-26.269;116.566;-9.424;-16.559;112.560;16.750;16.105;143.246;-5.282;28.502;115.181;-8.809;17.206;111.909;17.257;0.652;108.690;-4.724
2757.000;110.280;0.507;134.859;-5.338;-15.290;143.660;-6.223;-26.264;116.554;-9.425;-16.571;112.550;16.754;16.101;143.238;-5.290;28.478;115.167;-8.838;17.209;111.888;17.239;0.649;108.690;-4.719
2758.000;110.320;0.500;134.854;-5.346;-15.301;143.644;-6.225;-26.269;116.534;-9.435;-16.576;112.542;16.742;16.091;143.235;-5.297;28.461;115.163;-8.846;17.201;111.855;17.235;0.643;108.689;-4.714
2759.000;110.360;0.489;134.847;-5.361;-15.322;143.648;-6.223;-26.280;116.547;-9.396;-16.526;112.619;16.758;16.074;143.242;-5.314;28.447;115.170;-8.854;17.193;111.764;17.225;0.633;108.691;-4.713
2760.000;110.400;0.481;134.855;-5.399;-15.330;143.702;-6.229;-26.296;116.594;-9.132;-16.448;113.110;16.905;16.067;143.256;-5.329;28.476;115.193;-8.843;17.142;111.581;17.196;0.629;108.687;-4.724
2761.000;110.440;0.482;134.873;-5.447;-15.325;143.771;-6.248;-26.393;116.576;-8.365;-16.211;114.589;17.427;16.066;143.294;-5.356;28.549;115.251;-8.811;17.080;111.202;17.135;0.625;108.690;-4.768
2762.000;110.480;0.503;134.896;-5.533;-15.287;143.863;-6.319;-26.450;116.523;-6.810;-15.650;117.353;18.597;16.084;143.339;-5.402;28.662;115.317;-8.708;16.952;110.374;17.051;0.611;108.693;-4.851
2763.000;110.520;0.533;134.919;-5.633;-15.247;143.975;-6.387;-26.379;116.528;-4.430;-14.892;121.304;20.060;16.109;143.372;-5.508;28.756;115.340;-8.473;16.770;108.809;16.938;0.615;108.694;-4.969
2764.000;110.560;0.547;134.939;-5.749;-15.224;144.149;-6.432;-26.054;116.801;-1.365;-14.132;126.043;21.417;16.131;143.385;-5.656;28.776;115.285;-8.116;16.597;106.506;16.661;0.610;108.716;-5.102
2765.000;110.600;0.537;134.967;-5.862;-15.181;144.358;-6.469;-25.469;117.526;2.075;-13.284;131.134;22.241;16.142;143.353;-5.809;28.708;115.138;-7.730;16.514;103.753;16.122;0.597;108.728;-5.228
2766.000;110.640;0.509;134.996;-5.956;-15.148;144.581;-6.411;-24.680;118.743;5.555;-12.439;136.074;22.402;16.147;143.310;-5.974;28.553;114.947;-7.335;16.584;100.806;15.247;0.586;108.734;-5.362
