Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1899.000;75.960;1.838;135.017;-5.364;-13.744;144.241;-6.141;-24.673;116.910;-8.559;-17.968;113.907;18.422;17.604;143.049;-5.219;28.350;114.373;-8.234;21.856;113.885;19.278;1.760;108.940;-5.049
1900.000;76.000;1.831;135.020;-5.364;-13.753;144.236;-6.159;-24.664;116.900;-8.600;-17.978;113.901;18.388;17.596;143.059;-5.208;28.356;114.386;-8.207;21.830;113.893;19.299;1.758;108.940;-5.051
1901.000;76.040;1.807;135.029;-5.363;-13.788;144.222;-6.207;-24.639;116.874;-8.745;-18.026;113.879;18.261;17.562;143.093;-5.153;28.355;114.424;-8.113;21.696;113.896;19.361;1.750;108.941;-5.064
1902.000;76.080;1.787;135.038;-5.370;-13.823;144.205;-6.268;-24.636;116.852;-8.851;-18.087;113.897;18.169;17.529;143.128;-5.113;28.364;114.470;-8.026;21.547;113.932;19.420;1.741;108.942;-5.083
1903.000;76.120;1.770;135.047;-5.387;-13.842;144.201;-6.329;-24.645;116.840;-8.922;-18.140;113.953;18.116;17.507;143.152;-5.082;28.374;114.495;-7.943;21.372;113.967;19.459;1.731;108.943;-5.109
1904.000;76.160;1.753;135.056;-5.405;-13.867;144.190;-6.380;-24.656;116.824;-8.951;-18.221;114.029;18.104;17.482;143.179;-5.075;28.378;114.526;-7.884;21.255;114.047;19.483;1.723;108.947;-5.138
1905.000;76.200;1.738;135.067;-5.425;-13.887;144.186;-6.424;-24.677;116.819;-8.967;-18.309;114.160;18.109;17.461;143.204;-5.090;28.386;114.550;-7.821;21.136;114.140;19.510;1.717;108.948;-5.167
1906.000;76.240;1.713;135.077;-5.452;-13.915;144.186;-6.464;-24.712;116.815;-8.960;-18.391;114.312;18.134;17.435;143.228;-5.122;28.370;114.573;-7.788;21.085;114.273;19.531;1.714;108.953;-5.196
1907.000;76.280;1.691;135.087;-5.478;-13.941;144.186;-6.492;-24.763;116.816;-8.929;-18.464;114.460;18.173;17.408;143.252;-5.163;28.354;114.599;-7.777;21.079;114.393;19.549;1.702;108.956;-5.223
