Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1049.000;41.960;-0.648;135.107;-4.205;-16.475;143.763;-5.616;-26.627;115.911;-5.369;-18.590;115.454;21.530;14.953;143.388;-4.394;25.211;114.401;-4.631;16.685;116.414;22.360;-0.864;109.261;-3.074
1050.000;42.000;-0.648;135.099;-4.181;-16.475;143.753;-5.584;-26.641;115.910;-5.354;-18.577;115.438;21.534;14.953;143.378;-4.379;25.189;114.383;-4.632;16.702;116.407;22.370;-0.864;109.259;-3.045
1051.000;42.040;-0.648;135.091;-4.163;-16.474;143.748;-5.562;-26.644;115.906;-5.343;-18.591;115.445;21.553;14.952;143.368;-4.365;25.175;114.371;-4.630;16.713;116.417;22.377;-0.863;109.256;-3.017
1052.000;42.080;-0.644;135.085;-4.144;-16.465;143.749;-5.552;-26.640;115.909;-5.322;-18.606;115.448;21.580;14.960;143.355;-4.347;25.174;114.357;-4.623;16.730;116.416;22.384;-0.865;109.257;-2.988
1053.000;42.120;-0.637;135.080;-4.128;-16.460;143.741;-5.542;-26.633;115.904;-5.300;-18.634;115.453;21.614;14.966;143.347;-4.327;25.172;114.346;-4.611;16.743;116.400;22.401;-0.864;109.255;-2.960
1054.000;42.160;-0.634;135.073;-4.113;-16.457;143.734;-5.535;-26.626;115.891;-5.287;-18.679;115.461;21.640;14.968;143.344;-4.308;25.187;114.349;-4.590;16.753;116.398;22.424;-0.862;109.251;-2.940
1055.000;42.200;-0.632;135.069;-4.094;-16.456;143.724;-5.527;-26.611;115.874;-5.284;-18.710;115.473;21.659;14.969;143.344;-4.277;25.202;114.351;-4.568;16.768;116.393;22.440;-0.861;109.249;-2.921
1056.000;42.240;-0.629;135.065;-4.079;-16.451;143.719;-5.520;-26.604;115.872;-5.293;-18.740;115.478;21.664;14.970;143.344;-4.254;25.225;114.358;-4.554;16.775;116.403;22.450;-0.859;109.248;-2.901
1057.000;42.280;-0.625;135.062;-4.069;-16.450;143.712;-5.521;-26.600;115.862;-5.311;-18.770;115.479;21.656;14.971;143.344;-4.238;25.243;114.363;-4.529;16.775;116.432;22.469;-0.860;109.247;-2.884
1058.000;42.320;-0.620;135.060;-4.070;-16.444;143.709;-5.531;-26.598;115.864;-5.328;-18.802;115.487;21.649;14.978;143.336;-4.232;25.254;114.355;-4.504;16.768;116.459;22.484;-0.856;109.244;-2.874
1059.000;42.360;-0.616;135.053;-4.065;-16.443;143.699;-5.528;-26.596;115.853;-5.339;-18.829;115.524;21.649;14.980;143.335;-4.217;25.264;114.358;-4.492;16.765;116.516;22.491;-0.853;109.244;-2.867
1060.000;42.400;-0.615;135.049;-4.066;-16.446;143.690;-5.517;-26.641;115.870;-5.308;-18.746;115.824;21.690;14.981;143.321;-4.198;25.335;114.375;-4.427;16.691;116.794;22.518;-0.853;109.244;-2.863
1061.000;42.440;-0.625;135.041;-4.071;-16.441;143.701;-5.505;-26.959;115.993;-4.966;-18.261;117.052;21.769;14.966;143.289;-4.155;25.799;114.471;-4.050;16.217;117.915;22.575;-0.851;109.241;-2.884
1062.000;42.480;-0.639;135.029;-4.097;-16.418;143.727;-5.484;-27.651;116.240;-3.912;-17.909;120.043;22.167;14.931;143.289;-4.129;26.762;114.753;-2.904;15.651;120.399;22.840;-0.853;109.243;-2.963
1063.000;42.520;-0.636;135.054;-4.170;-16.376;143.865;-5.540;-28.669;116.916;-1.820;-17.854;124.923;22.830;14.895;143.395;-4.140;27.823;115.366;-1.000;15.739;124.144;23.424;-0.845;109.252;-3.093
1064.000;42.560;-0.618;135.118;-4.292;-16.315;144.151;-5.685;-29.844;118.320;1.375;-17.820;131.048;23.323;14.867;143.592;-4.200;28.860;116.429;1.702;15.878;128.734;24.085;-0.837;109.282;-3.253
1065.000;42.600;-0.598;135.185;-4.474;-16.209;144.512;-5.894;-30.814;120.621;5.227;-18.022;137.398;23.644;14.848;143.772;-4.325;29.617;117.943;4.967;16.153;133.726;24.699;-0.818;109.304;-3.433
