Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
357.000;14.280;1.276;134.863;-6.725;-14.486;143.816;-7.774;-25.736;116.637;-9.963;-16.530;116.356;16.221;16.917;143.118;-6.577;29.149;114.843;-8.481;17.822;114.897;17.454;1.172;108.999;-5.926
358.000;14.320;1.265;134.859;-6.764;-14.499;143.788;-7.818;-25.740;116.610;-10.017;-16.549;116.354;16.172;16.902;143.125;-6.612;29.146;114.862;-8.520;17.814;114.936;17.411;1.176;108.997;-5.956
359.000;14.360;1.262;134.851;-6.806;-14.504;143.775;-7.864;-25.734;116.596;-10.085;-16.577;116.361;16.113;16.889;143.124;-6.651;29.136;114.863;-8.563;17.802;114.999;17.363;1.179;108.999;-5.980
360.000;14.400;1.256;134.842;-6.849;-14.510;143.752;-7.911;-25.724;116.561;-10.137;-16.579;116.388;16.072;16.880;143.123;-6.698;29.115;114.863;-8.615;17.807;115.105;17.324;1.179;108.996;-6.004
361.000;14.440;1.252;134.833;-6.897;-14.524;143.730;-7.965;-25.696;116.525;-10.204;-16.604;116.429;16.024;16.870;143.125;-6.745;29.075;114.853;-8.641;17.824;115.217;17.301;1.178;108.997;-6.021
362.000;14.480;1.249;134.822;-6.947;-14.528;143.708;-8.011;-25.668;116.497;-10.261;-16.613;116.529;15.969;16.869;143.116;-6.796;29.017;114.837;-8.660;17.838;115.419;17.317;1.176;108.996;-6.038
363.000;14.520;1.250;134.811;-6.996;-14.536;143.692;-8.051;-25.617;116.463;-10.311;-16.664;116.836;15.932;16.878;143.114;-6.858;28.883;114.816;-8.627;17.803;115.886;17.389;1.183;108.993;-6.060
364.000;14.560;1.249;134.808;-7.058;-14.552;143.683;-8.078;-25.506;116.408;-10.228;-16.771;117.627;16.058;16.878;143.140;-6.943;28.681;114.800;-8.477;17.699;116.777;17.566;1.185;108.994;-6.095
365.000;14.600;1.250;134.813;-7.145;-14.556;143.713;-8.149;-25.384;116.359;-9.799;-16.785;119.023;16.507;16.885;143.199;-7.055;28.411;114.784;-8.004;17.384;118.453;17.942;1.193;108.995;-6.149
366.000;14.640;1.251;134.811;-7.245;-14.563;143.726;-8.249;-25.324;116.258;-8.927;-16.515;120.888;17.112;16.888;143.252;-7.219;28.121;114.731;-7.095;16.972;120.454;18.469;1.212;109.006;-6.240
