Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
383.000;15.320;1.259;135.245;-5.011;-14.588;143.939;-6.097;-25.196;116.517;-9.311;-16.975;114.112;17.318;16.823;143.462;-4.453;27.959;114.936;-7.236;17.843;113.971;19.337;1.136;109.263;-4.784
384.000;15.360;1.251;135.236;-4.991;-14.595;143.926;-6.058;-25.194;116.506;-9.297;-16.962;114.066;17.323;16.818;143.448;-4.449;27.938;114.919;-7.270;17.884;113.945;19.326;1.125;109.259;-4.752
385.000;15.400;1.244;135.226;-4.971;-14.601;143.917;-6.019;-25.188;116.497;-9.280;-16.953;114.039;17.334;16.812;143.434;-4.443;27.907;114.899;-7.303;17.931;113.917;19.323;1.114;109.254;-4.721
386.000;15.440;1.237;135.215;-4.950;-14.607;143.909;-5.983;-25.185;116.488;-9.251;-16.940;114.025;17.360;16.807;143.418;-4.436;27.882;114.880;-7.326;17.985;113.880;19.330;1.105;109.250;-4.691
387.000;15.480;1.232;135.204;-4.930;-14.608;143.904;-5.953;-25.189;116.482;-9.212;-16.926;114.025;17.400;16.805;143.401;-4.429;27.869;114.863;-7.339;18.032;113.836;19.340;1.099;109.247;-4.663
388.000;15.520;1.228;135.195;-4.911;-14.607;143.900;-5.927;-25.199;116.479;-9.162;-16.912;114.038;17.445;16.803;143.387;-4.421;27.872;114.850;-7.341;18.062;113.793;19.353;1.092;109.245;-4.637
389.000;15.560;1.228;135.187;-4.897;-14.604;143.899;-5.906;-25.227;116.487;-9.111;-16.896;114.079;17.483;16.805;143.373;-4.416;27.887;114.837;-7.335;18.073;113.745;19.364;1.086;109.241;-4.614
390.000;15.600;1.234;135.182;-4.885;-14.594;143.901;-5.886;-25.266;116.502;-9.071;-16.870;114.148;17.501;16.811;143.362;-4.408;27.911;114.827;-7.324;18.058;113.675;19.374;1.083;109.237;-4.593
391.000;15.640;1.241;135.176;-4.878;-14.582;143.903;-5.869;-25.314;116.526;-9.035;-16.827;114.249;17.502;16.820;143.352;-4.405;27.939;114.815;-7.313;18.031;113.564;19.385;1.082;109.235;-4.572
392.000;15.680;1.246;135.168;-4.884;-14.573;143.915;-5.854;-25.430;116.590;-8.945;-16.778;114.443;17.526;16.826;143.344;-4.411;27.984;114.810;-7.302;17.976;113.384;19.392;1.082;109.232;-4.557
393.000;15.720;1.261;135.161;-4.924;-14.556;143.949;-5.856;-25.772;116.744;-8.559;-16.755;114.979;17.747;16.833;143.355;-4.424;28.070;114.845;-7.265;17.862;113.056;19.401;1.092;109.227;-4.557
394.000;15.760;1.306;135.165;-5.032;-14.491;143.996;-5.955;-26.590;117.054;-7.511;-16.774;116.450;18.391;16.859;143.413;-4.449;28.246;114.951;-7.145;17.680;112.426;19.435;1.111;109.229;-4.590
395.000;15.800;1.406;135.163;-5.219;-14.338;144.075;-6.283;-28.037;117.743;-5.352;-16.738;119.516;19.638;16.924;143.488;-4.495;28.541;115.124;-6.850;17.413;111.203;19.476;1.170;109.226;-4.665
396.000;15.840;1.533;135.158;-5.471;-14.118;144.201;-6.743;-30.012;119.249;-2.042;-16.247;123.586;21.235;17.010;143.526;-4.574;28.947;115.253;-6.309;17.081;109.078;19.433;1.250;109.230;-4.794
397.000;15.880;1.630;135.163;-5.716;-13.900;144.422;-6.982;-31.773;121.780;1.691;-15.643;128.217;22.917;17.089;143.521;-4.703;29.358;115.287;-5.472;16.776;106.064;19.194;1.338;109.226;-4.967
398.000;15.920;1.674;135.210;-5.883;-13.679;144.825;-7.064;-32.977;125.042;5.105;-15.075;133.216;24.366;17.155;143.473;-4.820;29.589;115.189;-4.464;16.673;102.379;18.547;1.421;109.243;-5.137
399.000;15.960;1.698;135.282;-5.938;-13.470;145.324;-7.035;-33.632;128.560;7.924;-14.605;138.114;25.524;17.241;143.356;-4.818;29.566;114.949;-3.547;16.913;98.538;17.318;1.459;109.266;-5.285
400.000;16.000;1.744;135.343;-5.910;-13.217;145.762;-6.965;-33.794;131.850;10.056;-14.315;142.607;26.441;17.351;143.203;-4.727;29.326;114.609;-2.912;17.379;95.013;15.566;1.452;109.284;-5.395
401.000;16.040;1.830;135.400;-5.831;-12.944;146.144;-6.836;-33.609;134.691;11.589;-14.184;146.451;27.506;17.525;143.047;-4.625;28.938;114.201;-2.668;18.034;92.101;13.498;1.416;109.302;-5.471
402.000;16.080;1.960;135.463;-5.733;-12.614;146.511;-6.632;-33.275;137.047;12.708;-14.173;149.562;28.669;17.752;142.909;-4.563;28.429;113.774;-2.856;18.835;89.887;11.334;1.373;109.314;-5.524
403.000;16.120;2.103;135.515;-5.600;-12.292;146.819;-6.364;-33.167;139.104;13.451;-14.076;152.047;29.423;17.997;142.789;-4.550;27.909;113.406;-3.350;19.767;88.298;9.350;1.343;109.318;-5.544
404.000;16.160;2.216;135.565;-5.427;-12.002;147.112;-6.044;-33.203;141.018;14.005;-13.565;154.391;29.100;18.212;142.682;-4.569;27.554;113.143;-4.049;20.842;87.295;7.828;1.320;109.319;-5.537
405.000;16.200;2.301;135.617;-5.194;-11.748;147.373;-5.707;-33.338;142.728;14.373;-13.275;157.268;27.628;18.377;142.598;-4.551;27.530;113.032;-4.640;22.072;86.750;6.900;1.288;109.331;-5.481
406.000;16.240;2.385;135.652;-4.964;-11.537;147.548;-5.497;-33.431;144.260;14.585;-13.405;160.509;25.542;18.499;142.561;-4.481;27.714;113.027;-5.003;22.872;86.460;6.215;1.262;109.348;-5.383
407.000;16.280;2.465;135.675;-4.740;-11.365;147.670;-5.406;-33.497;145.789;14.653;-13.738;163.696;23.071;18.591;142.575;-4.372;28.031;113.129;-5.248;23.570;86.381;5.822;1.259;109.362;-5.265
408.000;16.320;2.519;135.713;-4.516;-11.230;147.766;-5.388;-33.516;147.365;14.641;-14.159;166.682;20.076;18.644;142.652;-4.279;28.319;113.317;-5.391;24.272;86.466;5.645;1.275;109.374;-5.138
409.000;16.360;2.564;135.760;-4.296;-11.097;147.839;-5.410;-33.470;148.984;14.547;-14.488;169.184;16.663;18.686;142.718;-4.198;28.557;113.480;-5.380;24.942;86.599;5.730;1.310;109.385;-5.002
410.000;16.400;2.590;135.784;-4.112;-10.986;147.879;-5.489;-33.383;150.514;14.337;-14.671;171.032;13.232;18.710;142.742;-4.111;28.791;113.580;-5.217;25.559;86.696;5.989;1.358;109.393;-4.854
411.000;16.440;2.618;135.786;-4.001;-10.887;147.891;-5.647;-33.256;151.796;14.035;-14.791;172.228;10.101;18.738;142.736;-4.055;28.958;113.613;-4.862;26.004;86.789;6.529;1.418;109.394;-4.704
