Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2222.000;88.880;1.968;135.031;-6.442;-13.726;143.892;-7.658;-24.474;116.608;-10.609;-17.107;110.158;15.781;17.589;143.252;-5.810;29.145;114.781;-8.277;18.932;112.724;18.168;1.931;108.989;-6.141
2223.000;88.920;1.965;135.027;-6.463;-13.724;143.895;-7.670;-24.478;116.609;-10.624;-17.087;110.223;15.772;17.593;143.238;-5.836;29.134;114.760;-8.314;18.914;112.673;18.126;1.930;108.990;-6.151
2224.000;88.960;1.963;135.024;-6.485;-13.727;143.896;-7.686;-24.488;116.610;-10.630;-17.074;110.289;15.769;17.590;143.229;-5.862;29.118;114.748;-8.358;18.904;112.626;18.080;1.930;108.991;-6.162
2225.000;89.000;1.959;135.023;-6.512;-13.731;143.896;-7.702;-24.493;116.613;-10.627;-17.038;110.355;15.775;17.588;143.223;-5.891;29.092;114.735;-8.412;18.894;112.606;18.034;1.926;108.991;-6.179
2226.000;89.040;1.955;135.021;-6.538;-13.734;143.901;-7.718;-24.493;116.617;-10.647;-17.029;110.420;15.760;17.588;143.215;-5.917;29.066;114.725;-8.465;18.875;112.590;17.979;1.922;108.992;-6.200
2227.000;89.080;1.950;135.022;-6.571;-13.739;143.902;-7.742;-24.498;116.617;-10.641;-17.012;110.497;15.774;17.583;143.215;-5.965;29.060;114.723;-8.507;18.879;112.606;17.947;1.917;108.990;-6.226
2228.000;89.120;1.940;135.021;-6.602;-13.752;143.896;-7.761;-24.512;116.612;-10.642;-17.002;110.531;15.770;17.572;143.216;-6.003;29.057;114.723;-8.558;18.893;112.614;17.904;1.907;108.990;-6.250
2229.000;89.160;1.936;135.020;-6.640;-13.757;143.897;-7.788;-24.523;116.614;-10.652;-16.994;110.586;15.760;17.569;143.210;-6.049;29.057;114.718;-8.603;18.901;112.623;17.865;1.903;108.989;-6.281
2230.000;89.200;1.930;135.018;-6.669;-13.761;143.897;-7.808;-24.540;116.621;-10.687;-16.988;110.660;15.730;17.564;143.205;-6.084;29.049;114.712;-8.645;18.917;112.652;17.837;1.898;108.989;-6.303
2231.000;89.240;1.927;135.019;-6.699;-13.761;143.897;-7.835;-24.558;116.619;-10.752;-16.991;110.826;15.675;17.563;143.207;-6.116;29.041;114.710;-8.689;18.943;112.720;17.801;1.895;108.990;-6.325
2232.000;89.280;1.921;135.019;-6.723;-13.774;143.885;-7.835;-24.629;116.632;-10.790;-17.017;111.209;15.664;17.551;143.207;-6.145;29.041;114.717;-8.737;18.978;112.850;17.771;1.893;108.986;-6.350
2233.000;89.320;1.925;135.023;-6.747;-13.773;143.863;-7.816;-24.893;116.699;-10.721;-17.151;112.038;15.825;17.541;143.226;-6.166;29.122;114.788;-8.748;19.021;113.119;17.757;1.907;108.983;-6.374
2234.000;89.360;1.943;135.037;-6.771;-13.743;143.874;-7.788;-25.434;116.875;-10.416;-17.751;113.317;16.339;17.541;143.272;-6.177;29.385;114.980;-8.726;19.053;113.532;17.752;1.926;108.986;-6.405
2235.000;89.400;1.974;135.063;-6.793;-13.708;143.898;-7.800;-26.244;117.176;-9.842;-18.998;114.990;17.276;17.542;143.352;-6.206;30.042;115.355;-8.647;18.952;114.021;17.665;1.962;108.991;-6.438
2236.000;89.440;2.000;135.079;-6.811;-13.667;143.937;-7.809;-27.277;117.596;-9.043;-20.876;116.834;18.419;17.523;143.414;-6.235;31.235;115.920;-8.582;18.693;114.430;17.211;2.004;109.000;-6.462
2237.000;89.480;2.030;135.088;-6.836;-13.628;143.964;-7.811;-28.337;118.086;-8.164;-23.331;118.855;19.565;17.508;143.453;-6.277;32.712;116.664;-8.608;18.429;114.639;16.307;2.053;109.002;-6.485
2238.000;89.520;2.064;135.101;-6.867;-13.590;144.015;-7.836;-29.374;118.662;-7.202;-26.058;120.807;20.735;17.493;143.526;-6.320;34.222;117.577;-8.735;18.169;114.484;14.957;2.106;109.005;-6.502
2239.000;89.560;2.104;135.115;-6.899;-13.548;144.063;-7.859;-30.319;119.268;-6.289;-28.711;122.588;21.733;17.492;143.585;-6.364;35.567;118.490;-8.944;17.958;113.981;13.380;2.157;109.006;-6.516
2240.000;89.600;2.123;135.128;-6.910;-13.526;144.116;-7.855;-31.099;119.845;-5.581;-30.937;124.040;22.430;17.481;143.620;-6.402;36.653;119.307;-9.231;17.779;113.236;11.679;2.197;109.007;-6.506
2241.000;89.640;2.113;135.133;-6.903;-13.522;144.182;-7.849;-31.707;120.365;-5.211;-32.472;125.096;22.728;17.457;143.621;-6.447;37.448;119.971;-9.556;17.674;112.376;10.045;2.226;109.009;-6.474
2242.000;89.680;2.080;135.133;-6.888;-13.529;144.236;-7.835;-32.167;120.782;-5.235;-33.157;125.497;22.705;17.431;143.588;-6.488;37.951;120.394;-9.853;17.800;111.569;8.843;2.238;109.010;-6.429
2243.000;89.720;2.024;135.139;-6.881;-13.559;144.301;-7.821;-32.571;121.160;-5.685;-32.871;125.098;22.392;17.398;143.523;-6.492;38.154;120.561;-10.184;18.566;111.150;8.805;2.206;109.009;-6.390
2244.000;89.760;1.943;135.141;-6.878;-13.596;144.368;-7.786;-33.072;121.645;-6.583;-31.385;123.779;21.592;17.349;143.465;-6.570;37.981;120.453;-10.563;20.400;111.730;10.550;2.126;109.003;-6.384
2245.000;89.800;1.821;135.131;-6.865;-13.682;144.408;-7.687;-33.755;122.332;-7.762;-28.566;121.566;20.049;17.264;143.434;-6.787;37.470;120.051;-10.672;23.308;113.616;13.587;1.998;108.996;-6.373
2246.000;89.840;1.673;135.131;-6.860;-13.799;144.451;-7.554;-34.486;123.166;-8.744;-24.683;118.664;17.358;17.153;143.433;-7.018;36.744;119.462;-10.258;27.019;116.517;16.705;1.833;109.001;-6.347
2247.000;89.880;1.517;135.137;-6.857;-13.924;144.480;-7.422;-35.089;123.852;-9.196;-20.396;115.729;13.480;17.039;143.450;-7.204;36.107;118.943;-9.287;30.708;119.845;18.952;1.639;109.002;-6.309
