Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
131.000;5.240;-0.143;135.054;-5.071;-16.053;143.618;-6.114;-26.575;115.969;-7.897;-18.570;116.168;18.774;15.475;143.261;-5.033;26.311;114.576;-6.868;17.081;116.230;19.729;-0.165;109.213;-3.824
132.000;5.280;-0.132;135.052;-5.056;-16.041;143.616;-6.092;-26.560;115.966;-7.888;-18.557;116.175;18.779;15.487;143.258;-5.011;26.319;114.571;-6.859;17.088;116.238;19.735;-0.154;109.212;-3.813
133.000;5.320;-0.120;135.050;-5.040;-16.029;143.616;-6.068;-26.550;115.969;-7.880;-18.547;116.179;18.786;15.502;143.250;-4.989;26.332;114.561;-6.854;17.102;116.231;19.738;-0.142;109.209;-3.801
134.000;5.360;-0.110;135.046;-5.026;-16.017;143.616;-6.049;-26.544;115.972;-7.872;-18.539;116.179;18.796;15.515;143.241;-4.970;26.340;114.551;-6.849;17.116;116.215;19.743;-0.134;109.206;-3.787
135.000;5.400;-0.104;135.041;-5.010;-16.010;143.612;-6.029;-26.538;115.970;-7.864;-18.536;116.174;18.803;15.521;143.234;-4.952;26.340;114.543;-6.848;17.129;116.197;19.748;-0.129;109.204;-3.771
136.000;5.440;-0.100;135.037;-4.994;-16.006;143.610;-6.010;-26.533;115.969;-7.862;-18.541;116.178;18.808;15.526;143.228;-4.931;26.329;114.533;-6.852;17.133;116.180;19.755;-0.126;109.202;-3.755
137.000;5.480;-0.098;135.034;-4.974;-16.003;143.609;-5.987;-26.530;115.969;-7.854;-18.544;116.189;18.817;15.527;143.223;-4.907;26.323;114.528;-6.846;17.132;116.179;19.764;-0.125;109.200;-3.738
138.000;5.520;-0.100;135.031;-4.953;-16.007;143.605;-5.959;-26.529;115.962;-7.835;-18.540;116.200;18.835;15.525;143.222;-4.886;26.325;114.529;-6.837;17.135;116.191;19.768;-0.128;109.199;-3.721
139.000;5.560;-0.105;135.029;-4.932;-16.012;143.601;-5.932;-26.530;115.954;-7.813;-18.537;116.213;18.855;15.520;143.221;-4.863;26.327;114.531;-6.824;17.135;116.208;19.777;-0.133;109.198;-3.705
140.000;5.600;-0.108;135.028;-4.906;-16.015;143.601;-5.899;-26.532;115.953;-7.790;-18.534;116.226;18.877;15.516;143.218;-4.829;26.325;114.531;-6.804;17.124;116.221;19.792;-0.138;109.199;-3.689
141.000;5.640;-0.110;135.027;-4.877;-16.017;143.604;-5.867;-26.537;115.958;-7.762;-18.529;116.244;18.902;15.515;143.212;-4.793;26.319;114.524;-6.786;17.114;116.244;19.800;-0.147;109.199;-3.672
142.000;5.680;-0.113;135.026;-4.848;-16.020;143.606;-5.835;-26.548;115.964;-7.741;-18.523;116.261;18.918;15.512;143.208;-4.757;26.311;114.520;-6.769;17.091;116.281;19.803;-0.157;109.199;-3.653
143.000;5.720;-0.119;135.021;-4.822;-16.026;143.591;-5.794;-26.563;115.955;-7.724;-18.499;116.347;18.903;15.507;143.197;-4.720;26.319;114.521;-6.765;17.021;116.414;19.755;-0.167;109.199;-3.636
144.000;5.760;-0.119;135.012;-4.780;-16.026;143.566;-5.724;-26.681;115.995;-7.699;-18.463;116.986;18.731;15.500;143.188;-4.650;26.455;114.577;-6.763;16.587;116.921;19.490;-0.179;109.199;-3.622
145.000;5.800;-0.124;135.024;-4.705;-16.026;143.618;-5.626;-27.052;116.250;-7.606;-18.223;118.581;18.383;15.466;143.241;-4.593;26.903;114.795;-6.637;15.364;117.999;18.952;-0.183;109.197;-3.610
146.000;5.840;-0.139;135.112;-4.623;-16.007;143.877;-5.562;-27.717;116.816;-7.234;-17.749;120.647;18.081;15.442;143.323;-4.575;27.413;115.050;-6.335;14.130;119.378;18.270;-0.164;109.220;-3.590
147.000;5.880;-0.114;135.188;-4.582;-15.887;144.205;-5.556;-28.462;117.482;-6.522;-17.295;122.029;18.153;15.504;143.293;-4.603;27.674;115.116;-6.173;13.527;120.357;17.741;-0.156;109.242;-3.576
148.000;5.920;-0.047;135.180;-4.604;-15.713;144.428;-5.531;-29.063;118.010;-5.723;-16.917;122.384;18.559;15.633;143.116;-4.773;27.860;114.929;-5.989;13.066;120.755;17.406;-0.162;109.242;-3.590
149.000;5.960;0.033;135.137;-4.691;-15.534;144.545;-5.468;-29.347;118.291;-5.089;-16.635;122.003;19.083;15.777;142.871;-5.037;27.975;114.595;-5.736;12.657;120.648;17.293;-0.171;109.234;-3.639
150.000;6.000;0.115;135.100;-4.809;-15.371;144.598;-5.378;-29.388;118.401;-4.685;-16.238;121.427;19.405;15.917;142.650;-5.299;28.083;114.288;-5.473;12.326;120.231;17.311;-0.196;109.229;-3.696
151.000;6.040;0.229;135.072;-4.943;-15.164;144.670;-5.364;-29.291;118.526;-4.431;-15.849;121.292;19.559;16.085;142.463;-5.491;28.365;114.114;-5.122;12.031;120.141;17.257;-0.238;109.224;-3.771
152.000;6.080;0.422;135.060;-5.089;-14.832;144.784;-5.546;-29.443;118.969;-4.140;-15.764;122.052;19.680;16.342;142.407;-5.646;28.862;114.201;-4.281;11.552;120.697;17.243;-0.260;109.236;-3.896
153.000;6.120;0.747;135.087;-5.252;-14.344;144.985;-6.000;-30.277;120.081;-3.800;-16.338;123.851;19.753;16.711;142.504;-5.719;29.537;114.643;-2.487;10.697;122.092;17.405;-0.225;109.273;-4.029
154.000;6.160;1.191;135.144;-5.429;-13.717;145.259;-6.614;-31.707;121.825;-3.675;-17.735;126.425;19.683;17.174;142.634;-5.666;30.162;115.401;0.351;9.406;124.130;17.692;-0.095;109.334;-4.186
155.000;6.200;1.682;135.203;-5.590;-13.057;145.520;-7.274;-33.223;123.821;-3.974;-19.677;129.243;19.418;17.659;142.749;-5.450;30.359;116.462;3.901;7.738;126.258;18.104;0.135;109.378;-4.378
156.000;6.240;2.215;135.244;-5.726;-12.408;145.691;-7.937;-34.356;125.595;-4.805;-21.789;131.894;18.888;18.142;142.881;-5.088;29.851;117.719;7.580;5.816;128.317;18.554;0.456;109.398;-4.595
157.000;6.280;2.774;135.282;-5.808;-11.780;145.777;-8.522;-34.925;126.830;-6.038;-23.842;134.057;18.123;18.629;143.023;-4.605;28.617;118.882;10.817;3.749;130.262;18.806;0.838;109.402;-4.801
158.000;6.320;3.356;135.310;-5.842;-11.153;145.764;-9.045;-34.832;127.290;-7.483;-25.610;135.464;17.164;19.128;143.157;-4.075;26.965;119.877;13.414;1.626;131.845;18.846;1.273;109.404;-4.975
159.000;6.360;3.943;135.326;-5.838;-10.539;145.696;-9.499;-34.212;127.148;-8.954;-27.245;136.034;16.200;19.629;143.257;-3.552;25.048;120.538;15.203;-0.587;132.808;18.633;1.720;109.406;-5.109
160.000;6.400;4.493;135.334;-5.825;-9.962;145.591;-9.898;-33.186;126.535;-10.319;-28.748;135.629;15.362;20.093;143.316;-3.059;23.305;120.908;16.315;-2.690;132.918;18.247;2.130;109.414;-5.203
161.000;6.440;4.997;135.321;-5.841;-9.428;145.429;-10.296;-31.864;125.529;-11.516;-30.122;134.100;14.738;20.509;143.324;-2.640;22.028;120.850;16.796;-4.524;132.041;17.798;2.481;109.417;-5.269
162.000;6.480;5.462;135.280;-5.885;-8.956;145.196;-10.659;-30.528;124.398;-12.504;-31.377;131.531;14.349;20.890;143.304;-2.312;21.254;120.477;16.790;-6.080;130.209;17.376;2.770;109.412;-5.317
163.000;6.520;5.869;135.208;-5.965;-8.562;144.917;-10.974;-29.307;123.280;-13.240;-32.426;128.297;14.100;21.231;143.257;-2.115;20.902;119.993;16.566;-7.290;127.664;16.962;3.004;109.396;-5.358
164.000;6.560;6.199;135.130;-6.049;-8.257;144.653;-11.198;-28.293;122.341;-13.697;-32.953;125.051;13.897;21.508;143.216;-2.023;20.970;119.532;16.251;-7.915;124.873;16.444;3.192;109.371;-5.401
165.000;6.600;6.402;135.091;-6.104;-8.110;144.473;-11.272;-27.567;121.686;-14.003;-32.698;123.316;13.615;21.660;143.265;-1.999;21.293;119.291;15.998;-7.944;122.732;15.849;3.342;109.347;-5.442
166.000;6.640;6.503;135.104;-6.115;-8.053;144.441;-11.244;-27.096;121.386;-14.104;-32.113;122.938;13.503;21.738;143.353;-2.037;21.597;119.302;15.889;-7.711;122.157;15.598;3.477;109.344;-5.455
167.000;6.680;6.532;135.143;-6.130;-8.031;144.525;-11.226;-26.871;121.366;-13.991;-31.610;123.472;13.582;21.782;143.396;-2.142;21.742;119.464;15.911;-7.547;122.530;15.770;3.603;109.363;-5.452
168.000;6.720;6.534;135.157;-6.146;-8.012;144.630;-11.189;-26.978;121.558;-13.631;-31.265;124.113;13.948;21.830;143.347;-2.266;21.753;119.621;16.022;-7.441;123.359;16.372;3.694;109.374;-5.442
169.000;6.760;6.497;135.147;-6.162;-8.070;144.686;-11.066;-27.285;121.773;-13.262;-30.976;124.590;14.350;21.834;143.288;-2.399;21.852;119.646;15.992;-7.219;124.020;17.001;3.729;109.373;-5.432
170.000;6.800;6.401;135.153;-6.156;-8.233;144.720;-10.831;-27.609;121.912;-12.933;-30.419;124.932;14.701;21.780;143.275;-2.561;22.225;119.484;15.658;-6.697;124.391;17.531;3.704;109.372;-5.418
171.000;6.840;6.221;135.183;-6.106;-8.506;144.747;-10.498;-27.835;121.907;-12.665;-29.475;125.357;14.890;21.648;143.301;-2.729;22.902;119.047;14.918;-5.741;124.600;18.063;3.615;109.375;-5.393
