Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
944.000;37.760;-0.910;135.097;-4.154;-16.850;143.660;-5.010;-27.840;116.524;-8.164;-18.472;108.278;17.013;14.682;143.356;-4.590;25.714;115.035;-9.174;15.643;108.965;16.860;-0.931;109.163;-3.087
945.000;37.800;-0.946;135.107;-4.207;-16.893;143.653;-5.088;-27.909;116.530;-8.269;-18.599;108.292;16.930;14.638;143.384;-4.617;25.713;115.076;-9.183;15.605;109.057;16.845;-0.944;109.166;-3.146
946.000;37.840;-0.990;135.117;-4.256;-16.945;143.641;-5.154;-27.972;116.524;-8.353;-18.718;108.322;16.877;14.583;143.412;-4.649;25.697;115.118;-9.211;15.578;109.163;16.824;-0.957;109.167;-3.200
947.000;37.880;-1.036;135.123;-4.305;-16.999;143.631;-5.207;-28.025;116.513;-8.433;-18.824;108.372;16.832;14.528;143.432;-4.679;25.669;115.148;-9.256;15.541;109.278;16.796;-0.972;109.166;-3.254
948.000;37.920;-1.077;135.124;-4.353;-17.048;143.620;-5.253;-28.063;116.499;-8.503;-18.904;108.472;16.813;14.480;143.434;-4.709;25.635;115.158;-9.312;15.509;109.473;16.791;-0.996;109.167;-3.305
949.000;37.960;-1.131;135.119;-4.401;-17.111;143.594;-5.298;-28.093;116.459;-8.564;-18.937;108.688;16.823;14.419;143.432;-4.739;25.606;115.170;-9.361;15.539;109.885;16.846;-1.028;109.170;-3.343
950.000;38.000;-1.193;135.109;-4.467;-17.189;143.563;-5.338;-28.133;116.405;-8.598;-18.911;109.249;16.910;14.346;143.442;-4.780;25.562;115.186;-9.353;15.684;110.634;17.035;-1.067;109.174;-3.373
951.000;38.040;-1.275;135.112;-4.569;-17.303;143.527;-5.411;-28.151;116.261;-8.417;-18.749;110.450;17.319;14.236;143.515;-4.832;25.511;115.229;-9.031;15.958;111.859;17.584;-1.101;109.177;-3.422
952.000;38.080;-1.391;135.126;-4.711;-17.466;143.457;-5.554;-28.123;115.944;-7.781;-18.554;112.491;18.266;14.072;143.654;-4.906;25.477;115.284;-8.236;16.315;113.474;18.575;-1.144;109.191;-3.535
953.000;38.120;-1.540;135.132;-4.906;-17.683;143.364;-5.785;-28.041;115.526;-6.545;-18.280;115.331;19.585;13.865;143.826;-4.971;25.399;115.313;-6.978;16.561;115.648;19.955;-1.171;109.207;-3.715
954.000;38.160;-1.716;135.135;-5.160;-17.928;143.270;-6.105;-27.887;115.123;-4.607;-17.836;118.975;21.079;13.621;144.005;-5.051;25.130;115.400;-5.336;16.816;118.596;21.493;-1.201;109.222;-3.945
955.000;38.200;-1.923;135.119;-5.467;-18.211;143.169;-6.473;-27.543;114.922;-2.039;-17.382;123.199;22.481;13.343;144.168;-5.210;24.787;115.581;-3.363;16.992;122.198;22.921;-1.231;109.233;-4.218
956.000;38.240;-2.162;135.090;-5.839;-18.524;143.094;-6.876;-27.002;115.095;0.859;-16.863;127.552;23.520;13.022;144.332;-5.486;24.460;115.999;-1.225;17.063;126.178;23.953;-1.262;109.241;-4.507
957.000;38.280;-2.415;135.061;-6.263;-18.824;143.010;-7.300;-26.330;115.716;3.678;-16.260;131.657;24.063;12.685;144.501;-5.879;24.121;116.648;0.817;17.083;130.047;24.533;-1.304;109.245;-4.798
958.000;38.320;-2.658;135.039;-6.706;-19.119;142.947;-7.696;-25.522;116.625;6.129;-15.637;135.306;24.122;12.364;144.676;-6.366;23.731;117.443;2.556;17.043;133.487;24.670;-1.369;109.245;-5.092
959.000;38.360;-2.881;135.019;-7.123;-19.375;142.912;-8.062;-24.776;117.636;7.942;-15.013;138.186;23.812;12.076;144.806;-6.874;23.347;118.228;3.852;16.913;136.256;24.450;-1.445;109.244;-5.384
960.000;38.400;-3.079;134.997;-7.508;-19.597;142.885;-8.379;-24.231;118.479;9.107;-14.455;140.243;23.203;11.835;144.884;-7.356;23.090;118.869;4.637;16.684;138.289;23.932;-1.525;109.232;-5.672
961.000;38.440;-3.236;134.985;-7.861;-19.773;142.871;-8.657;-23.945;119.068;9.719;-14.001;141.605;22.359;11.651;144.938;-7.786;22.980;119.311;4.922;16.378;139.603;23.234;-1.610;109.226;-5.956
