Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
4448.000;177.920;-0.268;135.112;-5.403;-16.057;144.032;-5.539;-27.664;117.009;-8.113;-16.505;113.064;17.453;15.338;143.385;-5.462;27.716;115.209;-8.484;16.854;112.160;17.745;-0.068;108.757;-5.392
4449.000;177.960;-0.266;135.105;-5.410;-16.051;144.027;-5.550;-27.662;117.004;-8.109;-16.501;113.073;17.454;15.345;143.373;-5.473;27.714;115.194;-8.474;16.849;112.166;17.756;-0.066;108.756;-5.383
4450.000;178.000;-0.262;135.090;-5.418;-16.045;144.013;-5.564;-27.649;116.982;-8.108;-16.488;113.083;17.464;15.349;143.356;-5.487;27.692;115.164;-8.453;16.811;112.153;17.783;-0.061;108.752;-5.359
4451.000;178.040;-0.258;135.072;-5.425;-16.046;143.992;-5.585;-27.622;116.949;-8.101;-16.458;113.091;17.473;15.346;143.340;-5.505;27.685;115.135;-8.422;16.762;112.132;17.811;-0.057;108.749;-5.336
4452.000;178.080;-0.252;135.054;-5.429;-16.034;143.976;-5.587;-27.587;116.925;-8.079;-16.411;113.123;17.495;15.360;143.315;-5.534;27.685;115.094;-8.415;16.718;112.100;17.808;-0.051;108.746;-5.310
4453.000;178.120;-0.237;135.037;-5.437;-16.013;143.967;-5.588;-27.544;116.906;-8.030;-16.372;113.181;17.541;15.378;143.287;-5.573;27.688;115.055;-8.426;16.697;112.039;17.790;-0.047;108.743;-5.286
4454.000;178.160;-0.226;135.025;-5.441;-16.000;143.958;-5.594;-27.509;116.879;-7.979;-16.341;113.254;17.601;15.387;143.270;-5.601;27.684;115.035;-8.451;16.680;111.968;17.768;-0.044;108.743;-5.268
4455.000;178.200;-0.208;135.009;-5.450;-15.981;143.950;-5.596;-27.503;116.866;-7.883;-16.326;113.381;17.699;15.404;143.257;-5.634;27.677;115.013;-8.479;16.690;111.826;17.742;-0.039;108.739;-5.258
4456.000;178.240;-0.186;135.000;-5.470;-15.957;143.954;-5.602;-27.577;116.880;-7.632;-16.302;113.670;17.924;15.425;143.256;-5.660;27.678;115.006;-8.510;16.718;111.571;17.720;-0.022;108.737;-5.258
