Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
151.000;6.040;0.136;135.288;-5.318;-15.849;143.816;-5.938;-26.296;116.368;-8.864;-19.180;108.711;17.353;15.644;143.643;-5.483;27.473;115.298;-8.356;17.899;108.668;17.723;0.393;109.269;-4.831
152.000;6.080;0.150;135.279;-5.285;-15.835;143.805;-5.899;-26.258;116.362;-8.873;-19.124;108.769;17.349;15.658;143.629;-5.454;27.454;115.274;-8.335;17.915;108.681;17.765;0.393;109.266;-4.795
153.000;6.120;0.171;135.268;-5.253;-15.807;143.792;-5.853;-26.221;116.353;-8.891;-19.046;108.872;17.350;15.679;143.608;-5.413;27.435;115.246;-8.316;17.928;108.647;17.804;0.401;109.259;-4.761
154.000;6.160;0.193;135.253;-5.229;-15.783;143.784;-5.813;-26.184;116.342;-8.900;-18.936;109.136;17.379;15.705;143.593;-5.376;27.425;115.222;-8.305;17.981;108.572;17.850;0.409;109.254;-4.733
155.000;6.200;0.213;135.241;-5.214;-15.761;143.796;-5.776;-26.165;116.358;-8.812;-18.742;109.779;17.551;15.728;143.581;-5.343;27.427;115.204;-8.302;18.097;108.431;17.911;0.418;109.262;-4.711
156.000;6.240;0.243;135.245;-5.219;-15.720;143.846;-5.746;-26.288;116.384;-8.318;-18.285;111.206;18.124;15.768;143.590;-5.310;27.449;115.217;-8.327;18.251;108.147;17.987;0.407;109.261;-4.710
157.000;6.280;0.289;135.263;-5.252;-15.645;143.929;-5.754;-26.637;116.422;-7.072;-17.453;113.947;19.282;15.817;143.613;-5.283;27.487;115.260;-8.357;18.443;107.453;17.956;0.419;109.255;-4.758
158.000;6.320;0.339;135.284;-5.274;-15.551;144.069;-5.775;-27.044;116.565;-4.884;-16.200;118.288;20.791;15.874;143.624;-5.239;27.541;115.278;-8.328;18.642;106.038;17.711;0.446;109.257;-4.851
159.000;6.360;0.383;135.313;-5.293;-15.444;144.291;-5.783;-27.363;117.032;-1.665;-14.643;123.872;22.164;15.937;143.607;-5.169;27.584;115.249;-8.179;18.854;103.876;17.174;0.471;109.268;-4.984
160.000;6.400;0.433;135.337;-5.291;-15.278;144.533;-5.784;-27.461;118.086;2.324;-12.964;129.928;22.932;16.016;143.550;-5.051;27.641;115.149;-7.962;19.042;101.343;16.302;0.501;109.284;-5.119
161.000;6.440;0.466;135.367;-5.253;-15.136;144.794;-5.691;-27.167;119.803;6.478;-11.349;135.714;22.865;16.078;143.507;-4.941;27.683;115.046;-7.691;19.239;98.676;15.080;0.532;109.306;-5.236
162.000;6.480;0.463;135.414;-5.165;-15.039;145.082;-5.466;-26.523;121.960;10.344;-9.817;140.880;21.878;16.111;143.482;-4.860;27.661;114.955;-7.442;19.543;96.177;13.590;0.557;109.329;-5.331
163.000;6.520;0.423;135.472;-5.026;-14.954;145.389;-5.137;-25.538;124.208;13.579;-8.505;144.979;20.262;16.123;143.435;-4.828;27.546;114.839;-7.413;19.955;94.242;12.056;0.574;109.357;-5.387
164.000;6.560;0.392;135.514;-4.884;-14.856;145.647;-4.758;-24.545;126.119;15.938;-7.634;147.764;18.607;16.145;143.389;-4.892;27.326;114.728;-7.685;20.393;92.937;10.691;0.582;109.365;-5.405
165.000;6.600;0.386;135.558;-4.744;-14.761;145.866;-4.356;-23.677;127.458;17.499;-7.124;149.428;17.102;16.183;143.347;-5.020;27.058;114.632;-8.175;20.812;92.123;9.570;0.598;109.381;-5.376
166.000;6.640;0.398;135.593;-4.622;-14.687;145.988;-4.041;-22.985;128.183;18.395;-6.820;150.243;15.993;16.223;143.318;-5.168;26.806;114.575;-8.761;21.176;91.682;8.690;0.612;109.389;-5.325
167.000;6.680;0.436;135.614;-4.544;-14.640;146.010;-3.808;-22.523;128.465;18.901;-6.623;150.520;15.326;16.261;143.314;-5.305;26.629;114.586;-9.317;21.530;91.532;8.093;0.621;109.390;-5.265
168.000;6.720;0.475;135.605;-4.518;-14.608;145.983;-3.672;-22.171;128.489;19.133;-6.451;150.552;15.018;16.288;143.326;-5.414;26.590;114.655;-9.726;21.882;91.566;7.757;0.637;109.384;-5.201
169.000;6.760;0.504;135.594;-4.516;-14.593;145.940;-3.594;-21.843;128.367;19.208;-6.268;150.505;14.971;16.298;143.343;-5.513;26.674;114.741;-9.947;22.217;91.674;7.645;0.664;109.377;-5.140
170.000;6.800;0.524;135.576;-4.512;-14.594;145.883;-3.548;-21.561;128.168;19.221;-6.136;150.399;14.877;16.299;143.359;-5.576;26.816;114.806;-10.019;22.531;91.801;7.696;0.702;109.369;-5.089
171.000;6.840;0.546;135.548;-4.520;-14.595;145.812;-3.539;-21.357;127.893;19.136;-6.021;150.215;14.875;16.307;143.371;-5.619;26.956;114.856;-9.985;22.846;91.940;7.881;0.748;109.362;-5.037
172.000;6.880;0.568;135.530;-4.533;-14.576;145.765;-3.568;-21.429;127.461;18.777;-5.860;149.763;15.163;16.313;143.378;-5.663;27.088;114.881;-9.886;23.149;92.103;8.192;0.805;109.358;-4.978
173.000;6.920;0.626;135.518;-4.569;-14.476;145.738;-3.708;-22.151;126.802;17.833;-5.249;148.354;16.134;16.369;143.351;-5.744;27.200;114.854;-9.771;23.388;92.285;8.583;0.873;109.360;-4.909
174.000;6.960;0.718;135.445;-4.683;-14.444;145.530;-4.024;-23.460;126.005;16.394;-3.801;145.260;18.334;16.447;143.295;-5.896;27.297;114.764;-9.668;23.553;92.482;9.039;0.935;109.356;-4.839
175.000;7.000;0.821;135.327;-4.887;-14.427;145.323;-4.455;-24.623;125.388;14.841;-2.661;140.624;22.855;16.523;143.235;-6.046;27.385;114.689;-9.570;23.619;92.710;9.482;1.003;109.334;-4.783
176.000;7.040;0.928;135.239;-5.156;-14.364;145.170;-4.910;-24.967;124.843;13.736;-3.174;135.885;27.767;16.621;143.208;-6.169;27.516;114.667;-9.442;23.555;92.958;9.880;1.075;109.311;-4.769
177.000;7.080;1.028;135.178;-5.375;-14.316;145.006;-5.127;-24.828;124.145;13.177;-4.490;131.667;31.666;16.713;143.188;-6.325;27.705;114.635;-9.279;23.392;93.216;10.287;1.153;109.290;-4.784
178.000;7.120;1.099;135.110;-5.459;-14.328;144.798;-5.144;-24.702;123.354;12.726;-5.786;129.078;33.448;16.765;143.166;-6.442;27.876;114.597;-9.153;23.172;93.486;10.646;1.240;109.274;-4.795
179.000;7.160;1.154;135.078;-5.442;-14.326;144.679;-5.214;-24.729;122.836;12.245;-6.386;127.989;33.733;16.795;143.194;-6.378;27.960;114.649;-9.075;22.954;93.787;10.921;1.319;109.280;-4.757
180.000;7.200;1.224;135.088;-5.387;-14.263;144.618;-5.304;-24.798;122.526;11.781;-6.582;127.688;33.356;16.856;143.243;-6.182;27.992;114.722;-8.975;22.730;94.033;11.137;1.389;109.299;-4.711
181.000;7.240;1.283;135.084;-5.336;-14.218;144.555;-5.395;-24.930;122.230;11.340;-6.711;127.555;32.807;16.908;143.270;-5.990;28.061;114.760;-8.793;22.452;94.222;11.381;1.449;109.298;-4.695
182.000;7.280;1.327;135.072;-5.310;-14.185;144.496;-5.448;-25.111;121.877;10.799;-6.982;127.316;32.241;16.949;143.269;-5.860;28.122;114.749;-8.585;22.178;94.425;11.699;1.509;109.293;-4.686
