Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
230.000;9.200;1.184;134.763;-4.354;-14.517;143.757;-5.560;-26.056;116.852;-8.483;-15.653;109.213;16.756;16.756;143.111;-3.987;29.392;115.019;-6.011;16.682;109.509;19.206;1.226;108.910;-3.933
231.000;9.240;1.189;134.776;-4.378;-14.509;143.784;-5.573;-26.073;116.884;-8.443;-15.642;109.321;16.807;16.768;143.115;-4.031;29.418;115.027;-6.053;16.746;109.534;19.187;1.230;108.913;-3.954
232.000;9.280;1.185;134.783;-4.405;-14.514;143.793;-5.593;-26.086;116.887;-8.423;-15.624;109.428;16.838;16.767;143.129;-4.079;29.439;115.051;-6.105;16.807;109.568;19.157;1.234;108.909;-3.977
233.000;9.320;1.184;134.791;-4.433;-14.515;143.800;-5.602;-26.100;116.896;-8.418;-15.618;109.557;16.851;16.770;143.137;-4.123;29.447;115.060;-6.158;16.844;109.573;19.121;1.234;108.917;-4.001
234.000;9.360;1.178;134.792;-4.469;-14.532;143.790;-5.608;-26.134;116.906;-8.458;-15.575;109.914;16.804;16.763;143.148;-4.185;29.464;115.081;-6.198;16.886;109.573;19.100;1.235;108.921;-4.026
235.000;9.400;1.165;134.795;-4.522;-14.557;143.805;-5.635;-26.163;116.923;-8.342;-15.432;110.976;16.941;16.740;143.178;-4.258;29.476;115.124;-6.249;16.915;109.540;19.087;1.230;108.922;-4.067
236.000;9.440;1.161;134.804;-4.591;-14.562;143.804;-5.696;-26.355;116.889;-7.623;-15.112;113.568;17.644;16.730;143.230;-4.293;29.520;115.207;-6.288;16.905;109.457;19.114;1.214;108.925;-4.136
237.000;9.480;1.179;134.810;-4.691;-14.533;143.832;-5.841;-26.666;116.856;-5.802;-14.633;118.181;18.988;16.724;143.274;-4.337;29.610;115.292;-6.264;16.811;109.113;19.112;1.215;108.931;-4.254
238.000;9.520;1.210;134.825;-4.826;-14.482;143.980;-6.015;-26.866;117.124;-2.660;-14.352;124.350;20.553;16.745;143.292;-4.437;29.725;115.328;-6.140;16.649;108.179;18.976;1.231;108.944;-4.413
