Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
335.000;13.400;2.462;129.586;-22.076;-13.365;138.162;-20.910;-24.788;110.943;-23.239;-10.752;112.544;0.535;18.063;137.530;-21.439;30.498;109.348;-24.627;18.837;112.463;0.769;3.302;102.067;-21.508
336.000;13.440;2.459;129.593;-22.078;-13.369;138.174;-20.914;-24.805;110.957;-23.246;-10.770;112.561;0.528;18.065;137.535;-21.442;30.498;109.349;-24.620;18.834;112.489;0.769;3.299;102.069;-21.505
337.000;13.480;2.455;129.598;-22.084;-13.370;138.184;-20.925;-24.826;110.975;-23.264;-10.796;112.588;0.513;18.062;137.536;-21.454;30.487;109.346;-24.614;18.820;112.523;0.766;3.296;102.070;-21.505
338.000;13.520;2.454;129.607;-22.089;-13.370;138.199;-20.941;-24.853;111.002;-23.271;-10.826;112.622;0.511;18.065;137.541;-21.466;30.487;109.347;-24.622;18.807;112.558;0.750;3.296;102.070;-21.505
339.000;13.560;2.450;129.617;-22.096;-13.375;138.207;-20.950;-24.866;111.010;-23.276;-10.843;112.663;0.512;18.059;137.552;-21.480;30.488;109.359;-24.631;18.796;112.594;0.732;3.292;102.070;-21.505
340.000;13.600;2.447;129.618;-22.106;-13.380;138.207;-20.969;-24.871;111.005;-23.262;-10.859;112.738;0.530;18.058;137.555;-21.487;30.493;109.372;-24.624;18.773;112.656;0.713;3.289;102.069;-21.504
341.000;13.640;2.449;129.619;-22.118;-13.376;138.205;-20.974;-24.881;111.008;-23.252;-10.921;112.882;0.562;18.067;137.559;-21.513;30.450;109.390;-24.542;18.668;112.830;0.726;3.291;102.069;-21.506
342.000;13.680;2.443;129.631;-22.137;-13.395;138.212;-20.971;-24.889;111.013;-23.153;-11.077;113.203;0.728;18.066;137.611;-21.566;30.321;109.414;-24.241;18.402;113.364;0.858;3.294;102.066;-21.520
343.000;13.720;2.443;129.658;-22.166;-13.409;138.237;-20.989;-24.921;111.017;-22.780;-11.300;113.827;1.150;18.061;137.697;-21.633;30.106;109.393;-23.543;18.075;114.431;1.312;3.304;102.067;-21.524
344.000;13.760;2.429;129.669;-22.196;-13.428;138.260;-21.045;-24.964;110.952;-22.077;-11.615;114.853;1.911;18.044;137.770;-21.702;29.856;109.351;-22.429;17.969;116.033;2.080;3.314;102.068;-21.510
345.000;13.800;2.406;129.676;-22.231;-13.441;138.312;-21.117;-24.817;110.855;-21.169;-12.348;116.187;3.051;18.023;137.815;-21.789;29.661;109.340;-21.003;18.007;118.055;2.915;3.312;102.070;-21.478
346.000;13.840;2.381;129.686;-22.286;-13.452;138.401;-21.191;-24.526;110.801;-20.154;-13.356;117.713;4.293;18.005;137.886;-21.934;29.506;109.452;-19.439;18.028;120.223;3.702;3.295;102.078;-21.444
347.000;13.880;2.357;129.710;-22.367;-13.469;138.505;-21.291;-24.096;110.776;-19.079;-14.605;119.269;5.521;17.989;137.969;-22.112;29.320;109.680;-17.936;17.954;122.382;4.260;3.266;102.085;-21.421
348.000;13.920;2.355;129.732;-22.456;-13.473;138.593;-21.404;-23.724;110.816;-18.041;-15.741;120.802;6.531;17.988;138.041;-22.297;29.107;109.954;-16.636;17.798;124.339;4.480;3.248;102.089;-21.416
349.000;13.960;2.360;129.743;-22.546;-13.459;138.694;-21.500;-23.385;110.927;-17.069;-16.624;122.339;7.205;17.991;138.099;-22.474;28.873;110.222;-15.645;17.572;125.924;4.441;3.250;102.089;-21.421
350.000;14.000;2.369;129.755;-22.628;-13.438;138.792;-21.584;-23.104;111.109;-16.244;-17.022;123.730;7.546;18.004;138.136;-22.624;28.659;110.452;-14.952;17.154;127.102;4.222;3.261;102.089;-21.427
351.000;14.040;2.374;129.765;-22.712;-13.417;138.874;-21.671;-22.820;111.261;-15.564;-16.763;124.881;7.618;18.012;138.158;-22.753;28.452;110.613;-14.480;16.516;127.833;3.900;3.267;102.086;-21.438
352.000;14.080;2.373;129.760;-22.796;-13.397;138.924;-21.747;-22.478;111.363;-14.995;-15.626;125.739;7.473;18.016;138.149;-22.859;28.208;110.686;-14.158;15.657;128.122;3.573;3.263;102.084;-21.455
