Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
157.000;6.280;2.453;135.110;-5.533;-13.494;143.638;-6.255;-24.357;116.127;-8.734;-14.247;111.643;17.213;18.019;143.379;-5.306;29.743;114.937;-7.647;18.541;112.289;18.274;2.624;109.234;-4.787
158.000;6.320;2.481;135.107;-5.563;-13.461;143.647;-6.273;-24.355;116.156;-8.785;-14.272;111.647;17.162;18.053;143.366;-5.350;29.768;114.921;-7.720;18.573;112.272;18.206;2.650;109.235;-4.817
159.000;6.360;2.497;135.104;-5.599;-13.444;143.649;-6.284;-24.361;116.169;-8.790;-14.300;111.672;17.171;18.070;143.363;-5.399;29.814;114.924;-7.762;18.632;112.286;18.166;2.662;109.236;-4.844
160.000;6.400;2.518;135.100;-5.637;-13.418;143.656;-6.303;-24.364;116.187;-8.781;-14.334;111.739;17.193;18.095;143.354;-5.450;29.870;114.923;-7.778;18.700;112.310;18.160;2.679;109.239;-4.885
161.000;6.440;2.543;135.098;-5.681;-13.390;143.664;-6.342;-24.366;116.199;-8.757;-14.356;111.864;17.240;18.121;143.346;-5.501;29.922;114.918;-7.778;18.762;112.322;18.171;2.691;109.240;-4.927
162.000;6.480;2.566;135.097;-5.735;-13.358;143.674;-6.394;-24.366;116.211;-8.735;-14.374;112.035;17.286;18.148;143.342;-5.559;29.977;114.913;-7.783;18.834;112.319;18.174;2.701;109.240;-4.973
163.000;6.520;2.595;135.097;-5.789;-13.322;143.687;-6.461;-24.348;116.223;-8.755;-14.364;112.227;17.286;18.181;143.327;-5.607;30.048;114.909;-7.773;18.866;112.236;18.174;2.710;109.239;-5.014
164.000;6.560;2.625;135.096;-5.842;-13.286;143.696;-6.532;-24.308;116.230;-8.791;-14.334;112.497;17.283;18.210;143.324;-5.663;30.156;114.918;-7.753;18.871;112.075;18.155;2.724;109.243;-5.050
165.000;6.600;2.659;135.092;-5.902;-13.247;143.707;-6.609;-24.262;116.247;-8.867;-14.339;112.894;17.267;18.242;143.322;-5.723;30.276;114.930;-7.728;18.852;111.748;18.129;2.736;109.246;-5.087
166.000;6.640;2.708;135.085;-5.969;-13.187;143.714;-6.718;-24.265;116.290;-8.900;-14.424;113.534;17.283;18.288;143.328;-5.796;30.415;114.957;-7.664;18.799;111.145;18.119;2.743;109.247;-5.124
167.000;6.680;2.780;135.084;-6.054;-13.096;143.728;-6.861;-24.350;116.351;-8.848;-14.659;114.427;17.434;18.360;143.336;-5.866;30.556;114.967;-7.477;18.677;110.060;18.168;2.760;109.247;-5.172
168.000;6.720;2.865;135.071;-6.165;-12.983;143.745;-7.038;-24.517;116.437;-8.658;-15.061;115.640;17.737;18.455;143.300;-5.918;30.689;114.887;-7.179;18.528;108.567;18.162;2.780;109.251;-5.231
