Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
90.000;3.600;1.188;134.902;-6.609;-14.634;143.607;-8.235;-26.188;117.100;-12.568;-16.479;114.893;13.337;16.677;143.376;-6.661;28.740;115.237;-9.536;16.369;113.542;15.942;1.397;109.044;-5.862
91.000;3.640;1.223;134.887;-6.602;-14.590;143.592;-8.238;-26.137;117.094;-12.629;-16.465;114.866;13.285;16.719;143.347;-6.626;28.744;115.202;-9.561;16.326;113.446;15.889;1.407;109.034;-5.819
92.000;3.680;1.261;134.872;-6.599;-14.544;143.586;-8.240;-26.128;117.111;-12.688;-16.484;114.821;13.231;16.763;143.318;-6.604;28.746;115.164;-9.583;16.265;113.377;15.835;1.412;109.023;-5.779
93.000;3.720;1.289;134.860;-6.594;-14.507;143.587;-8.228;-26.136;117.144;-12.720;-16.501;114.799;13.198;16.804;143.289;-6.594;28.724;115.115;-9.618;16.215;113.319;15.788;1.410;109.016;-5.745
94.000;3.760;1.309;134.849;-6.589;-14.475;143.598;-8.215;-26.146;117.174;-12.714;-16.512;114.803;13.203;16.835;143.254;-6.595;28.688;115.059;-9.639;16.185;113.274;15.766;1.399;109.007;-5.714
95.000;3.800;1.321;134.838;-6.587;-14.451;143.612;-8.204;-26.165;117.207;-12.684;-16.519;114.837;13.223;16.859;143.218;-6.605;28.654;114.999;-9.659;16.189;113.252;15.770;1.377;109.001;-5.683
96.000;3.840;1.320;134.826;-6.585;-14.441;143.626;-8.190;-26.183;117.226;-12.621;-16.500;114.882;13.278;16.873;143.185;-6.623;28.630;114.947;-9.667;16.215;113.239;15.791;1.354;108.997;-5.658
97.000;3.880;1.312;134.817;-6.588;-14.441;143.639;-8.176;-26.220;117.245;-12.550;-16.484;114.929;13.337;16.877;143.153;-6.651;28.606;114.897;-9.665;16.267;113.242;15.839;1.322;108.991;-5.634
98.000;3.920;1.297;134.804;-6.595;-14.442;143.652;-8.173;-26.256;117.256;-12.483;-16.478;114.983;13.396;16.872;143.119;-6.680;28.580;114.844;-9.650;16.342;113.273;15.918;1.292;108.990;-5.610
