Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1484.000;59.360;-0.830;134.993;-8.547;-16.661;143.792;-9.473;-26.888;116.426;-12.927;-21.110;112.022;14.426;14.694;143.318;-8.413;26.618;114.985;-11.203;15.653;111.193;15.141;-0.802;109.070;-7.688
1485.000;59.400;-0.824;134.990;-8.549;-16.657;143.785;-9.475;-26.873;116.416;-12.919;-21.090;112.020;14.431;14.698;143.319;-8.419;26.630;114.984;-11.195;15.668;111.211;15.149;-0.797;109.068;-7.685
1486.000;59.440;-0.811;134.986;-8.546;-16.640;143.782;-9.474;-26.869;116.422;-12.915;-21.089;112.028;14.439;14.712;143.310;-8.418;26.647;114.982;-11.176;15.665;111.214;15.163;-0.786;109.068;-7.674
1487.000;59.480;-0.803;134.981;-8.552;-16.631;143.778;-9.465;-26.883;116.424;-12.895;-21.095;112.039;14.454;14.721;143.313;-8.441;26.686;115.009;-11.094;15.635;111.274;15.213;-0.781;109.070;-7.667
1488.000;59.520;-0.794;134.980;-8.563;-16.621;143.782;-9.444;-26.981;116.460;-12.808;-21.134;112.093;14.530;14.725;143.325;-8.476;26.827;115.049;-10.838;15.447;111.453;15.347;-0.776;109.071;-7.676
1489.000;59.560;-0.787;134.970;-8.591;-16.613;143.776;-9.425;-27.237;116.520;-12.557;-21.250;112.326;14.761;14.725;143.324;-8.525;27.153;115.099;-10.290;15.105;111.742;15.637;-0.775;109.076;-7.699
1490.000;59.600;-0.777;134.957;-8.652;-16.581;143.772;-9.450;-27.767;116.632;-11.998;-21.505;112.943;15.295;14.722;143.321;-8.599;27.662;115.189;-9.341;14.617;112.140;16.145;-0.771;109.082;-7.739
1491.000;59.640;-0.741;134.948;-8.757;-16.513;143.784;-9.520;-28.763;116.922;-10.952;-22.015;114.191;16.277;14.744;143.339;-8.708;28.333;115.425;-7.864;14.017;112.745;16.927;-0.761;109.082;-7.813
1492.000;59.680;-0.657;134.933;-8.930;-16.377;143.838;-9.660;-30.266;117.547;-9.223;-22.828;116.736;17.808;14.805;143.416;-8.874;29.138;115.966;-5.575;13.001;113.820;18.005;-0.734;109.086;-7.937
1493.000;59.720;-0.558;134.919;-9.153;-16.220;143.979;-9.915;-32.099;118.768;-6.773;-23.274;120.905;19.562;14.869;143.458;-8.995;29.921;116.854;-2.460;11.427;115.211;19.142;-0.696;109.092;-8.083
1494.000;59.760;-0.462;134.924;-9.373;-16.040;144.231;-10.221;-33.891;120.679;-3.856;-23.189;126.353;21.062;14.911;143.472;-9.009;30.294;118.077;0.913;9.573;116.561;20.268;-0.663;109.103;-8.241
1495.000;59.800;-0.376;134.945;-9.546;-15.853;144.543;-10.478;-35.183;123.089;-0.819;-22.935;132.612;21.985;14.941;143.548;-8.984;30.166;119.436;3.905;7.809;117.951;21.342;-0.628;109.110;-8.373
1496.000;59.840;-0.305;134.977;-9.650;-15.662;144.883;-10.712;-35.872;125.793;2.014;-22.540;138.968;22.115;14.979;143.640;-8.981;29.660;120.658;6.187;6.329;119.618;22.423;-0.589;109.122;-8.477
1497.000;59.880;-0.268;135.011;-9.695;-15.509;145.198;-10.875;-35.999;128.530;4.542;-21.962;144.810;21.580;15.029;143.687;-8.994;28.911;121.548;7.813;5.077;121.554;23.428;-0.568;109.137;-8.535
1498.000;59.920;-0.246;135.035;-9.704;-15.358;145.470;-10.969;-35.685;131.103;6.690;-21.269;149.711;20.662;15.113;143.659;-9.010;28.066;122.052;8.947;4.050;123.581;24.182;-0.570;109.144;-8.545
