Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3594.000;143.760;3.611;135.127;-7.696;-12.242;143.817;-8.323;-23.352;116.323;-10.301;-13.215;109.870;15.286;19.281;143.263;-7.664;30.202;114.457;-9.022;19.495;110.826;17.210;3.683;109.147;-6.934
3595.000;143.800;3.622;135.117;-7.735;-12.230;143.806;-8.359;-23.326;116.305;-10.332;-13.188;109.905;15.267;19.292;143.248;-7.716;30.207;114.440;-9.096;19.543;110.866;17.164;3.693;109.145;-6.946
3596.000;143.840;3.634;135.105;-7.774;-12.217;143.795;-8.399;-23.306;116.293;-10.364;-13.179;109.949;15.251;19.305;143.232;-7.769;30.215;114.425;-9.170;19.590;110.932;17.119;3.705;109.144;-6.955
3597.000;143.880;3.646;135.094;-7.816;-12.206;143.781;-8.440;-23.290;116.280;-10.415;-13.206;110.032;15.236;19.316;143.219;-7.827;30.220;114.412;-9.225;19.643;111.001;17.088;3.715;109.143;-6.960
3598.000;143.920;3.655;135.083;-7.870;-12.197;143.764;-8.478;-23.251;116.261;-10.496;-13.329;110.238;15.246;19.328;143.197;-7.897;30.229;114.386;-9.231;19.732;111.087;17.121;3.727;109.142;-6.970
3599.000;143.960;3.661;135.071;-7.930;-12.194;143.753;-8.492;-23.203;116.255;-10.579;-13.705;110.820;15.374;19.336;143.167;-7.973;30.315;114.374;-9.112;19.934;111.418;17.298;3.737;109.140;-6.997
3600.000;144.000;3.666;135.068;-8.008;-12.180;143.801;-8.536;-23.238;116.343;-10.418;-14.307;112.126;15.801;19.340;143.179;-8.062;30.557;114.473;-8.725;20.267;112.487;17.725;3.746;109.136;-7.056
3601.000;144.040;3.682;135.104;-8.118;-12.142;143.943;-8.632;-23.496;116.602;-9.670;-14.802;114.433;16.641;19.352;143.278;-8.178;30.970;114.749;-7.812;20.579;114.534;18.508;3.756;109.140;-7.164
3602.000;144.080;3.711;135.161;-8.261;-12.061;144.163;-8.816;-24.024;117.067;-8.097;-14.716;117.627;17.862;19.366;143.445;-8.319;31.470;115.218;-6.150;20.670;117.430;19.696;3.769;109.158;-7.315
3603.000;144.120;3.749;135.227;-8.436;-11.953;144.431;-9.064;-24.565;117.735;-5.731;-13.872;121.053;19.328;19.375;143.597;-8.474;31.870;115.843;-3.874;20.513;120.677;21.164;3.769;109.182;-7.493
3604.000;144.160;3.780;135.283;-8.650;-11.832;144.728;-9.333;-24.792;118.693;-2.812;-12.553;124.455;20.955;19.375;143.716;-8.650;32.023;116.684;-1.325;19.871;124.025;22.640;3.771;109.197;-7.679
3605.000;144.200;3.795;135.351;-8.899;-11.703;145.026;-9.630;-24.603;119.950;0.213;-10.993;127.412;22.696;19.351;143.868;-8.896;31.890;117.807;1.213;18.979;127.021;24.075;3.775;109.214;-7.867
3606.000;144.240;3.793;135.432;-9.156;-11.595;145.288;-9.898;-24.067;121.372;2.986;-9.321;129.834;24.465;19.291;144.044;-9.186;31.567;119.121;3.483;17.967;129.460;25.484;3.771;109.226;-8.033
3607.000;144.280;3.778;135.514;-9.383;-11.526;145.508;-10.102;-23.337;122.749;5.243;-7.792;131.813;25.975;19.231;144.222;-9.456;31.168;120.427;5.290;17.048;131.276;26.754;3.763;109.234;-8.168
3608.000;144.320;3.756;135.598;-9.546;-11.486;145.706;-10.212;-22.655;123.891;6.813;-6.488;133.306;26.974;19.179;144.384;-9.664;30.820;121.505;6.505;16.311;132.508;27.682;3.750;109.242;-8.259
3609.000;144.360;3.730;135.677;-9.641;-11.468;145.871;-10.250;-22.139;124.696;7.774;-5.379;134.275;27.432;19.135;144.500;-9.804;30.577;122.235;7.147;15.778;133.282;28.136;3.732;109.251;-8.308
3610.000;144.400;3.702;135.740;-9.689;-11.464;145.975;-10.249;-21.801;125.225;8.350;-4.441;134.792;27.525;19.088;144.589;-9.890;30.414;122.590;7.347;15.316;133.697;28.126;3.716;109.255;-8.320
3611.000;144.440;3.677;135.777;-9.720;-11.466;146.018;-10.235;-21.574;125.549;8.704;-3.714;134.941;27.537;19.044;144.652;-9.955;30.322;122.675;7.239;15.027;133.660;27.972;3.712;109.255;-8.321
3612.000;144.480;3.646;135.802;-9.754;-11.479;146.038;-10.222;-21.401;125.773;8.952;-3.341;134.884;27.819;19.004;144.684;-10.023;30.208;122.635;7.045;14.975;133.458;27.956;3.715;109.253;-8.322
3613.000;144.520;3.614;135.837;-9.813;-11.493;146.072;-10.228;-21.197;126.111;9.282;-3.194;134.731;28.622;18.959;144.721;-10.087;30.103;122.683;6.975;15.053;133.126;28.298;3.718;109.251;-8.351
3614.000;144.560;3.594;135.887;-9.940;-11.492;146.119;-10.289;-20.856;126.728;9.857;-3.259;134.601;30.167;18.909;144.811;-10.179;29.869;123.034;7.244;15.198;132.967;29.174;3.718;109.253;-8.440
3615.000;144.600;3.580;135.943;-10.121;-11.475;146.187;-10.391;-20.465;127.636;10.622;-3.831;134.550;32.403;18.848;144.963;-10.310;29.592;123.684;7.740;15.808;132.852;30.684;3.719;109.259;-8.574
3616.000;144.640;3.564;136.002;-10.317;-11.449;146.274;-10.510;-20.190;128.661;11.340;-5.026;134.579;34.752;18.782;145.133;-10.466;29.377;124.403;8.215;16.919;132.654;32.377;3.723;109.267;-8.725
3617.000;144.680;3.560;136.061;-10.466;-11.418;146.378;-10.604;-20.491;129.421;11.609;-7.087;134.265;36.528;18.736;145.288;-10.589;29.436;124.914;8.356;18.595;132.278;33.667;3.726;109.274;-8.863
3618.000;144.720;3.575;136.113;-10.542;-11.394;146.451;-10.634;-21.150;129.819;11.548;-8.905;134.199;37.262;18.720;145.390;-10.667;29.735;125.068;8.127;20.291;132.092;34.112;3.728;109.282;-8.971
3619.000;144.760;3.599;136.151;-10.532;-11.385;146.500;-10.649;-22.358;129.663;10.843;-11.179;133.585;37.147;18.716;145.437;-10.686;30.319;124.783;7.414;22.057;131.665;33.838;3.736;109.288;-9.042
3620.000;144.800;3.623;136.172;-10.453;-11.383;146.508;-10.664;-23.582;129.104;9.715;-13.151;132.745;36.360;18.713;145.440;-10.672;31.079;124.214;6.317;23.627;130.858;33.057;3.746;109.293;-9.063
3621.000;144.840;3.640;136.181;-10.345;-11.368;146.504;-10.660;-24.743;128.330;8.307;-14.656;131.660;35.078;18.712;145.423;-10.624;31.801;123.465;4.955;24.759;129.799;31.893;3.748;109.296;-9.050
3622.000;144.880;3.660;136.184;-10.201;-11.349;146.474;-10.589;-25.738;127.367;6.723;-15.682;130.360;33.486;18.725;145.392;-10.501;32.413;122.597;3.420;25.417;128.623;30.455;3.746;109.295;-9.013
3623.000;144.920;3.688;136.166;-10.023;-11.331;146.405;-10.444;-26.471;126.288;5.073;-16.130;128.969;31.721;18.762;145.340;-10.315;32.826;121.661;1.743;25.494;127.405;28.783;3.745;109.289;-8.954
