Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
518.000;20.720;2.683;135.074;-5.347;-13.235;143.608;-5.700;-23.587;115.805;-7.496;-15.068;112.247;19.077;18.285;143.325;-5.117;28.707;114.438;-7.314;20.519;112.282;19.782;2.633;109.226;-4.760
519.000;20.760;2.704;135.065;-5.364;-13.210;143.612;-5.711;-23.584;115.817;-7.501;-15.028;112.268;19.058;18.310;143.309;-5.141;28.693;114.409;-7.332;20.524;112.308;19.780;2.646;109.225;-4.754
520.000;20.800;2.720;135.059;-5.383;-13.188;143.615;-5.723;-23.592;115.829;-7.514;-15.038;112.292;19.046;18.330;143.299;-5.175;28.703;114.398;-7.340;20.556;112.356;19.779;2.657;109.224;-4.753
521.000;20.840;2.735;135.052;-5.404;-13.174;143.614;-5.748;-23.596;115.837;-7.522;-15.075;112.322;19.051;18.345;143.288;-5.209;28.729;114.386;-7.349;20.594;112.403;19.778;2.673;109.222;-4.755
522.000;20.880;2.746;135.045;-5.430;-13.161;143.606;-5.775;-23.604;115.834;-7.529;-15.135;112.353;19.068;18.356;143.285;-5.248;28.760;114.385;-7.360;20.642;112.427;19.773;2.686;109.219;-4.758
523.000;20.920;2.756;135.037;-5.465;-13.156;143.592;-5.812;-23.614;115.821;-7.535;-15.203;112.393;19.098;18.359;143.284;-5.295;28.794;114.389;-7.374;20.692;112.444;19.766;2.699;109.218;-4.765
524.000;20.960;2.760;135.030;-5.501;-13.154;143.585;-5.840;-23.621;115.819;-7.532;-15.265;112.505;19.154;18.358;143.291;-5.353;28.842;114.407;-7.393;20.753;112.418;19.778;2.715;109.213;-4.775
525.000;21.000;2.758;135.022;-5.552;-13.163;143.602;-5.879;-23.628;115.862;-7.432;-15.169;112.777;19.260;18.350;143.302;-5.419;28.912;114.435;-7.413;20.800;112.333;19.800;2.723;109.210;-4.788
526.000;21.040;2.757;135.033;-5.627;-13.166;143.668;-5.924;-23.687;115.927;-7.013;-14.717;113.587;19.590;18.343;143.335;-5.484;29.042;114.501;-7.425;20.745;112.135;19.833;2.736;109.208;-4.820
527.000;21.080;2.762;135.053;-5.730;-13.147;143.725;-5.986;-23.802;115.925;-6.040;-13.862;115.371;20.300;18.334;143.387;-5.558;29.244;114.603;-7.381;20.588;111.564;19.840;2.746;109.208;-4.901
528.000;21.120;2.769;135.066;-5.850;-13.126;143.790;-6.062;-23.778;115.913;-4.408;-12.745;118.381;21.297;18.321;143.443;-5.661;29.505;114.727;-7.231;20.362;110.313;19.793;2.759;109.207;-5.015
529.000;21.160;2.759;135.081;-5.972;-13.118;143.901;-6.132;-23.536;116.032;-2.191;-11.506;122.495;22.238;18.302;143.469;-5.799;29.777;114.796;-6.934;20.051;108.253;19.611;2.767;109.219;-5.148
530.000;21.200;2.748;135.104;-6.087;-13.085;144.087;-6.198;-23.090;116.477;0.466;-10.267;127.284;22.754;18.302;143.445;-5.920;30.008;114.774;-6.551;19.727;105.643;19.147;2.763;109.222;-5.287
