Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
655.000;26.200;-0.710;135.146;-5.737;-16.604;143.744;-6.914;-27.397;116.252;-8.882;-20.171;113.048;18.033;14.926;143.316;-5.694;25.086;114.373;-7.117;17.908;114.042;20.417;-0.895;109.245;-4.506
656.000;26.240;-0.708;135.139;-5.727;-16.599;143.743;-6.929;-27.404;116.260;-8.903;-20.219;113.088;18.023;14.927;143.309;-5.678;25.103;114.369;-7.039;17.959;114.158;20.495;-0.885;109.245;-4.496
657.000;26.280;-0.705;135.133;-5.716;-16.599;143.730;-6.944;-27.395;116.243;-8.915;-20.292;113.132;18.041;14.925;143.310;-5.655;25.112;114.374;-6.974;17.978;114.249;20.562;-0.876;109.242;-4.487
658.000;26.320;-0.701;135.125;-5.712;-16.595;143.713;-6.960;-27.379;116.217;-8.912;-20.366;113.176;18.070;14.924;143.313;-5.635;25.119;114.375;-6.914;17.947;114.293;20.609;-0.864;109.240;-4.481
659.000;26.360;-0.697;135.117;-5.710;-16.593;143.696;-6.973;-27.367;116.195;-8.903;-20.426;113.210;18.098;14.924;143.312;-5.623;25.121;114.373;-6.885;17.904;114.292;20.632;-0.855;109.237;-4.476
660.000;26.400;-0.694;135.108;-5.711;-16.592;143.681;-6.982;-27.364;116.177;-8.901;-20.453;113.223;18.115;14.923;143.305;-5.621;25.127;114.370;-6.883;17.854;114.252;20.622;-0.850;109.234;-4.467
661.000;26.440;-0.691;135.097;-5.710;-16.592;143.670;-6.970;-27.367;116.169;-8.913;-20.451;113.232;18.100;14.923;143.294;-5.622;25.131;114.356;-6.908;17.807;114.144;20.582;-0.849;109.231;-4.459
662.000;26.480;-0.694;135.084;-5.709;-16.601;143.655;-6.941;-27.369;116.175;-8.896;-20.388;113.354;18.103;14.919;143.284;-5.629;25.153;114.350;-6.960;17.784;113.969;20.524;-0.852;109.231;-4.454
663.000;26.520;-0.706;135.084;-5.712;-16.619;143.676;-6.874;-27.405;116.217;-8.704;-20.228;113.898;18.272;14.909;143.294;-5.638;25.252;114.391;-7.043;17.800;113.664;20.458;-0.869;109.234;-4.455
