Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3132.000;125.280;1.414;131.405;-19.341;-14.456;140.154;-18.705;-24.833;113.478;-24.719;-14.480;108.376;0.731;16.995;139.632;-19.086;27.132;111.748;-25.872;17.320;109.133;0.524;1.599;103.344;-25.004
3133.000;125.320;1.414;131.410;-19.344;-14.455;140.160;-18.707;-24.846;113.492;-24.741;-14.498;108.372;0.712;16.995;139.636;-19.087;27.118;111.752;-25.883;17.328;109.147;0.522;1.598;103.343;-25.005
3134.000;125.360;1.414;131.429;-19.355;-14.453;140.183;-18.709;-24.889;113.545;-24.792;-14.565;108.422;0.684;17.001;139.654;-19.082;27.094;111.775;-25.912;17.311;109.193;0.498;1.593;103.340;-25.009
3135.000;125.400;1.414;131.458;-19.367;-14.454;140.229;-18.690;-24.958;113.621;-24.775;-14.600;108.638;0.716;17.007;139.690;-19.064;27.097;111.823;-25.920;17.250;109.287;0.476;1.588;103.338;-25.012
3136.000;125.440;1.409;131.507;-19.386;-14.458;140.303;-18.646;-25.065;113.716;-24.651;-14.543;109.141;0.816;17.006;139.759;-19.031;27.108;111.908;-25.907;17.124;109.461;0.463;1.588;103.334;-25.019
3137.000;125.480;1.395;131.576;-19.413;-14.473;140.401;-18.576;-25.213;113.803;-24.340;-14.291;110.113;1.037;16.997;139.875;-18.981;27.134;112.040;-25.839;16.947;109.711;0.499;1.589;103.328;-25.034
3138.000;125.520;1.374;131.658;-19.461;-14.498;140.523;-18.493;-25.351;113.872;-23.795;-13.838;111.720;1.375;16.977;140.039;-18.928;27.224;112.230;-25.690;16.695;109.945;0.588;1.585;103.321;-25.059
3139.000;125.560;1.341;131.776;-19.537;-14.539;140.699;-18.391;-25.408;113.910;-22.935;-13.274;114.042;1.864;16.943;140.280;-18.846;27.406;112.513;-25.390;16.247;110.112;0.727;1.578;103.307;-25.107
3140.000;125.600;1.295;131.978;-19.653;-14.592;140.998;-18.253;-25.348;113.945;-21.631;-12.664;117.032;2.522;16.893;140.626;-18.686;27.683;112.919;-24.904;15.522;110.149;0.840;1.569;103.290;-25.175
3141.000;125.640;1.248;132.281;-19.818;-14.635;141.435;-18.090;-25.046;114.007;-19.870;-12.040;120.507;3.239;16.831;141.073;-18.423;28.039;113.450;-24.251;14.523;110.170;0.853;1.565;103.281;-25.253
