Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
27.000;1.080;-0.243;134.933;-4.732;-16.230;143.452;-5.326;-25.858;115.375;-6.328;-19.749;115.169;20.850;15.373;143.173;-4.812;25.295;114.103;-5.806;18.773;114.713;21.683;-0.219;109.175;-3.351
28.000;1.120;-0.254;134.931;-4.726;-16.244;143.445;-5.315;-25.861;115.364;-6.312;-19.752;115.165;20.865;15.358;143.176;-4.812;25.289;114.108;-5.807;18.772;114.721;21.683;-0.229;109.174;-3.341
29.000;1.160;-0.266;134.928;-4.721;-16.258;143.439;-5.302;-25.869;115.354;-6.293;-19.747;115.159;20.882;15.345;143.179;-4.812;25.287;114.115;-5.814;18.780;114.724;21.680;-0.240;109.173;-3.335
30.000;1.200;-0.276;134.928;-4.721;-16.267;143.438;-5.297;-25.877;115.353;-6.279;-19.743;115.160;20.894;15.338;143.179;-4.816;25.281;114.116;-5.819;18.787;114.726;21.677;-0.249;109.172;-3.334
31.000;1.240;-0.284;134.927;-4.721;-16.275;143.437;-5.294;-25.884;115.352;-6.275;-19.739;115.156;20.897;15.330;143.176;-4.816;25.269;114.112;-5.819;18.781;114.723;21.678;-0.256;109.171;-3.334
32.000;1.280;-0.294;134.926;-4.719;-16.286;143.436;-5.290;-25.893;115.350;-6.274;-19.732;115.142;20.896;15.318;143.176;-4.814;25.257;114.109;-5.821;18.770;114.713;21.678;-0.265;109.171;-3.334
33.000;1.320;-0.306;134.926;-4.717;-16.297;143.436;-5.285;-25.903;115.350;-6.278;-19.739;115.131;20.895;15.306;143.176;-4.811;25.249;114.109;-5.829;18.752;114.691;21.672;-0.274;109.171;-3.336
34.000;1.360;-0.317;134.927;-4.718;-16.307;143.437;-5.283;-25.917;115.354;-6.290;-19.754;115.131;20.887;15.295;143.176;-4.814;25.245;114.110;-5.830;18.731;114.654;21.672;-0.285;109.171;-3.338
35.000;1.400;-0.329;134.927;-4.721;-16.321;143.437;-5.280;-25.934;115.364;-6.295;-19.747;115.151;20.887;15.281;143.180;-4.819;25.249;114.113;-5.824;18.717;114.573;21.690;-0.298;109.171;-3.340
36.000;1.440;-0.341;134.926;-4.727;-16.339;143.445;-5.277;-25.961;115.405;-6.279;-19.696;115.243;20.907;15.265;143.190;-4.831;25.278;114.123;-5.811;18.724;114.389;21.745;-0.309;109.173;-3.348
37.000;1.480;-0.360;134.930;-4.740;-16.360;143.461;-5.276;-26.011;115.460;-6.055;-19.570;115.703;21.107;15.239;143.223;-4.856;25.379;114.178;-5.783;18.784;113.930;21.852;-0.317;109.179;-3.369
38.000;1.520;-0.375;134.941;-4.771;-16.373;143.480;-5.309;-26.144;115.511;-5.378;-19.489;117.086;21.673;15.211;143.281;-4.894;25.613;114.292;-5.690;18.846;112.934;22.025;-0.328;109.187;-3.422
39.000;1.560;-0.378;134.963;-4.825;-16.380;143.530;-5.404;-26.347;115.629;-4.014;-19.511;119.934;22.591;15.181;143.359;-4.922;26.011;114.471;-5.535;18.872;111.238;22.142;-0.339;109.193;-3.504
40.000;1.600;-0.385;135.002;-4.890;-16.388;143.670;-5.542;-26.577;115.996;-1.757;-19.418;124.492;23.580;15.142;143.434;-4.890;26.502;114.698;-5.359;18.802;108.911;21.954;-0.341;109.204;-3.615
41.000;1.640;-0.393;135.053;-4.940;-16.376;143.907;-5.670;-26.772;116.842;1.414;-19.014;130.208;24.216;15.113;143.493;-4.835;26.951;114.896;-5.183;18.714;106.010;21.299;-0.346;109.223;-3.735
42.000;1.680;-0.411;135.110;-4.977;-16.328;144.171;-5.747;-26.842;118.364;5.163;-18.348;136.162;24.276;15.087;143.559;-4.803;27.114;114.996;-4.964;18.804;102.555;20.169;-0.361;109.241;-3.852
43.000;1.720;-0.451;135.166;-4.996;-16.286;144.441;-5.723;-26.632;120.555;9.011;-17.359;141.704;23.785;15.058;143.576;-4.782;26.973;114.960;-4.752;19.108;98.929;18.536;-0.366;109.258;-3.955
44.000;1.760;-0.519;135.221;-4.977;-16.255;144.734;-5.569;-26.227;123.158;12.477;-16.201;146.356;22.947;15.026;143.544;-4.817;26.623;114.786;-4.612;19.580;95.534;16.487;-0.373;109.270;-4.044
45.000;1.800;-0.622;135.276;-4.920;-16.230;145.065;-5.317;-25.712;125.784;15.245;-14.944;149.955;22.013;14.982;143.497;-4.918;26.071;114.544;-4.625;20.245;92.566;14.084;-0.405;109.282;-4.094
46.000;1.840;-0.722;135.336;-4.834;-16.189;145.368;-4.983;-25.212;128.029;17.261;-13.664;152.463;21.198;14.952;143.427;-5.081;25.426;114.270;-4.808;20.982;90.197;11.516;-0.449;109.292;-4.114
47.000;1.880;-0.799;135.377;-4.752;-16.135;145.612;-4.658;-24.792;129.644;18.610;-12.534;153.938;20.558;14.938;143.338;-5.306;24.880;114.023;-5.185;21.731;88.466;8.899;-0.504;109.300;-4.099
48.000;1.920;-0.839;135.396;-4.704;-16.074;145.774;-4.364;-24.451;130.552;19.418;-11.697;154.621;20.189;14.942;143.252;-5.578;24.560;113.858;-5.833;22.573;87.405;6.553;-0.565;109.304;-4.065
49.000;1.960;-0.852;135.407;-4.683;-16.032;145.846;-4.110;-24.202;130.900;19.869;-11.177;154.811;20.063;14.941;143.211;-5.847;24.493;113.840;-6.660;23.504;86.894;4.565;-0.637;109.301;-4.017
50.000;2.000;-0.853;135.417;-4.687;-16.008;145.867;-3.930;-23.947;130.968;20.131;-10.885;154.847;20.008;14.928;143.205;-6.085;24.590;113.917;-7.539;24.288;86.722;3.045;-0.693;109.296;-3.978
51.000;2.040;-0.860;135.425;-4.699;-16.011;145.861;-3.796;-23.693;130.919;20.304;-10.747;154.842;19.940;14.898;143.224;-6.281;24.786;114.054;-8.345;25.005;86.745;1.967;-0.730;109.293;-3.953
52.000;2.080;-0.882;135.433;-4.715;-16.035;145.854;-3.696;-23.441;130.850;20.445;-10.690;154.859;19.808;14.851;143.245;-6.457;24.981;114.188;-8.961;25.623;86.856;1.324;-0.743;109.296;-3.942
53.000;2.120;-0.915;135.443;-4.721;-16.074;145.847;-3.610;-23.203;130.801;20.577;-10.659;154.903;19.653;14.796;143.270;-6.592;25.141;114.312;-9.376;26.157;87.017;1.046;-0.739;109.301;-3.947
54.000;2.160;-0.953;135.455;-4.734;-16.119;145.846;-3.560;-22.928;130.800;20.696;-10.563;154.982;19.524;14.737;143.301;-6.690;25.237;114.405;-9.543;26.566;87.212;1.157;-0.722;109.306;-3.975
