Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1320.000;52.800;1.616;134.846;-6.377;-14.058;143.863;-6.941;-25.146;116.735;-9.739;-15.450;111.003;16.158;17.262;143.056;-6.522;29.503;114.826;-9.311;16.970;111.649;16.136;1.788;108.897;-5.508
1321.000;52.840;1.631;134.845;-6.426;-14.037;143.884;-6.976;-25.129;116.765;-9.737;-15.433;111.080;16.178;17.281;143.047;-6.581;29.505;114.807;-9.339;16.995;111.612;16.130;1.794;108.895;-5.540
1322.000;52.880;1.647;134.845;-6.494;-14.014;143.912;-7.023;-25.194;116.824;-9.550;-15.390;111.436;16.427;17.302;143.055;-6.648;29.507;114.795;-9.376;17.024;111.520;16.132;1.798;108.897;-5.588
1323.000;52.920;1.691;134.840;-6.578;-13.950;143.934;-7.103;-25.440;116.877;-8.928;-15.459;112.345;17.134;17.351;143.059;-6.728;29.503;114.778;-9.436;17.109;111.304;16.160;1.804;108.899;-5.646
1324.000;52.960;1.748;134.833;-6.690;-13.864;143.982;-7.221;-25.784;116.964;-7.826;-15.683;113.995;18.386;17.412;143.053;-6.838;29.524;114.760;-9.469;17.203;110.714;16.168;1.812;108.902;-5.724
1325.000;53.000;1.796;134.829;-6.811;-13.777;144.069;-7.346;-26.163;117.168;-6.277;-15.903;116.623;20.023;17.472;143.012;-6.944;29.592;114.713;-9.496;17.265;109.716;16.030;1.831;108.905;-5.818
1326.000;53.040;1.859;134.837;-6.941;-13.667;144.204;-7.452;-26.651;117.656;-4.173;-16.020;120.577;21.760;17.548;142.990;-7.055;29.627;114.676;-9.562;17.368;108.310;15.818;1.840;108.923;-5.923
1327.000;53.080;1.945;134.844;-7.087;-13.526;144.403;-7.574;-27.308;118.676;-1.402;-16.022;126.131;23.248;17.641;142.989;-7.208;29.586;114.623;-9.592;17.543;106.334;15.543;1.862;108.930;-6.050
1328.000;53.120;2.029;134.854;-7.246;-13.331;144.679;-7.772;-27.972;120.478;2.054;-15.750;132.871;24.023;17.741;142.955;-7.376;29.493;114.498;-9.458;17.843;103.701;15.104;1.897;108.942;-6.168
1329.000;53.160;2.077;134.874;-7.404;-13.143;145.003;-7.980;-28.363;123.199;5.852;-15.357;139.796;24.052;17.826;142.866;-7.550;29.388;114.280;-9.191;18.246;100.763;14.399;1.923;108.950;-6.278
1330.000;53.200;2.079;134.902;-7.538;-12.994;145.355;-8.149;-28.344;126.741;9.508;-14.681;146.468;23.472;17.870;142.799;-7.761;29.284;114.094;-8.800;18.791;97.622;13.285;1.930;108.950;-6.381
1331.000;53.240;2.032;134.960;-7.621;-12.864;145.734;-8.207;-28.006;130.804;12.611;-13.497;152.298;22.604;17.869;142.754;-7.975;29.138;113.932;-8.302;19.516;94.416;11.709;1.942;108.968;-6.444
1332.000;53.280;1.979;135.040;-7.639;-12.710;146.130;-8.153;-27.367;134.880;14.944;-12.029;157.069;21.512;17.858;142.689;-8.134;28.984;113.756;-7.902;20.386;91.718;9.805;1.932;108.978;-6.480
1333.000;53.320;1.935;135.163;-7.603;-12.531;146.505;-8.032;-26.568;138.404;16.484;-10.436;160.638;20.317;17.853;142.648;-8.273;28.810;113.611;-7.785;21.342;89.926;7.960;1.899;108.985;-6.495
1334.000;53.360;1.895;135.234;-7.582;-12.381;146.775;-7.914;-25.758;140.985;17.414;-9.019;162.993;19.132;17.852;142.659;-8.421;28.656;113.571;-7.903;22.145;88.896;6.401;1.858;108.992;-6.502
1335.000;53.400;1.890;135.286;-7.575;-12.281;146.925;-7.817;-25.066;142.599;17.965;-7.975;164.385;18.078;17.862;142.710;-8.562;28.550;113.612;-8.319;22.886;88.483;5.338;1.818;108.999;-6.503
1336.000;53.440;1.896;135.318;-7.575;-12.228;146.992;-7.714;-24.607;143.424;18.278;-7.362;165.065;17.319;17.867;142.753;-8.709;28.514;113.679;-8.908;23.350;88.444;4.742;1.789;109.003;-6.502
1337.000;53.480;1.901;135.335;-7.597;-12.222;147.006;-7.648;-24.399;143.757;18.420;-7.091;165.288;16.885;17.860;142.788;-8.878;28.567;113.752;-9.408;23.516;88.555;4.340;1.789;109.001;-6.501
1338.000;53.520;1.907;135.349;-7.617;-12.239;146.989;-7.621;-24.400;143.842;18.454;-7.009;165.276;16.686;17.851;142.813;-8.994;28.582;113.797;-9.734;23.517;88.610;4.089;1.812;109.001;-6.513
1339.000;53.560;1.917;135.356;-7.637;-12.256;146.962;-7.642;-24.534;143.783;18.385;-7.095;165.167;16.564;17.849;142.839;-9.052;28.494;113.812;-9.886;23.591;88.618;4.019;1.851;109.002;-6.533
1340.000;53.600;1.939;135.354;-7.650;-12.263;146.934;-7.676;-24.720;143.549;18.267;-7.434;165.050;16.450;17.864;142.874;-9.069;28.429;113.842;-9.881;23.657;88.562;3.932;1.897;109.005;-6.551
1341.000;53.640;1.972;135.353;-7.654;-12.265;146.891;-7.702;-24.838;142.928;18.167;-8.443;165.104;16.138;17.886;142.906;-9.051;28.454;113.885;-9.835;23.720;88.518;3.862;1.939;109.006;-6.572
