Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3570.000;142.800;0.373;134.850;-5.514;-15.400;143.681;-6.065;-26.511;116.623;-9.101;-16.244;112.774;16.824;15.941;143.144;-5.578;27.958;114.884;-8.605;17.021;111.758;17.651;0.605;108.694;-4.903
3571.000;142.840;0.361;134.851;-5.517;-15.414;143.677;-6.066;-26.508;116.610;-9.094;-16.232;112.782;16.826;15.929;143.153;-5.584;27.969;114.902;-8.613;17.036;111.767;17.652;0.594;108.694;-4.906
3572.000;142.880;0.353;134.852;-5.527;-15.432;143.668;-6.087;-26.511;116.594;-9.111;-16.236;112.796;16.812;15.912;143.164;-5.596;27.972;114.921;-8.603;17.040;111.788;17.661;0.587;108.691;-4.913
3573.000;142.920;0.344;134.857;-5.540;-15.447;143.662;-6.111;-26.509;116.584;-9.129;-16.234;112.810;16.797;15.902;143.175;-5.608;27.976;114.939;-8.608;17.046;111.806;17.648;0.577;108.693;-4.922
3574.000;142.960;0.340;134.865;-5.551;-15.447;143.678;-6.136;-26.510;116.596;-9.159;-16.238;112.843;16.778;15.901;143.180;-5.620;27.970;114.938;-8.601;17.027;111.825;17.659;0.573;108.692;-4.932
3575.000;143.000;0.338;134.874;-5.561;-15.448;143.685;-6.160;-26.514;116.602;-9.176;-16.248;112.886;16.767;15.903;143.194;-5.632;27.979;114.952;-8.577;17.005;111.854;17.672;0.565;108.695;-4.947
3576.000;143.040;0.337;134.883;-5.574;-15.453;143.692;-6.184;-26.519;116.611;-9.187;-16.256;112.927;16.758;15.899;143.209;-5.642;27.989;114.968;-8.553;16.967;111.891;17.677;0.560;108.696;-4.969
3577.000;143.080;0.342;134.893;-5.588;-15.446;143.696;-6.208;-26.525;116.618;-9.184;-16.246;112.980;16.760;15.904;143.220;-5.653;28.006;114.979;-8.537;16.933;111.925;17.677;0.559;108.697;-4.990
3578.000;143.120;0.344;134.902;-5.610;-15.440;143.708;-6.243;-26.532;116.629;-9.191;-16.251;113.032;16.749;15.910;143.230;-5.678;28.024;114.991;-8.520;16.899;111.978;17.676;0.560;108.700;-5.011
3579.000;143.160;0.346;134.910;-5.630;-15.439;143.720;-6.277;-26.539;116.643;-9.196;-16.244;113.079;16.757;15.913;143.239;-5.701;28.046;115.002;-8.515;16.897;112.034;17.673;0.561;108.703;-5.030
3580.000;143.200;0.354;134.916;-5.650;-15.423;143.733;-6.309;-26.563;116.658;-9.189;-16.179;113.139;16.780;15.926;143.236;-5.709;28.085;115.008;-8.527;16.901;112.123;17.661;0.565;108.703;-5.045
3581.000;143.240;0.365;134.915;-5.674;-15.409;143.738;-6.343;-26.624;116.690;-9.126;-15.895;113.206;16.761;15.940;143.235;-5.715;28.131;115.028;-8.529;16.835;112.359;17.652;0.571;108.706;-5.059
3582.000;143.280;0.379;134.922;-5.711;-15.384;143.800;-6.380;-26.753;116.813;-8.792;-15.146;113.452;16.810;15.957;143.251;-5.716;28.203;115.133;-8.470;16.321;113.062;17.500;0.565;108.711;-5.074
3583.000;143.320;0.409;134.964;-5.765;-15.321;143.941;-6.413;-26.928;116.966;-7.794;-13.917;114.824;17.223;15.986;143.338;-5.763;28.280;115.286;-8.114;14.976;114.548;17.387;0.562;108.718;-5.105
3584.000;143.360;0.440;135.033;-5.853;-15.256;144.140;-6.472;-26.909;117.078;-5.732;-12.121;118.387;18.146;16.013;143.449;-5.845;28.249;115.334;-7.386;13.607;116.615;17.366;0.564;108.727;-5.187
3585.000;143.400;0.468;135.084;-5.994;-15.176;144.443;-6.631;-26.466;117.458;-2.324;-10.012;124.053;19.247;16.059;143.512;-6.020;28.142;115.345;-6.496;12.390;118.669;17.312;0.563;108.735;-5.322
3586.000;143.440;0.485;135.129;-6.207;-15.101;144.763;-6.841;-25.636;118.611;2.467;-8.127;131.011;20.116;16.087;143.583;-6.298;28.100;115.402;-5.444;11.052;119.723;17.385;0.555;108.748;-5.493
3587.000;143.480;0.485;135.145;-6.454;-14.983;145.012;-7.049;-24.421;121.102;7.862;-6.797;138.218;20.660;16.091;143.615;-6.544;28.117;115.439;-4.455;9.742;119.133;17.619;0.554;108.757;-5.689
3588.000;143.520;0.452;135.180;-6.640;-14.862;145.412;-7.052;-23.075;124.796;12.611;-5.940;144.843;20.935;16.066;143.581;-6.706;28.242;115.428;-3.811;8.768;117.510;17.631;0.560;108.769;-5.879
3589.000;143.560;0.358;135.264;-6.714;-14.675;145.947;-6.903;-21.844;128.794;15.960;-5.366;150.377;21.296;16.028;143.491;-6.845;28.524;115.394;-3.559;8.149;115.614;17.293;0.557;108.792;-6.026
3590.000;143.600;0.276;135.379;-6.724;-14.461;146.420;-6.737;-20.973;132.022;17.856;-5.059;154.343;22.011;16.009;143.390;-7.013;28.886;115.395;-3.541;7.947;114.127;16.771;0.543;108.825;-6.114
3591.000;143.640;0.265;135.431;-6.776;-14.330;146.596;-6.680;-20.555;133.570;18.599;-5.026;156.170;23.188;16.007;143.341;-7.257;29.107;115.441;-3.539;8.276;113.746;16.881;0.518;108.853;-6.160
3592.000;143.680;0.295;135.384;-6.914;-14.378;146.445;-6.688;-20.592;132.838;18.322;-5.300;155.268;24.762;16.017;143.360;-7.582;28.961;115.534;-3.270;9.485;115.480;18.438;0.496;108.854;-6.227
3593.000;143.720;0.291;135.294;-7.108;-14.569;146.107;-6.731;-20.858;130.092;16.941;-5.760;151.626;26.564;16.000;143.399;-7.980;28.616;115.759;-2.227;11.726;119.730;21.085;0.474;108.834;-6.314
3594.000;143.760;0.209;135.202;-7.279;-14.869;145.666;-6.798;-21.115;126.330;14.455;-6.130;145.658;28.393;15.888;143.471;-8.356;28.313;116.456;-0.221;14.647;126.024;23.344;0.439;108.815;-6.380
3595.000;143.800;0.075;135.147;-7.371;-15.193;145.258;-6.832;-21.390;122.682;11.153;-6.338;138.158;29.499;15.656;143.654;-8.584;28.281;117.932;2.472;17.590;133.285;24.231;0.401;108.804;-6.398
3596.000;143.840;-0.027;135.135;-7.365;-15.469;144.885;-6.809;-21.813;119.857;7.689;-6.499;130.533;29.312;15.413;143.922;-8.581;28.626;120.137;5.275;19.947;140.155;23.672;0.371;108.801;-6.391
3597.000;143.880;-0.084;135.153;-7.286;-15.667;144.562;-6.812;-22.192;118.104;4.710;-6.865;124.365;28.144;15.181;144.270;-8.376;29.225;122.598;7.635;21.560;145.582;22.466;0.340;108.801;-6.363
3598.000;143.920;-0.110;135.182;-7.211;-15.792;144.393;-6.957;-22.372;117.316;2.768;-7.311;120.982;26.997;15.019;144.447;-8.074;29.883;124.580;9.315;22.402;149.127;21.309;0.315;108.812;-6.329
3599.000;143.960;-0.110;135.183;-7.179;-15.799;144.398;-7.213;-22.590;117.274;2.174;-7.953;121.101;26.613;14.989;144.413;-7.835;30.348;125.434;10.168;22.549;150.417;20.973;0.322;108.822;-6.325
3600.000;144.000;-0.058;135.167;-7.209;-15.684;144.524;-7.554;-22.955;117.981;3.086;-8.935;124.622;27.060;15.078;144.325;-7.676;30.386;124.789;9.850;22.158;149.111;21.826;0.352;108.832;-6.346
3601.000;144.040;0.067;135.144;-7.273;-15.450;144.719;-7.940;-23.599;119.484;5.089;-10.274;130.708;27.439;15.294;144.163;-7.496;30.023;122.810;8.454;21.410;145.200;23.717;0.418;108.830;-6.380
3602.000;144.080;0.233;135.136;-7.319;-15.134;144.984;-8.320;-24.475;121.920;7.592;-11.912;137.925;27.019;15.573;143.912;-7.284;29.170;120.263;6.305;20.433;139.026;26.007;0.503;108.819;-6.415
3603.000;144.120;0.385;135.149;-7.308;-14.782;145.360;-8.642;-25.401;125.037;9.853;-13.609;144.901;25.618;15.853;143.566;-7.013;28.115;117.841;3.957;19.231;131.673;27.542;0.606;108.819;-6.414
3604.000;144.160;0.489;135.212;-7.207;-14.383;145.855;-8.831;-26.339;128.231;11.337;-15.169;150.524;23.747;16.116;143.216;-6.723;27.350;116.007;1.819;18.002;124.892;27.688;0.697;108.826;-6.356
