Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1300.000;52.000;1.183;131.147;-20.021;-14.695;139.840;-18.817;-24.946;112.772;-23.195;-14.290;111.168;2.192;16.588;139.709;-20.290;28.033;111.870;-25.900;19.818;113.286;0.907;1.512;103.155;-25.691
1301.000;52.040;1.190;131.156;-20.015;-14.689;139.853;-18.818;-24.933;112.785;-23.187;-14.296;111.194;2.202;16.595;139.721;-20.286;28.060;111.889;-25.900;19.841;113.297;0.910;1.514;103.156;-25.684
1302.000;52.080;1.192;131.164;-20.006;-14.688;139.860;-18.812;-24.934;112.792;-23.175;-14.290;111.208;2.213;16.595;139.735;-20.280;28.085;111.913;-25.899;19.875;113.304;0.912;1.516;103.158;-25.681
1303.000;52.120;1.194;131.170;-19.995;-14.687;139.869;-18.801;-24.938;112.802;-23.163;-14.288;111.229;2.224;16.596;139.744;-20.275;28.107;111.931;-25.900;19.913;113.317;0.917;1.516;103.158;-25.675
1304.000;52.160;1.195;131.179;-19.986;-14.684;139.878;-18.794;-24.951;112.817;-23.153;-14.285;111.253;2.226;16.598;139.752;-20.267;28.121;111.945;-25.893;19.931;113.331;0.923;1.517;103.161;-25.670
1305.000;52.200;1.197;131.186;-19.973;-14.682;139.889;-18.781;-24.965;112.832;-23.143;-14.274;111.281;2.228;16.601;139.762;-20.263;28.142;111.960;-25.881;19.939;113.346;0.935;1.515;103.163;-25.661
1306.000;52.240;1.203;131.192;-19.967;-14.674;139.899;-18.772;-24.984;112.851;-23.123;-14.263;111.338;2.235;16.607;139.767;-20.262;28.160;111.965;-25.871;19.933;113.372;0.932;1.518;103.165;-25.654
1307.000;52.280;1.208;131.204;-19.960;-14.669;139.909;-18.752;-25.024;112.881;-23.100;-14.237;111.544;2.218;16.613;139.778;-20.261;28.194;111.984;-25.863;19.935;113.476;0.900;1.521;103.166;-25.647
1308.000;52.320;1.202;131.228;-19.950;-14.673;139.925;-18.704;-25.148;112.959;-23.082;-14.247;112.244;2.127;16.603;139.805;-20.252;28.362;112.079;-25.859;20.027;113.876;0.745;1.525;103.172;-25.640
1309.000;52.360;1.180;131.268;-19.935;-14.688;139.997;-18.645;-25.474;113.154;-23.031;-14.496;113.636;1.991;16.576;139.865;-20.222;28.832;112.308;-25.813;20.241;114.698;0.502;1.525;103.171;-25.644
1310.000;52.400;1.157;131.329;-19.914;-14.688;140.119;-18.594;-26.132;113.494;-22.757;-14.757;115.451;1.824;16.540;139.945;-20.166;29.712;112.728;-25.678;20.495;115.843;0.241;1.522;103.170;-25.659
1311.000;52.440;1.135;131.389;-19.896;-14.673;140.232;-18.556;-27.221;113.954;-22.178;-14.808;117.455;1.577;16.493;140.028;-20.101;31.041;113.337;-25.365;20.532;117.206;-0.143;1.514;103.174;-25.676
