Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3747.000;149.880;0.945;135.082;-4.442;-15.008;143.585;-5.071;-25.382;116.025;-7.832;-17.061;112.195;18.598;16.548;143.346;-4.334;27.663;114.819;-7.775;18.244;111.723;18.895;0.975;109.144;-3.817
3748.000;149.920;0.948;135.084;-4.442;-15.002;143.588;-5.068;-25.380;116.030;-7.827;-17.055;112.200;18.604;16.553;143.346;-4.337;27.668;114.817;-7.775;18.251;111.726;18.899;0.977;109.145;-3.824
3749.000;149.960;0.947;135.090;-4.448;-15.008;143.595;-5.066;-25.398;116.036;-7.793;-17.031;112.218;18.624;16.550;143.358;-4.355;27.687;114.831;-7.769;18.282;111.768;18.917;0.978;109.146;-3.839
3750.000;150.000;0.939;135.095;-4.457;-15.013;143.603;-5.058;-25.441;116.050;-7.738;-17.006;112.253;18.663;16.544;143.362;-4.392;27.699;114.833;-7.777;18.322;111.798;18.919;0.977;109.149;-3.851
3751.000;150.040;0.929;135.100;-4.460;-15.020;143.618;-5.042;-25.480;116.069;-7.666;-16.981;112.296;18.722;16.537;143.361;-4.426;27.707;114.834;-7.797;18.357;111.821;18.915;0.976;109.149;-3.857
3752.000;150.080;0.919;135.106;-4.462;-15.032;143.627;-5.021;-25.516;116.080;-7.589;-16.951;112.332;18.782;16.526;143.368;-4.457;27.711;114.844;-7.818;18.399;111.850;18.910;0.968;109.151;-3.863
3753.000;150.120;0.914;135.114;-4.451;-15.036;143.642;-4.999;-25.529;116.093;-7.532;-16.935;112.367;18.826;16.522;143.371;-4.467;27.694;114.842;-7.842;18.415;111.856;18.896;0.961;109.154;-3.865
3754.000;150.160;0.910;135.121;-4.433;-15.038;143.652;-4.972;-25.538;116.103;-7.481;-16.919;112.401;18.874;16.518;143.378;-4.468;27.675;114.850;-7.876;18.438;111.852;18.874;0.955;109.156;-3.858
3755.000;150.200;0.908;135.124;-4.410;-15.041;143.659;-4.937;-25.547;116.111;-7.441;-16.907;112.412;18.912;16.518;143.376;-4.458;27.660;114.845;-7.885;18.442;111.841;18.873;0.947;109.159;-3.845
3756.000;150.240;0.905;135.123;-4.392;-15.041;143.665;-4.915;-25.554;116.123;-7.412;-16.904;112.432;18.939;16.515;143.366;-4.452;27.660;114.831;-7.878;18.460;111.824;18.886;0.939;109.157;-3.828
3757.000;150.280;0.905;135.118;-4.370;-15.034;143.664;-4.883;-25.575;116.125;-7.376;-16.898;112.461;18.968;16.521;143.354;-4.431;27.655;114.815;-7.858;18.462;111.804;18.917;0.934;109.154;-3.809
3758.000;150.320;0.913;135.108;-4.348;-15.021;143.665;-4.849;-25.602;116.141;-7.355;-16.907;112.570;19.004;16.533;143.337;-4.406;27.653;114.787;-7.820;18.466;111.730;18.970;0.932;109.153;-3.784
3759.000;150.360;0.905;135.093;-4.351;-15.027;143.662;-4.859;-25.651;116.180;-7.226;-16.738;112.908;19.109;16.523;143.330;-4.387;27.672;114.779;-7.784;18.491;111.606;19.036;0.922;109.148;-3.757
3760.000;150.400;0.915;135.084;-4.372;-15.013;143.671;-4.912;-25.717;116.166;-6.694;-16.289;114.196;19.629;16.529;143.332;-4.309;27.720;114.790;-7.727;18.485;111.316;19.105;0.906;109.145;-3.760
3761.000;150.440;0.950;135.079;-4.393;-14.975;143.641;-5.014;-25.916;116.053;-5.286;-15.542;117.469;20.709;16.541;143.369;-4.140;27.859;114.874;-7.622;18.342;110.611;19.089;0.895;109.142;-3.832
3762.000;150.480;0.988;135.085;-4.415;-14.938;143.682;-5.178;-26.106;116.111;-2.731;-14.510;122.622;21.806;16.544;143.422;-3.936;28.073;114.998;-7.378;18.037;109.244;18.993;0.907;109.140;-3.945
3763.000;150.520;0.998;135.107;-4.435;-14.917;143.827;-5.284;-26.055;116.643;0.856;-13.483;128.860;22.386;16.531;143.470;-3.792;28.270;115.070;-6.916;17.643;107.085;18.811;0.926;109.174;-4.048
3764.000;150.560;0.957;135.122;-4.447;-14.910;143.975;-5.340;-25.682;117.879;5.066;-12.417;135.195;21.990;16.473;143.509;-3.680;28.297;115.069;-6.288;17.356;104.333;18.445;0.951;109.191;-4.153
3765.000;150.600;0.880;135.137;-4.459;-14.967;144.105;-5.328;-24.997;119.864;9.308;-11.226;140.738;20.682;16.376;143.564;-3.570;28.068;115.001;-5.523;17.278;101.192;17.858;0.971;109.211;-4.251
3766.000;150.640;0.782;135.150;-4.451;-15.044;144.251;-5.195;-24.240;122.275;12.943;-9.944;144.878;18.893;16.272;143.599;-3.497;27.737;114.875;-4.681;17.297;97.924;16.900;0.988;109.224;-4.337
