Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
703.000;28.120;-1.019;135.025;-4.875;-16.898;143.606;-4.877;-27.651;116.460;-8.580;-16.638;111.961;16.757;14.477;143.543;-5.317;25.527;115.371;-10.339;15.657;115.362;16.120;-0.459;108.923;-4.642
704.000;28.160;-0.962;135.017;-4.891;-16.824;143.630;-4.924;-27.615;116.496;-8.614;-16.660;112.011;16.753;14.551;143.503;-5.315;25.564;115.305;-10.289;15.662;115.375;16.152;-0.441;108.919;-4.631
705.000;28.200;-0.903;135.011;-4.909;-16.754;143.652;-4.972;-27.570;116.529;-8.650;-16.690;112.071;16.754;14.622;143.473;-5.317;25.603;115.257;-10.254;15.695;115.380;16.186;-0.413;108.917;-4.622
706.000;28.240;-0.846;135.003;-4.927;-16.686;143.665;-5.020;-27.524;116.546;-8.685;-16.724;112.123;16.760;14.688;143.448;-5.318;25.649;115.216;-10.220;15.719;115.353;16.211;-0.384;108.916;-4.619
707.000;28.280;-0.790;134.997;-4.951;-16.622;143.674;-5.066;-27.488;116.567;-8.708;-16.735;112.171;16.765;14.753;143.426;-5.324;25.701;115.185;-10.199;15.759;115.327;16.229;-0.357;108.915;-4.612
708.000;28.320;-0.738;134.992;-4.974;-16.562;143.683;-5.108;-27.464;116.587;-8.740;-16.739;112.269;16.767;14.808;143.414;-5.347;25.748;115.162;-10.196;15.825;115.287;16.253;-0.323;108.913;-4.607
709.000;28.360;-0.687;134.985;-5.004;-16.508;143.699;-5.141;-27.457;116.635;-8.736;-16.710;112.505;16.799;14.860;143.412;-5.389;25.781;115.147;-10.215;15.953;115.197;16.307;-0.292;108.913;-4.604
710.000;28.400;-0.640;134.977;-5.052;-16.449;143.763;-5.198;-27.505;116.750;-8.505;-16.565;113.105;17.052;14.913;143.406;-5.454;25.828;115.136;-10.275;16.174;115.011;16.398;-0.259;108.915;-4.605
711.000;28.440;-0.581;134.969;-5.131;-16.354;143.843;-5.338;-27.683;116.882;-7.864;-16.420;114.307;17.751;14.975;143.390;-5.551;25.932;115.126;-10.326;16.364;114.399;16.523;-0.225;108.917;-4.631
712.000;28.480;-0.500;134.964;-5.249;-16.230;143.946;-5.594;-28.066;117.060;-6.493;-16.098;116.882;18.991;15.044;143.379;-5.623;26.089;115.127;-10.265;16.403;112.933;16.633;-0.185;108.916;-4.706
713.000;28.520;-0.403;134.976;-5.410;-16.087;144.109;-5.936;-28.521;117.432;-4.195;-15.709;121.290;20.508;15.121;143.396;-5.614;26.290;115.169;-10.029;16.261;110.307;16.611;-0.120;108.912;-4.832
714.000;28.560;-0.315;135.001;-5.577;-15.941;144.361;-6.318;-28.915;118.313;-0.937;-15.189;127.342;21.748;15.185;143.427;-5.533;26.521;115.179;-9.545;16.031;106.841;16.278;-0.055;108.919;-4.987
715.000;28.600;-0.253;135.036;-5.742;-15.768;144.617;-6.731;-29.091;119.958;2.977;-14.710;134.196;22.210;15.221;143.454;-5.436;26.642;115.110;-8.804;15.999;103.042;15.620;0.017;108.937;-5.140
716.000;28.640;-0.229;135.069;-5.862;-15.631;144.865;-7.017;-28.980;122.397;6.957;-14.176;140.715;21.761;15.235;143.448;-5.323;26.637;114.970;-7.973;16.166;99.426;14.592;0.098;108.952;-5.284
717.000;28.680;-0.248;135.113;-5.906;-15.542;145.116;-7.116;-28.632;125.222;10.389;-13.590;146.200;20.594;15.217;143.447;-5.254;26.556;114.841;-7.212;16.495;96.302;13.276;0.150;108.963;-5.405
718.000;28.720;-0.276;135.153;-5.902;-15.459;145.375;-7.050;-28.165;127.949;12.995;-13.031;150.296;19.191;15.211;143.461;-5.261;26.431;114.721;-6.682;17.059;93.777;11.824;0.187;108.977;-5.487
