Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
307.000;12.280;-0.481;134.830;-7.983;-16.314;143.624;-8.845;-26.695;115.910;-10.254;-17.950;115.196;16.152;15.061;143.251;-8.060;26.181;114.629;-9.978;16.926;114.791;16.778;-0.366;109.101;-7.246
308.000;12.320;-0.462;134.832;-8.026;-16.293;143.634;-8.903;-26.691;115.922;-10.314;-17.974;115.211;16.106;15.085;143.247;-8.102;26.205;114.622;-10.004;16.947;114.806;16.754;-0.355;109.100;-7.278
309.000;12.360;-0.447;134.838;-8.069;-16.276;143.643;-8.960;-26.681;115.939;-10.381;-17.999;115.218;16.051;15.104;143.247;-8.144;26.224;114.623;-10.037;16.959;114.828;16.718;-0.347;109.100;-7.312
310.000;12.400;-0.437;134.848;-8.110;-16.265;143.651;-9.017;-26.675;115.951;-10.447;-18.003;115.240;15.995;15.116;143.261;-8.192;26.252;114.642;-10.057;16.960;114.859;16.694;-0.344;109.103;-7.352
311.000;12.440;-0.419;134.857;-8.152;-16.242;143.666;-9.069;-26.682;115.972;-10.485;-17.980;115.271;15.945;15.136;143.269;-8.239;26.301;114.650;-10.073;16.929;114.875;16.655;-0.339;109.107;-7.389
312.000;12.480;-0.407;134.869;-8.190;-16.234;143.675;-9.103;-26.723;115.997;-10.484;-17.940;115.459;16.005;15.146;143.289;-8.277;26.383;114.691;-10.030;16.832;114.875;16.681;-0.335;109.109;-7.427
313.000;12.520;-0.397;134.894;-8.243;-16.238;143.714;-9.125;-27.047;116.122;-10.214;-17.439;116.006;16.050;15.143;143.360;-8.295;26.672;114.835;-9.649;16.236;114.877;16.920;-0.332;109.112;-7.482
314.000;12.560;-0.396;134.940;-8.341;-16.225;143.783;-9.141;-27.868;116.363;-9.280;-15.834;117.330;16.078;15.129;143.444;-8.302;27.360;115.060;-8.534;14.680;114.886;17.359;-0.323;109.123;-7.570
315.000;12.600;-0.416;134.970;-8.482;-16.221;143.848;-9.201;-28.809;116.635;-7.318;-13.000;119.166;15.880;15.070;143.517;-8.314;28.157;115.374;-6.627;12.379;114.487;17.869;-0.307;109.127;-7.707
316.000;12.640;-0.452;134.979;-8.648;-16.229;143.909;-9.251;-29.293;116.935;-4.595;-9.769;120.939;15.362;14.991;143.518;-8.350;28.772;115.709;-4.003;9.319;113.900;18.156;-0.291;109.129;-7.878
317.000;12.680;-0.494;134.996;-8.834;-16.252;144.026;-9.249;-29.039;117.351;-1.615;-6.607;122.277;14.837;14.898;143.530;-8.397;28.894;116.188;-1.092;6.255;113.397;18.030;-0.294;109.137;-8.060
318.000;12.720;-0.542;135.044;-9.009;-16.287;144.141;-9.194;-28.334;117.884;1.323;-3.772;123.291;14.328;14.790;143.570;-8.346;28.578;116.794;1.793;3.617;113.198;17.799;-0.300;109.143;-8.252
319.000;12.760;-0.575;135.110;-9.156;-16.278;144.289;-9.091;-27.580;118.707;3.962;-1.629;124.388;13.905;14.683;143.653;-8.230;28.245;117.624;4.373;1.708;113.716;17.609;-0.312;109.140;-8.464
320.000;12.800;-0.602;135.208;-9.245;-16.205;144.596;-8.976;-27.172;119.946;6.048;-0.561;125.966;13.743;14.548;143.862;-8.093;28.198;118.875;6.447;0.777;115.088;17.694;-0.322;109.140;-8.667
321.000;12.840;-0.605;135.396;-9.294;-16.094;145.000;-8.852;-27.593;121.558;7.640;-0.751;127.963;13.902;14.451;144.166;-7.903;28.773;120.397;7.960;0.945;117.062;18.118;-0.335;109.151;-8.882
322.000;12.880;-0.593;135.507;-9.308;-15.991;145.291;-8.849;-28.871;123.463;8.779;-2.029;130.061;14.354;14.371;144.416;-7.721;30.037;121.980;8.896;2.180;119.352;18.808;-0.348;109.160;-9.078
323.000;12.920;-0.600;135.544;-9.246;-15.932;145.480;-8.922;-30.731;125.317;9.186;-4.089;132.007;15.050;14.303;144.577;-7.590;31.779;123.406;9.028;4.274;121.755;19.626;-0.360;109.179;-9.205
324.000;12.960;-0.622;135.590;-9.095;-15.917;145.623;-8.887;-32.890;126.703;8.679;-6.729;133.586;15.832;14.265;144.682;-7.411;33.766;124.385;8.232;6.996;124.119;20.213;-0.367;109.214;-9.232
325.000;13.000;-0.630;135.644;-8.854;-15.923;145.682;-8.694;-35.096;127.361;7.238;-9.830;134.634;16.511;14.280;144.718;-7.154;35.638;124.644;6.425;10.166;126.348;20.461;-0.374;109.237;-9.201
326.000;13.040;-0.624;135.659;-8.541;-15.961;145.614;-8.374;-37.080;127.212;4.899;-13.262;134.932;16.957;14.368;144.649;-6.881;37.029;124.251;3.766;13.654;128.037;20.349;-0.382;109.240;-9.134
