Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1499.000;59.960;2.166;135.095;-6.806;-13.711;143.794;-7.785;-24.468;116.453;-11.008;-17.105;110.362;15.608;17.702;143.373;-6.464;28.706;114.826;-10.146;18.684;110.412;16.273;2.313;109.194;-6.546
1500.000;60.000;2.151;135.099;-6.832;-13.714;143.817;-7.789;-24.486;116.484;-11.001;-17.098;110.367;15.591;17.697;143.353;-6.488;28.722;114.809;-10.185;18.717;110.357;16.234;2.278;109.194;-6.584
1501.000;60.040;2.137;135.100;-6.854;-13.722;143.832;-7.788;-24.502;116.500;-11.003;-17.067;110.342;15.568;17.688;143.338;-6.509;28.725;114.800;-10.240;18.745;110.306;16.183;2.250;109.194;-6.625
1502.000;60.080;2.119;135.104;-6.875;-13.739;143.843;-7.785;-24.506;116.507;-11.009;-17.027;110.329;15.545;17.672;143.334;-6.537;28.715;114.804;-10.314;18.780;110.282;16.122;2.224;109.196;-6.663
1503.000;60.120;2.096;135.108;-6.900;-13.761;143.849;-7.788;-24.495;116.507;-11.021;-16.998;110.332;15.527;17.652;143.336;-6.574;28.695;114.812;-10.398;18.811;110.290;16.057;2.202;109.199;-6.694
1504.000;60.160;2.080;135.110;-6.926;-13.777;143.855;-7.794;-24.498;116.508;-11.030;-16.972;110.336;15.510;17.638;143.335;-6.615;28.676;114.813;-10.471;18.828;110.293;15.996;2.188;109.200;-6.713
1505.000;60.200;2.062;135.108;-6.957;-13.796;143.851;-7.807;-24.518;116.497;-11.029;-16.958;110.342;15.506;17.617;143.336;-6.666;28.658;114.818;-10.540;18.842;110.302;15.936;2.173;109.200;-6.734
1506.000;60.240;2.048;135.103;-6.993;-13.813;143.840;-7.832;-24.556;116.491;-11.017;-16.930;110.365;15.498;17.602;143.336;-6.727;28.640;114.815;-10.596;18.858;110.306;15.892;2.164;109.202;-6.745
1507.000;60.280;2.036;135.100;-7.030;-13.829;143.829;-7.858;-24.598;116.488;-11.006;-16.893;110.440;15.487;17.586;143.339;-6.785;28.630;114.819;-10.638;18.875;110.294;15.862;2.159;109.202;-6.753
1508.000;60.320;2.022;135.097;-7.069;-13.847;143.817;-7.882;-24.620;116.470;-11.005;-16.841;110.560;15.479;17.567;143.345;-6.852;28.630;114.824;-10.674;18.911;110.257;15.837;2.149;109.200;-6.762
1509.000;60.360;2.013;135.094;-7.115;-13.860;143.811;-7.912;-24.612;116.449;-10.978;-16.780;110.759;15.513;17.554;143.351;-6.926;28.634;114.830;-10.714;18.979;110.164;15.819;2.149;109.198;-6.781
1510.000;60.400;2.006;135.088;-7.161;-13.870;143.803;-7.931;-24.572;116.417;-10.913;-16.726;111.071;15.639;17.545;143.358;-7.003;28.637;114.838;-10.769;19.108;109.943;15.813;2.148;109.200;-6.806
1511.000;60.440;2.004;135.086;-7.222;-13.879;143.787;-7.966;-24.510;116.364;-10.707;-16.683;111.739;15.969;17.537;143.393;-7.092;28.648;114.873;-10.802;19.315;109.468;15.833;2.146;109.207;-6.842
1512.000;60.480;2.015;135.091;-7.313;-13.881;143.754;-8.060;-24.455;116.246;-10.223;-16.876;113.107;16.724;17.535;143.457;-7.174;28.674;114.933;-10.768;19.565;108.489;15.854;2.155;109.206;-6.908
1513.000;60.520;2.042;135.097;-7.433;-13.881;143.701;-8.242;-24.366;116.038;-9.249;-17.424;115.457;18.035;17.536;143.543;-7.215;28.732;115.013;-10.569;19.827;106.732;15.770;2.173;109.208;-7.007
1514.000;60.560;2.064;135.103;-7.577;-13.892;143.665;-8.497;-24.218;115.827;-7.653;-18.306;118.936;19.673;17.515;143.643;-7.238;28.810;115.092;-10.143;20.099;104.024;15.422;2.218;109.212;-7.140
1515.000;60.600;2.062;135.115;-7.733;-13.946;143.642;-8.774;-23.865;115.729;-5.438;-19.561;123.409;21.056;17.456;143.763;-7.256;28.840;115.157;-9.427;20.439;100.532;14.609;2.290;109.219;-7.304
1516.000;60.640;2.036;135.127;-7.877;-14.036;143.605;-9.036;-23.375;115.909;-2.774;-20.726;128.412;21.858;17.353;143.889;-7.237;28.782;115.215;-8.465;20.917;96.783;13.190;2.365;109.231;-7.456
1517.000;60.680;1.984;135.150;-7.994;-14.146;143.560;-9.207;-22.764;116.483;0.172;-21.478;133.475;21.860;17.218;144.024;-7.193;28.580;115.262;-7.379;21.607;93.254;11.115;2.438;109.246;-7.593
1518.000;60.720;1.923;135.186;-8.053;-14.241;143.583;-9.232;-22.065;117.481;3.053;-21.850;138.009;21.196;17.101;144.143;-7.146;28.181;115.258;-6.270;22.531;90.350;8.496;2.497;109.261;-7.706
1519.000;60.760;1.880;135.232;-8.058;-14.287;143.703;-9.162;-21.277;118.742;5.555;-21.991;141.708;20.138;17.056;144.193;-7.098;27.739;115.191;-5.513;23.536;88.444;5.707;2.536;109.277;-7.787
1520.000;60.800;1.869;135.290;-8.023;-14.270;143.887;-9.077;-20.433;120.066;7.524;-21.906;144.575;18.910;17.075;144.214;-7.018;27.456;115.138;-5.381;24.398;87.611;3.525;2.538;109.289;-7.846
1521.000;60.840;1.873;135.368;-7.965;-14.224;144.108;-8.979;-19.502;121.252;8.922;-21.483;146.661;17.634;17.107;144.274;-6.970;27.533;115.226;-5.823;25.011;87.457;2.149;2.493;109.299;-7.868
1522.000;60.880;1.880;135.457;-7.927;-14.185;144.274;-8.837;-18.679;122.216;9.990;-20.624;148.208;16.355;17.139;144.361;-7.006;27.724;115.400;-6.401;25.421;87.470;1.271;2.454;109.312;-7.882
1523.000;60.920;1.898;135.507;-7.910;-14.148;144.358;-8.634;-18.044;122.953;10.920;-19.423;149.319;15.081;17.174;144.420;-7.122;27.887;115.507;-7.016;25.324;87.571;0.989;2.426;109.313;-7.908
1524.000;60.960;1.896;135.514;-7.905;-14.121;144.401;-8.444;-17.481;123.654;11.797;-18.115;150.239;13.861;17.195;144.427;-7.300;27.991;115.525;-7.608;25.068;87.729;1.116;2.418;109.308;-7.928
1525.000;61.000;1.871;135.518;-7.903;-14.104;144.455;-8.279;-17.014;124.446;12.653;-16.711;151.075;12.645;17.196;144.405;-7.488;28.074;115.499;-8.048;24.858;87.939;1.484;2.419;109.311;-7.946
1526.000;61.040;1.827;135.534;-7.903;-14.099;144.530;-8.144;-16.695;125.395;13.557;-15.026;151.865;11.389;17.166;144.413;-7.614;28.186;115.530;-8.322;24.739;88.188;1.873;2.434;109.311;-7.952
1527.000;61.080;1.786;135.557;-7.894;-14.086;144.610;-8.049;-16.430;126.563;14.511;-13.071;152.568;10.034;17.118;144.451;-7.664;28.271;115.616;-8.453;24.644;88.425;2.212;2.453;109.311;-7.957
1528.000;61.120;1.751;135.585;-7.872;-14.055;144.705;-7.991;-16.140;127.879;15.432;-10.927;153.083;8.647;17.077;144.493;-7.667;28.342;115.702;-8.501;24.574;88.635;2.489;2.467;109.311;-7.956
1529.000;61.160;1.726;135.610;-7.838;-13.992;144.813;-7.954;-15.817;129.197;16.210;-8.820;153.351;7.374;17.049;144.509;-7.645;28.394;115.750;-8.479;24.488;88.778;2.747;2.483;109.313;-7.931
1530.000;61.200;1.720;135.624;-7.812;-13.916;144.908;-7.933;-15.461;130.385;16.843;-7.129;153.445;6.255;17.043;144.502;-7.636;28.424;115.751;-8.427;24.444;88.850;2.943;2.500;109.310;-7.898
1531.000;61.240;1.736;135.629;-7.791;-13.839;144.982;-7.936;-15.186;131.357;17.301;-5.842;153.428;5.347;17.056;144.490;-7.622;28.438;115.737;-8.358;24.428;88.861;3.067;2.516;109.305;-7.862
1532.000;61.280;1.760;135.629;-7.787;-13.769;145.035;-7.965;-15.066;131.788;17.436;-5.171;153.418;5.085;17.083;144.475;-7.622;28.442;115.723;-8.309;24.465;88.850;3.121;2.530;109.302;-7.817
1533.000;61.320;1.804;135.618;-7.786;-13.706;145.057;-7.971;-15.019;131.513;17.261;-5.410;153.556;5.426;17.148;144.430;-7.659;28.459;115.663;-8.297;24.529;88.798;3.155;2.542;109.295;-7.768
1534.000;61.360;1.861;135.565;-7.786;-13.675;145.004;-7.964;-15.226;130.760;16.913;-6.140;153.458;6.076;17.221;144.365;-7.716;28.481;115.573;-8.330;24.610;88.725;3.167;2.562;109.283;-7.721
1535.000;61.400;1.906;135.520;-7.782;-13.693;144.902;-7.936;-15.397;129.650;16.396;-7.499;153.335;6.900;17.274;144.305;-7.742;28.508;115.500;-8.408;24.700;88.657;3.141;2.583;109.273;-7.680
1536.000;61.440;1.946;135.475;-7.773;-13.724;144.795;-7.931;-15.448;128.557;15.810;-9.005;153.263;7.976;17.316;144.264;-7.740;28.539;115.453;-8.476;24.781;88.601;3.086;2.600;109.267;-7.646
1537.000;61.480;2.003;135.448;-7.761;-13.719;144.731;-7.933;-15.368;127.767;15.338;-10.288;153.232;9.025;17.374;144.228;-7.710;28.576;115.407;-8.473;24.855;88.525;3.027;2.625;109.261;-7.623
1538.000;61.520;2.063;135.441;-7.735;-13.673;144.722;-7.910;-15.235;127.378;15.096;-11.121;153.220;9.695;17.440;144.200;-7.663;28.620;115.363;-8.437;24.923;88.444;2.972;2.658;109.261;-7.605
1539.000;61.560;2.114;135.443;-7.698;-13.617;144.732;-7.872;-15.128;127.331;15.084;-11.339;153.248;9.877;17.493;144.189;-7.608;28.646;115.344;-8.376;24.971;88.378;2.923;2.690;109.264;-7.587
1540.000;61.600;2.148;135.450;-7.650;-13.570;144.753;-7.841;-15.049;127.531;15.238;-11.168;153.337;9.642;17.526;144.195;-7.534;28.671;115.351;-8.312;25.008;88.357;2.917;2.719;109.269;-7.561
1541.000;61.640;2.160;135.462;-7.607;-13.531;144.779;-7.825;-15.042;127.896;15.476;-10.468;153.433;9.194;17.536;144.208;-7.448;28.705;115.376;-8.270;25.046;88.365;2.910;2.748;109.269;-7.538
1542.000;61.680;2.170;135.474;-7.571;-13.505;144.805;-7.806;-15.059;128.402;15.798;-9.516;153.512;8.636;17.540;144.222;-7.362;28.739;115.405;-8.208;25.058;88.375;2.936;2.770;109.267;-7.512
1543.000;61.720;2.167;135.485;-7.530;-13.482;144.834;-7.767;-15.070;129.031;16.209;-8.403;153.536;7.927;17.525;144.242;-7.275;28.762;115.437;-8.121;25.066;88.401;2.984;2.792;109.265;-7.493
1544.000;61.760;2.155;135.500;-7.489;-13.453;144.879;-7.723;-15.061;129.746;16.631;-7.248;153.529;7.282;17.506;144.267;-7.209;28.767;115.478;-8.039;25.058;88.433;3.042;2.812;109.264;-7.466
1545.000;61.800;2.140;135.514;-7.445;-13.422;144.932;-7.673;-15.017;130.455;17.041;-6.258;153.538;6.747;17.486;144.286;-7.151;28.767;115.507;-7.980;25.056;88.472;3.115;2.825;109.265;-7.433
1546.000;61.840;2.127;135.531;-7.404;-13.398;144.997;-7.636;-14.963;131.084;17.359;-5.468;153.554;6.325;17.470;144.296;-7.108;28.767;115.527;-7.942;25.048;88.512;3.196;2.830;109.267;-7.402
1547.000;61.880;2.115;135.544;-7.367;-13.381;145.046;-7.597;-14.899;131.619;17.636;-4.766;153.549;5.995;17.452;144.300;-7.066;28.773;115.544;-7.913;25.036;88.548;3.264;2.830;109.266;-7.365
1548.000;61.920;2.107;135.548;-7.333;-13.374;145.065;-7.553;-14.811;131.862;17.798;-4.553;153.606;5.878;17.444;144.302;-7.037;28.777;115.552;-7.890;25.024;88.561;3.304;2.820;109.261;-7.331
1549.000;61.960;2.110;135.544;-7.304;-13.373;145.064;-7.518;-14.790;131.869;17.840;-4.633;153.687;5.873;17.449;144.292;-7.032;28.782;115.536;-7.864;25.017;88.553;3.344;2.810;109.260;-7.289
1550.000;62.000;2.123;135.523;-7.287;-13.344;145.059;-7.512;-14.897;131.721;17.764;-4.680;153.606;5.997;17.473;144.270;-7.048;28.778;115.504;-7.874;25.035;88.539;3.375;2.798;109.259;-7.245
1551.000;62.040;2.148;135.493;-7.284;-13.308;145.050;-7.521;-15.178;131.384;17.579;-4.984;153.465;6.293;17.520;144.226;-7.076;28.771;115.445;-7.916;25.091;88.516;3.438;2.793;109.254;-7.204
1552.000;62.080;2.185;135.450;-7.292;-13.297;144.989;-7.564;-15.631;130.772;17.253;-5.806;153.383;6.807;17.568;144.164;-7.096;28.777;115.371;-8.045;25.162;88.591;3.688;2.792;109.247;-7.178
1553.000;62.120;2.239;135.402;-7.299;-13.310;144.908;-7.609;-16.359;129.759;16.733;-7.175;153.189;7.602;17.630;144.098;-7.090;28.854;115.334;-8.406;25.229;88.934;4.262;2.796;109.240;-7.161
1554.000;62.160;2.314;135.341;-7.318;-13.310;144.795;-7.634;-17.662;128.264;15.835;-8.613;152.475;8.665;17.708;144.018;-7.128;29.061;115.348;-8.999;25.179;89.779;5.328;2.806;109.239;-7.142
1555.000;62.200;2.414;135.277;-7.330;-13.283;144.635;-7.590;-19.531;126.242;14.329;-9.797;150.920;10.062;17.822;143.905;-7.218;29.388;115.404;-9.770;24.977;91.290;6.815;2.812;109.241;-7.115
1556.000;62.240;2.503;135.227;-7.297;-13.214;144.446;-7.501;-21.725;123.968;12.060;-10.666;148.540;11.762;17.935;143.770;-7.301;29.806;115.498;-10.640;24.668;93.629;8.556;2.813;109.242;-7.070
1557.000;62.280;2.570;135.192;-7.220;-13.108;144.332;-7.348;-23.904;121.835;9.058;-11.233;145.336;13.614;18.033;143.661;-7.346;30.294;115.653;-11.432;24.255;96.672;10.278;2.798;109.247;-7.029
1558.000;62.320;2.628;135.177;-7.108;-13.043;144.265;-7.118;-25.889;120.281;5.651;-11.550;141.310;15.371;18.120;143.583;-7.353;30.761;115.836;-12.013;23.834;100.091;11.770;2.771;109.245;-6.987
1559.000;62.360;2.669;135.176;-6.989;-12.973;144.220;-6.952;-27.542;119.524;2.257;-11.823;136.648;16.735;18.182;143.525;-7.336;31.148;115.989;-12.288;23.423;103.464;12.932;2.756;109.249;-6.934
1560.000;62.400;2.688;135.169;-6.886;-12.936;144.195;-6.818;-28.800;119.356;-0.787;-12.338;131.769;17.381;18.226;143.454;-7.306;31.463;116.044;-12.317;22.930;106.532;13.737;2.743;109.252;-6.877
1561.000;62.440;2.702;135.159;-6.802;-12.903;144.205;-6.748;-29.481;119.422;-3.477;-13.151;127.137;17.316;18.274;143.359;-7.241;31.592;115.961;-12.194;22.314;109.133;14.263;2.733;109.251;-6.825
