Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1077.000;43.080;1.079;135.219;-6.351;-14.598;144.250;-7.323;-26.499;117.706;-10.550;-15.060;111.772;14.713;16.630;143.668;-6.473;27.853;115.439;-10.287;16.721;112.543;15.931;1.306;109.004;-6.015
1078.000;43.120;1.068;135.208;-6.414;-14.611;144.239;-7.399;-26.497;117.684;-10.588;-15.108;111.878;14.726;16.616;143.659;-6.547;27.840;115.430;-10.328;16.772;112.753;15.928;1.290;109.006;-6.042
1079.000;43.160;1.052;135.200;-6.483;-14.625;144.228;-7.481;-26.509;117.666;-10.635;-15.183;111.992;14.728;16.598;143.648;-6.625;27.824;115.419;-10.380;16.813;112.981;15.905;1.271;109.006;-6.074
1080.000;43.200;1.040;135.192;-6.556;-14.630;144.217;-7.569;-26.531;117.665;-10.693;-15.290;112.126;14.727;16.589;143.632;-6.709;27.793;115.393;-10.439;16.840;113.227;15.882;1.259;109.004;-6.112
1081.000;43.240;1.024;135.182;-6.636;-14.647;144.215;-7.660;-26.561;117.663;-10.762;-15.408;112.286;14.718;16.573;143.619;-6.803;27.783;115.386;-10.486;16.863;113.507;15.859;1.239;109.005;-6.148
1082.000;43.280;1.010;135.171;-6.722;-14.653;144.210;-7.760;-26.601;117.665;-10.834;-15.515;112.464;14.698;16.560;143.603;-6.905;27.784;115.366;-10.525;16.854;113.763;15.822;1.222;109.004;-6.192
1083.000;43.320;1.002;135.160;-6.816;-14.658;144.204;-7.873;-26.652;117.673;-10.905;-15.584;112.713;14.671;16.553;143.587;-7.001;27.800;115.356;-10.557;16.810;114.047;15.793;1.204;109.000;-6.240
1084.000;43.360;0.997;135.147;-6.913;-14.659;144.197;-7.984;-26.725;117.699;-10.936;-15.503;113.112;14.614;16.548;143.561;-7.094;27.821;115.340;-10.584;16.766;114.412;15.775;1.191;108.999;-6.292
1085.000;43.400;0.983;135.130;-7.032;-14.671;144.203;-8.096;-26.970;117.775;-10.766;-14.997;113.989;14.553;16.535;143.519;-7.168;27.988;115.352;-10.464;16.804;115.103;15.849;1.172;108.998;-6.366
1086.000;43.440;0.964;135.120;-7.210;-14.662;144.232;-8.232;-27.558;117.927;-9.942;-14.226;115.540;14.800;16.514;143.453;-7.266;28.511;115.369;-9.899;17.074;116.631;16.264;1.147;108.994;-6.497
1087.000;43.480;0.938;135.104;-7.448;-14.644;144.274;-8.353;-28.373;118.207;-8.231;-13.656;117.973;15.596;16.486;143.424;-7.495;29.547;115.533;-8.585;17.662;119.232;17.091;1.122;108.992;-6.710
1088.000;43.520;0.902;135.100;-7.749;-14.630;144.375;-8.537;-29.267;118.811;-5.643;-13.226;121.521;16.948;16.439;143.501;-7.845;30.885;116.076;-6.509;18.297;122.821;18.171;1.088;108.998;-6.964
1089.000;43.560;0.861;135.112;-8.100;-14.623;144.537;-8.811;-30.028;119.890;-2.377;-12.789;125.917;18.405;16.370;143.640;-8.224;32.206;117.105;-3.931;18.799;126.918;19.233;1.040;109.020;-7.215
