Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3022.000;120.880;0.938;134.790;-4.891;-14.760;143.725;-5.840;-25.167;116.170;-8.470;-15.279;113.356;17.717;16.579;143.142;-4.618;28.281;114.774;-6.981;15.697;113.480;18.709;0.977;108.798;-4.481
3023.000;120.920;0.956;134.790;-4.903;-14.739;143.724;-5.866;-25.143;116.172;-8.494;-15.301;113.354;17.702;16.598;143.141;-4.629;28.281;114.771;-7.036;15.716;113.482;18.659;0.988;108.799;-4.488
3024.000;120.960;0.982;134.789;-4.921;-14.710;143.729;-5.897;-25.117;116.181;-8.529;-15.320;113.372;17.690;16.626;143.131;-4.641;28.273;114.758;-7.086;15.720;113.474;18.614;1.006;108.798;-4.497
3025.000;121.000;1.008;134.787;-4.943;-14.681;143.736;-5.930;-25.098;116.190;-8.552;-15.326;113.405;17.682;16.654;143.125;-4.668;28.279;114.744;-7.125;15.733;113.460;18.578;1.019;108.798;-4.507
3026.000;121.040;1.036;134.784;-4.963;-14.646;143.741;-5.951;-25.080;116.199;-8.566;-15.325;113.428;17.669;16.688;143.113;-4.686;28.288;114.726;-7.154;15.761;113.454;18.559;1.031;108.797;-4.521
3027.000;121.080;1.064;134.785;-4.981;-14.613;143.757;-5.971;-25.059;116.223;-8.593;-15.331;113.446;17.652;16.725;143.100;-4.703;28.302;114.705;-7.163;15.785;113.447;18.555;1.044;108.798;-4.533
3028.000;121.120;1.090;134.781;-5.006;-14.581;143.762;-5.997;-25.046;116.235;-8.602;-15.314;113.463;17.642;16.753;143.087;-4.739;28.320;114.680;-7.177;15.820;113.471;18.552;1.057;108.798;-4.546
3029.000;121.160;1.111;134.779;-5.031;-14.552;143.770;-6.021;-25.044;116.252;-8.624;-15.309;113.497;17.628;16.783;143.078;-4.769;28.336;114.665;-7.187;15.857;113.500;18.558;1.070;108.794;-4.561
3030.000;121.200;1.130;134.782;-5.052;-14.529;143.780;-6.044;-25.047;116.268;-8.634;-15.283;113.558;17.618;16.806;143.072;-4.800;28.344;114.648;-7.194;15.902;113.520;18.562;1.081;108.793;-4.578
3031.000;121.240;1.150;134.783;-5.070;-14.506;143.801;-6.046;-25.063;116.317;-8.611;-15.194;113.695;17.618;16.833;143.065;-4.841;28.355;114.630;-7.225;15.944;113.516;18.554;1.093;108.793;-4.598
3032.000;121.280;1.168;134.794;-5.093;-14.476;143.872;-6.055;-25.138;116.454;-8.364;-15.024;114.232;17.810;16.857;143.073;-4.879;28.378;114.637;-7.262;16.003;113.487;18.545;1.095;108.798;-4.616
3033.000;121.320;1.217;134.813;-5.131;-14.385;143.969;-6.124;-25.417;116.618;-7.564;-15.076;115.847;18.611;16.915;143.078;-4.919;28.428;114.643;-7.310;16.061;113.412;18.512;1.105;108.809;-4.651
3034.000;121.360;1.334;134.820;-5.209;-14.196;144.119;-6.323;-26.039;116.980;-5.844;-15.590;119.201;20.195;17.045;143.055;-4.978;28.522;114.628;-7.344;16.119;113.296;18.475;1.123;108.813;-4.708
3035.000;121.400;1.500;134.829;-5.334;-13.919;144.419;-6.573;-26.914;117.902;-3.166;-16.484;124.643;22.001;17.233;142.998;-5.090;28.669;114.561;-7.381;16.192;113.162;18.417;1.161;108.818;-4.794
3036.000;121.440;1.687;134.863;-5.460;-13.555;144.887;-6.795;-27.831;119.657;0.272;-17.462;131.672;23.243;17.464;142.886;-5.254;28.824;114.416;-7.423;16.251;113.006;18.348;1.201;108.825;-4.878
3037.000;121.480;1.859;134.901;-5.576;-13.122;145.402;-6.986;-28.617;122.340;4.085;-18.040;139.407;23.284;17.713;142.731;-5.472;28.951;114.201;-7.491;16.277;112.816;18.249;1.223;108.832;-4.947
3038.000;121.520;2.003;134.936;-5.675;-12.709;145.912;-7.092;-29.148;125.905;7.858;-17.873;146.832;22.061;17.941;142.552;-5.724;29.038;113.950;-7.603;16.264;112.615;18.105;1.228;108.837;-4.991
3039.000;121.560;2.110;134.981;-5.727;-12.353;146.360;-7.066;-29.332;130.062;11.205;-16.969;153.136;19.992;18.139;142.374;-5.965;29.083;113.694;-7.775;16.196;112.364;17.907;1.223;108.851;-5.019
3040.000;121.600;2.191;135.034;-5.724;-11.980;146.836;-6.892;-29.142;134.312;13.861;-15.664;158.070;17.644;18.312;142.184;-6.195;29.055;113.421;-8.009;16.154;112.074;17.671;1.200;108.863;-5.013
3041.000;121.640;2.266;135.094;-5.703;-11.600;147.251;-6.700;-28.712;138.166;15.676;-14.142;161.595;15.558;18.474;141.986;-6.420;28.971;113.127;-8.311;16.111;111.748;17.402;1.168;108.872;-4.973
3042.000;121.680;2.363;135.146;-5.664;-11.213;147.601;-6.520;-28.179;141.166;16.742;-12.597;163.749;13.940;18.645;141.771;-6.643;28.836;112.806;-8.661;16.094;111.406;17.120;1.141;108.881;-4.920
3043.000;121.720;2.491;135.195;-5.629;-10.863;147.850;-6.354;-27.675;143.098;17.334;-11.246;164.755;12.860;18.831;141.571;-6.837;28.685;112.500;-9.049;16.099;111.044;16.822;1.120;108.888;-4.860
3044.000;121.760;2.654;135.209;-5.616;-10.577;147.973;-6.217;-27.331;144.134;17.640;-10.270;165.051;12.263;19.031;141.414;-6.989;28.566;112.266;-9.437;16.144;110.703;16.515;1.114;108.879;-4.821
3045.000;121.800;2.825;135.194;-5.614;-10.341;148.034;-6.105;-27.108;144.557;17.776;-9.781;165.149;12.125;19.233;141.305;-7.081;28.523;112.117;-9.797;16.218;110.404;16.207;1.127;108.874;-4.782
3046.000;121.840;2.976;135.191;-5.596;-10.149;148.077;-6.034;-26.964;144.709;17.816;-9.594;165.248;12.185;19.405;141.222;-7.109;28.599;112.046;-10.082;16.336;110.140;15.931;1.165;108.871;-4.732
3047.000;121.880;3.104;135.184;-5.566;-9.987;148.099;-6.012;-26.879;144.830;17.778;-9.463;165.324;12.163;19.552;141.170;-7.075;28.744;112.025;-10.264;16.479;109.888;15.729;1.226;108.871;-4.683
3048.000;121.920;3.212;135.176;-5.530;-9.853;148.109;-6.028;-26.813;144.870;17.716;-9.430;165.401;12.141;19.668;141.137;-7.001;28.936;112.040;-10.352;16.644;109.660;15.609;1.300;108.876;-4.638
3049.000;121.960;3.305;135.161;-5.500;-9.753;148.085;-6.034;-26.764;144.733;17.637;-9.549;165.412;12.179;19.764;141.132;-6.914;29.140;112.083;-10.353;16.819;109.500;15.573;1.382;108.876;-4.600
3050.000;122.000;3.399;135.134;-5.467;-9.662;148.040;-6.066;-26.633;144.368;17.514;-10.119;165.704;12.591;19.854;141.124;-6.841;29.337;112.109;-10.299;16.984;109.409;15.602;1.462;108.871;-4.574
3051.000;122.040;3.505;135.114;-5.480;-9.544;148.000;-6.226;-26.051;143.840;17.396;-11.965;167.359;14.323;19.961;141.109;-6.793;29.515;112.110;-10.197;17.128;109.371;15.674;1.541;108.869;-4.555
3052.000;122.080;3.642;135.102;-5.554;-9.413;148.013;-6.350;-25.708;143.708;17.342;-14.491;169.160;17.237;20.109;141.085;-6.814;29.682;112.071;-10.056;17.214;109.386;15.775;1.626;108.868;-4.538
3053.000;122.120;3.753;135.113;-5.582;-9.300;148.068;-6.313;-25.920;143.737;17.180;-16.122;169.822;19.547;20.240;141.042;-6.887;29.828;111.977;-9.921;17.299;109.470;15.896;1.716;108.864;-4.557
3054.000;122.160;3.826;135.103;-5.550;-9.214;148.078;-6.226;-26.240;143.498;16.987;-16.756;169.650;20.268;20.319;140.972;-6.908;29.907;111.870;-9.854;17.409;109.559;15.994;1.767;108.861;-4.580
3055.000;122.200;3.900;135.070;-5.517;-9.149;148.026;-6.190;-26.342;143.114;16.840;-16.781;169.225;20.222;20.394;140.935;-6.838;29.882;111.817;-9.856;17.530;109.542;16.062;1.798;108.862;-4.579
3056.000;122.240;3.972;135.061;-5.492;-9.087;147.994;-6.184;-26.298;142.879;16.793;-16.727;168.969;20.138;20.470;140.950;-6.746;29.824;111.815;-9.854;17.591;109.442;16.113;1.835;108.866;-4.586
3057.000;122.280;4.021;135.073;-5.481;-9.035;148.004;-6.167;-26.267;142.876;16.796;-16.686;168.958;20.176;20.522;140.969;-6.708;29.823;111.827;-9.840;17.607;109.374;16.129;1.874;108.872;-4.604
3058.000;122.320;4.036;135.081;-5.469;-9.013;148.020;-6.146;-26.293;142.983;16.804;-16.619;169.033;20.214;20.539;140.972;-6.696;29.863;111.839;-9.859;17.616;109.383;16.095;1.913;108.872;-4.614
3059.000;122.360;4.035;135.085;-5.467;-9.012;148.026;-6.155;-26.340;143.092;16.782;-16.529;169.094;20.173;20.532;140.974;-6.695;29.895;111.856;-9.884;17.615;109.414;16.046;1.943;108.871;-4.615
3060.000;122.400;4.035;135.084;-5.475;-9.016;148.016;-6.185;-26.389;143.138;16.733;-16.456;169.088;20.124;20.533;140.987;-6.687;29.893;111.877;-9.908;17.579;109.422;16.008;1.959;108.872;-4.616
3061.000;122.440;4.040;135.083;-5.496;-9.029;147.998;-6.227;-26.446;143.113;16.662;-16.448;169.043;20.056;20.532;140.997;-6.691;29.864;111.885;-9.912;17.527;109.434;15.996;1.960;108.868;-4.626
3062.000;122.480;4.037;135.080;-5.516;-9.042;147.985;-6.251;-26.500;143.069;16.604;-16.435;168.962;20.058;20.526;141.004;-6.711;29.833;111.885;-9.911;17.466;109.455;15.986;1.955;108.861;-4.639
3063.000;122.520;4.022;135.076;-5.540;-9.066;147.968;-6.284;-26.557;143.002;16.540;-16.417;168.852;20.093;20.515;141.003;-6.730;29.806;111.880;-9.901;17.423;109.501;15.986;1.945;108.858;-4.651
3064.000;122.560;3.993;135.074;-5.556;-9.106;147.952;-6.312;-26.634;142.892;16.478;-16.379;168.678;20.145;20.484;141.010;-6.735;29.786;111.886;-9.886;17.374;109.561;15.987;1.927;108.859;-4.660
3065.000;122.600;3.953;135.072;-5.571;-9.164;147.928;-6.345;-26.748;142.717;16.380;-16.256;168.378;20.228;20.440;141.023;-6.741;29.755;111.906;-9.883;17.343;109.618;15.996;1.907;108.857;-4.675
3066.000;122.640;3.910;135.066;-5.585;-9.228;147.895;-6.379;-26.937;142.442;16.222;-15.960;167.833;20.311;20.390;141.038;-6.736;29.722;111.924;-9.866;17.328;109.668;16.020;1.880;108.857;-4.686
3067.000;122.680;3.867;135.061;-5.596;-9.288;147.859;-6.422;-27.184;141.895;15.968;-15.592;166.938;20.288;20.345;141.049;-6.732;29.677;111.936;-9.827;17.307;109.743;16.070;1.847;108.859;-4.696
3068.000;122.720;3.818;135.047;-5.604;-9.376;147.790;-6.445;-27.595;140.897;15.500;-15.323;165.463;20.179;20.291;141.053;-6.758;29.627;111.932;-9.762;17.287;109.880;16.154;1.806;108.863;-4.693
3069.000;122.760;3.762;135.015;-5.603;-9.525;147.655;-6.451;-28.284;139.356;14.688;-15.138;163.217;20.208;20.213;141.063;-6.800;29.562;111.928;-9.667;17.270;110.107;16.282;1.757;108.867;-4.684
3070.000;122.800;3.692;134.982;-5.603;-9.722;147.442;-6.442;-29.169;137.291;13.430;-15.114;160.121;20.566;20.119;141.096;-6.836;29.474;111.940;-9.538;17.261;110.399;16.456;1.699;108.865;-4.671
3071.000;122.840;3.600;134.943;-5.588;-9.992;147.152;-6.379;-30.128;134.880;11.759;-15.402;156.270;21.332;19.989;141.174;-6.858;29.364;111.995;-9.367;17.268;110.712;16.685;1.642;108.854;-4.652
3072.000;122.880;3.461;134.902;-5.561;-10.336;146.823;-6.327;-31.092;132.491;9.724;-15.689;151.673;22.316;19.797;141.316;-6.839;29.248;112.142;-9.185;17.304;111.050;16.926;1.597;108.843;-4.640
3073.000;122.920;3.276;134.875;-5.517;-10.720;146.485;-6.258;-31.888;130.247;7.487;-15.983;146.376;23.192;19.549;141.511;-6.744;29.148;112.384;-8.990;17.357;111.454;17.171;1.565;108.836;-4.629
3074.000;122.960;3.040;134.864;-5.444;-11.192;146.118;-6.112;-32.466;128.149;5.243;-16.293;140.663;23.607;19.235;141.774;-6.600;29.076;112.727;-8.795;17.357;111.858;17.405;1.535;108.830;-4.619
3075.000;123.000;2.743;134.905;-5.328;-11.747;145.701;-5.934;-32.790;126.097;3.000;-16.550;135.013;23.337;18.842;142.094;-6.402;29.016;113.166;-8.603;17.376;112.279;17.580;1.513;108.823;-4.601
3076.000;123.040;2.392;134.949;-5.182;-12.374;145.309;-5.738;-32.778;124.158;0.773;-16.623;129.751;22.413;18.373;142.427;-6.132;28.953;113.654;-8.454;17.383;112.662;17.718;1.484;108.816;-4.577
3077.000;123.080;2.004;134.983;-5.019;-13.016;144.930;-5.592;-32.422;122.387;-1.376;-16.535;125.073;21.140;17.868;142.768;-5.806;28.864;114.179;-8.334;17.368;112.932;17.818;1.441;108.821;-4.535
