Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
812.000;32.480;1.218;135.017;-3.731;-14.573;143.825;-4.963;-25.921;116.656;-7.351;-16.576;113.089;18.911;16.738;143.185;-3.437;28.839;114.783;-5.384;16.381;113.093;20.252;1.085;109.069;-2.931
813.000;32.520;1.182;135.015;-3.775;-14.607;143.828;-5.002;-25.987;116.670;-7.381;-16.668;113.130;18.894;16.705;143.175;-3.483;28.792;114.769;-5.417;16.329;113.093;20.218;1.051;109.069;-2.960
814.000;32.560;1.129;135.013;-3.828;-14.658;143.828;-5.039;-26.074;116.689;-7.409;-16.805;113.167;18.885;16.653;143.168;-3.547;28.741;114.763;-5.487;16.284;113.087;20.153;1.008;109.069;-2.996
815.000;32.600;1.083;135.008;-3.878;-14.704;143.826;-5.075;-26.160;116.702;-7.440;-16.930;113.189;18.871;16.607;143.163;-3.607;28.705;114.759;-5.569;16.264;113.078;20.083;0.968;109.070;-3.030
816.000;32.640;1.039;135.004;-3.933;-14.749;143.826;-5.114;-26.226;116.710;-7.475;-17.035;113.213;18.851;16.563;143.156;-3.678;28.683;114.759;-5.668;16.274;113.077;20.001;0.931;109.070;-3.064
817.000;32.680;0.998;135.001;-3.994;-14.789;143.824;-5.158;-26.274;116.710;-7.499;-17.102;113.243;18.831;16.523;143.145;-3.763;28.653;114.757;-5.776;16.297;113.070;19.917;0.898;109.069;-3.096
818.000;32.720;0.959;134.995;-4.059;-14.830;143.817;-5.204;-26.312;116.706;-7.513;-17.135;113.270;18.808;16.483;143.142;-3.857;28.621;114.758;-5.897;16.340;113.061;19.835;0.865;109.070;-3.127
819.000;32.760;0.923;134.989;-4.131;-14.870;143.811;-5.258;-26.343;116.695;-7.541;-17.143;113.282;18.778;16.446;143.135;-3.957;28.584;114.750;-6.014;16.372;113.059;19.753;0.836;109.068;-3.164
820.000;32.800;0.884;134.986;-4.202;-14.913;143.801;-5.309;-26.360;116.675;-7.558;-17.113;113.279;18.754;16.404;143.131;-4.067;28.547;114.752;-6.135;16.415;113.077;19.668;0.802;109.069;-3.205
821.000;32.840;0.851;134.983;-4.272;-14.946;143.799;-5.359;-26.381;116.664;-7.577;-17.071;113.270;18.716;16.373;143.125;-4.175;28.508;114.744;-6.252;16.451;113.095;19.584;0.773;109.070;-3.248
822.000;32.880;0.822;134.982;-4.343;-14.979;143.798;-5.407;-26.412;116.664;-7.591;-17.019;113.279;18.674;16.343;143.120;-4.286;28.466;114.732;-6.365;16.477;113.110;19.507;0.745;109.070;-3.297
