Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
75.000;3.000;0.157;134.546;-4.306;-15.662;143.349;-5.207;-26.539;115.919;-7.167;-15.287;116.717;18.239;15.712;143.073;-4.009;28.166;114.969;-6.294;15.775;114.358;19.373;0.143;108.775;-3.578
76.000;3.040;0.151;134.555;-4.314;-15.662;143.351;-5.219;-26.551;115.928;-7.172;-15.286;116.733;18.231;15.707;143.087;-4.017;28.179;114.988;-6.279;15.763;114.390;19.379;0.139;108.775;-3.590
77.000;3.080;0.147;134.563;-4.321;-15.673;143.366;-5.235;-26.567;115.939;-7.172;-15.302;116.750;18.228;15.703;143.102;-4.023;28.200;115.012;-6.257;15.755;114.419;19.382;0.137;108.778;-3.601
78.000;3.120;0.143;134.571;-4.331;-15.676;143.372;-5.263;-26.583;115.950;-7.170;-15.313;116.774;18.228;15.699;143.117;-4.028;28.218;115.029;-6.217;15.732;114.456;19.403;0.135;108.780;-3.616
79.000;3.160;0.141;134.580;-4.337;-15.685;143.378;-5.284;-26.595;115.957;-7.171;-15.326;116.808;18.225;15.693;143.136;-4.031;28.234;115.054;-6.191;15.713;114.487;19.416;0.135;108.783;-3.631
80.000;3.200;0.134;134.590;-4.350;-15.689;143.385;-5.314;-26.606;115.962;-7.175;-15.337;116.838;18.220;15.689;143.150;-4.038;28.249;115.076;-6.159;15.693;114.534;19.426;0.132;108.784;-3.646
81.000;3.240;0.134;134.600;-4.360;-15.690;143.399;-5.340;-26.610;115.980;-7.198;-15.348;116.869;18.201;15.689;143.155;-4.037;28.263;115.088;-6.139;15.672;114.588;19.426;0.134;108.786;-3.661
82.000;3.280;0.130;134.613;-4.375;-15.689;143.409;-5.368;-26.662;116.019;-7.218;-15.371;116.968;18.161;15.689;143.150;-4.039;28.293;115.096;-6.103;15.731;114.789;19.457;0.138;108.790;-3.677
83.000;3.320;0.129;134.639;-4.378;-15.666;143.472;-5.388;-26.934;116.234;-7.223;-15.508;117.464;18.126;15.684;143.144;-4.042;28.579;115.187;-5.818;15.983;115.460;19.670;0.140;108.794;-3.696
84.000;3.360;0.113;134.689;-4.403;-15.631;143.619;-5.435;-27.869;116.830;-7.108;-15.893;118.518;17.977;15.653;143.191;-4.093;29.451;115.542;-5.024;16.432;117.052;20.171;0.137;108.802;-3.729
