Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1686.000;67.440;2.542;135.275;-5.772;-13.275;144.166;-6.506;-23.743;116.792;-9.662;-15.115;112.488;16.622;18.248;143.242;-6.035;28.604;114.449;-9.493;20.627;112.093;17.702;2.477;109.284;-5.230
1687.000;67.480;2.553;135.276;-5.796;-13.267;144.159;-6.532;-23.729;116.782;-9.690;-15.110;112.485;16.599;18.256;143.247;-6.054;28.624;114.456;-9.508;20.644;112.100;17.686;2.491;109.285;-5.256
1688.000;67.520;2.566;135.274;-5.820;-13.255;144.149;-6.558;-23.713;116.770;-9.722;-15.107;112.479;16.572;18.266;143.249;-6.071;28.641;114.460;-9.522;20.658;112.096;17.671;2.507;109.284;-5.281
1689.000;67.560;2.581;135.268;-5.846;-13.241;144.138;-6.584;-23.694;116.758;-9.762;-15.101;112.464;16.535;18.277;143.246;-6.089;28.656;114.459;-9.538;20.671;112.075;17.658;2.522;109.281;-5.305
1690.000;67.600;2.595;135.262;-5.874;-13.229;144.125;-6.605;-23.672;116.746;-9.803;-15.083;112.443;16.495;18.286;143.243;-6.112;28.670;114.452;-9.551;20.694;112.015;17.648;2.535;109.280;-5.327
1691.000;67.640;2.609;135.257;-5.896;-13.215;144.109;-6.614;-23.653;116.735;-9.852;-15.067;112.448;16.446;18.299;143.241;-6.132;28.695;114.449;-9.559;20.729;111.883;17.650;2.549;109.278;-5.347
1692.000;67.680;2.625;135.245;-5.918;-13.204;144.070;-6.608;-23.644;116.725;-9.902;-15.042;112.703;16.386;18.308;143.250;-6.160;28.729;114.459;-9.567;20.790;111.603;17.681;2.566;109.278;-5.365
1693.000;67.720;2.646;135.228;-5.949;-13.194;143.985;-6.631;-23.765;116.711;-9.850;-15.148;113.706;16.429;18.307;143.306;-6.186;28.803;114.539;-9.554;20.880;110.992;17.739;2.588;109.277;-5.394
1694.000;67.760;2.685;135.223;-6.008;-13.183;143.874;-6.770;-24.119;116.675;-9.368;-15.488;116.059;16.888;18.293;143.443;-6.159;28.995;114.757;-9.442;20.953;109.730;17.750;2.631;109.272;-5.451
