Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
917.000;36.680;1.095;135.064;-6.579;-14.672;143.737;-7.506;-25.826;116.611;-11.021;-15.765;108.956;14.323;16.675;143.443;-6.018;28.273;115.181;-9.629;16.356;111.489;15.995;1.239;108.980;-6.107
918.000;36.720;1.104;135.071;-6.571;-14.663;143.760;-7.491;-25.830;116.630;-11.006;-15.744;108.980;14.332;16.687;143.446;-6.014;28.287;115.183;-9.626;16.380;111.513;15.996;1.248;108.983;-6.107
919.000;36.760;1.107;135.077;-6.559;-14.662;143.765;-7.475;-25.836;116.635;-10.989;-15.720;109.008;14.341;16.691;143.454;-6.012;28.304;115.196;-9.616;16.391;111.547;16.006;1.249;108.982;-6.108
920.000;36.800;1.111;135.082;-6.553;-14.660;143.767;-7.462;-25.842;116.641;-10.970;-15.691;109.059;14.360;16.694;143.461;-6.017;28.315;115.204;-9.620;16.390;111.600;16.003;1.249;108.981;-6.107
921.000;36.840;1.115;135.088;-6.544;-14.656;143.773;-7.444;-25.848;116.658;-10.963;-15.653;109.182;14.369;16.701;143.464;-6.017;28.326;115.205;-9.629;16.419;111.692;16.008;1.250;108.983;-6.106
922.000;36.880;1.115;135.089;-6.530;-14.657;143.762;-7.417;-25.859;116.668;-11.003;-15.600;109.485;14.358;16.700;143.469;-6.006;28.341;115.215;-9.631;16.406;111.820;16.007;1.254;108.980;-6.103
923.000;36.920;1.114;135.086;-6.521;-14.664;143.740;-7.372;-25.903;116.675;-11.084;-15.442;110.284;14.323;16.700;143.461;-6.001;28.351;115.223;-9.678;16.384;112.193;15.972;1.255;108.982;-6.101
924.000;36.960;1.108;135.083;-6.501;-14.677;143.714;-7.321;-25.983;116.699;-11.232;-15.149;112.016;14.282;16.690;143.468;-5.973;28.364;115.282;-9.740;16.265;113.124;15.918;1.260;108.982;-6.091
925.000;37.000;1.109;135.103;-6.480;-14.678;143.735;-7.278;-26.039;116.753;-11.306;-14.878;114.766;14.224;16.677;143.520;-5.944;28.397;115.411;-9.686;15.959;114.897;15.868;1.257;108.977;-6.081
926.000;37.040;1.106;135.142;-6.477;-14.681;143.796;-7.287;-26.161;116.810;-11.025;-14.668;118.296;14.168;16.661;143.616;-5.955;28.451;115.511;-9.360;15.646;117.594;15.859;1.264;108.984;-6.095
927.000;37.080;1.112;135.157;-6.515;-14.673;143.840;-7.364;-26.357;116.796;-10.217;-14.525;121.980;14.111;16.650;143.692;-6.023;28.514;115.481;-8.547;15.364;120.702;15.955;1.274;108.988;-6.130
928.000;37.120;1.109;135.138;-6.594;-14.663;143.871;-7.471;-26.604;116.754;-8.956;-14.348;125.221;14.049;16.641;143.702;-6.146;28.623;115.358;-7.200;15.123;123.675;16.150;1.288;108.990;-6.177
929.000;37.160;1.102;135.123;-6.735;-14.647;143.908;-7.606;-26.822;116.763;-7.410;-14.046;127.694;14.100;16.641;143.684;-6.307;28.751;115.315;-5.490;14.833;126.299;16.408;1.285;108.991;-6.243
930.000;37.200;1.091;135.105;-6.910;-14.652;143.945;-7.761;-26.895;116.815;-5.745;-13.614;129.594;14.343;16.618;143.703;-6.476;28.821;115.464;-3.576;14.345;128.593;16.682;1.278;108.990;-6.315
931.000;37.240;1.082;135.101;-7.102;-14.662;143.977;-7.918;-26.786;116.912;-4.055;-13.079;131.092;14.769;16.589;143.748;-6.633;28.817;115.809;-1.637;13.609;130.505;16.987;1.262;108.985;-6.413
932.000;37.280;1.069;135.090;-7.292;-14.686;143.994;-8.070;-26.488;117.040;-2.412;-12.464;132.217;15.428;16.552;143.803;-6.784;28.659;116.307;0.169;12.636;131.871;17.390;1.248;108.984;-6.509
933.000;37.320;1.056;135.080;-7.460;-14.714;143.998;-8.173;-26.027;117.185;-0.964;-11.897;133.060;16.207;16.521;143.836;-6.914;28.364;116.815;1.731;11.651;132.726;17.963;1.234;108.983;-6.595
934.000;37.360;1.032;135.078;-7.573;-14.749;144.017;-8.204;-25.475;117.321;0.202;-11.467;133.758;16.889;16.490;143.854;-6.990;27.930;117.207;2.911;11.037;133.465;18.479;1.219;108.983;-6.671
935.000;37.400;1.008;135.084;-7.649;-14.745;144.049;-8.241;-24.997;117.475;1.057;-11.102;134.285;17.423;16.459;143.874;-7.044;27.509;117.531;3.758;10.585;134.179;18.750;1.217;108.982;-6.736
936.000;37.440;0.979;135.101;-7.707;-14.767;144.082;-8.234;-24.634;117.609;1.681;-10.834;134.664;17.850;16.430;143.896;-7.103;27.159;117.778;4.339;10.207;134.661;18.977;1.209;108.986;-6.780
937.000;37.480;0.965;135.113;-7.763;-14.788;144.097;-8.251;-24.396;117.711;2.087;-10.712;134.905;18.219;16.406;143.933;-7.147;26.892;117.943;4.640;10.010;134.925;19.169;1.199;108.982;-6.820
938.000;37.520;0.953;135.120;-7.809;-14.804;144.106;-8.272;-24.232;117.798;2.357;-10.685;135.035;18.592;16.391;143.961;-7.200;26.707;118.020;4.717;9.975;135.038;19.373;1.192;108.982;-6.849
939.000;37.560;0.936;135.125;-7.847;-14.823;144.112;-8.297;-24.153;117.834;2.500;-10.706;135.095;18.910;16.375;143.974;-7.263;26.609;118.018;4.684;9.977;135.030;19.494;1.178;108.981;-6.874
940.000;37.600;0.923;135.120;-7.878;-14.844;144.101;-8.296;-24.166;117.747;2.589;-10.723;135.580;18.630;16.369;143.960;-7.309;26.589;117.910;4.636;9.944;135.319;19.269;1.171;108.980;-6.892
941.000;37.640;0.910;135.127;-7.888;-14.858;144.121;-8.259;-24.105;117.637;2.704;-11.518;136.294;18.571;16.370;143.966;-7.320;26.454;117.728;4.593;10.563;136.135;18.956;1.159;108.978;-6.906
942.000;37.680;0.901;135.161;-7.900;-14.875;144.173;-8.290;-23.956;117.682;2.621;-11.779;136.338;18.787;16.366;144.035;-7.361;26.170;117.650;4.332;10.783;136.071;19.163;1.149;108.985;-6.921
943.000;37.720;0.893;135.181;-7.932;-14.882;144.181;-8.342;-24.046;117.838;2.645;-11.236;136.022;18.873;16.356;144.039;-7.361;26.166;117.662;4.185;10.299;135.594;19.076;1.140;108.986;-6.942
944.000;37.760;0.893;135.151;-7.965;-14.864;144.173;-8.330;-23.950;117.813;2.675;-11.103;135.917;19.045;16.363;143.963;-7.381;26.119;117.579;4.224;10.018;135.706;18.649;1.126;108.975;-6.965
945.000;37.800;0.891;135.167;-7.984;-14.857;144.216;-8.273;-23.794;117.699;2.647;-11.400;136.099;19.048;16.379;143.983;-7.445;25.922;117.558;4.216;9.843;135.861;18.514;1.115;108.979;-6.978
946.000;37.840;0.882;135.209;-8.010;-14.869;144.261;-8.293;-23.593;117.702;2.551;-11.265;135.969;19.101;16.382;144.036;-7.465;25.816;117.634;4.172;9.306;135.412;18.665;1.104;108.986;-6.997
947.000;37.880;0.884;135.202;-8.032;-14.863;144.248;-8.346;-23.487;117.731;2.543;-10.787;135.692;19.091;16.383;143.983;-7.398;25.790;117.520;4.140;9.038;135.060;18.617;1.091;108.979;-7.023
948.000;37.920;0.894;135.170;-8.044;-14.851;144.218;-8.330;-23.396;117.614;2.488;-10.920;135.883;18.936;16.398;143.936;-7.387;25.783;117.428;4.148;9.047;135.292;18.299;1.083;108.971;-7.034
949.000;37.960;0.888;135.189;-8.054;-14.858;144.248;-8.350;-23.345;117.574;2.398;-11.269;136.075;18.877;16.393;143.981;-7.418;25.714;117.480;4.108;8.919;135.167;18.391;1.084;108.984;-7.033
950.000;38.000;0.884;135.210;-8.080;-14.859;144.286;-8.415;-23.415;117.693;2.363;-11.020;135.973;18.833;16.389;143.978;-7.403;25.752;117.488;4.081;8.760;134.844;18.500;1.086;108.983;-7.050
951.000;38.040;0.905;135.181;-8.096;-14.826;144.268;-8.441;-23.475;117.730;2.340;-10.893;135.838;18.846;16.413;143.922;-7.400;25.803;117.434;4.117;8.810;135.059;18.305;1.083;108.974;-7.067
952.000;38.080;0.915;135.175;-8.111;-14.822;144.252;-8.444;-23.514;117.643;2.287;-11.196;136.063;18.696;16.418;143.945;-7.420;25.725;117.438;4.135;8.954;135.265;18.288;1.087;108.976;-7.065
953.000;38.120;0.916;135.199;-8.103;-14.823;144.277;-8.478;-23.472;117.648;2.191;-11.293;136.069;18.643;16.419;143.975;-7.384;25.713;117.449;4.092;8.824;135.023;18.432;1.091;108.981;-7.063
954.000;38.160;0.917;135.186;-8.108;-14.813;144.271;-8.495;-23.500;117.667;2.119;-11.004;135.864;18.542;16.426;143.929;-7.367;25.795;117.415;4.094;8.789;135.014;18.285;1.091;108.978;-7.070
955.000;38.200;0.935;135.165;-8.112;-14.805;144.229;-8.484;-23.541;117.589;2.029;-11.065;135.819;18.466;16.434;143.925;-7.372;25.819;117.414;4.099;8.801;135.115;18.134;1.095;108.976;-7.062
956.000;38.240;0.940;135.171;-8.100;-14.810;144.218;-8.478;-23.593;117.551;1.943;-11.194;135.798;18.356;16.428;143.950;-7.356;25.824;117.410;4.035;8.823;134.999;18.225;1.113;108.979;-7.050
957.000;38.280;0.946;135.173;-8.085;-14.792;144.206;-8.478;-23.758;117.550;1.793;-11.003;135.530;18.180;16.437;143.937;-7.326;25.899;117.356;3.952;8.918;134.892;18.239;1.113;108.977;-7.043
958.000;38.320;0.964;135.154;-8.042;-14.765;144.155;-8.436;-24.015;117.460;1.546;-11.035;135.293;17.905;16.448;143.916;-7.285;26.024;117.280;3.820;9.073;134.828;18.119;1.115;108.977;-7.028
959.000;38.360;0.979;135.151;-7.959;-14.746;144.124;-8.358;-24.386;117.342;1.105;-11.312;134.951;17.614;16.449;143.916;-7.218;26.230;117.207;3.602;9.265;134.685;17.973;1.125;108.983;-6.994
960.000;38.400;0.992;135.159;-7.835;-14.727;144.114;-8.251;-24.879;117.257;0.446;-11.606;134.228;17.404;16.450;143.913;-7.111;26.567;117.098;3.246;9.528;134.311;17.844;1.135;108.995;-6.949
