Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1279.000;51.160;-1.946;129.432;-23.353;-17.924;137.831;-22.724;-28.587;110.383;-24.357;-16.442;110.737;0.777;13.511;137.676;-23.255;25.824;109.430;-25.354;14.859;112.292;0.610;-0.899;102.068;-22.057
1280.000;51.200;-1.948;129.439;-23.352;-17.925;137.839;-22.722;-28.578;110.394;-24.348;-16.429;110.762;0.774;13.510;137.681;-23.265;25.806;109.435;-25.379;14.867;112.350;0.582;-0.902;102.068;-22.055
1281.000;51.240;-1.948;129.445;-23.350;-17.924;137.847;-22.720;-28.573;110.394;-24.333;-16.404;110.797;0.787;13.511;137.687;-23.276;25.778;109.432;-25.406;14.882;112.400;0.564;-0.903;102.070;-22.053
1282.000;51.280;-1.948;129.446;-23.347;-17.921;137.853;-22.717;-28.587;110.405;-24.312;-16.404;110.843;0.795;13.514;137.682;-23.282;25.767;109.423;-25.425;14.890;112.422;0.543;-0.904;102.068;-22.050
1283.000;51.320;-1.947;129.447;-23.346;-17.918;137.860;-22.717;-28.618;110.421;-24.260;-16.411;110.909;0.835;13.515;137.679;-23.290;25.768;109.418;-25.429;14.894;112.459;0.533;-0.905;102.068;-22.048
1284.000;51.360;-1.945;129.445;-23.349;-17.912;137.867;-22.715;-28.651;110.438;-24.197;-16.424;110.957;0.895;13.520;137.671;-23.302;25.769;109.408;-25.435;14.911;112.495;0.522;-0.905;102.069;-22.048
1285.000;51.400;-1.944;129.439;-23.358;-17.908;137.865;-22.718;-28.675;110.436;-24.125;-16.433;110.996;0.963;13.520;137.664;-23.318;25.772;109.400;-25.444;14.937;112.535;0.517;-0.905;102.068;-22.048
1286.000;51.440;-1.941;129.432;-23.368;-17.905;137.859;-22.715;-28.689;110.424;-24.068;-16.463;111.053;1.024;13.522;137.650;-23.341;25.776;109.384;-25.454;14.976;112.579;0.509;-0.905;102.065;-22.054
1287.000;51.480;-1.936;129.420;-23.380;-17.897;137.844;-22.708;-28.710;110.408;-24.004;-16.516;111.172;1.096;13.527;137.628;-23.354;25.801;109.361;-25.436;15.037;112.636;0.527;-0.904;102.062;-22.060
1288.000;51.520;-1.932;129.401;-23.397;-17.890;137.822;-22.706;-28.895;110.423;-23.823;-16.610;111.402;1.212;13.531;137.591;-23.370;25.947;109.348;-25.325;15.195;112.739;0.624;-0.904;102.062;-22.071
