Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
322.000;12.880;1.126;134.768;-4.771;-14.676;143.536;-5.514;-25.402;116.434;-9.165;-15.903;111.222;16.576;16.755;143.048;-4.441;28.407;114.645;-7.243;17.622;112.969;18.864;1.346;108.672;-4.227
323.000;12.920;1.135;134.762;-4.769;-14.666;143.531;-5.514;-25.400;116.425;-9.161;-15.916;111.237;16.586;16.765;143.043;-4.430;28.413;114.638;-7.231;17.630;112.979;18.873;1.348;108.670;-4.215
324.000;12.960;1.140;134.757;-4.764;-14.659;143.530;-5.510;-25.389;116.428;-9.162;-15.931;111.261;16.601;16.771;143.029;-4.418;28.422;114.627;-7.215;17.629;112.975;18.883;1.349;108.670;-4.203
325.000;13.000;1.147;134.752;-4.764;-14.648;143.535;-5.514;-25.389;116.439;-9.167;-15.935;111.277;16.593;16.781;143.017;-4.417;28.430;114.609;-7.211;17.616;112.970;18.884;1.353;108.669;-4.190
326.000;13.040;1.151;134.742;-4.769;-14.644;143.528;-5.519;-25.378;116.430;-9.169;-15.914;111.273;16.591;16.784;142.999;-4.423;28.432;114.593;-7.209;17.607;112.960;18.884;1.353;108.666;-4.181
327.000;13.080;1.160;134.738;-4.780;-14.634;143.525;-5.536;-25.375;116.429;-9.182;-15.913;111.288;16.583;16.796;142.990;-4.439;28.423;114.571;-7.216;17.593;112.976;18.878;1.354;108.663;-4.175
328.000;13.120;1.164;134.730;-4.798;-14.628;143.515;-5.554;-25.374;116.421;-9.200;-15.884;111.318;16.559;16.800;142.978;-4.464;28.412;114.555;-7.226;17.563;113.010;18.864;1.354;108.664;-4.173
329.000;13.160;1.164;134.720;-4.819;-14.625;143.508;-5.563;-25.382;116.421;-9.222;-15.819;111.468;16.518;16.805;142.974;-4.492;28.392;114.541;-7.242;17.532;113.129;18.854;1.347;108.661;-4.170
330.000;13.200;1.163;134.712;-4.842;-14.622;143.529;-5.568;-25.407;116.474;-9.141;-15.518;111.997;16.558;16.808;142.967;-4.529;28.380;114.547;-7.244;17.385;113.457;18.851;1.344;108.664;-4.178
331.000;13.240;1.170;134.711;-4.863;-14.599;143.585;-5.601;-25.529;116.552;-8.807;-14.764;113.356;16.767;16.822;142.957;-4.561;28.427;114.567;-7.205;16.910;114.108;18.779;1.340;108.666;-4.188
332.000;13.280;1.179;134.709;-4.899;-14.555;143.671;-5.666;-25.759;116.640;-8.111;-13.674;115.266;17.093;16.851;142.902;-4.628;28.463;114.545;-7.034;16.246;115.067;18.766;1.333;108.667;-4.207
333.000;13.320;1.193;134.708;-4.966;-14.490;143.801;-5.693;-26.013;116.781;-7.145;-12.497;117.219;17.353;16.891;142.823;-4.803;28.482;114.425;-6.479;15.764;116.603;19.133;1.326;108.671;-4.259
334.000;13.360;1.183;134.711;-5.067;-14.444;143.898;-5.662;-26.330;116.960;-6.138;-11.366;118.655;17.444;16.908;142.757;-5.119;28.482;114.280;-5.340;15.983;118.984;20.032;1.300;108.674;-4.336
335.000;13.400;1.156;134.681;-5.212;-14.421;143.941;-5.646;-26.743;117.151;-5.252;-10.288;119.224;17.262;16.893;142.712;-5.546;28.638;114.341;-3.488;16.804;122.209;21.332;1.237;108.679;-4.426
336.000;13.440;1.109;134.667;-5.388;-14.424;143.987;-5.626;-27.043;117.322;-4.618;-9.257;118.921;16.924;16.837;142.722;-5.945;29.064;114.883;-1.030;17.959;126.104;22.727;1.149;108.691;-4.518
337.000;13.480;1.053;134.668;-5.552;-14.447;144.008;-5.589;-27.200;117.403;-4.244;-8.375;118.071;16.496;16.764;142.779;-6.249;29.702;115.959;1.630;19.179;130.423;23.874;1.036;108.700;-4.623
338.000;13.520;1.010;134.672;-5.668;-14.487;143.978;-5.543;-27.313;117.389;-4.109;-7.697;117.144;15.942;16.660;142.925;-6.490;30.407;117.517;4.196;20.306;134.795;24.541;0.929;108.706;-4.723
339.000;13.560;0.974;134.689;-5.738;-14.533;143.958;-5.506;-27.367;117.349;-4.120;-7.188;116.363;15.411;16.559;143.089;-6.650;31.096;119.350;6.415;21.247;138.828;24.799;0.845;108.711;-4.807
340.000;13.600;0.934;134.710;-5.790;-14.578;143.961;-5.489;-27.453;117.348;-4.070;-6.914;115.859;15.132;16.488;143.168;-6.772;31.703;121.283;8.335;22.019;142.445;24.840;0.786;108.715;-4.888
341.000;13.640;0.898;134.731;-5.833;-14.604;143.988;-5.495;-27.632;117.428;-3.819;-6.807;115.620;15.081;16.421;143.267;-6.846;32.215;123.233;9.976;22.645;145.715;24.700;0.743;108.724;-4.966
342.000;13.680;0.882;134.763;-5.860;-14.618;144.036;-5.507;-27.842;117.574;-3.457;-6.743;115.581;15.143;16.367;143.406;-6.884;32.570;125.037;11.253;23.094;148.536;24.359;0.706;108.744;-5.022
343.000;13.720;0.874;134.806;-5.870;-14.652;144.090;-5.537;-28.008;117.777;-2.955;-6.615;115.835;15.282;16.285;143.571;-6.911;32.760;126.438;12.031;23.304;150.559;23.927;0.676;108.769;-5.062
344.000;13.760;0.852;134.840;-5.899;-14.671;144.185;-5.632;-28.244;118.119;-1.933;-6.617;117.184;15.980;16.206;143.589;-6.979;32.793;126.973;12.288;23.100;151.270;23.601;0.663;108.795;-5.120
345.000;13.800;0.816;134.829;-6.022;-14.633;144.388;-5.939;-28.807;118.995;0.286;-7.282;121.152;18.005;16.175;143.499;-7.035;32.706;126.150;11.743;22.126;149.827;23.458;0.697;108.787;-5.207
346.000;13.840;0.836;134.839;-6.178;-14.512;144.727;-6.482;-29.657;120.999;3.624;-8.978;128.171;20.870;16.237;143.425;-6.986;32.541;123.981;10.085;20.219;145.779;23.590;0.802;108.784;-5.308
347.000;13.880;0.895;134.890;-6.261;-14.342;145.158;-6.976;-30.445;124.282;7.361;-11.537;137.135;23.245;16.369;143.291;-6.859;32.128;121.286;7.502;17.468;139.487;23.742;0.950;108.798;-5.372
348.000;13.920;0.893;134.969;-6.214;-14.163;145.673;-7.228;-30.769;128.543;10.894;-14.128;146.666;23.899;16.468;143.046;-6.613;31.847;118.977;4.872;14.280;131.791;23.396;1.098;108.807;-5.404
349.000;13.960;0.801;135.028;-6.100;-13.985;146.137;-7.212;-30.661;133.280;13.886;-16.222;155.278;22.996;16.513;142.721;-6.257;32.025;117.433;2.970;11.444;124.008;21.910;1.174;108.825;-5.419
350.000;14.000;0.720;135.104;-5.947;-13.800;146.512;-7.017;-30.303;137.594;15.892;-17.742;161.872;21.493;16.476;142.584;-6.041;32.272;116.850;1.917;9.503;117.656;19.794;1.165;108.839;-5.398
351.000;14.040;0.688;135.168;-5.818;-13.697;146.687;-6.868;-30.003;140.599;16.933;-18.803;166.012;20.072;16.427;142.622;-5.956;32.515;116.820;1.661;8.707;113.913;18.164;1.122;108.862;-5.336
352.000;14.080;0.667;135.178;-5.760;-13.695;146.684;-6.813;-29.972;141.798;17.222;-19.207;167.545;19.230;16.396;142.670;-5.992;32.840;117.118;1.890;8.928;113.339;18.038;1.060;108.869;-5.287
353.000;14.120;0.643;135.130;-5.832;-13.799;146.518;-6.884;-30.198;141.030;16.945;-18.920;166.480;19.233;16.330;142.764;-6.216;33.109;117.768;2.547;9.989;115.881;20.076;0.995;108.854;-5.284
354.000;14.160;0.594;135.070;-6.005;-13.996;146.272;-7.062;-30.451;138.464;16.134;-17.877;162.980;20.257;16.214;142.916;-6.521;33.268;118.912;3.950;12.051;121.304;23.523;0.938;108.835;-5.313
355.000;14.200;0.508;135.016;-6.205;-14.276;145.954;-7.195;-30.586;134.559;14.735;-16.110;157.184;21.937;16.077;143.116;-6.836;33.444;120.882;6.291;14.883;129.226;26.802;0.876;108.821;-5.366
356.000;14.240;0.410;134.960;-6.301;-14.575;145.577;-7.204;-30.426;130.077;12.641;-13.642;149.354;23.792;15.882;143.404;-7.005;33.638;123.898;9.199;17.801;138.465;28.380;0.785;108.814;-5.392
357.000;14.280;0.351;134.964;-6.223;-14.839;145.122;-7.045;-29.922;125.946;10.176;-10.796;140.103;24.937;15.665;143.807;-6.910;33.852;127.796;12.020;20.102;147.520;27.774;0.681;108.814;-5.364
358.000;14.320;0.349;134.994;-5.999;-15.079;144.650;-6.706;-29.053;122.474;7.727;-8.076;130.991;24.543;15.430;144.271;-6.639;34.065;132.059;14.197;21.398;155.121;25.572;0.594;108.832;-5.285
359.000;14.360;0.303;135.007;-5.730;-15.334;144.234;-6.350;-28.033;119.948;5.632;-5.947;123.832;23.086;15.178;144.590;-6.353;34.225;135.802;15.565;21.859;160.532;22.884;0.549;108.845;-5.155
360.000;14.400;0.208;134.998;-5.526;-15.530;144.011;-6.104;-27.187;118.578;4.306;-4.728;119.984;21.848;14.939;144.711;-6.206;34.200;138.188;16.159;21.760;163.478;20.700;0.553;108.851;-5.012
361.000;14.440;0.121;134.992;-5.456;-15.632;143.992;-5.974;-26.888;118.351;4.221;-4.522;119.898;21.870;14.791;144.694;-6.272;34.050;138.716;16.136;21.227;163.918;19.601;0.595;108.851;-4.914
362.000;14.480;0.091;134.967;-5.528;-15.606;144.128;-6.005;-27.235;119.283;5.660;-5.438;123.443;23.379;14.801;144.589;-6.458;33.909;137.267;15.673;20.290;161.895;19.810;0.679;108.837;-4.901
363.000;14.520;0.119;134.949;-5.648;-15.473;144.407;-6.136;-27.979;121.409;8.184;-7.381;130.024;25.422;14.930;144.402;-6.637;33.826;134.172;14.625;18.853;157.439;20.980;0.780;108.816;-4.927
364.000;14.560;0.187;134.952;-5.722;-15.277;144.825;-6.281;-28.779;124.739;11.179;-9.957;138.563;26.792;15.142;144.114;-6.654;33.741;130.227;12.926;16.806;150.893;22.474;0.883;108.814;-4.951
