Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1815.000;72.600;1.272;134.631;-2.965;-14.524;143.335;-4.167;-25.430;115.715;-5.845;-15.222;113.243;20.376;16.804;143.231;-2.359;29.527;115.081;-3.419;15.679;113.158;21.659;1.431;108.696;-2.527
1816.000;72.640;1.250;134.625;-2.992;-14.551;143.323;-4.179;-25.450;115.704;-5.891;-15.229;113.235;20.324;16.781;143.231;-2.389;29.488;115.074;-3.483;15.652;113.122;21.604;1.413;108.694;-2.544
1817.000;72.680;1.218;134.621;-3.037;-14.589;143.311;-4.192;-25.466;115.700;-5.940;-15.202;113.315;20.259;16.747;143.232;-2.441;29.430;115.066;-3.568;15.613;113.049;21.528;1.389;108.694;-2.564
1818.000;72.720;1.182;134.620;-3.080;-14.640;143.328;-4.199;-25.452;115.724;-5.880;-15.053;113.727;20.265;16.700;143.245;-2.451;29.391;115.085;-3.639;15.573;112.917;21.477;1.366;108.693;-2.595
1819.000;72.760;1.136;134.644;-3.116;-14.698;143.359;-4.204;-25.478;115.692;-5.474;-14.624;115.017;20.486;16.637;143.281;-2.384;29.367;115.152;-3.699;15.577;112.676;21.453;1.350;108.691;-2.663
1820.000;72.800;1.099;134.676;-3.132;-14.737;143.393;-4.225;-25.637;115.615;-4.400;-13.637;117.451;20.910;16.578;143.339;-2.216;29.377;115.268;-3.724;15.577;112.242;21.451;1.331;108.693;-2.766
1821.000;72.840;1.079;134.705;-3.133;-14.757;143.451;-4.233;-25.795;115.594;-2.464;-12.108;121.067;21.272;16.540;143.415;-2.016;29.389;115.403;-3.665;15.504;111.356;21.423;1.317;108.703;-2.891
1822.000;72.880;1.060;134.743;-3.142;-14.779;143.555;-4.229;-25.720;115.806;0.350;-10.335;125.435;21.367;16.500;143.502;-1.858;29.348;115.534;-3.481;15.401;109.736;21.332;1.297;108.722;-3.011
1823.000;72.920;1.020;134.778;-3.187;-14.797;143.662;-4.235;-25.305;116.400;3.758;-8.587;129.983;21.054;16.453;143.570;-1.817;29.232;115.578;-3.160;15.272;107.157;21.070;1.272;108.747;-3.144
1824.000;72.960;0.949;134.791;-3.256;-14.818;143.760;-4.222;-24.495;117.466;7.316;-6.983;134.221;20.251;16.388;143.572;-1.857;28.972;115.447;-2.667;15.317;103.831;20.568;1.242;108.760;-3.280
1825.000;73.000;0.858;134.803;-3.302;-14.865;143.911;-4.112;-23.397;118.868;10.560;-5.545;137.808;19.007;16.328;143.482;-1.872;28.560;115.161;-2.190;15.587;100.363;19.690;1.211;108.758;-3.399
1826.000;73.040;0.751;134.837;-3.293;-14.906;144.109;-3.865;-22.233;120.358;13.142;-4.348;140.486;17.519;16.271;143.382;-1.889;28.064;114.840;-1.861;16.136;96.993;18.444;1.165;108.771;-3.489
1827.000;73.080;0.644;134.889;-3.207;-14.939;144.322;-3.522;-21.181;121.633;15.019;-3.408;142.204;15.990;16.226;143.297;-1.936;27.517;114.514;-1.613;17.001;93.868;16.841;1.099;108.774;-3.546
1828.000;73.120;0.559;134.935;-3.095;-14.946;144.494;-3.150;-20.298;122.510;16.299;-2.759;143.179;14.702;16.207;143.201;-1.943;27.034;114.232;-1.571;18.084;91.370;15.026;1.018;108.786;-3.560
1829.000;73.160;0.528;134.955;-2.982;-14.936;144.611;-2.807;-19.596;123.038;17.138;-2.318;143.697;13.832;16.207;143.122;-1.916;26.767;114.044;-1.852;19.214;89.634;13.127;0.939;108.793;-3.542
1830.000;73.200;0.508;134.975;-2.883;-14.923;144.681;-2.526;-19.103;123.369;17.709;-1.976;143.961;13.353;16.214;143.105;-1.923;26.728;114.021;-2.358;20.405;88.597;11.421;0.854;108.801;-3.518
1831.000;73.240;0.480;134.995;-2.801;-14.915;144.740;-2.304;-18.810;123.552;18.078;-1.716;144.092;13.345;16.215;143.116;-1.983;26.880;114.121;-2.862;21.609;87.998;10.004;0.785;108.806;-3.479
1832.000;73.280;0.439;134.988;-2.755;-14.931;144.747;-2.135;-18.792;123.543;18.241;-1.595;144.054;13.591;16.193;143.114;-2.082;27.104;114.224;-3.349;22.774;87.623;8.823;0.727;108.806;-3.432
1833.000;73.320;0.410;134.953;-2.740;-14.958;144.712;-2.028;-19.031;123.342;18.172;-1.570;143.749;13.925;16.172;143.083;-2.191;27.307;114.279;-3.824;23.878;87.362;7.933;0.686;108.798;-3.379
1834.000;73.360;0.397;134.922;-2.725;-14.976;144.670;-1.975;-19.356;123.073;17.963;-1.450;143.227;14.272;16.164;143.045;-2.238;27.442;114.324;-4.198;24.806;87.207;7.299;0.656;108.789;-3.332
1835.000;73.400;0.389;134.892;-2.710;-14.988;144.622;-1.944;-19.700;122.715;17.664;-1.439;142.687;14.653;16.164;143.042;-2.236;27.513;114.396;-4.419;25.534;87.134;6.892;0.640;108.784;-3.290
1836.000;73.440;0.387;134.869;-2.693;-15.019;144.561;-1.943;-19.995;122.323;17.304;-1.601;142.318;15.172;16.149;143.068;-2.217;27.561;114.477;-4.493;26.068;87.149;6.720;0.638;108.782;-3.250
1837.000;73.480;0.379;134.866;-2.692;-15.060;144.511;-2.005;-20.178;122.015;16.951;-1.724;142.063;15.833;16.132;143.095;-2.187;27.625;114.553;-4.455;26.427;87.231;6.779;0.638;108.783;-3.224
1838.000;73.520;0.386;134.860;-2.689;-15.085;144.461;-2.058;-20.321;121.769;16.702;-1.801;141.792;16.212;16.126;143.134;-2.145;27.675;114.635;-4.321;26.634;87.378;7.053;0.646;108.785;-3.213
1839.000;73.560;0.394;134.854;-2.689;-15.103;144.416;-2.096;-20.513;121.527;16.442;-1.852;141.436;16.415;16.128;143.164;-2.130;27.714;114.665;-4.132;26.648;87.510;7.502;0.660;108.783;-3.205
1840.000;73.600;0.402;134.846;-2.699;-15.095;144.395;-2.157;-20.722;121.319;16.117;-1.801;141.011;16.637;16.130;143.175;-2.111;27.722;114.658;-3.903;26.516;87.657;8.085;0.676;108.786;-3.194
1841.000;73.640;0.412;134.839;-2.711;-15.098;144.374;-2.228;-20.835;121.091;15.789;-1.832;140.710;16.725;16.127;143.188;-2.083;27.693;114.642;-3.659;26.271;87.818;8.718;0.688;108.784;-3.192
1842.000;73.680;0.428;134.834;-2.722;-15.108;144.345;-2.302;-20.860;120.854;15.487;-1.921;140.509;16.799;16.133;143.204;-2.067;27.637;114.608;-3.396;25.912;87.968;9.377;0.700;108.783;-3.195
1843.000;73.720;0.435;134.826;-2.745;-15.115;144.328;-2.387;-20.799;120.690;15.235;-1.973;140.398;16.954;16.131;143.224;-2.064;27.555;114.574;-3.116;25.495;88.111;9.991;0.715;108.781;-3.195
1844.000;73.760;0.443;134.822;-2.778;-15.120;144.314;-2.460;-20.726;120.598;15.094;-2.042;140.411;16.952;16.139;143.238;-2.087;27.467;114.540;-2.849;25.029;88.234;10.549;0.729;108.785;-3.202
1845.000;73.800;0.460;134.816;-2.817;-15.104;144.311;-2.533;-20.697;120.606;15.040;-2.078;140.474;16.860;16.159;143.237;-2.122;27.368;114.481;-2.619;24.552;88.330;10.997;0.748;108.782;-3.217
1846.000;73.840;0.482;134.814;-2.857;-15.073;144.332;-2.611;-20.701;120.673;15.017;-2.069;140.528;16.813;16.188;143.230;-2.149;27.274;114.420;-2.431;24.109;88.395;11.375;0.770;108.786;-3.224
1847.000;73.880;0.498;134.810;-2.895;-15.050;144.350;-2.682;-20.729;120.741;14.997;-2.076;140.573;16.751;16.214;143.218;-2.185;27.198;114.366;-2.308;23.735;88.435;11.612;0.787;108.787;-3.236
1848.000;73.920;0.514;134.808;-2.936;-15.026;144.367;-2.747;-20.745;120.810;14.984;-2.065;140.624;16.681;16.240;143.202;-2.225;27.143;114.316;-2.252;23.459;88.442;11.711;0.802;108.786;-3.250
1849.000;73.960;0.532;134.809;-2.969;-14.999;144.384;-2.805;-20.751;120.849;14.948;-2.087;140.680;16.649;16.264;143.188;-2.256;27.095;114.274;-2.246;23.257;88.398;11.678;0.812;108.784;-3.264
1850.000;74.000;0.551;134.806;-3.001;-14.979;144.395;-2.862;-20.747;120.881;14.905;-2.115;140.731;16.592;16.285;143.180;-2.276;27.084;114.252;-2.282;23.156;88.345;11.569;0.824;108.786;-3.282
1851.000;74.040;0.567;134.809;-3.028;-14.957;144.403;-2.914;-20.740;120.906;14.866;-2.135;140.781;16.565;16.304;143.172;-2.301;27.106;114.247;-2.370;23.128;88.296;11.395;0.830;108.785;-3.301
1852.000;74.080;0.580;134.813;-3.061;-14.939;144.412;-2.960;-20.760;120.904;14.813;-2.167;140.794;16.551;16.320;143.166;-2.327;27.179;114.264;-2.490;23.219;88.290;11.251;0.835;108.787;-3.323
1853.000;74.120;0.587;134.816;-3.102;-14.929;144.414;-2.994;-20.811;120.863;14.720;-2.214;140.765;16.577;16.328;143.152;-2.374;27.281;114.280;-2.659;23.361;88.372;11.252;0.842;108.790;-3.355
1854.000;74.160;0.601;134.850;-3.127;-14.928;144.414;-3.039;-20.873;120.765;14.551;-2.320;140.687;16.779;16.334;143.152;-2.440;27.417;114.323;-2.869;23.570;88.610;11.457;0.847;108.790;-3.394
1855.000;74.200;0.620;134.856;-3.193;-14.917;144.403;-3.111;-20.992;120.612;14.282;-2.498;140.527;17.209;16.343;143.161;-2.542;27.559;114.379;-3.101;23.756;89.008;11.881;0.853;108.792;-3.437
1856.000;74.240;0.623;134.852;-3.280;-14.911;144.369;-3.196;-21.227;120.357;13.870;-2.807;140.207;17.827;16.350;143.175;-2.686;27.725;114.469;-3.310;23.928;89.598;12.546;0.860;108.798;-3.484
1857.000;74.280;0.643;134.850;-3.376;-14.901;144.315;-3.267;-21.669;119.968;13.247;-3.286;139.579;18.566;16.363;143.189;-2.873;27.887;114.542;-3.562;24.049;90.395;13.386;0.869;108.799;-3.532
1858.000;74.320;0.662;134.839;-3.479;-14.888;144.254;-3.367;-22.373;119.471;12.305;-3.923;138.540;19.347;16.378;143.196;-3.054;28.040;114.613;-3.848;24.075;91.448;14.396;0.885;108.799;-3.573
1859.000;74.360;0.695;134.824;-3.578;-14.869;144.190;-3.490;-23.254;118.892;11.006;-4.678;136.991;20.166;16.394;143.202;-3.217;28.182;114.687;-4.204;23.982;92.786;15.475;0.903;108.800;-3.605
1860.000;74.400;0.720;134.817;-3.654;-14.856;144.097;-3.612;-24.225;118.258;9.373;-5.643;134.980;20.999;16.409;143.204;-3.337;28.328;114.768;-4.600;23.759;94.417;16.555;0.926;108.794;-3.632
1861.000;74.440;0.755;134.796;-3.715;-14.846;143.978;-3.711;-25.212;117.593;7.414;-6.875;132.477;21.751;16.430;143.211;-3.444;28.492;114.859;-5.044;23.382;96.367;17.582;0.951;108.792;-3.645
1862.000;74.480;0.784;134.769;-3.762;-14.860;143.851;-3.813;-26.173;117.060;5.210;-8.316;129.579;22.327;16.447;143.218;-3.544;28.663;114.968;-5.506;22.805;98.679;18.478;0.985;108.789;-3.637
1863.000;74.520;0.808;134.762;-3.788;-14.865;143.767;-3.898;-26.954;116.734;2.907;-9.923;126.432;22.649;16.459;143.229;-3.607;28.814;115.104;-5.972;22.112;101.318;19.146;1.012;108.789;-3.623
1864.000;74.560;0.831;134.754;-3.797;-14.863;143.693;-3.966;-27.502;116.578;0.658;-11.667;123.174;22.633;16.472;143.245;-3.640;28.931;115.215;-6.322;21.346;104.027;19.613;1.039;108.787;-3.598
1865.000;74.600;0.840;134.750;-3.812;-14.866;143.633;-4.043;-27.804;116.528;-1.389;-13.428;120.127;22.289;16.474;143.259;-3.642;28.958;115.289;-6.506;20.519;106.607;19.918;1.065;108.786;-3.574
1866.000;74.640;0.850;134.735;-3.823;-14.876;143.556;-4.124;-27.913;116.511;-3.155;-14.915;117.526;21.599;16.474;143.263;-3.622;28.932;115.306;-6.516;19.615;108.910;20.060;1.096;108.780;-3.540
1867.000;74.680;0.858;134.716;-3.842;-14.889;143.500;-4.223;-27.877;116.521;-4.634;-16.148;115.367;20.795;16.477;143.260;-3.601;28.840;115.254;-6.341;18.720;110.718;20.162;1.116;108.771;-3.512
1868.000;74.720;0.854;134.703;-3.876;-14.907;143.462;-4.350;-27.649;116.527;-5.850;-17.025;113.608;19.980;16.471;143.254;-3.574;28.694;115.168;-6.031;17.860;112.004;20.260;1.118;108.771;-3.496
