Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1969.000;78.760;3.981;135.110;-6.859;-11.883;143.751;-7.487;-23.085;116.554;-10.698;-16.758;110.900;16.049;19.599;143.250;-6.682;31.072;114.736;-9.435;21.851;109.935;17.129;3.980;109.120;-6.192
1970.000;78.800;3.987;135.117;-6.886;-11.876;143.758;-7.518;-23.086;116.561;-10.702;-16.761;110.925;16.052;19.607;143.257;-6.722;31.089;114.745;-9.455;21.869;109.964;17.114;3.985;109.122;-6.218
1971.000;78.840;3.993;135.124;-6.913;-11.872;143.764;-7.548;-23.090;116.569;-10.709;-16.763;110.941;16.044;19.612;143.266;-6.756;31.113;114.759;-9.475;21.884;109.986;17.094;3.991;109.124;-6.243
1972.000;78.880;3.999;135.132;-6.939;-11.866;143.775;-7.575;-23.094;116.583;-10.721;-16.761;110.952;16.031;19.618;143.274;-6.790;31.130;114.770;-9.496;21.889;109.991;17.069;3.996;109.126;-6.269
1973.000;78.920;4.001;135.138;-6.962;-11.864;143.779;-7.603;-23.093;116.586;-10.737;-16.751;110.955;16.010;19.623;143.284;-6.822;31.145;114.779;-9.521;21.899;110.001;17.042;3.998;109.128;-6.294
1974.000;78.960;4.004;135.144;-6.987;-11.861;143.784;-7.633;-23.094;116.593;-10.754;-16.746;110.950;15.991;19.625;143.292;-6.853;31.150;114.790;-9.547;21.908;110.013;17.018;4.000;109.129;-6.314
1975.000;79.000;4.009;135.150;-7.015;-11.856;143.791;-7.669;-23.092;116.602;-10.781;-16.757;110.942;15.966;19.631;143.297;-6.886;31.157;114.794;-9.561;21.907;110.021;17.008;4.004;109.131;-6.337
1976.000;79.040;4.011;135.152;-7.041;-11.855;143.795;-7.700;-23.090;116.602;-10.801;-16.757;110.919;15.944;19.633;143.299;-6.922;31.164;114.795;-9.576;21.922;110.024;16.994;4.005;109.133;-6.359
1977.000;79.080;4.014;135.156;-7.063;-11.848;143.804;-7.726;-23.091;116.614;-10.814;-16.751;110.906;15.924;19.639;143.303;-6.948;31.166;114.793;-9.596;21.939;110.027;16.985;4.006;109.133;-6.377
1978.000;79.120;4.015;135.162;-7.087;-11.849;143.806;-7.755;-23.085;116.610;-10.828;-16.750;110.892;15.910;19.639;143.306;-6.975;31.163;114.791;-9.614;21.971;110.037;16.983;4.007;109.136;-6.397
1979.000;79.160;4.012;135.158;-7.104;-11.859;143.797;-7.774;-23.063;116.585;-10.859;-16.755;110.949;15.905;19.635;143.301;-6.992;31.160;114.791;-9.652;22.021;110.144;16.993;4.003;109.134;-6.414
1980.000;79.200;4.004;135.152;-7.127;-11.883;143.796;-7.754;-22.957;116.530;-10.844;-16.793;111.446;16.044;19.632;143.275;-6.957;31.086;114.719;-9.761;22.336;110.799;17.084;4.000;109.137;-6.439
1981.000;79.240;3.997;135.167;-7.118;-11.899;143.797;-7.681;-22.780;116.356;-10.545;-16.860;112.992;16.448;19.640;143.303;-6.855;30.764;114.637;-9.820;22.994;111.907;17.245;4.003;109.141;-6.488
1982.000;79.280;3.988;135.170;-7.085;-11.919;143.790;-7.655;-22.652;116.085;-9.629;-16.590;116.319;17.241;19.643;143.320;-6.732;30.515;114.532;-9.510;23.365;114.422;17.629;4.006;109.149;-6.585
1983.000;79.320;3.988;135.168;-7.080;-11.919;143.832;-7.721;-22.439;115.798;-7.822;-16.155;121.140;18.186;19.667;143.374;-6.709;30.232;114.426;-8.557;23.786;118.673;18.199;3.999;109.167;-6.679
1984.000;79.360;3.982;135.177;-7.114;-11.929;143.917;-7.780;-22.102;115.706;-5.167;-15.777;126.537;18.789;19.689;143.464;-6.805;29.949;114.320;-6.803;24.282;123.742;18.545;3.986;109.199;-6.770
1985.000;79.400;3.958;135.166;-7.189;-11.956;143.992;-7.799;-21.631;115.913;-1.968;-15.522;131.692;18.849;19.684;143.521;-6.990;29.764;114.367;-4.367;24.836;128.793;18.405;3.962;109.215;-6.863
1986.000;79.440;3.925;135.132;-7.297;-11.971;144.047;-7.821;-21.073;116.494;1.271;-15.431;136.039;18.530;19.664;143.534;-7.192;29.691;114.721;-1.574;25.406;133.258;17.905;3.933;109.222;-6.953
1987.000;79.480;3.890;135.100;-7.434;-11.979;144.113;-7.851;-20.483;117.381;4.126;-15.369;139.362;18.197;19.638;143.554;-7.453;29.523;115.405;1.156;25.992;136.926;17.307;3.901;109.223;-7.020
1988.000;79.520;3.861;135.075;-7.582;-11.983;144.174;-7.909;-19.931;118.393;6.373;-15.314;141.650;18.397;19.610;143.572;-7.755;29.217;116.343;3.596;26.663;139.595;17.296;3.873;109.222;-7.055
1989.000;79.560;3.838;135.035;-7.745;-11.987;144.192;-8.035;-19.442;119.335;7.992;-15.299;143.212;19.012;19.579;143.570;-8.075;28.884;117.408;5.547;27.248;141.647;17.634;3.853;109.216;-7.058
1990.000;79.600;3.819;134.992;-7.927;-11.989;144.197;-8.218;-19.004;120.152;9.072;-15.273;144.111;20.227;19.542;143.580;-8.368;28.666;118.399;6.958;27.717;142.961;18.631;3.836;109.206;-7.054
1991.000;79.640;3.805;134.976;-8.018;-11.992;144.223;-8.296;-18.596;120.701;9.770;-15.050;144.731;20.843;19.509;143.631;-8.470;28.569;119.128;7.906;27.712;143.867;19.276;3.832;109.195;-7.048
1992.000;79.680;3.793;134.979;-7.997;-12.002;144.233;-8.259;-18.191;120.940;10.180;-14.757;145.177;20.699;19.487;143.664;-8.459;28.516;119.517;8.412;27.432;144.486;19.230;3.835;109.192;-7.027
1993.000;79.720;3.787;134.976;-7.922;-12.015;144.207;-8.192;-17.911;120.988;10.373;-14.532;145.488;20.149;19.465;143.676;-8.403;28.439;119.694;8.667;27.054;144.822;19.054;3.852;109.193;-6.977
