Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
302.000;12.080;3.755;135.018;-6.277;-12.110;143.757;-7.289;-22.127;115.771;-8.349;-14.996;115.117;18.709;19.454;143.247;-6.097;29.607;114.308;-6.673;20.204;117.329;19.837;3.699;109.149;-5.421
303.000;12.120;3.766;135.026;-6.270;-12.100;143.761;-7.289;-22.101;115.770;-8.349;-14.948;115.158;18.702;19.464;143.253;-6.088;29.625;114.320;-6.675;20.216;117.370;19.822;3.706;109.149;-5.423
304.000;12.160;3.777;135.030;-6.260;-12.088;143.767;-7.286;-22.083;115.774;-8.351;-14.926;115.199;18.695;19.476;143.256;-6.081;29.639;114.322;-6.672;20.222;117.418;19.815;3.715;109.150;-5.419
305.000;12.200;3.786;135.034;-6.246;-12.079;143.772;-7.279;-22.077;115.778;-8.347;-14.919;115.230;18.696;19.484;143.259;-6.065;29.664;114.331;-6.659;20.222;117.472;19.813;3.723;109.150;-5.416
306.000;12.240;3.794;135.038;-6.230;-12.070;143.779;-7.260;-22.091;115.792;-8.337;-14.921;115.261;18.700;19.494;143.264;-6.048;29.700;114.342;-6.646;20.219;117.524;19.800;3.725;109.150;-5.410
307.000;12.280;3.800;135.041;-6.209;-12.061;143.780;-7.240;-22.111;115.801;-8.331;-14.942;115.294;18.706;19.500;143.266;-6.024;29.732;114.348;-6.633;20.221;117.584;19.787;3.726;109.149;-5.402
308.000;12.320;3.806;135.041;-6.182;-12.055;143.783;-7.209;-22.129;115.815;-8.328;-14.971;115.352;18.703;19.504;143.261;-5.997;29.766;114.353;-6.634;20.226;117.650;19.764;3.727;109.149;-5.388
309.000;12.360;3.806;135.038;-6.160;-12.055;143.778;-7.179;-22.151;115.818;-8.332;-14.997;115.420;18.694;19.504;143.258;-5.962;29.795;114.361;-6.637;20.245;117.713;19.742;3.729;109.148;-5.368
310.000;12.400;3.803;135.031;-6.138;-12.055;143.772;-7.147;-22.171;115.821;-8.342;-15.090;115.560;18.678;19.500;143.230;-5.937;29.874;114.348;-6.604;20.275;117.781;19.735;3.731;109.148;-5.344
311.000;12.440;3.793;135.014;-6.122;-12.055;143.729;-7.115;-22.395;115.848;-8.234;-15.401;115.934;18.719;19.479;143.152;-5.916;30.261;114.352;-6.379;20.438;118.002;19.799;3.727;109.146;-5.331
312.000;12.480;3.787;134.957;-6.124;-12.030;143.656;-7.143;-23.368;116.092;-7.636;-16.158;117.184;19.063;19.439;143.035;-5.906;31.461;114.620;-5.540;21.128;118.869;20.217;3.726;109.144;-5.383
313.000;12.520;3.769;134.902;-6.200;-11.995;143.675;-7.259;-25.378;116.910;-6.297;-16.999;120.022;19.696;19.377;142.992;-5.982;33.812;115.586;-3.709;21.998;120.927;21.009;3.709;109.145;-5.498
314.000;12.560;3.747;134.903;-6.311;-11.933;143.860;-7.438;-28.040;118.574;-4.252;-17.304;124.046;20.233;19.303;143.087;-6.019;36.867;117.624;-1.039;22.284;123.798;21.839;3.681;109.171;-5.608
315.000;12.600;3.755;134.942;-6.386;-11.824;144.111;-7.615;-30.636;120.962;-1.886;-16.934;128.018;20.490;19.227;143.303;-5.957;39.611;120.473;1.826;22.157;126.766;22.540;3.643;109.213;-5.711
316.000;12.640;3.794;134.980;-6.420;-11.676;144.335;-7.728;-32.656;123.618;0.372;-16.171;131.188;20.547;19.158;143.543;-5.909;41.610;123.557;4.390;21.682;129.401;22.965;3.609;109.243;-5.810
317.000;12.680;3.840;135.013;-6.442;-11.530;144.519;-7.818;-34.001;126.144;2.230;-15.306;133.417;20.494;19.094;143.745;-5.869;42.804;126.360;6.457;21.033;131.459;23.206;3.588;109.263;-5.901
