Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
197.000;7.880;2.133;129.799;-21.908;-13.983;137.666;-21.242;-24.158;110.854;-27.680;-12.706;108.149;-2.562;17.461;138.404;-21.236;28.822;110.770;-27.509;19.147;110.927;-1.063;3.126;102.038;-21.810
198.000;7.920;2.100;129.797;-21.903;-14.011;137.688;-21.212;-24.265;110.876;-27.526;-12.837;108.248;-2.390;17.434;138.396;-21.258;28.896;110.750;-27.388;19.076;110.984;-0.996;3.101;102.043;-21.784
199.000;7.960;2.041;129.800;-21.880;-14.049;137.729;-21.141;-24.389;110.896;-27.266;-12.959;108.366;-2.121;17.392;138.376;-21.310;28.932;110.685;-27.206;19.005;111.096;-0.850;3.059;102.057;-21.742
200.000;8.000;2.002;129.800;-21.857;-14.077;137.756;-21.066;-24.430;110.892;-27.022;-12.903;108.472;-1.914;17.365;138.350;-21.351;28.870;110.595;-27.090;18.971;111.126;-0.719;3.038;102.058;-21.722
201.000;8.040;1.984;129.801;-21.847;-14.083;137.780;-20.998;-24.459;110.879;-26.743;-12.770;108.590;-1.703;17.359;138.331;-21.387;28.801;110.518;-27.048;18.959;111.030;-0.630;3.044;102.054;-21.724
202.000;8.080;2.005;129.797;-21.844;-14.053;137.802;-20.945;-24.481;110.850;-26.391;-12.742;108.848;-1.342;17.391;138.319;-21.428;28.809;110.470;-27.054;18.987;110.774;-0.595;3.068;102.051;-21.735
203.000;8.120;2.056;129.793;-21.862;-13.989;137.850;-20.926;-24.529;110.859;-25.815;-12.736;109.306;-0.693;17.436;138.323;-21.497;28.918;110.463;-27.043;19.014;110.191;-0.532;3.103;102.049;-21.751
204.000;8.160;2.131;129.810;-21.920;-13.889;137.947;-20.938;-24.691;110.880;-24.752;-12.783;110.215;0.452;17.508;138.341;-21.630;29.137;110.454;-26.896;19.021;108.936;-0.353;3.150;102.051;-21.760
205.000;8.200;2.221;129.817;-22.030;-13.755;138.069;-21.024;-24.963;110.911;-22.893;-12.795;112.109;2.250;17.603;138.328;-21.814;29.464;110.383;-26.485;18.974;106.724;-0.049;3.189;102.053;-21.785
206.000;8.240;2.332;129.807;-22.190;-13.576;138.251;-21.160;-25.244;111.127;-20.172;-12.925;114.922;4.631;17.735;138.246;-22.049;29.816;110.187;-25.750;18.828;103.378;0.174;3.193;102.050;-21.785
