Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1053.000;42.120;2.799;129.586;-23.041;-12.821;138.581;-22.790;-24.315;111.482;-24.559;-12.295;110.586;0.627;18.475;137.238;-22.308;30.509;108.933;-24.998;18.779;110.448;0.652;3.233;102.006;-22.005
1054.000;42.160;2.799;129.583;-23.047;-12.821;138.579;-22.797;-24.312;111.476;-24.563;-12.298;110.592;0.626;18.475;137.235;-22.314;30.509;108.930;-25.000;18.779;110.451;0.649;3.232;102.006;-22.007
1055.000;42.200;2.799;129.574;-23.075;-12.822;138.571;-22.836;-24.307;111.465;-24.588;-12.324;110.625;0.614;18.477;137.225;-22.346;30.505;108.914;-25.012;18.781;110.480;0.639;3.234;102.006;-22.013
1056.000;42.240;2.795;129.567;-23.102;-12.826;138.559;-22.870;-24.294;111.441;-24.610;-12.338;110.644;0.604;18.470;137.222;-22.376;30.502;108.909;-25.017;18.769;110.506;0.635;3.230;102.004;-22.018
1057.000;42.280;2.795;129.559;-23.129;-12.828;138.552;-22.904;-24.300;111.438;-24.623;-12.340;110.690;0.592;18.470;137.213;-22.410;30.496;108.895;-25.024;18.764;110.512;0.623;3.230;102.001;-22.024
1058.000;42.320;2.796;129.551;-23.159;-12.820;138.549;-22.938;-24.305;111.440;-24.631;-12.331;110.754;0.569;18.471;137.204;-22.444;30.494;108.883;-25.038;18.756;110.524;0.610;3.232;102.000;-22.030
1059.000;42.360;2.796;129.544;-23.183;-12.819;138.546;-22.966;-24.310;111.436;-24.638;-12.304;110.832;0.555;18.471;137.195;-22.473;30.506;108.875;-25.063;18.753;110.516;0.575;3.232;101.995;-22.036
1060.000;42.400;2.795;129.537;-23.203;-12.818;138.542;-22.984;-24.311;111.431;-24.627;-12.274;110.923;0.547;18.474;137.182;-22.493;30.495;108.859;-25.089;18.740;110.500;0.549;3.231;101.993;-22.040
1061.000;42.440;2.798;129.532;-23.222;-12.811;138.545;-22.996;-24.296;111.434;-24.603;-12.206;111.083;0.546;18.481;137.173;-22.515;30.492;108.844;-25.124;18.727;110.469;0.514;3.232;101.993;-22.042
1062.000;42.480;2.800;129.524;-23.245;-12.810;138.552;-22.999;-24.333;111.461;-24.473;-12.068;111.485;0.575;18.482;137.161;-22.542;30.493;108.835;-25.150;18.711;110.417;0.484;3.238;101.991;-22.046
1063.000;42.520;2.811;129.513;-23.293;-12.800;138.538;-23.043;-24.609;111.552;-23.932;-11.669;112.357;0.756;18.488;137.178;-22.572;30.537;108.868;-25.159;18.624;110.314;0.441;3.243;101.989;-22.062
1064.000;42.560;2.873;129.490;-23.360;-12.734;138.456;-23.125;-25.444;111.757;-22.389;-10.904;114.125;1.214;18.521;137.230;-22.594;30.673;108.986;-25.141;18.409;110.124;0.353;3.271;101.987;-22.112
1065.000;42.600;2.965;129.455;-23.434;-12.649;138.360;-23.207;-26.500;112.215;-19.799;-10.187;117.176;2.025;18.564;137.335;-22.603;30.934;109.203;-25.041;18.051;109.665;0.256;3.321;101.973;-22.175
1066.000;42.640;3.025;129.442;-23.519;-12.591;138.340;-23.232;-27.379;113.189;-16.498;-9.663;121.257;2.962;18.566;137.471;-22.695;31.287;109.494;-24.824;17.637;108.667;0.216;3.367;101.974;-22.207
1067.000;42.680;3.018;129.450;-23.584;-12.587;138.405;-23.163;-27.863;114.566;-13.174;-9.413;125.596;3.781;18.516;137.574;-22.891;31.618;109.734;-24.540;17.355;107.126;0.193;3.386;101.976;-22.179
1068.000;42.720;2.940;129.455;-23.594;-12.631;138.549;-22.991;-27.787;115.957;-10.238;-9.448;129.688;4.454;18.425;137.581;-23.113;31.843;109.800;-24.312;17.311;105.387;0.147;3.370;102.003;-22.115
1069.000;42.760;2.799;129.455;-23.542;-12.729;138.742;-22.699;-27.127;116.977;-7.870;-9.696;133.108;5.241;18.301;137.531;-23.334;31.911;109.750;-24.163;17.426;103.396;-0.001;3.294;102.018;-22.052
1070.000;42.800;2.617;129.482;-23.448;-12.857;138.949;-22.364;-25.957;117.527;-6.023;-9.766;135.556;6.269;18.145;137.456;-23.533;31.896;109.658;-24.151;17.543;101.343;-0.395;3.214;102.040;-22.004
1071.000;42.840;2.445;129.526;-23.353;-12.964;139.150;-21.996;-24.482;117.770;-4.570;-9.145;137.005;7.322;17.999;137.396;-23.736;31.787;109.544;-24.234;17.578;99.376;-1.025;3.133;102.056;-21.939
1072.000;42.880;2.318;129.552;-23.248;-13.042;139.243;-21.572;-23.081;117.896;-3.287;-7.882;138.055;7.653;17.877;137.386;-23.923;31.476;109.411;-24.376;17.670;97.511;-1.736;3.101;102.067;-21.895
1073.000;42.920;2.229;129.569;-23.106;-13.090;139.284;-21.155;-21.681;117.891;-2.180;-6.580;138.977;7.391;17.783;137.403;-24.010;31.084;109.267;-24.517;17.763;95.668;-2.463;3.115;102.053;-21.866
1074.000;42.960;2.179;129.585;-22.966;-13.101;139.315;-20.825;-20.457;117.859;-1.444;-5.141;139.523;6.849;17.749;137.415;-23.998;30.769;109.184;-24.712;18.182;95.569;-2.197;3.148;102.045;-21.873
1075.000;43.000;2.169;129.613;-22.836;-13.099;139.335;-20.566;-19.626;117.983;-0.837;-3.448;139.818;5.552;17.738;137.533;-23.939;30.751;109.361;-24.648;18.337;95.878;-1.983;3.194;102.065;-21.873
1076.000;43.040;2.183;129.651;-22.710;-13.064;139.333;-20.369;-18.801;118.372;-0.078;-2.094;140.388;3.085;17.732;137.670;-23.758;30.944;109.576;-24.405;18.257;95.693;-2.139;3.249;102.066;-21.847
1077.000;43.080;2.231;129.686;-22.589;-13.004;139.360;-20.245;-17.960;118.776;0.511;-1.689;141.225;0.727;17.766;137.727;-23.517;31.169;109.694;-24.118;18.179;95.438;-2.225;3.292;102.068;-21.842
1078.000;43.120;2.278;129.710;-22.505;-12.946;139.407;-20.208;-17.374;119.196;0.937;-1.936;142.033;-1.163;17.821;137.764;-23.334;31.323;109.780;-23.879;18.243;95.434;-2.102;3.330;102.070;-21.832
1079.000;43.160;2.341;129.741;-22.464;-12.883;139.462;-20.251;-17.070;119.536;1.130;-2.412;142.629;-2.334;17.883;137.798;-23.215;31.387;109.822;-23.704;18.285;95.310;-2.045;3.377;102.078;-21.826
1080.000;43.200;2.398;129.755;-22.452;-12.835;139.501;-20.317;-17.103;119.799;1.189;-2.705;142.927;-2.700;17.947;137.799;-23.105;31.398;109.820;-23.628;18.286;95.242;-2.023;3.408;102.077;-21.834
1081.000;43.240;2.440;129.761;-22.462;-12.796;139.541;-20.410;-17.274;119.947;1.089;-2.842;143.054;-2.628;17.999;137.788;-23.028;31.436;109.809;-23.616;18.244;95.279;-2.034;3.398;102.076;-21.849
1082.000;43.280;2.459;129.765;-22.473;-12.774;139.564;-20.481;-17.414;120.038;1.027;-2.927;143.099;-2.696;18.025;137.776;-22.959;31.471;109.794;-23.612;18.187;95.289;-2.070;3.365;102.070;-21.866
1083.000;43.320;2.459;129.758;-22.497;-12.778;139.561;-20.572;-17.501;120.047;0.912;-2.898;143.072;-2.625;18.028;137.759;-22.925;31.478;109.780;-23.580;18.119;95.286;-2.071;3.329;102.068;-21.867
1084.000;43.360;2.442;129.749;-22.529;-12.797;139.553;-20.654;-17.599;119.978;0.756;-2.843;142.945;-2.585;18.014;137.748;-22.931;31.471;109.769;-23.509;18.010;95.322;-2.025;3.295;102.072;-21.855
1085.000;43.400;2.415;129.740;-22.558;-12.830;139.538;-20.716;-17.655;119.864;0.599;-2.880;142.821;-2.672;17.987;137.739;-22.941;31.455;109.770;-23.483;17.943;95.339;-2.013;3.268;102.074;-21.850
1086.000;43.440;2.387;129.727;-22.594;-12.873;139.505;-20.788;-17.668;119.737;0.444;-2.975;142.776;-2.685;17.953;137.734;-22.953;31.449;109.773;-23.504;17.951;95.339;-2.028;3.256;102.070;-21.856
1087.000;43.480;2.374;129.710;-22.641;-12.912;139.463;-20.877;-17.723;119.636;0.310;-3.084;142.746;-2.624;17.927;137.733;-22.986;31.450;109.780;-23.528;17.963;95.353;-2.034;3.261;102.064;-21.873
1088.000;43.520;2.380;129.694;-22.693;-12.924;139.420;-20.962;-17.903;119.484;0.111;-3.237;142.630;-2.478;17.925;137.723;-23.018;31.464;109.774;-23.560;17.986;95.400;-2.026;3.275;102.062;-21.885
1089.000;43.560;2.405;129.672;-22.745;-12.916;139.371;-21.051;-18.360;119.111;-0.324;-3.495;142.215;-2.144;17.941;137.683;-23.042;31.497;109.760;-23.619;18.079;95.536;-1.925;3.288;102.060;-21.889
1090.000;43.600;2.459;129.647;-22.792;-12.861;139.317;-21.147;-19.262;118.366;-1.249;-3.934;141.240;-1.455;18.006;137.611;-23.055;31.519;109.682;-23.739;18.176;96.047;-1.595;3.300;102.061;-21.896
1091.000;43.640;2.538;129.623;-22.808;-12.784;139.258;-21.234;-20.594;117.299;-2.786;-4.546;139.550;-0.581;18.109;137.543;-23.036;31.435;109.562;-24.045;18.346;97.337;-0.990;3.307;102.060;-21.897
1092.000;43.680;2.639;129.611;-22.785;-12.679;139.189;-21.309;-22.209;116.065;-4.979;-5.398;137.156;0.301;18.234;137.528;-23.020;31.264;109.488;-24.472;18.554;99.435;-0.238;3.306;102.063;-21.889
1093.000;43.720;2.736;129.625;-22.727;-12.637;139.135;-21.359;-23.768;114.881;-7.771;-6.467;134.144;1.385;18.352;137.547;-22.976;31.030;109.430;-24.798;18.818;102.164;0.560;3.300;102.064;-21.876
