Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3389.000;135.560;1.841;135.036;-4.875;-14.211;143.205;-5.383;-24.407;115.302;-6.930;-18.332;114.310;20.318;17.299;143.593;-5.005;27.933;114.863;-6.958;21.430;116.644;20.430;2.124;109.156;-4.068
3390.000;135.600;1.870;135.032;-4.805;-14.184;143.196;-5.291;-24.206;115.248;-6.943;-18.132;114.215;20.305;17.330;143.583;-4.934;27.937;114.851;-6.994;21.452;116.599;20.396;2.139;109.156;-4.016
3391.000;135.640;1.898;135.028;-4.749;-14.160;143.179;-5.216;-24.050;115.191;-6.921;-17.929;114.146;20.315;17.357;143.579;-4.873;27.970;114.851;-7.017;21.466;116.545;20.374;2.157;109.156;-3.970
3392.000;135.680;1.927;135.022;-4.701;-14.136;143.161;-5.154;-23.945;115.144;-6.859;-17.737;114.129;20.359;17.381;143.574;-4.819;28.013;114.857;-7.018;21.477;116.510;20.367;2.180;109.154;-3.925
3393.000;135.720;1.959;135.015;-4.660;-14.105;143.151;-5.104;-23.900;115.120;-6.775;-17.572;114.185;20.414;17.413;143.568;-4.771;28.063;114.860;-6.989;21.484;116.543;20.378;2.212;109.153;-3.882
3394.000;135.760;1.990;135.006;-4.628;-14.074;143.136;-5.056;-23.881;115.101;-6.689;-17.452;114.342;20.478;17.444;143.562;-4.741;28.142;114.876;-6.937;21.471;116.690;20.400;2.247;109.149;-3.845
3395.000;135.800;2.012;134.994;-4.618;-14.051;143.137;-4.997;-23.885;115.110;-6.590;-17.326;114.685;20.548;17.465;143.556;-4.742;28.386;114.927;-6.640;21.419;117.132;20.609;2.281;109.146;-3.825
3396.000;135.840;2.001;134.982;-4.630;-14.065;143.161;-4.927;-23.927;115.140;-6.413;-17.069;115.305;20.625;17.447;143.561;-4.781;28.919;115.024;-5.824;21.336;118.051;21.193;2.311;109.147;-3.829
3397.000;135.880;1.968;134.974;-4.679;-14.099;143.197;-4.877;-24.018;115.165;-6.020;-16.462;116.403;20.735;17.401;143.585;-4.858;29.698;115.222;-4.321;21.105;119.589;22.225;2.329;109.153;-3.873
3398.000;135.920;1.941;134.966;-4.768;-14.121;143.223;-4.898;-24.199;115.155;-5.320;-15.270;117.948;20.805;17.351;143.632;-4.930;30.559;115.621;-2.076;20.538;121.782;23.642;2.338;109.162;-3.951
3399.000;135.960;1.921;134.958;-4.891;-14.138;143.233;-4.987;-24.326;115.103;-4.202;-13.536;119.841;20.820;17.301;143.701;-4.973;31.328;116.338;0.764;19.572;124.455;25.204;2.346;109.171;-4.056
3400.000;136.000;1.913;134.955;-5.044;-14.154;143.233;-5.130;-24.154;114.997;-2.775;-11.563;121.975;20.739;17.255;143.818;-4.968;31.860;117.436;3.902;18.163;127.411;26.593;2.354;109.180;-4.188
3401.000;136.040;1.927;134.954;-5.214;-14.171;143.214;-5.284;-23.646;114.878;-1.145;-9.623;124.111;20.639;17.201;143.991;-4.951;32.085;118.865;6.954;16.453;130.494;27.535;2.380;109.184;-4.332
3402.000;136.080;1.956;134.954;-5.381;-14.204;143.139;-5.461;-22.920;114.753;0.456;-7.951;126.068;20.507;17.120;144.200;-4.926;32.002;120.490;9.710;14.599;133.380;27.995;2.431;109.187;-4.468
3403.000;136.120;1.983;134.950;-5.536;-14.246;142.999;-5.656;-22.152;114.643;1.826;-6.695;127.728;20.308;17.020;144.430;-4.896;31.719;122.085;11.955;12.861;135.809;28.067;2.508;109.187;-4.583
3404.000;136.160;2.010;134.942;-5.674;-14.296;142.812;-5.856;-21.545;114.537;2.815;-5.867;129.008;19.992;16.923;144.644;-4.844;31.279;123.461;13.604;11.383;137.722;27.887;2.612;109.182;-4.671
3405.000;136.200;2.011;134.935;-5.804;-14.364;142.607;-6.065;-21.174;114.424;3.404;-5.372;129.839;19.588;16.788;144.856;-4.802;30.829;124.546;14.747;10.189;139.088;27.614;2.740;109.181;-4.738
3406.000;136.240;1.997;134.922;-5.923;-14.452;142.396;-6.264;-20.967;114.254;3.664;-5.115;130.242;19.210;16.643;145.036;-4.782;30.427;125.330;15.483;9.263;140.009;27.303;2.878;109.177;-4.792
3407.000;136.280;1.964;134.904;-6.047;-14.554;142.191;-6.442;-20.832;114.046;3.698;-5.023;130.378;18.920;16.489;145.193;-4.798;30.099;125.914;15.917;8.493;140.574;26.965;3.006;109.167;-4.839
3408.000;136.320;1.930;134.885;-6.165;-14.652;142.008;-6.609;-20.690;113.839;3.641;-5.063;130.433;18.750;16.339;145.331;-4.845;29.868;126.336;16.134;7.873;140.839;26.624;3.122;109.159;-4.889
3409.000;136.360;1.898;134.875;-6.274;-14.743;141.849;-6.742;-20.542;113.679;3.634;-5.215;130.623;18.613;16.216;145.443;-4.900;29.709;126.616;16.212;7.417;140.891;26.357;3.217;109.155;-4.941
3410.000;136.400;1.863;134.864;-6.373;-14.821;141.725;-6.872;-20.388;113.607;3.762;-5.408;130.988;18.522;16.107;145.529;-4.967;29.641;126.801;16.178;7.064;140.755;26.122;3.292;109.155;-4.992
3411.000;136.440;1.829;134.855;-6.464;-14.888;141.622;-6.968;-20.247;113.614;4.060;-5.546;131.481;18.462;16.010;145.600;-5.042;29.620;126.909;16.075;6.780;140.525;25.906;3.343;109.158;-5.047
3412.000;136.480;1.789;134.849;-6.549;-14.952;141.550;-7.034;-20.050;113.696;4.511;-5.594;132.061;18.482;15.924;145.650;-5.136;29.586;126.949;15.933;6.537;140.263;25.711;3.373;109.163;-5.099
3413.000;136.520;1.743;134.843;-6.625;-15.013;141.505;-7.066;-19.796;113.832;5.053;-5.554;132.666;18.597;15.855;145.676;-5.243;29.540;126.937;15.772;6.345;140.016;25.520;3.378;109.165;-5.151
