Frame;Time(s);chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob
;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2303.000;92.120;0.869;134.874;-5.172;-15.109;143.305;-5.914;-25.381;115.474;-7.665;-17.567;114.996;19.166;16.400;143.214;-5.095;27.927;114.653;-7.748;19.971;115.292;19.362;0.980;109.141;-4.186
2304.000;92.160;0.873;134.873;-5.247;-15.105;143.305;-6.002;-25.378;115.476;-7.754;-17.581;115.008;19.079;16.402;143.211;-5.166;27.933;114.649;-7.805;19.966;115.309;19.306;0.984;109.141;-4.245
2305.000;92.200;0.879;134.876;-5.316;-15.102;143.303;-6.076;-25.377;115.476;-7.827;-17.587;115.024;19.006;16.407;143.220;-5.231;27.943;114.659;-7.869;19.975;115.328;19.244;0.990;109.142;-4.306
2306.000;92.240;0.887;134.879;-5.381;-15.087;143.315;-6.147;-25.369;115.490;-7.923;-17.597;115.036;18.923;16.422;143.216;-5.291;27.949;114.645;-7.917;19.980;115.324;19.192;0.998;109.146;-4.356
2307.000;92.280;0.894;134.874;-5.446;-15.076;143.315;-6.219;-25.362;115.494;-7.994;-17.585;115.044;18.845;16.430;143.205;-5.352;27.958;114.636;-7.959;19.978;115.331;19.146;1.004;109.146;-4.408
2308.000;92.320;0.903;134.877;-5.507;-15.064;143.316;-6.285;-25.354;115.498;-8.047;-17.555;115.057;18.787;16.443;143.204;-5.410;27.962;114.628;-8.025;19.998;115.335;19.089;1.008;109.148;-4.452
2309.000;92.360;0.912;134.877;-5.569;-15.057;143.312;-6.355;-25.363;115.499;-8.108;-17.524;115.118;18.718;16.451;143.206;-5.470;27.972;114.628;-8.073;20.006;115.328;19.045;1.014;109.149;-4.493
2310.000;92.400;0.917;134.872;-5.633;-15.052;143.311;-6.400;-25.368;115.522;-8.139;-17.349;115.272;18.634;16.454;143.201;-5.541;27.995;114.622;-8.101;19.986;115.306;19.017;1.021;109.150;-4.530
2311.000;92.440;0.896;134.882;-5.706;-15.085;143.333;-6.419;-25.351;115.577;-7.902;-16.531;115.914;18.576;16.427;143.220;-5.592;28.053;114.663;-8.128;19.970;115.293;19.014;1.016;109.151;-4.577
2312.000;92.480;0.862;134.908;-5.788;-15.113;143.399;-6.503;-25.237;115.570;-6.943;-15.017;118.010;18.803;16.383;143.269;-5.611;28.203;114.781;-8.126;19.819;115.267;19.050;0.991;109.157;-4.651
